case_key,family,arm,transition_class,gold,base_champion,arm_champion,arm_champion_relation,base_hit,arm_hit,base_gold_rank,arm_gold_rank
DA_d2_heldout100/306,DA,remove_non_gold3,removed_candidate_rescue,Candida tropicalis meningoencephalitis,Fungal meningoencephalitis (Candida tropicalis),Candida tropicalis meningoencephalitis,base,False,True,2,1
DA_d2_heldout100/306,DA,add_parent5,shared_candidate_context_gain,Candida tropicalis meningoencephalitis,Fungal meningoencephalitis (Candida tropicalis),Candida tropicalis meningoencephalitis,base,False,True,2,1
DA_d2_heldout100/306,DA,add_sibling5,shared_candidate_context_gain,Candida tropicalis meningoencephalitis,Fungal meningoencephalitis (Candida tropicalis),Candida tropicalis meningoencephalitis,base,False,True,2,1
DA_d2_heldout100/306,DA,add_synonym5,shared_candidate_context_gain,Candida tropicalis meningoencephalitis,Fungal meningoencephalitis (Candida tropicalis),Candida tropicalis meningoencephalitis,base,False,True,2,1
DA_d2_heldout100/306,DA,add_component5,shared_candidate_context_gain,Candida tropicalis meningoencephalitis,Fungal meningoencephalitis (Candida tropicalis),Candida tropicalis meningoencephalitis,base,False,True,2,1
DA_d2_heldout100/306,DA,nested_width6,shared_candidate_context_gain,Candida tropicalis meningoencephalitis,Fungal meningoencephalitis (Candida tropicalis),Candida tropicalis meningoencephalitis,base,False,True,2,1
DA_d2_heldout100/310,DA,remove_non_gold3,shared_candidate_champion_flip_without_strict_flip,Complete spinal cord injury (SCI) at C4-C5 level with intramedullary hemorrhage,Traumatic spinal cord injury with spinal cord compression and anterolisthesis,Acute traumatic cervical spinal cord injury,base,False,False,4,3
DA_d2_heldout100/310,DA,add_sibling5,shared_candidate_champion_flip_without_strict_flip,Complete spinal cord injury (SCI) at C4-C5 level with intramedullary hemorrhage,Traumatic spinal cord injury with spinal cord compression and anterolisthesis,Acute traumatic cervical spinal cord injury,base,False,False,4,2
DA_d2_heldout100/310,DA,add_synonym5,shared_candidate_champion_flip_without_strict_flip,Complete spinal cord injury (SCI) at C4-C5 level with intramedullary hemorrhage,Traumatic spinal cord injury with spinal cord compression and anterolisthesis,Acute traumatic cervical spinal cord injury,base,False,False,4,4
DA_d2_heldout100/310,DA,nested_width6,shared_candidate_champion_flip_without_strict_flip,Complete spinal cord injury (SCI) at C4-C5 level with intramedullary hemorrhage,Traumatic spinal cord injury with spinal cord compression and anterolisthesis,Acute traumatic cervical spinal cord injury,base,False,False,4,4
DA_d2_heldout100/317,DA,remove_non_gold3,removed_candidate_rescue,Pyoderma vegetans,Blastomycosis-like pyoderma,Pyoderma vegetans,base,False,True,2,1
DA_d2_heldout100/317,DA,add_synonym5,shared_candidate_context_gain,Pyoderma vegetans,Blastomycosis-like pyoderma,Pyoderma vegetans,base,False,True,2,1
DA_d2_heldout100/317,DA,nested_width8,new_candidate_champion_without_strict_flip,Pyoderma vegetans,Blastomycosis-like pyoderma,Halogenoderma,width_distractor,False,False,2,2
DA_d2_heldout100/328,DA,remove_non_gold3,removed_candidate_rescue,Chronic idiopathic urticaria (CIU) due to methylisothiazolinone contact sensitization,Chronic Spontaneous Urticaria,Chronic idiopathic urticaria (CIU) due to methylisothiazolinone contact sensitization,base,False,True,3,1
DA_d2_heldout100/329,DA,add_component5,shared_candidate_context_gain,Secondary cardiac lymphoma,Recurrent cardiac infiltration of diffuse large B-cell lymphoma,Secondary cardiac lymphoma,base,False,True,2,1
DA_d2_heldout100/347,DA,add_synonym5,direct_new_candidate_harm,Nonbullous neutrophilic lupus erythematosus,Nonbullous neutrophilic lupus erythematosus,Nonbullous neutrophilic dermatosis of lupus,synonym,True,False,1,2
DA_d2_heldout100/359,DA,remove_non_gold3,shared_candidate_context_gain,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,Decompensated biventricular heart failure (HFrEF),Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,base,False,True,3,1
DA_d2_heldout100/359,DA,add_parent5,shared_candidate_context_gain,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,Decompensated biventricular heart failure (HFrEF),Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,base,False,True,3,1
DA_d2_heldout100/359,DA,add_sibling5,shared_candidate_context_gain,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,Decompensated biventricular heart failure (HFrEF),Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,base,False,True,3,1
DA_d2_heldout100/359,DA,add_unrelated5,shared_candidate_context_gain,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,Decompensated biventricular heart failure (HFrEF),Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,base,False,True,3,1
DA_d2_heldout100/359,DA,add_synonym5,shared_candidate_champion_flip_without_strict_flip,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,Decompensated biventricular heart failure (HFrEF),Decompensated heart failure,base,False,False,3,3
DA_d2_heldout100/359,DA,nested_width6,shared_candidate_context_gain,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,Decompensated biventricular heart failure (HFrEF),Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,base,False,True,3,1
DA_d2_heldout100/359,DA,nested_width8,shared_candidate_context_gain,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,Decompensated biventricular heart failure (HFrEF),Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,base,False,True,3,1
DA_d2_heldout100/367,DA,remove_non_gold3,removed_candidate_rescue,Ciliary body myxoma,Ciliary body schwannoma,Ciliary body myxoma,base,False,True,3,1
DA_d2_heldout100/367,DA,add_parent5,shared_candidate_context_gain,Ciliary body myxoma,Ciliary body schwannoma,Ciliary body myxoma,base,False,True,3,1
DA_d2_heldout100/367,DA,add_unrelated5,shared_candidate_context_gain,Ciliary body myxoma,Ciliary body schwannoma,Ciliary body myxoma,base,False,True,3,1
DA_d2_heldout100/373,DA,add_parent5,shared_candidate_context_harm,Anastrozole-associated crystalline retinopathy,Anastrozole-associated crystalline retinopathy,Anastrozole-induced crystalline maculopathy,base,True,False,1,2
DA_d2_heldout100/373,DA,add_unrelated5,shared_candidate_context_harm,Anastrozole-associated crystalline retinopathy,Anastrozole-associated crystalline retinopathy,Anastrozole-induced crystalline maculopathy,base,True,False,1,2
DA_d2_heldout100/374,DA,add_unrelated5,shared_candidate_context_gain,Atypical Atrioventricular Nodal Reentrant Tachycardia (Atypical AVNRT),Focal atrial tachycardia,Atypical Atrioventricular Nodal Reentrant Tachycardia (Atypical AVNRT),base,False,True,3,1
DA_d2_heldout100/374,DA,add_synonym5,shared_candidate_context_gain,Atypical Atrioventricular Nodal Reentrant Tachycardia (Atypical AVNRT),Focal atrial tachycardia,Atypical Atrioventricular Nodal Reentrant Tachycardia (Atypical AVNRT),base,False,True,3,1
DA_d2_heldout100/374,DA,add_component5,shared_candidate_context_gain,Atypical Atrioventricular Nodal Reentrant Tachycardia (Atypical AVNRT),Focal atrial tachycardia,Atypical Atrioventricular Nodal Reentrant Tachycardia (Atypical AVNRT),base,False,True,3,1
DA_d2_heldout100/375,DA,add_unrelated5,shared_candidate_context_gain,Herpes vegetans,Hypertrophic herpes simplex virus infection,Herpes vegetans,base,False,True,2,1
DA_d2_heldout100/375,DA,nested_width6,shared_candidate_context_gain,Herpes vegetans,Hypertrophic herpes simplex virus infection,Herpes vegetans,base,False,True,2,1
DA_d2_heldout100/431,DA,remove_non_gold3,shared_candidate_champion_flip_without_strict_flip,Stage IIIC (T4aN3) melanoma with satellite metastases,Recurrent melanoma,Persistent or recurrent metastatic melanoma,base,False,False,4,3
DA_d2_heldout100/431,DA,add_parent5,shared_candidate_champion_flip_without_strict_flip,Stage IIIC (T4aN3) melanoma with satellite metastases,Recurrent melanoma,Persistent or recurrent metastatic melanoma,base,False,False,4,4
DA_d2_heldout100/431,DA,add_sibling5,new_candidate_champion_without_strict_flip,Stage IIIC (T4aN3) melanoma with satellite metastases,Recurrent melanoma,Melanoma with in-transit metastases,sibling,False,False,4,5
DA_d2_heldout100/452,DA,remove_non_gold3,removed_candidate_rescue,Antiplakin dermatosis,Paraneoplastic pemphigus,Antiplakin dermatosis,base,False,True,2,1
DA_d2_heldout100/452,DA,add_component5,shared_candidate_context_gain,Antiplakin dermatosis,Paraneoplastic pemphigus,Antiplakin dermatosis,base,False,True,2,1
DA_d2_heldout200b/482,DA,remove_non_gold3,shared_candidate_champion_flip_without_strict_flip,Peripheral T-cell non-Hodgkin lymphoma,Extranodal NK/T-cell lymphoma,"NK/T-Cell Lymphoma, Nasal Type",base,False,False,4,2
DA_d2_heldout200b/482,DA,add_parent5,shared_candidate_champion_flip_without_strict_flip,Peripheral T-cell non-Hodgkin lymphoma,Extranodal NK/T-cell lymphoma,"NK/T-Cell Lymphoma, Nasal Type",base,False,False,4,4
DA_d2_heldout200b/482,DA,add_sibling5,shared_candidate_champion_flip_without_strict_flip,Peripheral T-cell non-Hodgkin lymphoma,Extranodal NK/T-cell lymphoma,"NK/T-Cell Lymphoma, Nasal Type",base,False,False,4,3
DA_d2_heldout200b/482,DA,add_component5,shared_candidate_champion_flip_without_strict_flip,Peripheral T-cell non-Hodgkin lymphoma,Extranodal NK/T-cell lymphoma,"NK/T-Cell Lymphoma, Nasal Type",base,False,False,4,4
DA_d2_heldout200b/482,DA,nested_width6,shared_candidate_champion_flip_without_strict_flip,Peripheral T-cell non-Hodgkin lymphoma,Extranodal NK/T-cell lymphoma,"NK/T-Cell Lymphoma, Nasal Type",base,False,False,4,4
DA_d2_heldout200b/482,DA,nested_width8,shared_candidate_champion_flip_without_strict_flip,Peripheral T-cell non-Hodgkin lymphoma,Extranodal NK/T-cell lymphoma,ALK-negative anaplastic large cell lymphoma,base,False,False,4,2
DA_d2_heldout200b/488,DA,add_component5,direct_new_candidate_harm,Myelodysplastic syndrome (MDS) with refractory anaemia with excess blasts-1 presenting with leukaemic vasculitis,Myelodysplastic syndrome (MDS) with refractory anaemia with excess blasts-1 presenting with leukaemic vasculitis,Leukaemic vasculitis,component,True,False,1,2
DA_d2_heldout200b/490,DA,remove_non_gold3,shared_candidate_context_harm,Starvation colitis,Starvation colitis,Ulcerative colitis,base,True,False,1,2
DA_d2_heldout200b/490,DA,add_component5,shared_candidate_context_harm,Starvation colitis,Starvation colitis,Ulcerative colitis,base,True,False,1,4
DA_d2_heldout200b/497,DA,remove_non_gold3,removed_candidate_rescue,Cardioembolic stroke with underlying hypercoagulable state due to metastatic breast cancer and autoimmune hemolytic anemia,Trousseau’s syndrome (paraneoplastic hypercoagulability),Cardioembolic stroke with underlying hypercoagulable state due to metastatic breast cancer and autoimmune hemolytic anemia,base,False,True,4,1
DA_d2_heldout200b/497,DA,add_synonym5,shared_candidate_champion_flip_without_strict_flip,Cardioembolic stroke with underlying hypercoagulable state due to metastatic breast cancer and autoimmune hemolytic anemia,Trousseau’s syndrome (paraneoplastic hypercoagulability),Thromboembolic stroke from hypercoagulable state,base,False,False,4,4
DA_d2_heldout200b/497,DA,add_component5,new_candidate_champion_without_strict_flip,Cardioembolic stroke with underlying hypercoagulable state due to metastatic breast cancer and autoimmune hemolytic anemia,Trousseau’s syndrome (paraneoplastic hypercoagulability),Nonbacterial thrombotic endocarditis,component,False,False,4,4
DA_d2_heldout200b/497,DA,nested_width6,new_candidate_champion_without_strict_flip,Cardioembolic stroke with underlying hypercoagulable state due to metastatic breast cancer and autoimmune hemolytic anemia,Trousseau’s syndrome (paraneoplastic hypercoagulability),Hyperviscosity syndrome due to cold agglutinin disease,width_distractor,False,False,4,3
DA_d2_heldout200b/497,DA,nested_width8,new_candidate_champion_without_strict_flip,Cardioembolic stroke with underlying hypercoagulable state due to metastatic breast cancer and autoimmune hemolytic anemia,Trousseau’s syndrome (paraneoplastic hypercoagulability),Hyperviscosity syndrome due to cold agglutinin disease,width_distractor,False,False,4,4
DA_d2_heldout200b/498,DA,remove_non_gold3,removed_candidate_rescue,Denied pregnancy with stillbirth delivery complicated by eclampsia and posterior reversible encephalopathy syndrome (PRES),Hydatidiform mole with complications,Denied pregnancy with stillbirth delivery complicated by eclampsia and posterior reversible encephalopathy syndrome (PRES),base,False,True,4,1
DA_d2_heldout200b/498,DA,add_parent5,shared_candidate_champion_flip_without_strict_flip,Denied pregnancy with stillbirth delivery complicated by eclampsia and posterior reversible encephalopathy syndrome (PRES),Hydatidiform mole with complications,"Gestational trophoblastic disease (e.g., partial hydatidiform mole)",base,False,False,4,5
DA_d2_heldout200b/507,DA,add_parent5,shared_candidate_context_harm,Primary isolated cardiac myeloid sarcoma,Primary isolated cardiac myeloid sarcoma,Myeloid sarcoma (extramedullary acute myeloid leukemia),base,True,False,1,4
DA_d2_heldout200b/507,DA,add_sibling5,shared_candidate_context_harm,Primary isolated cardiac myeloid sarcoma,Primary isolated cardiac myeloid sarcoma,Myeloid sarcoma (extramedullary acute myeloid leukemia),base,True,False,1,2
DA_d2_heldout200b/507,DA,add_unrelated5,shared_candidate_context_harm,Primary isolated cardiac myeloid sarcoma,Primary isolated cardiac myeloid sarcoma,Myeloid sarcoma (extramedullary acute myeloid leukemia),base,True,False,1,2
DA_d2_heldout200b/507,DA,add_synonym5,shared_candidate_context_harm,Primary isolated cardiac myeloid sarcoma,Primary isolated cardiac myeloid sarcoma,Myeloid sarcoma (extramedullary acute myeloid leukemia),base,True,False,1,3
DA_d2_heldout200b/507,DA,nested_width8,shared_candidate_context_harm,Primary isolated cardiac myeloid sarcoma,Primary isolated cardiac myeloid sarcoma,Myeloid sarcoma (extramedullary acute myeloid leukemia),base,True,False,1,3
DA_d2_heldout200b/529,DA,add_parent5,shared_candidate_context_gain,Multidrug-resistant Cytomegalovirus (CMV) infection,Ganciclovir-resistant cytomegalovirus (CMV) infection,Multidrug-resistant Cytomegalovirus (CMV) infection,base,False,True,2,1
DA_d2_heldout200b/529,DA,add_sibling5,shared_candidate_context_gain,Multidrug-resistant Cytomegalovirus (CMV) infection,Ganciclovir-resistant cytomegalovirus (CMV) infection,Multidrug-resistant Cytomegalovirus (CMV) infection,base,False,True,2,1
DA_d2_heldout200b/529,DA,add_unrelated5,shared_candidate_context_gain,Multidrug-resistant Cytomegalovirus (CMV) infection,Ganciclovir-resistant cytomegalovirus (CMV) infection,Multidrug-resistant Cytomegalovirus (CMV) infection,base,False,True,2,1
DA_d2_heldout200b/529,DA,add_component5,shared_candidate_context_gain,Multidrug-resistant Cytomegalovirus (CMV) infection,Ganciclovir-resistant cytomegalovirus (CMV) infection,Multidrug-resistant Cytomegalovirus (CMV) infection,base,False,True,2,1
DA_d2_heldout200b/529,DA,nested_width6,shared_candidate_context_gain,Multidrug-resistant Cytomegalovirus (CMV) infection,Ganciclovir-resistant cytomegalovirus (CMV) infection,Multidrug-resistant Cytomegalovirus (CMV) infection,base,False,True,2,1
DA_d2_heldout200b/529,DA,nested_width8,shared_candidate_context_gain,Multidrug-resistant Cytomegalovirus (CMV) infection,Ganciclovir-resistant cytomegalovirus (CMV) infection,Multidrug-resistant Cytomegalovirus (CMV) infection,base,False,True,2,1
DA_d2_heldout200b/530,DA,remove_non_gold3,removed_candidate_rescue,Calcinosis cutis in Sjögren syndrome,Scleroderma-Sjögren’s overlap syndrome,Calcinosis cutis in Sjögren syndrome,base,False,True,2,1
DA_d2_heldout200b/530,DA,add_parent5,shared_candidate_champion_flip_without_strict_flip,Calcinosis cutis in Sjögren syndrome,Scleroderma-Sjögren’s overlap syndrome,Primary Sjögren’s syndrome,base,False,False,2,3
DA_d2_heldout200b/530,DA,add_sibling5,shared_candidate_context_gain,Calcinosis cutis in Sjögren syndrome,Scleroderma-Sjögren’s overlap syndrome,Calcinosis cutis in Sjögren syndrome,base,False,True,2,1
DA_d2_heldout200b/530,DA,add_unrelated5,shared_candidate_champion_flip_without_strict_flip,Calcinosis cutis in Sjögren syndrome,Scleroderma-Sjögren’s overlap syndrome,Primary Sjögren’s syndrome,base,False,False,2,2
DA_d2_heldout200b/530,DA,add_synonym5,shared_candidate_champion_flip_without_strict_flip,Calcinosis cutis in Sjögren syndrome,Scleroderma-Sjögren’s overlap syndrome,Primary Sjögren’s syndrome,base,False,False,2,3
DA_d2_heldout200b/530,DA,add_component5,shared_candidate_context_gain,Calcinosis cutis in Sjögren syndrome,Scleroderma-Sjögren’s overlap syndrome,Calcinosis cutis in Sjögren syndrome,base,False,True,2,1
DA_d2_heldout200b/563,DA,add_sibling5,shared_candidate_context_harm,Raoultella planticola bacteremia,Raoultella planticola bacteremia,Klebsiella pneumoniae sepsis,base,True,False,1,4
DA_d2_heldout200b/563,DA,nested_width8,shared_candidate_context_harm,Raoultella planticola bacteremia,Raoultella planticola bacteremia,Gram-negative bacterial sepsis (Enterobacteriaceae),base,True,False,1,7
DA_d2_heldout200b/569,DA,remove_non_gold3,shared_candidate_context_gain,COVID-19-induced inflammatory cardiac channelopathy with refractory ventricular fibrillation,COVID-19-associated cytokine storm with cardiac involvement,COVID-19-induced inflammatory cardiac channelopathy with refractory ventricular fibrillation,base,False,True,2,1
DA_d2_heldout200b/573,DA,remove_non_gold3,shared_candidate_champion_flip_without_strict_flip,Chronic Myelogenous Leukemia in Lymphoid Blast Crisis,B-cell Acute Lymphoblastic Leukemia (B-ALL) with Philadelphia chromosome,Philadelphia chromosome-positive acute lymphoblastic leukemia (ALL),base,False,False,3,2
DA_d2_heldout200b/573,DA,add_parent5,shared_candidate_champion_flip_without_strict_flip,Chronic Myelogenous Leukemia in Lymphoid Blast Crisis,B-cell Acute Lymphoblastic Leukemia (B-ALL) with Philadelphia chromosome,Philadelphia chromosome-positive acute lymphoblastic leukemia (ALL),base,False,False,3,3
DA_d2_heldout200b/574,DA,add_sibling5,shared_candidate_context_harm,Mixed Langerhans cell histiocytosis (LCH) and Erdheim-Chester disease (ECD) with renovascular hypertension,Mixed Langerhans cell histiocytosis (LCH) and Erdheim-Chester disease (ECD) with renovascular hypertension,Erdheim-Chester Disease,base,True,False,1,2
DA_d2_heldout200b/574,DA,nested_width6,direct_new_candidate_harm,Mixed Langerhans cell histiocytosis (LCH) and Erdheim-Chester disease (ECD) with renovascular hypertension,Mixed Langerhans cell histiocytosis (LCH) and Erdheim-Chester disease (ECD) with renovascular hypertension,Erdheim-Chester disease with renovascular hypertension,width_distractor,True,False,1,3
DA_d2_heldout200b/574,DA,nested_width8,direct_new_candidate_harm,Mixed Langerhans cell histiocytosis (LCH) and Erdheim-Chester disease (ECD) with renovascular hypertension,Mixed Langerhans cell histiocytosis (LCH) and Erdheim-Chester disease (ECD) with renovascular hypertension,Erdheim-Chester disease with renovascular hypertension,width_distractor,True,False,1,3
DA_d2_heldout200b/583,DA,remove_non_gold3,shared_candidate_context_harm,Surfer's Myelopathy,Surfer's Myelopathy,Fibrocartilaginous embolism,base,True,False,1,3
DA_d2_heldout200b/586,DA,remove_non_gold3,removed_candidate_rescue,Rifampin-induced acute renal failure due to heme pigment-related injury,Rifampin-induced immune hemolytic anemia with hemoglobin-mediated acute tubular injury,Rifampin-induced acute renal failure due to heme pigment-related injury,base,False,True,2,1
DA_d2_heldout200b/589,DA,remove_non_gold3,removed_candidate_rescue,Edwardsiella tarda infection with empyema,Spontaneous bacterial empyema,Edwardsiella tarda infection with empyema,base,False,True,3,1
DA_d2_heldout200b/589,DA,add_sibling5,new_candidate_champion_without_strict_flip,Edwardsiella tarda infection with empyema,Spontaneous bacterial empyema,Vibrio vulnificus empyema,sibling,False,False,3,2
DA_d2_heldout200b/589,DA,add_unrelated5,shared_candidate_context_gain,Edwardsiella tarda infection with empyema,Spontaneous bacterial empyema,Edwardsiella tarda infection with empyema,base,False,True,3,1
DA_d2_heldout200b/589,DA,add_synonym5,shared_candidate_context_gain,Edwardsiella tarda infection with empyema,Spontaneous bacterial empyema,Edwardsiella tarda infection with empyema,base,False,True,3,1
DA_d2_heldout200b/589,DA,add_component5,shared_candidate_context_gain,Edwardsiella tarda infection with empyema,Spontaneous bacterial empyema,Edwardsiella tarda infection with empyema,base,False,True,3,1
DA_d2_heldout200b/589,DA,nested_width6,new_candidate_champion_without_strict_flip,Edwardsiella tarda infection with empyema,Spontaneous bacterial empyema,Aeromonas hydrophila empyema,width_distractor,False,False,3,2
DA_d2_heldout200b/589,DA,nested_width8,new_candidate_champion_without_strict_flip,Edwardsiella tarda infection with empyema,Spontaneous bacterial empyema,Aeromonas hydrophila empyema,width_distractor,False,False,3,3
DA_d2_heldout200b/591,DA,nested_width8,direct_new_candidate_harm,Recurrent plaque erosion presenting as Non-ST-segment elevation myocardial infarction (NSTEMI),Recurrent plaque erosion presenting as Non-ST-segment elevation myocardial infarction (NSTEMI),Coronary artery embolism presenting as Non-ST-elevation myocardial infarction,width_distractor,True,False,1,3
DA_d2_heldout200b/602,DA,remove_non_gold3,shared_candidate_context_gain,Tumoral Calcinosis (Normophosphatemic subtype),Systemic sclerosis with calcinosis,Tumoral Calcinosis (Normophosphatemic subtype),base,False,True,4,1
DA_d2_heldout200b/602,DA,add_sibling5,shared_candidate_champion_flip_without_strict_flip,Tumoral Calcinosis (Normophosphatemic subtype),Systemic sclerosis with calcinosis,Dermatomyositis with calcinosis,base,False,False,4,3
DA_d2_heldout200b/602,DA,add_unrelated5,shared_candidate_champion_flip_without_strict_flip,Tumoral Calcinosis (Normophosphatemic subtype),Systemic sclerosis with calcinosis,Dermatomyositis with calcinosis,base,False,False,4,4
DA_d2_heldout200b/602,DA,add_synonym5,shared_candidate_context_gain,Tumoral Calcinosis (Normophosphatemic subtype),Systemic sclerosis with calcinosis,Tumoral Calcinosis (Normophosphatemic subtype),base,False,True,4,1
DA_d2_heldout200b/602,DA,add_component5,shared_candidate_champion_flip_without_strict_flip,Tumoral Calcinosis (Normophosphatemic subtype),Systemic sclerosis with calcinosis,Dermatomyositis with calcinosis,base,False,False,4,3
DA_d2_heldout200b/602,DA,nested_width6,shared_candidate_champion_flip_without_strict_flip,Tumoral Calcinosis (Normophosphatemic subtype),Systemic sclerosis with calcinosis,Dermatomyositis with calcinosis,base,False,False,4,3
DA_d2_heldout200b/602,DA,nested_width8,shared_candidate_champion_flip_without_strict_flip,Tumoral Calcinosis (Normophosphatemic subtype),Systemic sclerosis with calcinosis,Dermatomyositis with calcinosis,base,False,False,4,2
DA_d2_heldout200b/603,DA,remove_non_gold3,removed_candidate_rescue,Giant Abdominal Aortic Aneurysm,Large Saccular Aneurysm of the Abdominal Aorta,Giant Abdominal Aortic Aneurysm,base,False,True,2,1
DA_d2_heldout200b/628,DA,remove_non_gold3,shared_candidate_context_harm,Peri-infarction pericarditis (PIP),Peri-infarction pericarditis (PIP),Acute coronary syndrome with early post-infarction pericarditis,base,True,False,1,2
DA_d2_heldout200b/628,DA,add_parent5,shared_candidate_context_harm,Peri-infarction pericarditis (PIP),Peri-infarction pericarditis (PIP),Acute coronary syndrome with early post-infarction pericarditis,base,True,False,1,2
DA_d2_heldout200b/628,DA,add_synonym5,shared_candidate_context_harm,Peri-infarction pericarditis (PIP),Peri-infarction pericarditis (PIP),Acute coronary syndrome with early post-infarction pericarditis,base,True,False,1,2
DA_d2_heldout200b/630,DA,remove_non_gold3,shared_candidate_context_harm,Horner syndrome secondary to invasive Blastomyces pneumonia,Horner syndrome secondary to invasive Blastomyces pneumonia,Pulmonary blastomycosis,base,True,False,1,2
DA_d2_heldout200b/630,DA,add_parent5,shared_candidate_context_harm,Horner syndrome secondary to invasive Blastomyces pneumonia,Horner syndrome secondary to invasive Blastomyces pneumonia,Pulmonary blastomycosis,base,True,False,1,3
DA_d2_heldout200b/630,DA,add_sibling5,shared_candidate_context_harm,Horner syndrome secondary to invasive Blastomyces pneumonia,Horner syndrome secondary to invasive Blastomyces pneumonia,Pulmonary blastomycosis,base,True,False,1,2
DA_d2_heldout200b/630,DA,add_unrelated5,shared_candidate_context_harm,Horner syndrome secondary to invasive Blastomyces pneumonia,Horner syndrome secondary to invasive Blastomyces pneumonia,Pulmonary blastomycosis,base,True,False,1,3
DA_d2_heldout200b/630,DA,add_synonym5,shared_candidate_context_harm,Horner syndrome secondary to invasive Blastomyces pneumonia,Horner syndrome secondary to invasive Blastomyces pneumonia,Pulmonary blastomycosis,base,True,False,1,4
DA_d2_heldout200b/630,DA,nested_width6,shared_candidate_context_harm,Horner syndrome secondary to invasive Blastomyces pneumonia,Horner syndrome secondary to invasive Blastomyces pneumonia,Pulmonary blastomycosis,base,True,False,1,3
DA_d2_heldout200b/630,DA,nested_width8,shared_candidate_context_harm,Horner syndrome secondary to invasive Blastomyces pneumonia,Horner syndrome secondary to invasive Blastomyces pneumonia,Pulmonary blastomycosis,base,True,False,1,3
DA_d2_heldout200b/636,DA,add_parent5,shared_candidate_context_harm,Recurrent postpartum mastitis with concurrent lactotroph hyperplasia,Recurrent postpartum mastitis with concurrent lactotroph hyperplasia,Bacterial mastitis (Streptococcus agalactiae),base,True,False,1,3
