case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
36,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B5.1,B5.1
39,pilot24,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B1.2,B1.2
40,pilot24,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_then_support,,,B1.2,B1.2
45,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.1,B4.1
57,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B5.1,B5.1
59,pilot24,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,2,merge_then_support,,,"B4.1,B1.2","B4.1,B1.2"
60,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.2,B2.2
62,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.1,B2.1
63,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.2,B3.2
67,pilot24,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B2.3,B2.3
72,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B1.1,B2.1","B1.1,B2.1"
74,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B1.3,B1.3
76,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B5.2,B5.2
81,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B3.3,B4.1","B3.3,B4.1"
83,remain76,compat_serial_safe,0,0,0.3333333333333333,3,3,0,0,0.3333333333333333,0,0,3,merge_then_support,,,"B1.2,B2.3,B3.3","B1.2,B2.3,B3.3"
87,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.2,B3.2
89,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B3.3,B1.1","B3.3,B1.1"
90,remain76,compat_serial_safe,0,1,0.5,2,2,0,1,0.5,0,0,2,merge_then_support,,,"B5.1,B1.3","B5.1,B1.3"
95,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B1.1,B1.1
97,remain76,compat_serial_safe,0,0,0.0,1,,0,0,0.0,0,0,,calib_only,,,,
99,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.2,B4.2
100,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,2,merge_then_support,,,"B5.1,B2.1","B5.1,B2.1"
102,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B4.1,B2.2","B4.1,B2.2"
103,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.3,B2.3
107,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B2.1,B2.1
111,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.2,B2.2
114,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B5.3,B5.3
117,remain76,compat_serial_safe,0,1,0.5,2,2,0,1,0.5,0,0,2,merge_then_support,,,"B4.1,B3.5","B4.1,B3.5"
118,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B1.1,B1.1
119,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,3,merge_then_support,,,"B5.3,B1.3,B3.3","B5.3,B1.3,B3.3"
120,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,1,,calib_only,,,"B3.4,B1.3,B2.3,B4.3,B5.3","B2.3,B1.3,B3.4,B4.3,B5.3"
122,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_then_support,,,B3.1,B3.1
124,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B1.2,B3.2","B1.2,B3.2"
125,remain76,compat_serial_safe,0,0,0.0,1,,0,0,0.0,0,0,3,merge_then_support,,,"B4.1,B3.4,B1.1","B4.1,B1.1,B3.4"
128,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.3,B4.3
129,remain76,compat_serial_safe,0,0,0.0,3,,0,0,0.0,0,0,2,merge_then_support,,,"B5.1,B2.3","B5.1,B2.3"
132,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,3,merge_then_support,,,"B1.1,B3.1,B2.1","B1.1,B3.1,B2.1"
134,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.1,B4.1
137,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.2,B4.2
139,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B1.3,B1.3
140,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B3.1,B1.1","B3.1,B1.1"
147,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B5.1,B5.1
149,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.1,B3.1
150,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,,calib_only,,,"B4.3,B1.1,B2.1,B3.1","B4.3,B1.1,B2.1,B3.1"
151,remain76,compat_serial_safe,0,1,0.5,2,2,0,1,0.5,0,0,,calib_only,,,"B3.2,B1.1,B4.1,B2.3","B3.2,B1.1,B4.1,B2.3"
156,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.3,B2.3
158,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B2.2,B4.1","B2.2,B4.1"
161,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.1,B4.1
163,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,1,,calib_only,,,"B4.4,B1.3,B5.3,B3.3,B2.1","B1.3,B3.3,B4.4,B5.3,B2.1"
164,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.2,B4.2
165,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_then_support,,,B2.1,B2.1
167,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B1.1,B1.1
173,remain76,compat_serial_safe,0,1,0.5,2,3,0,1,0.5,0,0,,calib_only,,,"B2.1,B1.2,B3.1,B4.1,B5.1","B1.2,B2.1,B4.1,B5.1,B3.1"
174,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.2,B3.2
177,remain76,compat_serial_safe,0,1,0.5,2,2,0,1,0.5,0,0,2,merge_then_support,,,"B1.4,B3.4","B1.4,B3.4"
181,remain76,compat_serial_safe,1,1,1.0,1,2,1,1,1.0,0,0,3,merge_then_support,,,"B5.1,B1.3,B4.1","B5.1,B1.3,B4.1"
182,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B1.3,B1.3
183,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,2,merge_then_support,,,"B2.11,B3.5","B2.11,B3.5"
186,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,2,merge_then_support,,,"B4.1,B5.5","B4.1,B5.5"
187,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B3.1,B3.1
188,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,3,merge_then_support,,,"B3.1,B2.4,B4.2","B3.1,B2.4,B4.2"
190,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.2,B3.2
194,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B4.2,B4.2
198,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B1.1,B1.1
202,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.1,B3.1
205,remain76,compat_serial_safe,0,1,0.5,2,2,0,1,0.5,0,0,2,merge_then_support,,,"B3.2,B1.4","B3.2,B1.4"
206,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B1.2,B4.3","B1.2,B4.3"
207,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.1,B2.1
211,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.3,B2.3
214,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,,calib_only,,,"B4.1,B3.4,B1.4,B2.2","B1.4,B4.1,B2.2,B3.4"
216,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.2,B3.2
219,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B1.1,B1.1
220,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.1,B3.1
225,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B2.2,B2.2
226,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,2,merge_then_support,,,"B3.2,B1.1","B3.2,B1.1"
227,remain76,compat_serial_safe,1,1,1.0,1,2,1,1,1.0,0,0,2,merge_then_support,,,"B3.1,B2.2","B3.1,B2.2"
228,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B2.1,B3.1","B2.1,B3.1"
229,remain76,compat_serial_safe,0,0,0.0,1,,0,0,0.0,0,0,2,merge_then_support,,,"B2.1,B5.3","B2.1,B5.3"
231,remain76,compat_serial_safe,0,0,0.0,3,,0,0,0.0,0,0,2,merge_then_support,,,"B1.2,B4.2","B1.2,B4.2"
233,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_then_support,,,B2.1,B2.1
237,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B5.1,B2.1","B5.1,B2.1"
241,remain76,compat_serial_safe,0,0,0.0,3,,0,0,0.0,0,0,3,merge_then_support,,,"B1.1,B4.2,B2.11","B1.1,B2.11,B4.2"
242,remain76,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,2,merge_then_support,,,"B2.4,B3.1","B2.4,B3.1"
243,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B1.2,B3.4","B1.2,B3.4"
246,remain76,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,2,merge_then_support,,,"B4.4,B2.1","B4.4,B2.1"
249,remain76,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,,calib_only,,,"B2.2,B1.3,B3.1,B4.1,B5.1","B2.2,B1.3,B3.1,B5.1,B4.1"
