cell,l1,local,replicate,case_id,selected_arm,tree_hash,gold_present,gold_parent_route_entered,acceptable_local_champion_entered,technical_failure,top1,top2,rr,rank,funnel,aa_reused,champion_ids,accepted_parent_ids,acceptable_l2_ids,true_f2_fact_ids,calls
OA,oracle,actual,1,mb55_glucagonoma,ALL_B_b1_GR_PG,b70df4c765dd3c4f7a089a9ee8e2149105bc92b9ebaedf9e9506824c97874d03,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1""]","[""B1""]","[""B1.1""]","[""F13"", ""F11""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb55_glucagonoma,ALL_B_b1_GR_PG,b70df4c765dd3c4f7a089a9ee8e2149105bc92b9ebaedf9e9506824c97874d03,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1""]","[""B1""]","[""B1.1""]","[""F13"", ""F11""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mb57_kartagener,ALL_B_b1_GR_PG,a13412bc48d93500f6c3cab9dd8fd84daabfcbc572899f0e102b3a1218bd8c9a,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.5"", ""B3.1"", ""B4.3"", ""B5.3""]","[""B1"", ""B4"", ""B5""]","[""B1.3"", ""B4.1"", ""B4.3"", ""B5.1"", ""B5.3""]","[""F9"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb57_kartagener,ALL_B_b1_GR_PG,a13412bc48d93500f6c3cab9dd8fd84daabfcbc572899f0e102b3a1218bd8c9a,True,True,True,False,True,True,1.0,1,success,False,"[""B1.3"", ""B2.5"", ""B3.1"", ""B4.3"", ""B5.3""]","[""B1"", ""B4"", ""B5""]","[""B1.3"", ""B4.1"", ""B4.3"", ""B5.1"", ""B5.3""]","[""F9"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mb57_kartagener,ALL_B_b1_GR_PG,a13412bc48d93500f6c3cab9dd8fd84daabfcbc572899f0e102b3a1218bd8c9a,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B4.3"", ""B5.3""]","[""B1"", ""B4"", ""B5""]","[""B1.3"", ""B4.1"", ""B4.3"", ""B5.1"", ""B5.3""]","[""F9"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb57_kartagener,ALL_B_b1_GR_PG,a13412bc48d93500f6c3cab9dd8fd84daabfcbc572899f0e102b3a1218bd8c9a,True,True,True,False,True,True,1.0,1,success,False,"[""B1.3"", ""B4.3"", ""B5.3""]","[""B1"", ""B4"", ""B5""]","[""B1.3"", ""B4.1"", ""B4.3"", ""B5.1"", ""B5.3""]","[""F9"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mb65_cml,ALL_B_b1_GR_PG,411221cd992895b9e5473928a01830784892070995dcc1db4d4f300bbc363519,True,True,True,False,False,False,0.3333333333333333,3,intergroup_rank_loss,False,"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]","[""B1"", ""B3"", ""B5""]","[""B1.2"", ""B3.1"", ""B5.2""]","[""F14"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb65_cml,ALL_B_b1_GR_PG,411221cd992895b9e5473928a01830784892070995dcc1db4d4f300bbc363519,True,True,True,False,True,True,1.0,1,success,False,"[""B1.2"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.2""]","[""B1"", ""B3"", ""B5""]","[""B1.2"", ""B3.1"", ""B5.2""]","[""F14"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mb65_cml,ALL_B_b1_GR_PG,411221cd992895b9e5473928a01830784892070995dcc1db4d4f300bbc363519,True,True,True,False,False,False,0.3333333333333333,3,intergroup_rank_loss,False,"[""B1.1"", ""B3.1"", ""B5.1""]","[""B1"", ""B3"", ""B5""]","[""B1.2"", ""B3.1"", ""B5.2""]","[""F14"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb65_cml,ALL_B_b1_GR_PG,411221cd992895b9e5473928a01830784892070995dcc1db4d4f300bbc363519,True,True,True,False,True,True,1.0,1,success,False,"[""B1.2"", ""B3.1"", ""B5.2""]","[""B1"", ""B3"", ""B5""]","[""B1.2"", ""B3.1"", ""B5.2""]","[""F14"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mb66_peliosis,ALL_B_b1_GR_PG,f811a0141c7efc5bc9986df977f6311af78db6d3d119c185c9c5c12a152d43ac,True,True,True,True,False,False,0.0,,technical_failure,False,"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]","[""B5""]","[""B5.1""]",[],"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
AO,actual,oracle,1,mb66_peliosis,ALL_B_b1_GR_PG,f811a0141c7efc5bc9986df977f6311af78db6d3d119c185c9c5c12a152d43ac,True,True,True,True,False,False,0.0,,technical_failure,False,"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]","[""B5""]","[""B5.1""]",[],"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
OA,oracle,actual,1,mb66_peliosis,ALL_B_b1_GR_PG,f811a0141c7efc5bc9986df977f6311af78db6d3d119c185c9c5c12a152d43ac,True,True,True,True,False,False,0.0,,technical_failure,False,"[""B5.1""]","[""B5""]","[""B5.1""]",[],"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
OO,oracle,oracle,1,mb66_peliosis,ALL_B_b1_GR_PG,f811a0141c7efc5bc9986df977f6311af78db6d3d119c185c9c5c12a152d43ac,True,True,True,True,False,False,0.0,,technical_failure,False,"[""B5.1""]","[""B5""]","[""B5.1""]",[],"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
AA,actual,actual,1,mb77_hyperpara,ALL_B_b1_GR_PG,e857fe3dc6e19f0590acfb53112f98480a660bf276bf4cfc80777c34fc1c3a80,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.4"", ""B3.5"", ""B4.1"", ""B5.3""]","[""B4""]","[""B4.1"", ""B4.5""]","[""F21"", ""F22""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb77_hyperpara,ALL_B_b1_GR_PG,e857fe3dc6e19f0590acfb53112f98480a660bf276bf4cfc80777c34fc1c3a80,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.4"", ""B3.5"", ""B4.1"", ""B5.3""]","[""B4""]","[""B4.1"", ""B4.5""]","[""F21"", ""F22""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mb77_hyperpara,ALL_B_b1_GR_PG,e857fe3dc6e19f0590acfb53112f98480a660bf276bf4cfc80777c34fc1c3a80,True,True,True,False,True,True,1.0,1,success,False,"[""B4.1""]","[""B4""]","[""B4.1"", ""B4.5""]","[""F21"", ""F22""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb77_hyperpara,ALL_B_b1_GR_PG,e857fe3dc6e19f0590acfb53112f98480a660bf276bf4cfc80777c34fc1c3a80,True,True,True,False,True,True,1.0,1,success,False,"[""B4.1""]","[""B4""]","[""B4.1"", ""B4.5""]","[""F21"", ""F22""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mb82_adhesions,ALL_B_b1_GR_PG,96ad65e01b7a83d1d299192d3730e6df5627190faef3dce40ec3aa75aecd1d44,True,True,False,False,False,False,0.0,,local_champion_miss,False,"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.5"", ""B5.3""]","[""B1""]","[""B1.2""]","[""F15"", ""F17""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb82_adhesions,ALL_B_b1_GR_PG,96ad65e01b7a83d1d299192d3730e6df5627190faef3dce40ec3aa75aecd1d44,True,True,True,False,False,True,0.5,2,success,False,"[""B1.2"", ""B2.1"", ""B3.1"", ""B4.5"", ""B5.3""]","[""B1""]","[""B1.2""]","[""F15"", ""F17""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mb82_adhesions,ALL_B_b1_GR_PG,96ad65e01b7a83d1d299192d3730e6df5627190faef3dce40ec3aa75aecd1d44,True,True,False,False,False,False,0.0,,local_champion_miss,False,"[""B1.1""]","[""B1""]","[""B1.2""]","[""F15"", ""F17""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb82_adhesions,ALL_B_b1_GR_PG,96ad65e01b7a83d1d299192d3730e6df5627190faef3dce40ec3aa75aecd1d44,True,True,True,False,True,True,1.0,1,success,False,"[""B1.2""]","[""B1""]","[""B1.2""]","[""F15"", ""F17""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mb83_foreignbody,ALL_B_b1_GR_PG,1932e78ddf546153c1262e98d90f31590e32741c447b816990216515dffc9490,True,True,True,False,False,True,0.5,2,success,False,"[""B1.5"", ""B2.1"", ""B3.1"", ""B4.1""]","[""B2""]","[""B2.1""]","[""F11"", ""F3""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb83_foreignbody,ALL_B_b1_GR_PG,1932e78ddf546153c1262e98d90f31590e32741c447b816990216515dffc9490,True,True,True,False,False,True,0.5,2,success,False,"[""B1.5"", ""B2.1"", ""B3.1"", ""B4.1""]","[""B2""]","[""B2.1""]","[""F11"", ""F3""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mb83_foreignbody,ALL_B_b1_GR_PG,1932e78ddf546153c1262e98d90f31590e32741c447b816990216515dffc9490,True,True,True,False,True,True,1.0,1,success,False,"[""B2.1""]","[""B2""]","[""B2.1""]","[""F11"", ""F3""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb83_foreignbody,ALL_B_b1_GR_PG,1932e78ddf546153c1262e98d90f31590e32741c447b816990216515dffc9490,True,True,True,False,True,True,1.0,1,success,False,"[""B2.1""]","[""B2""]","[""B2.1""]","[""F11"", ""F3""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mxh011,ALL_B_b1_GR_PG,d5afbe2678456f37a7a5eecd6d1c0c870583043fc914926cac9705e10b845a35,True,True,True,False,True,True,1.0,1,success,False,"[""B1.4"", ""B2.1"", ""B3.1"", ""B4.2"", ""B5.1""]","[""B1"", ""B3""]","[""B1.4"", ""B3.1"", ""B3.5""]","[""F11"", ""F6""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mxh011,ALL_B_b1_GR_PG,d5afbe2678456f37a7a5eecd6d1c0c870583043fc914926cac9705e10b845a35,True,True,True,False,True,True,1.0,1,success,False,"[""B1.4"", ""B2.1"", ""B3.1"", ""B4.2"", ""B5.1""]","[""B1"", ""B3""]","[""B1.4"", ""B3.1"", ""B3.5""]","[""F11"", ""F6""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mxh011,ALL_B_b1_GR_PG,d5afbe2678456f37a7a5eecd6d1c0c870583043fc914926cac9705e10b845a35,True,True,True,False,True,True,1.0,1,success,False,"[""B1.4"", ""B3.1""]","[""B1"", ""B3""]","[""B1.4"", ""B3.1"", ""B3.5""]","[""F11"", ""F6""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mxh011,ALL_B_b1_GR_PG,d5afbe2678456f37a7a5eecd6d1c0c870583043fc914926cac9705e10b845a35,True,True,True,False,True,True,1.0,1,success,False,"[""B1.4"", ""B3.1""]","[""B1"", ""B3""]","[""B1.4"", ""B3.1"", ""B3.5""]","[""F11"", ""F6""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mxh014,ALL_B_b1_GR_PG,91791be2c2f621ffd116d0d2daa624d24765c84ddc7fe686a167b04697253db5,True,True,True,False,True,True,1.0,1,success,False,"[""B1.5"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]","[""B1""]","[""B1.5""]","[""F9"", ""F4""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mxh014,ALL_B_b1_GR_PG,91791be2c2f621ffd116d0d2daa624d24765c84ddc7fe686a167b04697253db5,True,True,True,False,True,True,1.0,1,success,False,"[""B1.5"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]","[""B1""]","[""B1.5""]","[""F9"", ""F4""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mxh014,ALL_B_b1_GR_PG,91791be2c2f621ffd116d0d2daa624d24765c84ddc7fe686a167b04697253db5,True,True,True,False,True,True,1.0,1,success,False,"[""B1.5""]","[""B1""]","[""B1.5""]","[""F9"", ""F4""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mxh014,ALL_B_b1_GR_PG,91791be2c2f621ffd116d0d2daa624d24765c84ddc7fe686a167b04697253db5,True,True,True,False,True,True,1.0,1,success,False,"[""B1.5""]","[""B1""]","[""B1.5""]","[""F9"", ""F4""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mxh036,ALL_B_b1_GR_PG,cf041e13b00f49106223ab8e0096bf2bdbc4a87c4d8c4f917615111c426f1431,True,True,True,False,False,True,0.5,2,success,False,"[""B1.1"", ""B2.1"", ""B3.2"", ""B4.1"", ""B5.1""]","[""B2""]","[""B2.1"", ""B2.5""]","[""F10"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mxh036,ALL_B_b1_GR_PG,cf041e13b00f49106223ab8e0096bf2bdbc4a87c4d8c4f917615111c426f1431,True,True,True,False,False,True,0.5,2,success,False,"[""B1.1"", ""B2.1"", ""B3.2"", ""B4.1"", ""B5.1""]","[""B2""]","[""B2.1"", ""B2.5""]","[""F10"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mxh036,ALL_B_b1_GR_PG,cf041e13b00f49106223ab8e0096bf2bdbc4a87c4d8c4f917615111c426f1431,True,True,True,False,True,True,1.0,1,success,False,"[""B2.1""]","[""B2""]","[""B2.1"", ""B2.5""]","[""F10"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mxh036,ALL_B_b1_GR_PG,cf041e13b00f49106223ab8e0096bf2bdbc4a87c4d8c4f917615111c426f1431,True,True,True,False,True,True,1.0,1,success,False,"[""B2.1""]","[""B2""]","[""B2.1"", ""B2.5""]","[""F10"", ""F8""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mxh045,ALL_B_b1_GR_PG,78a66ab10e72d021e74a332d447902ea41f329478462c4c5e0de9189fb94aa9f,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
AO,actual,oracle,1,mxh045,ALL_B_b1_GR_PG,78a66ab10e72d021e74a332d447902ea41f329478462c4c5e0de9189fb94aa9f,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
OA,oracle,actual,1,mxh045,ALL_B_b1_GR_PG,78a66ab10e72d021e74a332d447902ea41f329478462c4c5e0de9189fb94aa9f,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
OO,oracle,oracle,1,mxh045,ALL_B_b1_GR_PG,78a66ab10e72d021e74a332d447902ea41f329478462c4c5e0de9189fb94aa9f,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
AA,actual,actual,1,mxh046,ALL_B_b1_GR_PG,a534d4287e1dcb23836f3dd52193e9b3ad5d420542ac04bf3d7b53be44c7d038,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.2""]","[""B1"", ""B4""]","[""B1.2"", ""B4.2""]","[""F11"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mxh046,ALL_B_b1_GR_PG,a534d4287e1dcb23836f3dd52193e9b3ad5d420542ac04bf3d7b53be44c7d038,True,True,True,False,True,True,1.0,1,success,False,"[""B1.2"", ""B2.1"", ""B3.1"", ""B4.2""]","[""B1"", ""B4""]","[""B1.2"", ""B4.2""]","[""F11"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mxh046,ALL_B_b1_GR_PG,a534d4287e1dcb23836f3dd52193e9b3ad5d420542ac04bf3d7b53be44c7d038,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B4.2""]","[""B1"", ""B4""]","[""B1.2"", ""B4.2""]","[""F11"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mxh046,ALL_B_b1_GR_PG,a534d4287e1dcb23836f3dd52193e9b3ad5d420542ac04bf3d7b53be44c7d038,True,True,True,False,True,True,1.0,1,success,False,"[""B1.2"", ""B4.2""]","[""B1"", ""B4""]","[""B1.2"", ""B4.2""]","[""F11"", ""F12""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mxh055,ALL_B_b1_GR_PG,d9bfd7ac3bfd93462f4a765a20248624369b6de2fc8fc15f51d055a09b786c9b,True,True,True,False,False,True,0.5,2,success,False,"[""B1.2"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]","[""B4""]","[""B4.1"", ""B4.4""]","[""F9"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mxh055,ALL_B_b1_GR_PG,d9bfd7ac3bfd93462f4a765a20248624369b6de2fc8fc15f51d055a09b786c9b,True,True,True,False,False,True,0.5,2,success,False,"[""B1.2"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]","[""B4""]","[""B4.1"", ""B4.4""]","[""F9"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mxh055,ALL_B_b1_GR_PG,d9bfd7ac3bfd93462f4a765a20248624369b6de2fc8fc15f51d055a09b786c9b,True,True,True,False,True,True,1.0,1,success,False,"[""B4.1""]","[""B4""]","[""B4.1"", ""B4.4""]","[""F9"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mxh055,ALL_B_b1_GR_PG,d9bfd7ac3bfd93462f4a765a20248624369b6de2fc8fc15f51d055a09b786c9b,True,True,True,False,True,True,1.0,1,success,False,"[""B4.1""]","[""B4""]","[""B4.1"", ""B4.4""]","[""F9"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mxh068,ALL_B_b1_GR_PG,d7cd2fd8994fd5d01430029e3694fb32edd4b8222919ae75d06ddf7c8076a63d,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
AO,actual,oracle,1,mxh068,ALL_B_b1_GR_PG,d7cd2fd8994fd5d01430029e3694fb32edd4b8222919ae75d06ddf7c8076a63d,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
OA,oracle,actual,1,mxh068,ALL_B_b1_GR_PG,d7cd2fd8994fd5d01430029e3694fb32edd4b8222919ae75d06ddf7c8076a63d,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
OO,oracle,oracle,1,mxh068,ALL_B_b1_GR_PG,d7cd2fd8994fd5d01430029e3694fb32edd4b8222919ae75d06ddf7c8076a63d,False,False,False,False,False,False,0.0,,gold_absent,False,[],[],[],null,"{""requested"": 0, ""model"": 0, ""cache_hits"": 0}"
