case_key,family,arm,success,gold_exposure_hit,gold_top1,champion_label,runner_up_label,margin,requested_object,candidate_n,relation_n,relation_typing_success,cache_hit,error
DA_d2_heldout100/281,DA,exact_control,True,False,False,BRAF V600E-mutant melanoma,Invasive Melanoma,high,subtype,4,0,True,False,
DA_d2_heldout100/281,DA,generic_non_equivalence,True,False,False,Invasive Melanoma,Melanoma,high,disease,4,9,True,False,
DA_d2_heldout100/281,DA,directional_relation,True,False,False,BRAF V600E-mutant melanoma,Melanoma,high,disease,4,13,True,False,
DA_d2_heldout100/281,DA,bounded_inheritance,True,False,False,BRAF V600E-mutant melanoma,Invasive Melanoma,high,disease,4,13,True,False,
DA_d2_heldout100/284,DA,exact_control,True,False,False,Tongue Metastasis of Malignant Mesothelioma,Malignant Mesothelioma,high,disease,4,0,True,False,
DA_d2_heldout100/284,DA,generic_non_equivalence,True,False,False,Tongue Metastasis of Malignant Mesothelioma,Tongue Metastasis,high,disease,4,4,True,False,
DA_d2_heldout100/284,DA,directional_relation,True,False,False,Tongue Metastasis of Malignant Mesothelioma,Malignant Mesothelioma,high,disease,4,4,True,False,
DA_d2_heldout100/284,DA,bounded_inheritance,True,False,False,Tongue Metastasis of Malignant Mesothelioma,Tongue Metastasis,high,subtype,4,4,True,False,
DA_d2_heldout100/290,DA,exact_control,True,False,False,Acute Coronary Syndrome,Coronary Artery Disease,medium,disease,6,0,True,False,
DA_d2_heldout100/290,DA,generic_non_equivalence,True,False,False,Acute Coronary Syndrome,Myocardial Infarction,high,disease,6,1,True,False,
DA_d2_heldout100/290,DA,directional_relation,True,False,False,Acute Coronary Syndrome,Coronary Artery Disease,high,disease,6,1,True,False,
DA_d2_heldout100/290,DA,bounded_inheritance,True,False,False,Acute Coronary Syndrome,Coronary Artery Disease,high,disease,6,1,True,False,
DA_d2_heldout100/301,DA,exact_control,True,False,False,High-grade atrioventricular block,Atrioventricular Block,medium,disease,4,0,True,False,
DA_d2_heldout100/301,DA,generic_non_equivalence,True,False,False,High-grade atrioventricular block,Atrioventricular Block,high,disease,4,1,True,False,
DA_d2_heldout100/301,DA,directional_relation,True,False,False,High-grade atrioventricular block,Atrioventricular Block,high,disease,4,1,True,False,
DA_d2_heldout100/301,DA,bounded_inheritance,True,False,False,High-grade atrioventricular block,Atrioventricular Block,medium,disease,4,1,True,False,
DA_d2_heldout100/302,DA,exact_control,True,False,False,Folliculotropic Mycosis Fungoides,Mycosis Fungoides,high,disease,5,0,True,False,
DA_d2_heldout100/302,DA,generic_non_equivalence,True,False,False,Folliculotropic Mycosis Fungoides,Mycosis Fungoides,high,disease,5,1,True,False,
DA_d2_heldout100/302,DA,directional_relation,True,False,False,Folliculotropic Mycosis Fungoides,Mycosis Fungoides,high,disease,5,1,True,False,
DA_d2_heldout100/302,DA,bounded_inheritance,True,False,False,Folliculotropic Mycosis Fungoides,Mycosis Fungoides,high,disease,5,1,True,False,
DA_d2_heldout100/306,DA,exact_control,True,False,False,Candida tropicalis meningitis,Autoimmune encephalitis,high,disease,6,0,True,False,
DA_d2_heldout100/306,DA,generic_non_equivalence,True,False,False,Candida tropicalis meningitis,Candida meningitis,high,disease,6,3,True,False,
DA_d2_heldout100/306,DA,directional_relation,True,False,False,Candida tropicalis meningitis,Candida meningitis,medium,disease,6,3,True,False,
DA_d2_heldout100/306,DA,bounded_inheritance,True,False,False,Candida tropicalis meningitis,Candida meningitis,high,disease,6,3,True,False,
DA_d2_heldout100/308,DA,exact_control,True,False,False,Discoid lupus erythematosus,Cutaneous lupus erythematosus,medium,disease,4,0,True,False,
DA_d2_heldout100/308,DA,generic_non_equivalence,True,False,False,Discoid lupus erythematosus,Cutaneous lupus erythematosus,high,disease,4,4,True,False,
DA_d2_heldout100/308,DA,directional_relation,True,False,False,Discoid lupus erythematosus,Cutaneous lupus erythematosus,medium,disease,4,4,True,False,
DA_d2_heldout100/308,DA,bounded_inheritance,True,False,False,Discoid lupus erythematosus,Cutaneous lupus erythematosus,high,disease,4,4,True,False,
DA_d2_heldout100/310,DA,exact_control,True,False,False,Traumatic Spondylolisthesis,Acute Spinal Cord Injury,high,disease,6,0,True,False,
DA_d2_heldout100/310,DA,generic_non_equivalence,True,False,False,Acute Spinal Cord Injury,Spinal cord injury,high,disease,6,2,True,False,
DA_d2_heldout100/310,DA,directional_relation,True,False,False,Acute Spinal Cord Injury,Spinal cord injury,high,disease,6,2,True,False,
DA_d2_heldout100/310,DA,bounded_inheritance,True,False,False,Acute Spinal Cord Injury,Spinal cord injury,high,disease,6,2,True,False,
DA_d2_heldout100/314,DA,exact_control,True,False,False,Peeling skin disease due to CDSN gene mutations,Peeling skin disease due to CDSN gene mutation,high,disease,5,0,False,False,
DA_d2_heldout100/314,DA,generic_non_equivalence,True,False,False,Peeling skin disease due to CDSN gene mutations,Peeling skin disease due to CDSN gene mutation,low,disease,5,5,False,False,
DA_d2_heldout100/314,DA,directional_relation,True,False,False,Peeling skin disease due to CDSN gene mutations,Peeling skin syndrome type B,high,disease,5,6,False,False,
DA_d2_heldout100/314,DA,bounded_inheritance,True,False,False,Peeling skin disease due to CDSN gene mutations,Peeling skin disease due to CDSN gene mutation,high,disease,5,6,False,False,
DA_d2_heldout100/318,DA,exact_control,True,False,False,Tachycardia-Induced Cardiomyopathy,Heart Failure,medium,disease,6,0,True,False,
DA_d2_heldout100/318,DA,generic_non_equivalence,True,False,False,Tachycardia-Induced Cardiomyopathy,Atrial Tachycardia,medium,disease,6,2,True,False,
DA_d2_heldout100/318,DA,directional_relation,True,False,False,Tachycardia-Induced Cardiomyopathy,Atrial Tachycardia,medium,disease,6,2,True,False,
DA_d2_heldout100/318,DA,bounded_inheritance,True,False,False,Tachycardia-Induced Cardiomyopathy,Cardiomyopathy,medium,disease,6,2,True,False,
DA_d2_heldout100/333,DA,exact_control,True,False,False,Listeria rhombencephalitis,Listeriosis,high,disease,6,0,True,False,
DA_d2_heldout100/333,DA,generic_non_equivalence,True,False,False,Listeria rhombencephalitis,Listeriosis,high,disease,6,0,True,True,
DA_d2_heldout100/333,DA,directional_relation,True,False,False,Listeria rhombencephalitis,Listeriosis,high,disease,6,0,True,True,
DA_d2_heldout100/333,DA,bounded_inheritance,True,False,False,Listeria rhombencephalitis,Listeriosis,high,disease,6,0,True,True,
DA_d2_heldout100/350,DA,exact_control,True,False,False,Mobitz Type II Second-Degree Atrioventricular (AV) Block,Mobitz Type II Second-Degree Atrioventricular Block,low,disease,6,0,True,False,
DA_d2_heldout100/350,DA,generic_non_equivalence,True,False,False,Mobitz Type II Second-Degree Atrioventricular (AV) Block,Mobitz Type II Second-Degree Atrioventricular Block,medium,disease,6,3,True,False,
DA_d2_heldout100/350,DA,directional_relation,True,False,False,Mobitz Type II Second-Degree Atrioventricular (AV) Block,Mobitz Type II Second-Degree Atrioventricular Block,high,disease,6,3,True,False,
DA_d2_heldout100/350,DA,bounded_inheritance,True,False,False,Mobitz Type II Second-Degree Atrioventricular (AV) Block,AV Block,high,disease,6,3,True,False,
DA_d2_heldout100/354,DA,exact_control,True,False,False,Vasculitis,Toxic Epidermal Necrolysis,medium,disease,4,0,True,False,
DA_d2_heldout100/354,DA,generic_non_equivalence,True,False,False,Toxic Epidermal Necrolysis,Vasculitis,low,disease,4,2,True,False,
DA_d2_heldout100/354,DA,directional_relation,True,False,False,Vasculitis,Toxic Epidermal Necrolysis,medium,disease,4,2,True,False,
DA_d2_heldout100/354,DA,bounded_inheritance,True,False,False,Toxic Epidermal Necrolysis,Vasculitis,low,disease,4,2,True,False,
DA_d2_heldout100/356,DA,exact_control,True,False,False,Multiple Endocrine Neoplasia Type 1 (MEN1) associated angiofibromas,,high,disease,6,0,True,False,
DA_d2_heldout100/356,DA,generic_non_equivalence,True,False,False,Multiple Endocrine Neoplasia Type 1 (MEN1) associated angiofibromas,,high,disease,6,1,True,False,
DA_d2_heldout100/356,DA,directional_relation,False,False,False,,,,,6,1,True,False,"champion_id must be one of ['D1', 'D2', 'D3', 'D4', 'D5', 'D6']; got ''"
DA_d2_heldout100/356,DA,bounded_inheritance,True,False,False,Birt-Hogg-Dube Syndrome,Multiple Endocrine Neoplasia Type 1 (MEN1) associated angiofibromas,high,disease,6,1,True,False,
DA_d2_heldout100/359,DA,exact_control,True,False,False,Wolff-Parkinson-White syndrome,Dilated cardiomyopathy,high,disease,6,0,True,False,
DA_d2_heldout100/359,DA,generic_non_equivalence,True,False,False,Dilated cardiomyopathy,Heart failure with reduced ejection fraction,high,disease,6,1,True,False,
DA_d2_heldout100/359,DA,directional_relation,True,False,False,Wolff-Parkinson-White syndrome,Dilated cardiomyopathy,high,disease,6,1,True,False,
DA_d2_heldout100/359,DA,bounded_inheritance,True,False,False,Dilated cardiomyopathy,Heart failure with reduced ejection fraction,high,disease,6,1,True,False,
DA_d2_heldout100/361,DA,exact_control,True,False,False,Ventricular Tachycardia,Supraventricular Tachycardia,high,disease,3,0,False,False,
DA_d2_heldout100/361,DA,generic_non_equivalence,True,False,False,Atrioventricular Nodal Reentrant Tachycardia,Supraventricular Tachycardia,medium,disease,3,2,False,False,
DA_d2_heldout100/361,DA,directional_relation,True,False,False,Ventricular Tachycardia,Supraventricular Tachycardia,medium,disease,3,2,False,False,
DA_d2_heldout100/361,DA,bounded_inheritance,True,False,False,Ventricular Tachycardia,Supraventricular Tachycardia,medium,disease,3,2,False,False,
DA_d2_heldout100/364,DA,exact_control,True,False,False,Papulopustular rosacea,Rosacea,high,disease,6,0,True,False,
DA_d2_heldout100/364,DA,generic_non_equivalence,True,False,False,Papulopustular rosacea,Rosacea,high,disease,6,6,True,False,
DA_d2_heldout100/364,DA,directional_relation,True,False,False,Papulopustular rosacea,Rosacea,high,subtype,6,6,True,False,
DA_d2_heldout100/364,DA,bounded_inheritance,True,False,False,Papulopustular rosacea,Rosacea,high,disease,6,6,True,False,
DA_d2_heldout100/365,DA,exact_control,True,False,False,Scleroderma-like illness due to meperidine injections,Injectable drug-induced skin and soft tissue injury,medium,disease,6,0,True,False,
DA_d2_heldout100/365,DA,generic_non_equivalence,True,False,False,Scleroderma-like illness due to meperidine injections,Injectable drug-induced skin and soft tissue injury,high,disease,6,1,True,False,
DA_d2_heldout100/365,DA,directional_relation,True,False,False,Scleroderma-like illness due to meperidine injections,Injectable drug-induced skin and soft tissue injury,high,disease,6,1,True,False,
DA_d2_heldout100/365,DA,bounded_inheritance,True,False,False,Scleroderma-like illness due to meperidine injections,Injectable drug-induced skin and soft tissue injury,high,disease,6,1,True,False,
DA_d2_heldout100/375,DA,exact_control,True,False,False,Genital Herpes Simplex Virus Infection,Herpes simplex virus infection,high,disease,6,0,True,False,
DA_d2_heldout100/375,DA,generic_non_equivalence,True,False,False,Herpes simplex virus infection,Genital Herpes Simplex Virus Infection,high,disease,6,1,True,False,
DA_d2_heldout100/375,DA,directional_relation,True,False,False,Genital Herpes Simplex Virus Infection,Herpes simplex virus infection,high,disease,6,1,True,False,
DA_d2_heldout100/375,DA,bounded_inheritance,True,False,False,Herpes simplex virus infection,Genital Herpes Simplex Virus Infection,high,disease,6,1,True,False,
DA_d2_heldout100/379,DA,exact_control,True,False,False,Perineural invasion by malignant melanoma,Malignant Melanoma,high,disease,6,0,True,False,
DA_d2_heldout100/379,DA,generic_non_equivalence,True,False,False,Perineural invasion by malignant melanoma,Malignant Melanoma,high,disease,6,6,True,False,
DA_d2_heldout100/379,DA,directional_relation,True,False,False,Desmoplastic Melanoma,Malignant Melanoma,high,disease,6,4,True,False,
DA_d2_heldout100/379,DA,bounded_inheritance,True,False,False,Perineural invasion by malignant melanoma,Malignant Melanoma,high,disease,6,4,True,False,
DA_d2_heldout100/381,DA,exact_control,True,False,False,Good's syndrome,Thymoma-associated multiorgan autoimmunity,high,disease,5,0,True,False,
DA_d2_heldout100/381,DA,generic_non_equivalence,True,False,False,Good's syndrome,Thymoma-associated multiorgan autoimmunity,medium,disease,5,1,True,False,
DA_d2_heldout100/381,DA,directional_relation,True,False,False,Good's syndrome,Thymoma-associated multiorgan autoimmunity,high,disease,5,1,True,False,
DA_d2_heldout100/381,DA,bounded_inheritance,True,False,False,Good's syndrome,Thymoma-associated multiorgan autoimmunity,high,disease,5,1,True,False,
DA_d2_heldout100/383,DA,exact_control,True,False,False,Embryonal Rhabdomyosarcoma,Rhabdomyosarcoma,high,disease,5,0,True,False,
DA_d2_heldout100/383,DA,generic_non_equivalence,True,False,False,Embryonal Rhabdomyosarcoma,Rhabdomyosarcoma,high,disease,5,2,True,False,
DA_d2_heldout100/383,DA,directional_relation,True,False,False,Embryonal Rhabdomyosarcoma,Rhabdomyosarcoma,high,disease,5,2,True,False,
DA_d2_heldout100/383,DA,bounded_inheritance,True,False,False,Embryonal Rhabdomyosarcoma,Rhabdomyosarcoma,high,subtype,5,2,True,False,
DA_d2_heldout100/397,DA,exact_control,True,False,False,Acute myocardial infarction due to total occlusion of the proximal right coronary artery,Acute Myocardial Infarction,high,disease,4,0,True,False,
DA_d2_heldout100/397,DA,generic_non_equivalence,True,False,False,Acute myocardial infarction due to total occlusion of the proximal right coronary artery,Acute Myocardial Infarction,high,disease,4,1,True,False,
DA_d2_heldout100/397,DA,directional_relation,True,False,False,Acute myocardial infarction due to total occlusion of the proximal right coronary artery,Acute Myocardial Infarction,medium,disease,4,1,True,False,
DA_d2_heldout100/397,DA,bounded_inheritance,True,False,False,Acute myocardial infarction due to total occlusion of the proximal right coronary artery,Dextrocardia with Situs Inversus,medium,disease,4,1,True,False,
DA_d2_heldout100/398,DA,exact_control,True,False,False,hemangioma,angioma,medium,disease,3,0,True,False,
DA_d2_heldout100/398,DA,generic_non_equivalence,True,False,False,Kaposi's sarcoma,hemangioma,high,disease,3,2,True,False,
DA_d2_heldout100/398,DA,directional_relation,True,False,False,hemangioma,angioma,medium,disease,3,2,True,False,
DA_d2_heldout100/398,DA,bounded_inheritance,True,False,False,hemangioma,angioma,high,disease,3,2,True,False,
DA_d2_heldout100/400,DA,exact_control,True,False,False,Rapid Eye Movement Sleep Behavior Disorder (RBD),,high,disease,3,0,True,False,
DA_d2_heldout100/400,DA,generic_non_equivalence,True,False,False,Rapid Eye Movement Sleep Behavior Disorder (RBD),Rapid Eye Movement Sleep Behavior Disorder,high,disease,3,1,True,False,
DA_d2_heldout100/400,DA,directional_relation,True,False,False,Rapid Eye Movement Sleep Behavior Disorder (RBD),Obstructive Sleep Apnea,high,disease,3,1,True,False,
DA_d2_heldout100/400,DA,bounded_inheritance,True,False,False,Rapid Eye Movement Sleep Behavior Disorder (RBD),Obstructive Sleep Apnea,high,disease,3,1,True,False,
DA_d2_heldout100/404,DA,exact_control,True,False,False,pembrolizumab-induced scleroderma-like reaction,Chemotherapy-induced scleroderma-like reaction,high,disease,6,0,True,False,
DA_d2_heldout100/404,DA,generic_non_equivalence,True,False,False,pembrolizumab-induced scleroderma-like reaction,Pembrolizumab-induced scleroderma,high,disease,6,2,True,False,
DA_d2_heldout100/404,DA,directional_relation,True,False,False,pembrolizumab-induced scleroderma-like reaction,Pembrolizumab-induced scleroderma,high,disease,6,2,True,False,
DA_d2_heldout100/404,DA,bounded_inheritance,True,False,False,pembrolizumab-induced scleroderma-like reaction,Pembrolizumab-induced scleroderma,high,disease,6,2,True,False,
DA_d2_heldout100/409,DA,exact_control,True,False,False,Ocular syphilis,Syphilitic Uveitis,high,disease,6,0,True,False,
DA_d2_heldout100/409,DA,generic_non_equivalence,True,False,False,Ocular syphilis,Syphilitic Uveitis,high,disease,6,2,True,False,
DA_d2_heldout100/409,DA,directional_relation,True,False,False,Ocular syphilis,Syphilitic Uveitis,high,disease,6,2,True,False,
DA_d2_heldout100/409,DA,bounded_inheritance,True,False,False,Ocular syphilis,Syphilitic Uveitis,high,disease,6,2,True,False,
DA_d2_heldout100/415,DA,exact_control,True,False,False,Non-ST-Elevation Myocardial Infarction (NSTEMI),Myocardial Infarction,medium,disease,6,0,True,False,
DA_d2_heldout100/415,DA,generic_non_equivalence,True,False,False,Non-ST-Elevation Myocardial Infarction (NSTEMI),Myocardial Infarction,high,disease,6,7,True,False,
DA_d2_heldout100/415,DA,directional_relation,True,False,False,ST-Elevation Myocardial Infarction (STEMI),ST-Elevation Myocardial Infarction,high,disease,6,7,True,False,
DA_d2_heldout100/415,DA,bounded_inheritance,True,False,False,ST-Elevation Myocardial Infarction (STEMI),Non-ST-Elevation Myocardial Infarction (NSTEMI),medium,disease,6,7,True,False,
DA_d2_heldout100/420,DA,exact_control,True,False,False,Myocarditis,Sepsis-Induced Cardiomyopathy,high,disease,6,0,True,False,
DA_d2_heldout100/420,DA,generic_non_equivalence,True,False,False,Myocarditis,Sepsis-Induced Cardiomyopathy,medium,disease,6,1,True,False,
DA_d2_heldout100/420,DA,directional_relation,True,False,False,Myocarditis,Sepsis-Induced Cardiomyopathy,high,disease,6,1,True,False,
DA_d2_heldout100/420,DA,bounded_inheritance,True,False,False,Myocarditis,Sepsis-Induced Cardiomyopathy,high,disease,6,1,True,False,
DA_d2_heldout100/431,DA,exact_control,True,False,False,T-VEC–Treated Melanoma,Recurrent Melanoma,high,disease,6,0,True,False,
DA_d2_heldout100/431,DA,generic_non_equivalence,True,False,False,T-VEC–Treated Melanoma,Recurrent Melanoma,high,disease,6,4,True,False,
DA_d2_heldout100/431,DA,directional_relation,True,False,False,T-VEC–Treated Melanoma,Recurrent Melanoma,medium,disease,6,7,True,False,
DA_d2_heldout100/431,DA,bounded_inheritance,True,False,False,T-VEC–Treated Melanoma,Recurrent Melanoma,high,disease,6,7,True,False,
DA_d2_heldout100/432,DA,exact_control,True,False,False,Hepatitis C-associated lichen planus,Lichen planus,high,disease,4,0,True,False,
DA_d2_heldout100/432,DA,generic_non_equivalence,True,False,False,Hepatitis C-associated lichen planus,Hepatitis C virus-associated lichen planus,low,disease,4,9,True,False,
DA_d2_heldout100/432,DA,directional_relation,True,False,False,Hepatitis C-associated lichen planus,Hepatitis C virus-associated lichen planus,high,disease,4,8,True,False,
DA_d2_heldout100/432,DA,bounded_inheritance,True,False,False,Hepatitis C-associated lichen planus,Lichen planus,high,disease,4,8,True,False,
DA_d2_heldout100/449,DA,exact_control,True,False,False,ST-Elevation Myocardial Infarction (STEMI),Acute Myocardial Infarction,medium,disease,6,0,True,False,
DA_d2_heldout100/449,DA,generic_non_equivalence,True,False,False,ST-Elevation Myocardial Infarction (STEMI),Acute Myocardial Infarction,high,disease,6,5,True,False,
DA_d2_heldout100/449,DA,directional_relation,True,False,False,ST-Elevation Myocardial Infarction (STEMI),Acute Myocardial Infarction,high,disease,6,5,True,False,
DA_d2_heldout100/449,DA,bounded_inheritance,True,False,False,ST-Elevation Myocardial Infarction (STEMI),Acute Myocardial Infarction,high,disease,6,5,True,False,
DA_d2_heldout100/451,DA,exact_control,True,False,False,Middle Ear Cholesteatoma,Cholesteatoma,medium,disease,6,0,True,False,
DA_d2_heldout100/451,DA,generic_non_equivalence,True,False,False,Middle Ear Cholesteatoma,Cholesteatoma,medium,disease,6,1,True,False,
DA_d2_heldout100/451,DA,directional_relation,True,False,False,Middle Ear Cholesteatoma,Cholesteatoma,high,disease,6,1,True,False,
DA_d2_heldout100/451,DA,bounded_inheritance,True,False,False,Middle Ear Cholesteatoma,Cholesteatoma,high,disease,6,1,True,False,
DA_d2_heldout200b/459,DA,exact_control,True,False,False,Tachycardia-Induced Cardiomyopathy,Atrial Tachycardia with Cardiac Dysfunction,high,disease,6,0,True,False,
DA_d2_heldout200b/459,DA,generic_non_equivalence,True,False,False,Tachycardia-Induced Cardiomyopathy,Atrial Tachycardia with Cardiac Dysfunction,medium,disease,6,4,True,False,
DA_d2_heldout200b/459,DA,directional_relation,True,False,False,Tachycardia-Induced Cardiomyopathy,Atrial Tachycardia with Cardiac Dysfunction,high,disease,6,4,True,False,
DA_d2_heldout200b/459,DA,bounded_inheritance,True,False,False,Tachycardia-Induced Cardiomyopathy,Atrial Tachycardia with Cardiac Dysfunction,high,disease,6,4,True,False,
DA_d2_heldout200b/461,DA,exact_control,True,False,False,Pseudolymphomatous Reaction,Cutaneous Pseudolymphoma,medium,disease,6,0,True,False,
DA_d2_heldout200b/461,DA,generic_non_equivalence,True,False,False,Pseudolymphomatous Reaction,Cutaneous Pseudolymphoma,low,disease,6,3,True,False,
DA_d2_heldout200b/461,DA,directional_relation,True,False,False,Cutaneous Pseudolymphoma,Pseudolymphoma,high,disease,6,3,True,False,
DA_d2_heldout200b/461,DA,bounded_inheritance,True,False,False,Cutaneous Pseudolymphoma,Pseudolymphomatous Reaction,high,disease,6,3,True,False,
DA_d2_heldout200b/474,DA,exact_control,True,False,False,Myocarditis,Cardiogenic Shock,medium,disease,6,0,True,False,
DA_d2_heldout200b/474,DA,generic_non_equivalence,True,False,False,Thrombotic Thrombocytopenic Purpura,Myocarditis,medium,disease,6,1,True,False,
DA_d2_heldout200b/474,DA,directional_relation,True,False,False,Myocarditis,Cardiogenic Shock,high,disease,6,1,True,False,
DA_d2_heldout200b/474,DA,bounded_inheritance,True,False,False,Myocarditis,Cardiogenic Shock,medium,disease,6,1,True,False,
DA_d2_heldout200b/477,DA,exact_control,True,False,False,Multisystem Inflammatory Syndrome in Children (MIS-C),Cerebral Vasculitis,medium,disease,6,0,True,False,
DA_d2_heldout200b/477,DA,generic_non_equivalence,True,False,False,Cerebral Vasculitis,Multisystem Inflammatory Syndrome in Children (MIS-C),high,disease,6,1,True,False,
DA_d2_heldout200b/477,DA,directional_relation,True,False,False,Cerebral Vasculitis,Acute Hemorrhagic Leukoencephalitis (AHLE),high,disease,6,1,True,False,
DA_d2_heldout200b/477,DA,bounded_inheritance,True,False,False,Multisystem Inflammatory Syndrome in Children (MIS-C),Cerebral Vasculitis,high,disease,6,1,True,False,
DA_d2_heldout200b/478,DA,exact_control,True,False,False,Bronchiolitis,Acute respiratory distress syndrome (ARDS),medium,disease,6,0,True,False,
DA_d2_heldout200b/478,DA,generic_non_equivalence,True,False,False,Bronchiolitis,Sepsis,medium,disease,6,4,True,False,
DA_d2_heldout200b/478,DA,directional_relation,True,False,False,Bronchiolitis,Acute respiratory distress syndrome (ARDS),medium,disease,6,4,True,False,
DA_d2_heldout200b/478,DA,bounded_inheritance,True,False,False,Bronchiolitis,Acute respiratory distress syndrome (ARDS),medium,disease,6,4,True,False,
DA_d2_heldout200b/486,DA,exact_control,True,False,False,Leprosy,Lupus vulgaris,high,disease,6,0,True,False,
DA_d2_heldout200b/486,DA,generic_non_equivalence,True,False,False,Leprosy,Lupus vulgaris,high,disease,6,2,True,False,
DA_d2_heldout200b/486,DA,directional_relation,True,False,False,Leprosy,Erythema nodosum leprosum,high,disease,6,2,True,False,
DA_d2_heldout200b/486,DA,bounded_inheritance,True,False,False,Leprosy,Lupus vulgaris,high,disease,6,2,True,False,
DA_d2_heldout200b/489,DA,exact_control,True,False,False,Pseudohypoparathyroidism,Idiopathic Basal Ganglia Calcification,high,disease,5,0,True,False,
DA_d2_heldout200b/489,DA,generic_non_equivalence,True,False,False,Pseudohypoparathyroidism,Hypoparathyroidism,high,disease,5,6,True,False,
DA_d2_heldout200b/489,DA,directional_relation,True,False,False,Pseudohypoparathyroidism,Hypoparathyroidism,high,disease,5,7,True,False,
DA_d2_heldout200b/489,DA,bounded_inheritance,True,False,False,Pseudohypoparathyroidism,Hypoparathyroidism,high,disease,5,7,True,False,
DA_d2_heldout200b/498,DA,exact_control,True,False,False,Choriocarcinoma,Eclampsia,high,disease,6,0,True,False,
DA_d2_heldout200b/498,DA,generic_non_equivalence,True,False,False,Choriocarcinoma,Eclampsia or preeclampsia,high,disease,6,1,True,False,
