idx	case	candidate	subject	relation	polarity	modality	predicate	quote	joined_finding	finding_polarity	defect	useful
78	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger’s syndrome	feature_of	asserted	typical	left ventricular hypertrophy	the ECG will show signs of left ven-tricular or biventricular hypertrophy	right ventricle size	present		
79	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	caused_by	asserted	typical	large left-to-right shunts	large left-to-right shunts	right-to-left shunt	present		
80	DA_d2_seq100/119	Porokeratosis	porokeratosis	feature_of	asserted	typical	dyskeratotic cells	The column of parakeratosis will occur over the epidermis with an absent granular layer and dyskeratotic cells	individual cell dyskeratosis	present		
81	MCR_seq200b/257	Abscess	Traumatic Soft Tissue Injury	feature_of	asserted	typical	bruise	A bruise is the most common soft tissue injury in cases of physical abuse	bruise	present		
82	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	feature_of	asserted	typical	Synovial WBC count >50 000 cells/L	Synovial WBC count >50 000 cells/L	WBC count	present		
83	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	typical	weakness	Symptoms of brucellosis include ... weakness	weakness	present		
84	MCR_seq200b/326	Brucellosis	Brucellosis	synonym_of	asserted	obligatory	Malta fever	It is also known as ... Malta fever	high fever	present		
85	MCR_seq200b/326	Epidural abscess	Epidural abscess	feature_of	asserted	typical	elevated sedimentation rate	persistent fever, leukocytosis, and an elevated sedimentation rate	erythrocyte sedimentation rate	present		
86	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	typical	muscle oedema	MRI can recognize muscle oedema as an early feature of denervation	changes in the biceps brachii, triceps brachii, an	present		
87	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Nerve Syndrome	feature_of	negated	typical	sensory involvement	sensory involvement if the compression occurs proximal to the anterior interosseous nerve	sensory deficits	absent		
88	MCR_v1_seq100/49	Appendiceal stump appendicitis	appendicitis	feature_of	asserted	frequent	right-lower quadrant pain	Right-lower quadrant pain is the most frequent	right iliac fossa pain	present		
89	MCR_v1_seq100/49	Cecal diverticulitis	acute diverticulitis	feature_of	asserted	typical	constant abdominal pain	constant abdominal pain	right iliac fossa pain	present		
90	MCR_v1_seq100/56	Carcinoma	Squamous Cell Carcinoma	feature_of	asserted	typical	p40 nuclear staining	diffuse p40 nuclear staining	nuclear enlargement	present		
91	MCR_v1_seq100/56	Carcinoma	Sarcomatoid carcinoma	synonym_of	asserted	typical	spindle cell	sarcomatoid (spindle cell) carcinoma	atypical spindle cells	present		
92	MCR_v1_seq100/56	Leiomyosarcoma	Epithelioid sarcoma	feature_of	asserted	typical	painless mass	painless and slow-growing mass	polypoid mass	present		
93	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Catecholaminergic polymorphic ventricular tachycardia (CPVT)	feature_of	asserted	obligatory	structurally normal heart	structurally normal heart	pulse	present		
94	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	ventricular tachycardia	caused_by	asserted	typical	prolonged QT interval	A prolonged QT interval presents an imminent risk for serious ventricular arrhythmias, including Torsades de Pointes, ventricular tachycardia	QTc interval	present		
95	MCR_v1_seq100/91	Cavernous Angioma	Infantile Hemangiomas	feature_of	asserted	rare	gastrointestinal hemorrhage	can cause gastrointestinal hemorrhage	left occipital intraparenchymal hemorrhage	present		
96	MCR_v2_seq100/179	Thrombocytopenia	Inherited platelet disorders (IPDs)	feature_of	asserted	typical	abnormalities of platelet components	IPDs can be classified based on their altered platelet function	platelet count	present		
97	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular septal defects (VSDs)	feature_of	asserted	occasional	pulmonary hypertension	pulmonary hypertension	pulmonary atresia	present		
98	DA_d2_heldout200b/522	Catatonia	Akinetic catatonia	feature_of	asserted	typical	mutism	mutism	mutism	present		
99	DA_d2_heldout200b/522	Catatonia	Catatonia	caused_by	asserted	typical	structural disturbances in the brain	structural or functional disturbances in the brain	MRI brain	present		
100	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	neurologic abnormalities	Deficiency of vitamin B12 leads to ... neurologic abnormalities	focal neurologic deficits	absent		
101	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	caused_by	asserted	typical	inadequate absorption of dietary vitamin B12	deficiency of B12 in adults ... due to inadequate absorption of dietary vitamin B12	B12	present		
102	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	feature_of	asserted	rare	paradoxical embolus	a paradoxical embolus, which is an embolus originating in systemic venous circulation	pulmonary embolism	absent		
103	DA_d2_heldout200b/773	Idiopathic Pulmonary Arterial Hypertension	Pulmonary Regurgitation	caused_by	asserted	typical	right ventricle enlargement	enlargement of the right ventricle	right ventricle size	present		
104	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	feature_of	asserted	typical	cardiac right-to-left shunting	cardiac right to left shunt	right-to-left shunt	present		
105	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	caused_by	asserted	typical	right atrial pressures	right atrial pressures approach systemic pressures	aortic pressure	present		
106	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	possible	skin irritation	irritate the skin	asymptomatic brown flat papules	present		
107	MCR_seq200b/257	Abscess	Abscess	feature_of	asserted	typical	tenderness	Symptoms include local pain, tenderness	focal tenderness	present		
108	MCR_seq200b/257	Septic Arthritis	Septic arthritis	feature_of	asserted	typical	Synovial WBC count 50 000–75 000 cells/L	Synovial WBC count 50 000–75 000 cells/L	WBC count	present		
109	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	typical	focal bone destruction	focal bone destruction at the anterosuperior endplate of L4 vertebral body	osteolytic destruction of neural arch of T9	present		
110	MCR_seq200b/326	Brucellosis	Brucellosis	synonym_of	asserted	obligatory	Mediterranean fever	It is also known as Mediterranean fever	high fever	present		
111	MCR_seq200b/326	Epidural abscess	Epidural abscess	feature_of	asserted	typical	local back pain increase	increase in local back pain	back pain	present		
112	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	typical	progressive weakness	progressive weakness	weakness of the left upper limb	present		
113	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Nerve Syndrome	feature_of	asserted	typical	persistent motor deficits	persistent motor deficits	sensory deficits	absent		
114	MCR_v1_seq100/49	Appendiceal stump appendicitis	Appendicitis	feature_of	asserted	typical	abdominal and pelvic CT	Abdominal and pelvic CT offers high diagnostic accuracy	right iliac fossa pain	present		
115	MCR_v1_seq100/49	Cecal diverticulitis	Diverticulitis	feature_of	asserted	typical	vomiting	vomiting	nausea	present		
116	MCR_v1_seq100/56	Carcinoma	Squamous cell carcinoma	feature_of	asserted	typical	nuclear pleomorphism	nuclear pleomorphism	nuclear enlargement	present		
117	MCR_v1_seq100/56	Leiomyosarcoma	Leiomyosarcoma	feature_of	asserted	typical	mitotic index	a mitotic index of at least 10 mitotic figures per 10 hpf	Ki-67 labeling index	present		
118	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Ventricular tachycardia	feature_of	negated	typical	structural heart disease	Approximately 10% of ventricular tachycardias occur in the absence of structural heart disease	cardiovascular disease	absent		
119	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Catecholaminergic Polymorphic VT (CPVT)	caused_by	asserted	rare	sudden cardiac death	sudden cardiac death	cardiac arrest	absent		
120	MCR_v1_seq100/91	Cavernous Angioma	Cavernous angioma	feature_of	asserted	typical	headaches	Cavernomas can present with headaches	headaches	present		
121	MCR_v2_seq100/179	Thrombocytopenia	Inherited platelet disorders (IPDs)	feature_of	asserted	typical	immature platelet fraction (IPF)	IPF can distinguish IPDs from thrombocytopenia due to acquired marrow failure	platelet count	present		
122	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular Septal Defect	feature_of	asserted	typical	opening in the ventricular septum	an opening in the ventricular septum	ventricular septal defect	present		
123	DA_d2_heldout200b/522	Catatonia	catatonia	feature_of	asserted	typical	psychomotor abnormalities	larger syndrome of psychomotor abnormalities	abnormal behaviors	present		
124	DA_d2_heldout200b/522	Vitamin B12 deficiency	vitamin B12 deficiency	feature_of	asserted	occasional	single blood test	a single blood test can be enough to support a diagnosis of vitamin B12 deficiency	HIV tests	absent		
125	DA_d2_heldout200b/522	Vitamin B12 deficiency	vitamin B12 deficiency	caused_by	asserted	typical	dietary lack of vitamin B12	a lack of vitamin B12 in the diet	B12	present		
126	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	feature_of	asserted	typical	interatrial shunting	interatrial shunting	right-to-left shunt	present		
127	DA_d2_heldout200b/773	Idiopathic Pulmonary Arterial Hypertension	Pulmonary Embolism	caused_by	asserted	rare	chronic thromboembolic pulmonary hypertension	Chronic thromboembolic pulmonary hypertension develops in 2–4% of acute PE patients	pulmonary artery systolic pressure	present		
128	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	feature_of	asserted	typical	chronic cyanosis	chronic cyanosis	cyanosis	present		
129	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	caused_by	asserted	typical	reversal of shunt	can reverse the shunt	right-to-left shunt	present		
130	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	typical	absent granular layer	absent granular layer	granular layer	present		
131	MCR_seq200b/257	Abscess	Abscess	feature_of	asserted	typical	swelling	pain and swelling	right hand swelling	present		
132	MCR_seq200b/257	Septic Arthritis	Septic arthritis	feature_of	asserted	typical	synovial fluid WBC count > 50,000	Synovial fluid with a white blood cell (WBC) count greater than 50,000	WBC count	present		
133	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	frequent	scrotal pain	Scrotal pain occurred at different stages of systemic Brucellosis manifestation	back pain	present		
134	MCR_seq200b/326	Brucellosis	Brucellosis	synonym_of	asserted	obligatory	Undulant fever	It is also known as ... Undulant fever	high fever	present		
135	MCR_seq200b/326	Epidural abscess	Spinal Epidural Abscess	feature_of	asserted	typical	local or radicular back pain	local or radicular back pain	back pain	present		
136	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic amyotrophy	feature_of	asserted	typical	anterior interosseous nerve involvement	Other extraplexal nerves that tend to be affected are the ... anterior interosseous	neurogenic atrophy of muscles innervated by the an	present		
137	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Nerve Syndrome	feature_of	asserted	typical	ability to make 'OK' sign	The patient may still be able to make an 'OK' sign	inability to perform the "Ok" sign	present		
138	MCR_v1_seq100/49	Appendiceal stump appendicitis	Acute appendicitis	feature_of	asserted	typical	nausea	nausea	nausea	present		
139	MCR_v1_seq100/49	Cecal diverticulitis	Diverticulitis	feature_of	asserted	occasional	abdominal abscess	abdominal abscess	right iliac fossa pain	present		
140	MCR_v1_seq100/56	Carcinoma	Squamous cell carcinoma	feature_of	asserted	typical	irregular squamous cells	Squamous cell carcinoma features irregular squamous cells with increased mitoses.	atypical spindle cells	present		
141	MCR_v1_seq100/56	Leiomyosarcoma	Epithelioid Sarcoma	feature_of	asserted	typical	youngest mean age at diagnosis	diagnosed at the youngest mean age (31 years)	age	present		
142	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	polymorphic ventricular tachycardia (PVT)	feature_of	asserted	typical	sinus pauses	PVTs usually occur in the context of ... preceding sinus pauses	sinus rhythm	present		
143	MCR_v1_seq100/91	Cavernous Angioma	Cavernous Angioma	feature_of	asserted	occasional	headache	present with a headache, seizure or focal neurological deficit	headaches	present		
144	MCR_v2_seq100/179	Thrombocytopenia	Inherited platelet disorders (IPDs)	feature_of	asserted	typical	bleeding symptoms	bleeding symptoms can be subjective in both patient descriptions and physician examinations	bleeding history	absent		
145	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular Septal Defect	feature_of	asserted	typical	discontinuity of interventricular septum	Imaging of the left ventricular outflow tract may show discontinuity of the interventricular septum	ventricular septal defect	present		
146	DA_d2_heldout200b/522	Catatonia	Catatonia	feature_of	asserted	typical	behavioral abnormalities	characterized by a range of motor, behavioral, and affective abnormalities	abnormal behaviors	present		
147	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	neurologic symptoms	B12 deficiency can lead to hematologic and neurologic symptoms	focal neurologic deficits	absent		
148	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	caused_by	asserted	typical	inadequate dietary intake	inadequate dietary intake	decreased oral intake	present		
149	DA_d2_heldout200b/773	Idiopathic Pulmonary Arterial Hypertension	Pulmonary Regurgitation	feature_of	asserted	typical	pulmonary regurgitation	pulmonary regurgitation	widened pulmonary arteries	present		
150	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger’s syndrome	feature_of	asserted	obligatory	pulmonary-to-systemic flows	pulmonary-to-systemic flows	widened pulmonary arteries	present		
151	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	occasional	involvement of burn scars	involvement of burn scars	palms involvement	absent		
