idx	case	relation	subject	predicate	quote	context	licensed
16	DA_d2_heldout200b/529	pathognomonic_for	Cytomegalovirus (CMV) infection	CMV inclusion bodies	pathognomonic CMV inclusion bodies	Visualizing pathognomonic CMV inclusion bodies on histopathological examination is the gold standard for diagnosing tissue CMV disease. CMV DNA PCR can also be used to diagnose CMV disease in tissues, such as the detection of CMV in bronchoalveolar lavage fluid or lung tissue samples through virus isolation, histopathologic testing, and immunohistochemical analysis.[65] Cytomegalovirus Gastrointes	
17	MCR_seq200b/291	required_for	Zinc Deficiency	serum zinc level	a serum zinc level <70 μg/dL	a serum zinc level <70 μg/dL	
18	DA_d2_heldout100/261	required_for	Xanthoma	high-density lipoproteins (HDL)	laboratory investigations that include high-density lipoproteins (HDL)	Planar xanthomas can be on the palmar creases and flexure surfaces of fingers, and skin folds and are typically seen with biliary cirrhosis. They can occur in a variety of anatomic regions and can be pathognomonic for different systemic conditions based on their presentation. For example, palmar crease xanthomas can be pathognomonic for familial dysbetalipoproteinemia type III.[3] Xanthoma planum	
19	MCR_v1_seq100/114	required_for	Lipoma	histopathologic confirmation	Histopathologic analysis confirmed the diagnosis of a lipoma	Case of lipoma inside the tensor fascia latae muscle. A: Transverse T1-weighted MR image showing a lesion of 1cm in diameter in the tensor fascia latae muscle (TFL) with high signal intensity comparable to that of subcutaneous fat (white arrow). The black arrow points at the branches of the LFCN. B: Intra-operative image with white bands placed around the separate branches of the LFCN after openin	
20	DA_d2_heldout100/261	sufficient_for	E. coli	phenotypic identification	Phenotypic identification and PCR detection are commonly used for diagnosing E. coli	Streptococcus equi subsp. zooepidemicus (S. zooepidemicus) causes abortion and respiratory disease in horses and donkeys. It can infect a wide range of animals, including humans, monkeys, sheep, dogs, cattle, and swine, and is associated with various diseases in different species. S. zooepidemicus-induced equine ascending placentitis is a common cause of abortion in mares. Recently, Stout et al. f	
21	DA_d2_seq100/100	required_for	Kaposi sarcoma	ferritin	ferritin	Secondary, additional blood tests or imaging studies may be required, depending on the clinical findings (Figure 3). (A) Pulmonary lesion of Kaposi sarcoma identified by chest CT scan, and (B) digestive localizations of Kaposi sarcoma evaluated by colonoscopy in immunodeficient patients with invasive Kaposi sarcoma. In all cases: screening for iron deficiency: blood count, ferritin, and C‐reactive	
22	MCR_v1_seq100/114	required_for	Chest wall tumors	PET-CT	Patients with chest wall tumors require ... sometimes PET-CT	Five-year survival for typical (well-differentiated) carcinoids is > 90%; for atypical tumors, it is 50 to 70%. Chest Wall Tumors Chest wall tumors are benign or malignant tumors that can interfere with pulmonary function. Primary chest wall tumors account for 5% of all thoracic tumors and 1 to 2% of all primary tumors. Almost half are benign; the most common are osteochondroma, chondroma, and fib	
23	DA_d2_seq100/100	sufficient_for	Lymphangiosarcoma	early diagnosis	Only early diagnosis can improve survival	In a recent institutional review, patients were found to have a 3-year and 5-year survival of 55% and 35%, respectively. Median survival has been noted at just 7 months. Good prognostic factors have been found to be age (younger than 50 years), localized tumor stage, and anatomical site (trunk). The reason for increased survival in patients with angiosarcomas of the trunk is unclear. The managemen	
24	DA_d2_heldout200b/529	sufficient_for	Cytomegalovirus infection	serologic testing	Diagnosis of CMV infection is generally established with ... serologic testing	Diagnosis of CMV infection is generally established with ... serologic testing	
25	DA_d2_heldout200b/529	required_for	Pneumocystis jirovecii pneumonia (PCP)	immunosuppression	history of immunosuppression	Pneumocystis jirovecii adheres to the surface epithelium of type 1 alveolar cells, which stimulates cytokines, chemokines, and cellular infiltrate in the lungs to eradicate the infection. In immunocompetent hosts, this results in a mild inflammatory response with minimal damage to the lung. However, patients with a diminished immune response due to lack or incomplete function of certain immune sys	
26	DA_d2_heldout100/261	required_for	Celiac Disease	HLA-DQ2 or HLA-DQ8	HLA-DQ2 or HLA-DQ8 is necessary for the development of celiac disease	Increased intestinal permeability further amplifies antigen exposure and promotes inflammation. Although HLA-DQ2 or HLA-DQ8 is necessary for the development of celiac disease, it is insufficient, as many individuals carrying these alleles remain asymptomatic. Environmental factors, such as gastrointestinal infections, antibiotic-induced disruption of the gut microbiome, and immune modulation durin	
27	DA_d2_heldout200b/529	pathognomonic_for	Giardiasis	cysts in stool	Characteristic trophozoites or cysts in stool are diagnostic	care centers or between sex partners. Giardia cysts remain viable in surface water and are resistant to routine levels of chlorination. Wild animals may also serve as reservoirs. Thus, mountain streams as well as chlorinated but poorly filtered municipal water supply systems have been implicated in waterborne epidemics. Many cases are asymptomatic. However, asymptomatic people can pass infective c	
28	74	required_for	Arrhythmogenic Right Ventricular Cardiomyopathy	cardiac structural or tissue abnormalities	at least 1 criterion must be fulfilled from groups I or II	at least 1 criterion must be fulfilled from groups I or II	
29	DA_d2_heldout200b/529	pathognomonic_for	Herpes simplex keratitis	PCR from aqueous sampling	The PCR from aqueous sampling is diagnostic	Herpetic iridocyclitis can result without signs of active corneal inflammation and may be associated with direct viral replication. The rise in intraocular pressure is common and often thought to result from trabeculitis. There can also be IOP elevation second to steroid use. The etiology can be missed in these cases unless an underlying history of herpes simplex keratitis is present. Patchy iris	
30	74	pathognomonic_for	Arrhythmogenic right ventricular dysplasia (ARVD)	epsilon wave	Arrhythmogenic right ventricular dysplasia (ARVD) – incomplete RBBB with T waves inversion in V1-3, epsilon wave is pathognomonic	Arrhythmogenic right ventricular dysplasia (ARVD) – incomplete RBBB with T waves inversion in V1-3, epsilon wave is pathognomonic	
31	74	required_for	Cardiomyopathy	echocardiography	Evaluation typically includes echocardiography	Evaluation typically includes echocardiography	
32	DA_d2_heldout200b/529	sufficient_for	Pneumocystis jirovecii pneumonia	fine-needle aspiration biopsy	diagnosis may be established with fine-needle aspiration biopsy	Pulmonary involvement is relatively common, and the main imaging findings are bronchiectasis, bronchial wall thickening, mucus plugs, small centrilobular nodules, tree-in-bud appearance, airspace consolidation, and cavities. The presence of accompanying pulmonary involvement can make this diagnosis more likely to be considered and may facilitate the differential diagnosis. Pneumocystis jirovecii i	
33	DA_d2_seq100/100	sufficient_for	Angiosarcoma (AS)	negative margin	surgical resection with a negative margin affords the best outcomes	Angiosarcoma (AS) comprises 1% of all soft-tissue sarcoma (STS), which are themselves a rare malignancy. They arise from lymphatic or vascular endothelial cells and are 'high-grade' by definition, which demonstrates their aggressive behavior.[1] Although AS can occur in any part of the body, it most commonly presents as a cutaneous disease in elderly white men or on the chest wall after receiving	
34	DA_d2_heldout200b/529	sufficient_for	CMV-IRIS	Intraocular steroid administration	Patients with CMV-IRIS can benefit from Intraocular steroid administration	for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxicity or IRIS with central nervous system (CNS) involvement.[20] The current guidelines recommend initiating HAART within 2 weeks of diagnosing most opportunistic infections. However, special consideration must be given to opportun	
35	MCR_v2_seq100/133	required_for	Benign Prostatic Hyperplasia	IPSS or AUA symptom score	IPSS or AUA symptom score	Long-term management for recurrent or intractable acute retention and chronic urinary retention is usually a transurethral resection of the prostate (TURP) or similar surgery. Intermittent self-catheterization is an option in selected patients. Permanent Foley catheterization or suprapubic tube placement may also be appropriate in some situations. Treatment of Benign Prostatic Hyperplasia In men w	
36	DA_d2_heldout200b/529	pathognomonic_for	CMV GI disease	CMV in biopsy specimens	identification of CMV in biopsy specimens	Visualizing pathognomonic CMV inclusion bodies on histopathological examination is the gold standard for diagnosing tissue CMV disease. CMV DNA PCR can also be used to diagnose CMV disease in tissues, such as the detection of CMV in bronchoalveolar lavage fluid or lung tissue samples through virus isolation, histopathologic testing, and immunohistochemical analysis.[65] Cytomegalovirus Gastrointes	
37	MCR_v1_seq100/114	required_for	Pilonidal disease	histopathologic evaluation	all specimens should be sent for histopathologic evaluation	nd, interdigital, and periungual; often, these patients have a history of occupational exposure as barbers, hairdressers, or animal groomers.[80][81][82][83][84] Pilonidal disease of the hand has also been reported associated with Dupuytren contracture.[85] Pilonidal disease has been reported in the anal canal, and there may be a higher prevalence of sacrococcygeal pilonidal disease in those patie	
38	MCR_seq200b/291	pathognomonic_for	Lichen simplex chronicus	leathery or tree bark sign	the classical leathery or tree bark sign in lichen simplex chronicus	Lichenification makes up part of the minor criteria under Hanifin and Rajka’s criteria for the diagnosis of atopic dermatitis. Other signs of close similarity include the Dennie-Morgan fold, anterior neck folds, and hyperlinearity of the palms and soles.[16] The classical leathery or tree bark sign in lichen simplex chronicus represents lichenification.[6][17] Lidocaine is a tertiary amine class I	
39	DA_d2_seq100/100	required_for	Kaposi sarcoma	biopsy	biopsy or excision of the suspicious areas	A general history and physical are performed first. The skin is examined for purplish lesions or lymph node enlargement that may signal the presence of Kaposi sarcoma. Suspicious lesions on the skin or lymph nodes can be biopsied and sent to pathology for evaluation. Particular care and attention should be paid to mucocutaneous surfaces as it is a common presenting location. For a definitive diagn	
40	MCR_seq200b/291	required_for	Psoriasis	skin biopsy	A skin biopsy may occasionally be helpful in atypical cases	Nail changes are common, including pitting, onycholysis, subungual hyperkeratosis, and oil-drop discoloration, the latter of which is often described as a salmon patch appearance. Nail involvement is a strong predictor of concomitant psoriatic arthritis (see Image. Nails in Psoriasis). The diagnosis of plaque psoriasis is primarily clinical, based on history and physical examination. A skin biopsy	
41	DA_d2_heldout100/261	sufficient_for	Metastatic calcification	calcium phosphate product exceeds 70	Metastatic calcification has abnormal serum levels of calcium and phosphorus with deposition occurring after calcium phosphate product exceeds 70	rous structures of muscles and tendons. This activity reviews the evaluation and management of calcinosis cutis and highlights the role of the interprofessional team in improving care for affected patients. Objectives: Identify the features of calcinosis cutis and of associated systemic diseases.Review the laboratory studies that should be obtained in the evaluation of calcinosis cutis.Describe th	
42	74	pathognomonic_for	Long QT Syndrome	prolonged QT interval	congenital long QT syndrome	congenital long QT syndrome	
43	DA_d2_heldout100/261	sufficient_for	nontuberculous mycobacterial infections	surgical biopsy	the only definitive test is a surgical biopsy	To rule out nontuberculous mycobacterial infections, microbiological studies should be performed, as they usually allow the isolation and identification of mycobacteria. However, the diagnosis may be difficult in patients with multiple pulmonary nodules by chest CT, since investigations for mycobacteria in respiratory secretions or BAL fluid may be falsely negative. In this situation, the only def	
44	MCR_v1_seq100/114	required_for	Proctitis	sigmoidoscopy	Diagnosis is by sigmoidoscopy, usually with cultures and biopsy	Diagnosis is by sigmoidoscopy, usually with cultures and biopsy	
45	DA_d2_heldout200b/529	sufficient_for	Pneumocystis jirovecii	steroid use	pneumonitis secondary to Pneumocystis jirovecii	Approaches to prevent IRIS in HIV patients: [37] The management of immune reconstitution inflammatory syndrome should focus on symptom control. It is equally important that the treatment includes initiating anti-microbial agents for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxic	
46	MCR_v2_seq100/133	sufficient_for	BPH	prostate volume	volume greater than 30 mL	The CT scan does not sufficiently define detailed prostate anatomy or pathology. It may show a hyperdense central zone with density adjusted to around 40 to 60 Hounsfield Units (HU), and the peripheral zone may appear hypodense, with density between 10 and 25 HU.[8] Focal peripheral zone lesions with >25 HU on CT might be suspicious for prostatic malignancy.[9] Benign Prostatic Hyperplasia CT scan	
47	DA_d2_heldout100/261	pathognomonic_for	dermatitis herpetiformis	IgA deposition in papillary dermis	deposition of IgA in the papillary dermis	The characteristic lesions of dermatitis herpetiformis are grouped erythematous papules and vesicles located over extensor sites. Because the condition is so pruritic, intact vesicles are rarely seen, and the patient may simply present with excoriations. Lesions tend to be symmetrical and heal without scarring. Patients may develop punctate purpura on the palms and soles. Mucosal change may occur,	
48	DA_d2_heldout200b/529	sufficient_for	nodular bronchiectatic form	observation alone	and the diagnosis of the disease does not require immediate treatment and may be managed with observation alone	Non-tuberculosis mycobacterium avium complex infection: The incidence of nontuberculous mycobacterial pulmonary disease in the United States and Canada has been increasing and this is mainly due to mycobacterium avium complex organisms. Although this infection can happen in patients with pre-existing pulmonary disease or depressed immunity, it has been increasingly reported in otherwise healthy in	
49	DA_d2_heldout200b/529	sufficient_for	Bronchiectasis exacerbation	elevated eosinophil counts	elevated eosinophil counts of 100–299 cells/µL	Although bronchiectasis is historically considered a neutrophilic lung disease, eosinophilic inflammation is increasingly recognised in bronchiectasis. A recent European multicentre study analysing 1,007 patients with bronchiectasis showed that 22.6% of them had blood eosinophil counts of ≥300 cells/µL. Furthermore, to examine the relationship between eosinophil counts and exacerbations after adju	
50	DA_d2_heldout200b/529	sufficient_for	Immune reconstitution inflammatory syndrome (IRIS)	TNF-alpha antagonists	biological agents such as TNF-alpha antagonists	that the treatment includes initiating anti-microbial agents for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxicity or IRIS with central nervous system (CNS) involvement.[20] The current guidelines recommend initiating HAART within 2 weeks of diagnosing most opportunistic infecti	
51	DA_d2_heldout200b/529	pathognomonic_for	Cytomegalovirus disease	CMV inclusion bodies	pathognomonic CMV inclusion bodies	Visualizing pathognomonic CMV inclusion bodies on histopathological examination is the gold standard for diagnosing tissue CMV disease. CMV DNA PCR can also be used to diagnose CMV disease in tissues, such as the detection of CMV in bronchoalveolar lavage fluid or lung tissue samples through virus isolation, histopathologic testing, and immunohistochemical analysis.[65] Cytomegalovirus Gastrointes	
52	MCR_v1_seq100/114	required_for	cardiac abscess	surgical intervention	Without surgical intervention	Patients can recover quickly if the diagnosis is made early and treatment ensues without delay. Without surgical intervention, the prognosis is usually not favorable. Complications of cardiac abscess include: Posttreatment and postsurgical considerations of cardiac abscess management include:	
53	MCR_seq200b/291	pathognomonic_for	Necrolytic acral erythema	necrosis of keratinocytes	necrosis of keratinocytes and vacuolar degeneration of some basal cells are critical diagnostic features	erythema, including its impact on enzymatic processes and skin integrity, underscores the importance of addressing zinc levels in affected patients.[9] In addition, malabsorption of essential nutrients, including amino acids and vitamins, can contribute to skin manifestations. The resultant hypoaminoacidemia may impair protein synthesis and skin barrier function, exacerbating the symptoms of necro	
54	74	pathognomonic_for	Neurogenic pulmonary edema	bilateral symmetric interstitial-to-alveolar pattern	A bilaterally symmetric interstitial-to-alveolar pattern most prominent in the caudodorsal lung fields is commonly seen	A bilaterally symmetric interstitial-to-alveolar pattern most prominent in the caudodorsal lung fields is commonly seen	
55	MCR_seq200b/291	pathognomonic_for	Pustular psoriasis	sterile pustules	sterile pustules	Laboratory abnormalities, including hypocalcemia, hypoproteinemia, hypoalbuminemia, and abnormal liver or kidney function, are not diagnostic criteria but should be regularly monitored to detect complications. Genetic testing is not required for diagnosis. However, IL36RN mutation screening is advised if accessible. Mutations in IL36RN have been associated with a more severe disease phenotype, mar	
56	MCR_v1_seq100/114	pathognomonic_for	Mature cystic teratomas	multiple fat-fluid levels	Multiple fat-fluid levels are highly specific	Mature cystic teratomas and dermoid cysts are characterized by multiple tissue densities within a single mass (Figure 5). However, in many cases, these may not be readily apparent on CT imaging. MR imaging demonstrating macro or microscopic fat can aid in diagnosis. Multiple fat-fluid levels are highly specific. Gross fat is often easier to identify than microscopic fat. 36-year-old male with a cy	
57	DA_d2_seq100/100	required_for	Metastatic carcinoma	histologic confirmation	histologic confirmation	For patients suspected of having primary non-small lung cancer that has metastasized, clinicians should obtain histologic confirmation from suspected metastatic sites, not the suspected primary lesion. However, if biopsy of a metastatic site is technically difficult or hazardous, biopsying the primary lung lesion or mediastinal lymph nodes should be performed using the least invasive method. Metas	
58	DA_d2_heldout200b/529	required_for	upper lobe fibrocavitary form	prompt treatment	which has a more rapid and aggressive course, and needs prompt treatment	Non-tuberculosis mycobacterium avium complex infection: The incidence of nontuberculous mycobacterial pulmonary disease in the United States and Canada has been increasing and this is mainly due to mycobacterium avium complex organisms. Although this infection can happen in patients with pre-existing pulmonary disease or depressed immunity, it has been increasingly reported in otherwise healthy in	
59	DA_d2_heldout100/261	required_for	Sarcoidosis	histopathology	histopathology remains the gold standard for diagnosis	includes laboratory evaluation, pulmonary function testing, radiographic staging, and biopsy interpretation to confirm the diagnosis and determine disease extent.Select evidence-based pharmacologic treatment strategies for sarcoidosis, including appropriate initiation, tapering, and discontinuation of corticosteroids, and determine when corticosteroid-sparing agents or biologic therapies are indic	
60	DA_d2_heldout200b/529	pathognomonic_for	Giardiasis	trophozoites in stool	Characteristic trophozoites or cysts in stool are diagnostic	care centers or between sex partners. Giardia cysts remain viable in surface water and are resistant to routine levels of chlorination. Wild animals may also serve as reservoirs. Thus, mountain streams as well as chlorinated but poorly filtered municipal water supply systems have been implicated in waterborne epidemics. Many cases are asymptomatic. However, asymptomatic people can pass infective c	
61	DA_d2_heldout100/261	pathognomonic_for	Erythema nodosum	edema in the upper dermis with a dense infiltrate of neutrophils in the dermis	edema in the upper dermis with a dense infiltrate of neutrophils in the dermis	Patients are febrile, with an elevated neutrophil count, and have tender, dark-red plaques or papules, most often on the face, neck, and upper extremities, especially the dorsum of hands. Oral lesions can also occur. Rarely, bullous and pustular lesions are present. The lesions often develop in crops. Each crop is preceded by fever and persists for days to weeks. Extracutaneous manifestations can	
62	DA_d2_seq100/100	pathognomonic_for	Kaposi sarcoma	spindle cell vascular proliferation	spindle cell vascular proliferation	A general history and physical are performed first. The skin is examined for purplish lesions or lymph node enlargement that may signal the presence of Kaposi sarcoma. Suspicious lesions on the skin or lymph nodes can be biopsied and sent to pathology for evaluation. Particular care and attention should be paid to mucocutaneous surfaces as it is a common presenting location. For a definitive diagn	
63	MCR_v1_seq100/114	pathognomonic_for	Dermoid cyst	hair protruding from punctum	Hair protruding from a dermoid cyst punctum is pathognomic for dermoid cysts	Dermoid cysts usually occur as solitary lesions; however, multiple concurrent dermoid cysts have also been reported.[2] Dermoid cysts typically present as a pale, flesh-colored, pearly, dome-shaped, firm, deep-seated, subcutaneous nodule.[1][2][3][12] They are usually asymptomatic, non-pulsatile, and non-compressible.[1][2] Hair protruding from a dermoid cyst punctum is pathognomic for dermoid cys	
64	DA_d2_heldout200b/529	required_for	Immune reconstitution inflammatory syndrome (IRIS)	nutritional status optimization	optimizing nutritional status	Approaches to prevent IRIS in HIV patients: [37] The management of immune reconstitution inflammatory syndrome should focus on symptom control. It is equally important that the treatment includes initiating anti-microbial agents for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxic	
65	MCR_v1_seq100/114	pathognomonic_for	Mature teratoma	Rokitansky nodule	a Rokitansky nodule or dermoid plug—a solid protuberance projecting into the cystic cavity	mature cystic teratoma (MCT) or a dermoid cyst, is the most common GCT and the most common benign ovarian tumor in the pediatric age group, especially in the first two decades of life, accounting for more than half of all cases in this population. It is mostly asymptomatic and typically an incidental finding; however, complications include torsion (3–16%), rupture (1–4%), and less likely infection	
66	DA_d2_seq100/100	pathognomonic_for	ATLL	lobulated, cloverleaf-shaped nuclei	dense chromatin with lobulated, cloverleaf-shaped nuclei	Pathognomonic morphological features of leukemic ATLL lymphocytes include dense chromatin with lobulated, cloverleaf-shaped nuclei, often referred to as flower cells.[73] Scattered blast cells may also be visible on blood film, whereas bone marrow examination typically demonstrates patchy infiltrates. Histological assessment of lymphoid tissue is essential when lymphomatous disease is suspected. I	
67	MCR_v1_seq100/114	sufficient_for	SIJ pathology	3 or more positive provocation tests	When 3 or more provocation tests yield positive findings	Additional assessments include the Trendelenburg test, which identifies gluteus medius weakness that may contribute to SIJ pain, and the FABER (flexion, abduction, and external rotation) test, where pain localized over the contralateral SIJ constitutes a positive finding. No single maneuver is diagnostic, but the combined use of provocative tests improves accuracy. When 3 or more provocation tests	
68	MCR_v2_seq100/133	required_for	Lung Cancer	actively smoking or have quit in the previous 15 years	who are currently actively smoking or have quit in the previous 15 years	Lung cancer screening with an annual low-dose computed tomography of the chest is recommended for patients between ages 50 and 80 with at least a 20-pack-year smoking history who are currently actively smoking or have quit in the previous 15 years. There are no consensus guidelines specifying modifications based on Agent Orange exposure. In exposed patients with other significant risk factors for	
69	MCR_v1_seq100/114	sufficient_for	Leiomyosarcoma	>4 mitotic figures/50 High-Power Field	>4 mitotic figures/50 High-Power Field	Benign Malignant Low mitotic index (<5 mitotic figures for 10 High Power Field)No cell atypiaNo tumor cell necrosis (with the exception of ischemic necrosis)Typical presentation of the smooth muscle cells, with uniform shape and sizeNo intravascular componentWell-demarcated Numerous mitotic figures (≥5 for 10 High-Power Field)Significant cell atypiaAreas of tumor cell necrosis with island-like pre	
70	MCR_v2_seq100/133	required_for	Soft tissue sarcoma in children and young people	ultrasound scan findings suggestive of soft tissue sarcoma	Consider a very urgent referral (for an appointment within 48 hours) for children and young people if they have ultrasound scan findings that are suggestive of soft tissue sarcoma or if ultrasound findings are uncertain and clinical concern persists.	1.11 Sarcomas Separate recommendations have been made for adults and for children and young people to reflect that there are different referral pathways. In practice, young people (aged 16 to 24) may be referred using either pathway depending on their age and local arrangements. Bone sarcoma in adults 1.11.1 Consider a suspected cancer pathway referral for adults if an X‑ray suggests the possibili	
71	DA_d2_heldout100/261	sufficient_for	Metastatic calcification	calcium phosphate product exceeds 70	calcium phosphate product exceeds 70	Calcinosis cutis is a condition in which calcium salts are deposited in the skin and subcutaneous tissue. It is classified into five main types: dystrophic, metastatic, idiopathic, iatrogenic, and calciphylaxis. Dystrophic calcification is the most common cause of calcinosis cutis and is associated with normal laboratory values of calcium and phosphorus. There is an underlying disease, systemic sc	
72	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	ILRs	ILRs	ILRs	
73	DA_d2_seq100/100	sufficient_for	Cutaneous horns	deep biopsy or total excision	deep biopsy or total excision remain the treatments of choice	Ablative lasers like carbon dioxide or neodymium-doped yttrium aluminum garnet may be preferred for aesthetic considerations and electrocautery.[4][22] Cryotherapy is not a recommended treatment. Despite these alternatives, deep biopsy or total excision remain the treatments of choice, ensuring that the base of the horn is preserved for histological preparations.[4] Patients with cutaneous horns c	
