idx	case	relation	subject	predicate	quote	context	licensed
qc87	74	sufficient_for	CPVT	pathogenic mutation	who have a pathogenic mutation	who have a pathogenic mutation	
qc14	74	pathognomonic_for	Long QT Syndrome	prolonged QT	long QT syndrome or any genetic causation of prolonged QT syndrome	long QT syndrome or any genetic causation of prolonged QT syndrome	
qc43	74	required_for	Cardiac channelopathies	postmortem genetic testing	Postmortem genetic testing for cardiac channelopathy panels should be considered	Postmortem genetic testing for cardiac channelopathy panels should be considered	
qc86	74	sufficient_for	Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC)	EMB	considering EMB for cases of diagnostic uncertainty	considering EMB for cases of diagnostic uncertainty	
qc19	74	pathognomonic_for	Long QT syndrome	prolonged QT	prolonged QT syndrome	prolonged QT syndrome	
qc13	74	pathognomonic_for	Long QT Syndrome	prolongation of the QT segment	prolongation of the QT segment	prolongation of the QT segment	
qc90	74	sufficient_for	Hypertrophic Cardiomyopathy	echocardiography	Echocardiography is the first-level imaging exam for HCM diagnosis	Echocardiography is the first-level imaging exam for HCM diagnosis	
qc40	74	required_for	CPVT	normal ECG	normal ECG	normal ECG	
qc5	74	pathognomonic_for	Arrhythmogenic right ventricular dysplasia (ARVD)	epsilon wave	Arrhythmogenic right ventricular dysplasia (ARVD) – incomplete RBBB with T waves inversion in V1-3, epsilon wave is pathognomonic	Arrhythmogenic right ventricular dysplasia (ARVD) – incomplete RBBB with T waves inversion in V1-3, epsilon wave is pathognomonic	
qc89	74	sufficient_for	Channelopathy	cardiologic evaluation	the provider may cautiously suggest a cardiologic evaluation	the provider may cautiously suggest a cardiologic evaluation	
qc29	74	required_for	Arrhythmogenic Right Ventricular Cardiomyopathy	cardiac structural or tissue abnormalities	at least 1 criterion must be fulfilled from groups I or II	at least 1 criterion must be fulfilled from groups I or II	
qc28	74	required_for	Alcoholic cardiomyopathy	Chronic heavy alcohol use	a personal history of chronic heavy alcohol use	a personal history of chronic heavy alcohol use	
qc69	74	required_for	HOCM	symptom severity	The treatment of HOCM is based on symptom severity	The treatment of HOCM is based on symptom severity	
qc74	74	required_for	IHD	echocardiography	echocardiography	echocardiography	
qc38	74	required_for	Brugada syndrome	type I pattern in at least 2 of V1, V2, and V3	present in at least 2 of the three precordial leads	present in at least 2 of the three precordial leads	
qc44	74	required_for	Cardiac channelopathies	recurrent deaths in the family	or when there are recurrent deaths in the family	or when there are recurrent deaths in the family	
qc8	74	pathognomonic_for	Brugada syndrome	coved ST-segment elevation	coved ST-segment elevation of greater than 2 mm	coved ST-segment elevation of greater than 2 mm	
qc71	74	required_for	Hypertension	grounding for seven days	The aviator is required to be grounded for seven days	The aviator is required to be grounded for seven days	
qc52	74	required_for	Cardiomyopathy	imaging studies	electrocardiogram, laboratory testing, imaging studies	electrocardiogram, laboratory testing, imaging studies	
qc85	74	sufficient_for	Acquired QT Interval abnormalities	offending drug discontinuation	offending drug discontinuation is sufficient therapy	offending drug discontinuation is sufficient therapy	
qc77	74	required_for	Metabolic syndrome	3 or more metabolic abnormalities	3 or more metabolic abnormalities	3 or more metabolic abnormalities	
qc73	74	required_for	Hypertrophic Cardiomyopathy	genetic tests	Genetic tests are crucial for many HCM phenocopies diagnosis	Genetic tests are crucial for many HCM phenocopies diagnosis	
qc26	74	pathognomonic_for	digoxin toxicity	bidirectional ventricular tachycardia	Bidirectional ventricular tachycardia, classically described as pathognomonic for digoxin toxicity	Bidirectional ventricular tachycardia, classically described as pathognomonic for digoxin toxicity	
qc7	74	pathognomonic_for	Brugada syndrome	Type 1 morphology	Type 1 is the only ECG abnormality that is potentially diagnostic of the syndrome	Type 1 is the only ECG abnormality that is potentially diagnostic of the syndrome	
qc56	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	Holter monitor	Holter monitor	Holter monitor	
qc51	74	required_for	Cardiomyopathy	electrocardiogram	electrocardiogram, laboratory testing, imaging studies	electrocardiogram, laboratory testing, imaging studies	
qc68	74	required_for	HOCM	outflow gradient of 50 mmHg or more	an outflow gradient of 50 mmHg or more	an outflow gradient of 50 mmHg or more	
qc48	74	required_for	Cardiomyopathy	chest radiograph	A chest radiograph is usually the initial imaging study to order	A chest radiograph is usually the initial imaging study to order	
qc75	74	required_for	IHD	emergent coronary angiography	emergent coronary angiography	emergent coronary angiography	
qc58	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	exercise stress test	exercise stress test	exercise stress test	
qc45	74	required_for	Cardiomyopathy	ECG	Evaluation typically includes ECG	Evaluation typically includes ECG	
qc60	74	required_for	Catecholaminergic Polymorphic Ventricular Tachycardia	exercise test	Exercise testing is advised	Exercise testing is advised	
