idx	case	relation	subject	predicate	quote	context	licensed
10	MCR_seq200b/291	required_for	Lichen simplex chronicus	biopsy	Thelesionsoflichensclerosusandlichensimplexchronicusmustbebiopsiedtodistinguishthemdefinitivelyfromothercausesofleukoplakia	re isolated, lichen simplex chronicus often is present at the margins of established vulvar cancer, suggesting some association with neoplastic disease. Lichen sclerosus and lichen simplex chronicus may coexist in different areas of the body in the same person, and both lesions may take the form of leukoplakia. Similar white patches or plaques also are seen in a variety of other benign dermatoses,	
11	MCR_seq200b/291	sufficient_for	Pheochromocytoma	elevated plasma fractionated metanephrines	elevated plasma fractionated metanephrines has a sensitivity of 97% and a specificity of 93% for diagnosing pheochromocytoma	Pheochromocytomas in patients with MEN2 generally occur in the third or fourth decade of life. Patients with MEN2 who are planning to undergo an interventional procedure, including thyroidectomy for MTC, or who may become pregnant, should undergo testing to exclude a pheochromocytoma, even if asymptomatic. A catecholamine-induced hypertensive crisis in a previously unrecognized pheochromocytoma ca	
12	MCR_v1_seq100/114	pathognomonic_for	Dermoid cyst	hair protruding from punctum	Hair protruding from a dermoid cyst punctum is pathognomic for dermoid cysts	Dermoid cysts usually occur as solitary lesions; however, multiple concurrent dermoid cysts have also been reported.[2] Dermoid cysts typically present as a pale, flesh-colored, pearly, dome-shaped, firm, deep-seated, subcutaneous nodule.[1][2][3][12] They are usually asymptomatic, non-pulsatile, and non-compressible.[1][2] Hair protruding from a dermoid cyst punctum is pathognomic for dermoid cys	
13	MCR_v1_seq100/114	required_for	Chest wall tumors	biopsy	Biopsy and histologic evaluation confirm the diagnosis	Five-year survival for typical (well-differentiated) carcinoids is > 90%; for atypical tumors, it is 50 to 70%. Chest Wall Tumors Chest wall tumors are benign or malignant tumors that can interfere with pulmonary function. Primary chest wall tumors account for 5% of all thoracic tumors and 1 to 2% of all primary tumors. Almost half are benign; the most common are osteochondroma, chondroma, and fib	
14	MCR_v1_seq100/114	sufficient_for	Leiomyosarcoma	>4 mitotic figures/50 High-Power Field	>4 mitotic figures/50 High-Power Field	Benign Malignant Low mitotic index (<5 mitotic figures for 10 High Power Field)No cell atypiaNo tumor cell necrosis (with the exception of ischemic necrosis)Typical presentation of the smooth muscle cells, with uniform shape and sizeNo intravascular componentWell-demarcated Numerous mitotic figures (≥5 for 10 High-Power Field)Significant cell atypiaAreas of tumor cell necrosis with island-like pre	
15	MCR_v2_seq100/133	pathognomonic_for	Solitary fibrous tumor	STAT6 nuclear expression	diffuse and strong nuclear IHC expression for STAT6 was observed in 100% cases	ular fasciitis. Prostatic stromal tumors of uncertain malignant potential (STUMP) and prostatic stromal sarcoma (PSS) can pose diagnostic problems for pathologists. STUMP exhibits haphazard fascicles of spindle cells which do not exhibit significant nuclear atypia or mitoses. However, PSS exhibits solid growth of spindle to epithelioid cells with nuclear atypia, increased mitoses and necrosis. How	
16	MCR_v2_seq100/133	required_for	Bone sarcoma in children and young people	unexplained bone swelling or pain	Consider a very urgent, direct access X‑ray to assess for bone sarcoma in children and young people with unexplained bone swelling or pain.	1.11 Sarcomas Separate recommendations have been made for adults and for children and young people to reflect that there are different referral pathways. In practice, young people (aged 16 to 24) may be referred using either pathway depending on their age and local arrangements. Bone sarcoma in adults 1.11.1 Consider a suspected cancer pathway referral for adults if an X‑ray suggests the possibili	
17	MCR_v2_seq100/133	sufficient_for	Benign Prostatic Hyperplasia	volume greater than 30 mL	volume greater than 30 mL	The CT scan does not sufficiently define detailed prostate anatomy or pathology. It may show a hyperdense central zone with density adjusted to around 40 to 60 Hounsfield Units (HU), and the peripheral zone may appear hypodense, with density between 10 and 25 HU.[8] Focal peripheral zone lesions with >25 HU on CT might be suspicious for prostatic malignancy.[9] Benign Prostatic Hyperplasia CT scan	
18	DA_d2_heldout100/261	pathognomonic_for	sarcoidosis	epithelioid non-necrotizing granulomas	The histological hallmark of sarcoidosis is the presence of well-formed, compact, epithelioid, non-necrotizing granulomas	The etiology of sarcoidosis is still unclear and numerous studies have shown that both genetic and environmental factors may contribute to pathogenesis. Familial clustering in sarcoidosis has been reported in 4–17% of cases. In addition, exposure to environmental factors such as insecticides, mold, inorganic particles, agricultural chemicals, and metal processing has been reported to increase the 	
19	DA_d2_heldout100/261	required_for	Sarcoidosis	exclusion of alternative diagnoses	exclusion of all alternative diagnoses	Sarcoidosis is challenging to diagnose given the broad range of presentations, many of which mimic other conditions. No single criterion providing a definite diagnosis of sarcoidosis with 100% accuracy is available. Current guidelines indicate that the diagnosis of sarcoidosis should rely on three criteria, two positive (compatible presentation and evidence of noncaseating granulomas) and one nega	
20	DA_d2_heldout100/261	sufficient_for	Dermatomyositis	disease control	many patients achieve disease control	Prognosis in dermatomyositis varies depending on disease severity, response to therapy, and presence of associated malignancy or interstitial lung disease. With early diagnosis and immunosuppressive treatment, many patients achieve disease control, although relapses are common. Long-term morbidity may result from muscle weakness, calcinosis, or systemic complications. Seborrheic Dermatitis Seborrh	
21	DA_d2_heldout200b/529	pathognomonic_for	CMV GI disease	CMV in biopsy specimens	identification of CMV in biopsy specimens	Visualizing pathognomonic CMV inclusion bodies on histopathological examination is the gold standard for diagnosing tissue CMV disease. CMV DNA PCR can also be used to diagnose CMV disease in tissues, such as the detection of CMV in bronchoalveolar lavage fluid or lung tissue samples through virus isolation, histopathologic testing, and immunohistochemical analysis.[65] Cytomegalovirus Gastrointes	
22	DA_d2_heldout200b/529	required_for	Herpes simplex virus infection	CD4+ count	improvement of CD4+ count to > 200 cells/μL	improvement of CD4+ count to > 200 cells/μL	
23	DA_d2_heldout200b/529	sufficient_for	Immune reconstitution inflammatory syndrome (IRIS)	NSAIDs	paracetamol or with the use of nonsteroidal anti-inflammatory drugs (NSAIDs)	Approaches to prevent IRIS in HIV patients: [37] The management of immune reconstitution inflammatory syndrome should focus on symptom control. It is equally important that the treatment includes initiating anti-microbial agents for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxic	
24	DA_d2_seq100/100	pathognomonic_for	Hodgkin Lymphoma (HL)	Hodgkin Reed-Sternberg (HRS) cells	presence of pathological Hodgkin Reed-Sternberg (HRS) cells	A diagnosis of lymphoma is confirmed by tissue biopsy, and commonly used methods include fine-needle aspiration, core biopsy, incision/wedge biopsy, and excisional biopsy. Excisional biopsy is considered the "gold standard" as it allows for the assessment of whole lymph node architecture. The different pathologic characteristics and histologic patterns of common lymphomas are as below. Hodgkin Lym	
25	DA_d2_seq100/100	required_for	Kaposi sarcoma	systemic treatment	systemic treatment is required	Challenges in treatment include achieving negative margins on surgical excision due to the possibility of skin lesions or the inability to visualize the entire malignancy. In some institutions, patients are also offered neoadjuvant taxane-based chemotherapy, though no benefit was seen with the addition of chemotherapy at that institution.[24] However, other institutions experienced a 5-year surviv	
26	DA_d2_seq100/100	sufficient_for	Kaposi sarcoma	development	Over 5% of transplant patients who develop a de novo malignancy will develop Kaposi sarcoma	AIDS-related Kaposi sarcoma is the second most common tumor in HIV patients with CD4 counts less than 200 cells/mm3 and is an AIDs-defining illness.[15] Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma. HIV positive male homosexuals have a 5- to 10-fold increased the risk of Kaposi sarcoma.[16][6] Iatrogenic Kaposi sarcoma has a male: fe	
27	MCR_seq200b/291	pathognomonic_for	Necrolytic acral erythema	vacuolar degeneration of basal cells	necrosis of keratinocytes and vacuolar degeneration of some basal cells are critical diagnostic features	erythema, including its impact on enzymatic processes and skin integrity, underscores the importance of addressing zinc levels in affected patients.[9] In addition, malabsorption of essential nutrients, including amino acids and vitamins, can contribute to skin manifestations. The resultant hypoaminoacidemia may impair protein synthesis and skin barrier function, exacerbating the symptoms of necro	
28	MCR_seq200b/291	required_for	Zinc Deficiency	serum zinc level	a serum zinc level <70 μg/dL	a serum zinc level <70 μg/dL	
29	MCR_seq200b/291	sufficient_for	Pheochromocytoma	elevated urinary fractionated metanephrines and catecholamines	High levels of urinary fractionated metanephrines and catecholamines can also be used to establish the diagnosis	Pheochromocytomas in patients with MEN2 generally occur in the third or fourth decade of life. Patients with MEN2 who are planning to undergo an interventional procedure, including thyroidectomy for MTC, or who may become pregnant, should undergo testing to exclude a pheochromocytoma, even if asymptomatic. A catecholamine-induced hypertensive crisis in a previously unrecognized pheochromocytoma ca	
30	MCR_v1_seq100/114	pathognomonic_for	Soft tissue tumor	histology confirmation	confirmed with histology	Ultrasonography is an excellent imaging technique for assessing any superficial soft-tissue mass. A part from previously discussed advantages (availability, cost and lack of ionizing radiations), US outstands particularly in the characterization of soft-tissue masses because of its reasonably robust diagnostic capabilities. Two prospective studies by Hung and Griffith et al. established that aroun	
31	MCR_v1_seq100/114	required_for	Proctitis	sigmoidoscopy	Diagnosis is by sigmoidoscopy, usually with cultures and biopsy	Diagnosis is by sigmoidoscopy, usually with cultures and biopsy	
32	MCR_v1_seq100/114	sufficient_for	Leiomyosarcoma	Coagulative tumor cell necrosis	Coagulative tumor cell necrosis	Benign Malignant Low mitotic index (<5 mitotic figures for 10 High Power Field)No cell atypiaNo tumor cell necrosis (with the exception of ischemic necrosis)Typical presentation of the smooth muscle cells, with uniform shape and sizeNo intravascular componentWell-demarcated Numerous mitotic figures (≥5 for 10 High-Power Field)Significant cell atypiaAreas of tumor cell necrosis with island-like pre	
33	MCR_v2_seq100/133	pathognomonic_for	solitary fibrous tumor	ALDH1 and STAT6 positivity	Combined specificity of STAT6 and ALDH1 is 100% for SFTs of this region	Soft tissue tumors with epithelioid morphology such as epithelioid sarcoma and epithelioid angiosarcoma sometimes need to be considered in the DD. SFT with giant cells is a rare occurrence and the DD of this morphological form include soft tissue sarcomas with giant cell component and nodular fasciitis. Prostatic stromal tumors of uncertain malignant potential (STUMP) and prostatic stromal sarcoma	
34	MCR_v2_seq100/133	required_for	Prostate Cancer	histologically positive prostate biopsy	histologically positive prostate biopsy	Prostatic imaging with MRI is becoming increasingly important, particularly in highly suspicious cases where the initial non–MRI-guided biopsy was negative instead of saturation biopsies. Fusion-guided biopsies use the MRI image with the suspicious area highlighted as a target and superimposed it over the ultrasound image. The 2 images are matched, allowing the MRI target to be visible on the TRUS	
35	MCR_v2_seq100/133	sufficient_for	BPH	prostate extension above pubic symphysis	prostate extends above the pubic symphysis	The CT scan does not sufficiently define detailed prostate anatomy or pathology. It may show a hyperdense central zone with density adjusted to around 40 to 60 Hounsfield Units (HU), and the peripheral zone may appear hypodense, with density between 10 and 25 HU.[8] Focal peripheral zone lesions with >25 HU on CT might be suspicious for prostatic malignancy.[9] Benign Prostatic Hyperplasia CT scan	
36	DA_d2_heldout100/261	pathognomonic_for	Erythema nodosum	Miescher radial microgranulomas	Miescher radial microgranulomas	Erythema nodosum:Erythema nodosum is widely considered the most common form of panniculitis and is the prototype for septal panniculitis without vasculitis. The condition presents as an acute nodular eruption on the lower legs, possibly associated with systemic symptoms. The lesions are typically transient and can be associated with underlying infections or systemic conditions, including sarcoidos	
37	DA_d2_heldout100/261	required_for	COVID-19	molecular testing	confirmation by molecular testing	Viral hepatitis (A through E) can enter the differential when prominent hepatic manifestations accompany systemic symptoms, and diagnosis is established using pathogen-specific serology and PCR-based testing as appropriate. In contemporary practice, COVID-19 and seasonal influenza should be considered based on circulating community transmission and respiratory features, with confirmation by molecu	
38	DA_d2_heldout100/261	sufficient_for	R. equi	PCR detection	PCR is used for early detection of R. equi infection	s with a 55% positive rate using nanoscale real-time PCR detection. Transmission of S. zooepidemicus occurs through animal contact or contamination of food or utensils. PCR and ELISA detection are commonly used to diagnose S. zooepidemicus infection. Escherichia coli (E. coli) is considered a normal part of the gastrointestinal tract in horses. However, many strains of E. coli can cause diseases i	
39	DA_d2_heldout200b/529	pathognomonic_for	Giardiasis	trophozoites in stool	Characteristic trophozoites or cysts in stool are diagnostic	care centers or between sex partners. Giardia cysts remain viable in surface water and are resistant to routine levels of chlorination. Wild animals may also serve as reservoirs. Thus, mountain streams as well as chlorinated but poorly filtered municipal water supply systems have been implicated in waterborne epidemics. Many cases are asymptomatic. However, asymptomatic people can pass infective c	
40	DA_d2_heldout200b/529	required_for	Mycobacterium avium complex (MAC) pulmonary infection	CD4 count	CD4 count is less than 50 cells per microliter	o endemic area has been recognized. Recently, a trend towards increasing Mycobacterium avium complex infections has been identified. A seasonal trend in mycobacterial infections around the incidence cycle of 12 months, with peaks in late winter/spring and troughs in autumn, was noted. Women had a higher prevalence, up to 1.6 fold relative to men. A study done in Australia has shown a higher male p	
41	DA_d2_heldout200b/529	sufficient_for	CMV-IRIS	Intraocular steroid administration	Patients with CMV-IRIS can benefit from Intraocular steroid administration	for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxicity or IRIS with central nervous system (CNS) involvement.[20] The current guidelines recommend initiating HAART within 2 weeks of diagnosing most opportunistic infections. However, special consideration must be given to opportun	
42	DA_d2_seq100/100	pathognomonic_for	Stewart-Treves Syndrome	lymphangiosarcoma	lymphangiosarcoma (Stewart-Treves syndrome)	lymphangiosarcoma (Stewart-Treves syndrome)	
43	DA_d2_seq100/100	required_for	Kaposi sarcoma	C‐reactive protein	C‐reactive protein	Secondary, additional blood tests or imaging studies may be required, depending on the clinical findings (Figure 3). (A) Pulmonary lesion of Kaposi sarcoma identified by chest CT scan, and (B) digestive localizations of Kaposi sarcoma evaluated by colonoscopy in immunodeficient patients with invasive Kaposi sarcoma. In all cases: screening for iron deficiency: blood count, ferritin, and C‐reactive	
44	DA_d2_seq100/100	sufficient_for	Angiosarcoma	local control	local control which involves surgery with perioperative RT	The patients and physicians must understand the rarity and the aggressive nature of the disease, and the need for multidisciplinary discussions. Although no large randomized trials have been done specifically for AS, retrospective data clearly shows the survival benefit of local control which involves surgery with perioperative RT. Despite of good local control measures, recurrence rates are high,	
45	MCR_seq200b/291	pathognomonic_for	Zinc deficiency	response to zinc supplementation	a positive response to supplementation is considered evidence of a preexisting deficiency	zinc deficiency occurs in patients receiving total parenteral nutrition without zinc supplementation and in premature infants fed human milk without fortification. Clinical manifestations of mild zinc deficiency include anorexia, growth faltering, and immune impairment. Moderately severe manifestations include delayed sexual maturation, rough skin, and hepatosplenomegaly. The signs of severe defic	
46	MCR_seq200b/291	required_for	compensated or subclinical hypothyroidism	elevated TSH	if serum TSH remains elevated at 10 mIU/L or above by 4 weeks of age, the infants should be treated	Interpretation of Thyroid Function Tests 1. Low free T4 and high TSH: These results confirm the diagnosis of primary hypothyroidism. 2. Normal free T4 (or total T4) and high TSH: These results define compensated or subclinical hypothyroidism. If serum TSH is more than 20, mIU/L, treatment with levothyroxine should be initiated. If serum TSH is mildly elevated (e.g., 6 to 20 mIU/L), clinicians may 	
47	MCR_seq200b/291	sufficient_for	Hyperparathyroidism	high or inappropriately normal parathyroid hormone levels	the presence of concurrent high or inappropriately normal parathyroid hormone levels confirms the diagnosis	tic. A catecholamine-induced hypertensive crisis in a previously unrecognized pheochromocytoma can be associated with significant morbidity and mortality.[20] The demonstration of elevated plasma fractionated metanephrines has a sensitivity of 97% and a specificity of 93% for diagnosing pheochromocytoma.[16] High levels of urinary fractionated metanephrines and catecholamines can also be used to e	
48	MCR_v1_seq100/114	pathognomonic_for	Dermoid cyst	hair protruding from a dermoid cyst punctum	Hair protruding from a dermoid cyst punctum is pathognomonic for dermoid cysts	Hair protruding from a dermoid cyst punctum is pathognomonic for dermoid cysts	
49	MCR_v1_seq100/114	required_for	Chest wall tumors	PET-CT	Patients with chest wall tumors require ... sometimes PET-CT	Five-year survival for typical (well-differentiated) carcinoids is > 90%; for atypical tumors, it is 50 to 70%. Chest Wall Tumors Chest wall tumors are benign or malignant tumors that can interfere with pulmonary function. Primary chest wall tumors account for 5% of all thoracic tumors and 1 to 2% of all primary tumors. Almost half are benign; the most common are osteochondroma, chondroma, and fib	
50	MCR_v1_seq100/114	sufficient_for	Soft tissue tumor	US diagnosis	US characteristics	Ultrasonography is an excellent imaging technique for assessing any superficial soft-tissue mass. A part from previously discussed advantages (availability, cost and lack of ionizing radiations), US outstands particularly in the characterization of soft-tissue masses because of its reasonably robust diagnostic capabilities. Two prospective studies by Hung and Griffith et al. established that aroun	
51	MCR_v2_seq100/133	pathognomonic_for	SFT	STAT6 nuclear expression	diffuse and strong nuclear IHC expression for STAT6 was observed in 100% cases	ular fasciitis. Prostatic stromal tumors of uncertain malignant potential (STUMP) and prostatic stromal sarcoma (PSS) can pose diagnostic problems for pathologists. STUMP exhibits haphazard fascicles of spindle cells which do not exhibit significant nuclear atypia or mitoses. However, PSS exhibits solid growth of spindle to epithelioid cells with nuclear atypia, increased mitoses and necrosis. How	
52	MCR_v2_seq100/133	required_for	Soft tissue sarcoma in adults	unexplained lump that is increasing in size	Consider an urgent, direct access ultrasound scan to assess for soft tissue sarcoma in adults with an unexplained lump that is increasing in size.	1.11 Sarcomas Separate recommendations have been made for adults and for children and young people to reflect that there are different referral pathways. In practice, young people (aged 16 to 24) may be referred using either pathway depending on their age and local arrangements. Bone sarcoma in adults 1.11.1 Consider a suspected cancer pathway referral for adults if an X‑ray suggests the possibili	
53	MCR_v2_seq100/133	sufficient_for	acute prostatitis	evaluation for prostatic abscess	after 48 hours	The diagnosis of a prostatic abscess based solely on history and physical findings is difficult because the symptoms are non-specific and overlap with other lower urinary tract pathology. A high level of clinical suspicion, particularly in non-responding acute prostatitis patients, is necessary for early diagnosis and timely management. Patients with acute prostatitis who do not respond to treatme	
54	DA_d2_heldout100/261	pathognomonic_for	Malakoplakia	MG bodies	MG bodies	Histologic sections reveal a dense inflammatory infiltrate composed mainly of lymphocytes, plasma cells, histiocytes, and associated nuclear debris. The foamy histiocytes are enlarged with ecentric nucleaus having granular cytoplasm exhibiting variably sized, round cytoplasmic inclusions, many displaying concentrically layered structures with a central basophilic focus and surrounding pale halo. T	
55	DA_d2_heldout100/261	required_for	Atopic Dermatitis (AD)	age two years or older	ages two years or older	Decompensated Cardiac Failure [25] Atopic Dermatitis (AD) Crisaborole can be used in patients ages two years or older for topical use only. It should be applied to the affected areas two times daily.	
56	DA_d2_heldout100/261	sufficient_for	Metastatic calcification	calcium phosphate product exceeds 70	calcium phosphate product exceeds 70	Calcinosis cutis is a condition in which calcium salts are deposited in the skin and subcutaneous tissue. It is classified into five main types: dystrophic, metastatic, idiopathic, iatrogenic, and calciphylaxis. Dystrophic calcification is the most common cause of calcinosis cutis and is associated with normal laboratory values of calcium and phosphorus. There is an underlying disease, systemic sc	
57	DA_d2_heldout200b/529	pathognomonic_for	Cytomegalovirus (CMV) infection	CMV inclusion bodies	pathognomonic CMV inclusion bodies	Visualizing pathognomonic CMV inclusion bodies on histopathological examination is the gold standard for diagnosing tissue CMV disease. CMV DNA PCR can also be used to diagnose CMV disease in tissues, such as the detection of CMV in bronchoalveolar lavage fluid or lung tissue samples through virus isolation, histopathologic testing, and immunohistochemical analysis.[65] Cytomegalovirus Gastrointes	
58	DA_d2_heldout200b/529	required_for	chronic non-CF bronchiectasis	sustained duration of treatment	the treatment needs to be of sustained duration	Maintenance therapy with intermittent antibiotics is not used routinely in patients with non-CF bronchiectasis, and the decision to use long-term antibiotics should be individualized. Inhaled aminoglycosides can be of benefit in chronic non-CF bronchiectasis; however, the treatment needs to be of sustained duration. 4. Control reverse airflow obstruction: In patients with airflow obstruction, inha	
59	DA_d2_heldout200b/529	sufficient_for	Pneumocystis jirovecii pneumonia	fine-needle aspiration biopsy	diagnosis may be established with fine-needle aspiration biopsy	Pulmonary involvement is relatively common, and the main imaging findings are bronchiectasis, bronchial wall thickening, mucus plugs, small centrilobular nodules, tree-in-bud appearance, airspace consolidation, and cavities. The presence of accompanying pulmonary involvement can make this diagnosis more likely to be considered and may facilitate the differential diagnosis. Pneumocystis jirovecii i	
60	DA_d2_seq100/100	pathognomonic_for	Kaposi sarcoma	spindle cell vascular proliferation	spindle cell vascular proliferation	A general history and physical are performed first. The skin is examined for purplish lesions or lymph node enlargement that may signal the presence of Kaposi sarcoma. Suspicious lesions on the skin or lymph nodes can be biopsied and sent to pathology for evaluation. Particular care and attention should be paid to mucocutaneous surfaces as it is a common presenting location. For a definitive diagn	
61	DA_d2_seq100/100	required_for	Cutaneous horns	histopathological analysis	histopathological analysis is crucial to determine the underlying etiology	Ablative lasers like carbon dioxide or neodymium-doped yttrium aluminum garnet may be preferred for aesthetic considerations and electrocautery.[4][22] Cryotherapy is not a recommended treatment. Despite these alternatives, deep biopsy or total excision remain the treatments of choice, ensuring that the base of the horn is preserved for histological preparations.[4] Patients with cutaneous horns c	
62	DA_d2_seq100/100	sufficient_for	Kaposi sarcoma	development	Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma	AIDS-related Kaposi sarcoma is the second most common tumor in HIV patients with CD4 counts less than 200 cells/mm3 and is an AIDs-defining illness.[15] Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma. HIV positive male homosexuals have a 5- to 10-fold increased the risk of Kaposi sarcoma.[16][6] Iatrogenic Kaposi sarcoma has a male: fe	
63	MCR_seq200b/291	pathognomonic_for	Zinc Deficiency	response to zinc supplementation	response to a trial of supplementation	zinc deficiency occurs in patients receiving total parenteral nutrition without zinc supplementation and in premature infants fed human milk without fortification. Clinical manifestations of mild zinc deficiency include anorexia, growth faltering, and immune impairment. Moderately severe manifestations include delayed sexual maturation, rough skin, and hepatosplenomegaly. The signs of severe defic	
64	MCR_seq200b/291	required_for	Psoriasis	skin biopsy	A skin biopsy may occasionally be helpful in atypical cases	Nail changes are common, including pitting, onycholysis, subungual hyperkeratosis, and oil-drop discoloration, the latter of which is often described as a salmon patch appearance. Nail involvement is a strong predictor of concomitant psoriatic arthritis (see Image. Nails in Psoriasis). The diagnosis of plaque psoriasis is primarily clinical, based on history and physical examination. A skin biopsy	
65	MCR_seq200b/291	sufficient_for	Zinc Deficiency	response to zinc supplementation	response to a trial of supplementation	zinc deficiency occurs in patients receiving total parenteral nutrition without zinc supplementation and in premature infants fed human milk without fortification. Clinical manifestations of mild zinc deficiency include anorexia, growth faltering, and immune impairment. Moderately severe manifestations include delayed sexual maturation, rough skin, and hepatosplenomegaly. The signs of severe defic	
66	MCR_v1_seq100/114	pathognomonic_for	Mature cystic teratomas	multiple fat-fluid levels	Multiple fat-fluid levels are highly specific	Mature cystic teratomas and dermoid cysts are characterized by multiple tissue densities within a single mass (Figure 5). However, in many cases, these may not be readily apparent on CT imaging. MR imaging demonstrating macro or microscopic fat can aid in diagnosis. Multiple fat-fluid levels are highly specific. Gross fat is often easier to identify than microscopic fat. 36-year-old male with a cy	
67	MCR_v1_seq100/114	required_for	Pilonidal disease	histopathologic evaluation	all specimens should be sent for histopathologic evaluation	nd, interdigital, and periungual; often, these patients have a history of occupational exposure as barbers, hairdressers, or animal groomers.[80][81][82][83][84] Pilonidal disease of the hand has also been reported associated with Dupuytren contracture.[85] Pilonidal disease has been reported in the anal canal, and there may be a higher prevalence of sacrococcygeal pilonidal disease in those patie	
68	MCR_v1_seq100/114	sufficient_for	Leiomyosarcoma	Cytologic pleomorphism or atypia	Cytologic pleomorphism or atypia	Benign Malignant Low mitotic index (<5 mitotic figures for 10 High Power Field)No cell atypiaNo tumor cell necrosis (with the exception of ischemic necrosis)Typical presentation of the smooth muscle cells, with uniform shape and sizeNo intravascular componentWell-demarcated Numerous mitotic figures (≥5 for 10 High-Power Field)Significant cell atypiaAreas of tumor cell necrosis with island-like pre	
