idx	case	relation	subject	predicate	quote	context	licensed
33	179	pathognomonic_for	Alagille syndrome	paucity of interlobular bile ducts	The hallmark feature is the paucity of interlobular bile ducts	Alagille syndrome (ALGS) is an autosomal-dominant multisystem disorder caused by pathogenic variants in the JAG1 or NOTCH2 genes that disrupt the Notch signalling pathway, which is critical for embryonic development.[1][2] The syndrome occurs in approximately 1 in 30,000 to 50,000 live births, though this may underestimate true prevalence due to variable expressivity and reduced penetrance.[3][4] 	
34	179	required_for	Cyanotic congenital heart disease	transesophageal echocardiography	transthoracic and transesophageal echocardiography can be used	transthoracic and transesophageal echocardiography can be used	
35	179	sufficient_for	Helicobacter pylori–associated thrombocytopenia	hematologic recovery	promotes hematologic recovery	For those with Helicobacter pylori–associated thrombocytopenia, eradication therapy not only addresses the infection but also promotes hematologic recovery.[35][36]	
36	257	pathognomonic_for	septic arthritis	positive culture	positive culture	Synovial fluid analysis showing elevated WBC count or a high percentage of polymorphonuclear cells significantly increases the likelihood of a diagnosis of septic arthritis resulting in orthopedic consultation, antibiotic therapy, and admission.[9] Septic arthritis can be confirmed with a positive Gram stain and culture, which will help guide antibiotic therapy.	
37	257	required_for	Septic Arthritis	early diagnosis	Early diagnosis and treatment are crucial	Early diagnosis and treatment are crucial for preserving joint function.	
38	257	sufficient_for	Infectious Tenosynovitis	early empiric antimicrobial therapy	early empiric antimicrobial therapy	In cases of infectious tenosynovitis, the best outcomes are related to early empiric antimicrobial therapy and early irrigation or debridement when necessary.[7] Poor prognostic factors of infectious tenosynovitis include infection by Streptococcus pyogenes or multiple agents, delayed antibiotics and surgical intervention, purulence of the tissue, diabetes mellitus, renal failure, and peripheral v	
39	326	pathognomonic_for	Tuberculous spondylitis	preservation of the anterior meningovertebral ligament	preservation of the anterior meningovertebral ligament—a septum anchoring the posterior longitudinal ligament to the periosteum—suggests tuberculous spondylitis	In the case of anterior epidural abscess, the preservation of the anterior meningovertebral ligament—a septum anchoring the posterior longitudinal ligament to the periosteum—suggests tuberculous spondylitis with high sensitivity (83.3%) and specificity (100%).	
40	326	required_for	Spondylodiscitis	positive diagnosis	positive diagnosis	positive diagnosis	
41	326	sufficient_for	Osteomyelitis	bone biopsy	bone biopsies for culture and histopathologic examination are usually diagnostic	bone biopsies for culture and histopathologic examination are usually diagnostic	
42	475	pathognomonic_for	de Quervain's tenosynovitis	positive Finkelstein maneuver	If this maneuver causes hand pain in the thumb, de Quervain's tenosynovitis is probably the correct diagnosis	The test for this condition is termed the Finkelstein maneuver. If this maneuver causes hand pain in the thumb, de Quervain's tenosynovitis is probably the correct diagnosis.[15][16][17]	
43	475	required_for	TTP	microangiopathic hemolytic anemia	microangiopathic hemolytic anemia	The diagnosis is made by finding a microangiopathic hemolytic anemia in the context of the characteristic clinical picture. There is an important overlap among TTP, HUS, toxemia of pregnancy, the hemolytic anemia with elevated liver function tests and platelet count (HELLP syndrome), hypertensive encephalopathy, and other causes of the posterior reversible leukoencephalopathy syndrome (PRES, see e	
44	475	sufficient_for	inflammatory polyneuropathy	combination of ultrasound and MRI with diffusion tensor imaging	A combination of ultrasound and MRI with diffusion tensor imaging may prove more helpful	A combination of ultrasound and MRI with diffusion tensor imaging may prove more helpful than ultrasound alone in helping to firm up a clinical diagnosis of inflammatory polyneuropathy.	
45	49	pathognomonic_for	Perforation	free air	Free air is pathognomonic for perforation	Free air is pathognomonic for perforation	
46	49	required_for	intraabdominal abscess	high index of suspicion	Diagnosis often requires a high index of suspicion	Diagnosis often requires a high index of suspicion	
47	49	sufficient_for	Appendicitis	Score ≥7	≥7 = Surgical consultation	≥7 = Surgical consultation	
48	522	pathognomonic_for	Vitamin B12 deficiency	low serum vitamin B12 level	low serum vitamin B12 level	low serum vitamin B12 level	
49	522	required_for	Lewy Body Dementia	fluctuations in behavior and cognition	fluctuations in behavior and cognition	fluctuations in behavior and cognition	
50	522	sufficient_for	Vascular Dementia	history of stroke	history of a single stroke	history of a single stroke	
51	56	pathognomonic_for	granulomatosis with polyangiitis	red-purplish, granular gingivitis	A rare but pathognomonic sign of granulomatosis with polyangiitis is a red-purplish, granular gingivitis (strawberry gums)	A rare but pathognomonic sign of granulomatosis with polyangiitis is a red-purplish, granular gingivitis (strawberry gums).	
52	56	required_for	Leiomyosarcoma	timely treatment	Patient outcomes are dependent on timely, evidence-based treatment	Diagnosis and treatment at a center of excellence are highly recommended. The mainstay of treatment is surgical procedure, with radiation and chemotherapy serving as adjuncts.	
53	773	required_for	Tricuspid Regurgitation	annual echocardiography	annual echocardiography is recommended	annual echocardiography is recommended	
54	773	sufficient_for	Patent Foramen Ovale	transthoracic echocardiography with bubble contrast	Transthoracic echocardiography with bubble contrast is sensitive enough to detect a clinically significant patent foramen ovale	Echocardiography with bubble contrast is the standard method for detecting patent foramen ovale. Transcranial Doppler is an inexpensive and noninvasive screening tool for patients with a suspected right-to-left shunt, but it cannot determine intracardiac shunt morphology.[18][19] Transthoracic echocardiography with bubble contrast is sensitive enough to detect a clinically significant patent foram	
55	91	pathognomonic_for	Hydrocele	fluid surrounding the testis	The ultrasound scan revealed fluid surrounding the testis, which is diagnostic of a hydrocele	An ultrasound scan revealed normal right and left testes and a large fluid collection around the right testis. The ultrasound scan revealed fluid surrounding the testis, which is diagnostic of a hydrocele.	
56	91	required_for	cavernous malformation	easily accessible location	surgical resection may be considered for symptomatic and easily accessible cavernous hemangiomas	surgical resection may be considered for symptomatic and easily accessible cavernous hemangiomas	
57	91	sufficient_for	Kaposi sarcoma	development	Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma	Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma	
58	119	pathognomonic_for	Pustular psoriasis	sterile pustules	sterile pustules	One rare form of the disease is pustular psoriasis, which is defined by the presence of sterile pustules that may follow various clinical patterns.	
59	119	required_for	perioral dermatitis	long-term treatment	often requires long-term treatment	often requires long-term treatment	
60	179	pathognomonic_for	Alagille syndrome	paucity of bile ducts	the unique liver biopsy finding of paucity of bile ducts in the portal triads	the unique liver biopsy finding of paucity of bile ducts in the portal triads	
61	179	required_for	Biliary atresia	AST	Most reliable predictors for successful surgery and long-term outcome with the native liver are the normalization of conjugated bilirubin and AST 2 months after	Most reliable predictors for successful surgery and long-term outcome with the native liver are the normalization of conjugated bilirubin and AST 2 months after surgery	
62	179	sufficient_for	Immune Thrombocytopenia	normal platelet counts	normalizing platelet counts	In patients with systemic lupus erythematosus, immunosuppressive agents help control disease activity and improve platelet counts. Alternatively, immunosuppressants, thrombopoietin receptor agonists, and monoclonal antibodies have demonstrated effectiveness in normalizing platelet counts in some patients.	
63	257	pathognomonic_for	Septic arthritis	WBCs of more than 50,000 cells/mm3	A cell count with WBCs of more than 50,000 cells/mm3 is considered diagnostic for septic arthritis	A cell count with WBCs of more than 50,000 cells/mm3 is considered diagnostic for septic arthritis	
64	257	required_for	brain abscess	prompt administration of antibiotics	prompt administration of antibiotics	prompt administration of antibiotics	
65	257	sufficient_for	Septic Arthritis	bacterial organism identification	Identification of a bacterial organism in the synovial fluid confirms the diagnosis	Identification of a bacterial organism in the synovial fluid confirms the diagnosis	
66	326	pathognomonic_for	Spinal tuberculosis	rest pain	Rest pain is pathognomonic	Rest pain is pathognomonic	
67	326	required_for	Spinal Epidural Abscess	MRI	MRI as the gold standard for spinal disease	Gross pathology reveals purulent, exudative material in acute cases and granulation tissue in chronic disease.[5] Diagnosis requires a high index of suspicion, with MRI as the gold standard for spinal disease.	
68	326	sufficient_for	Spinal epidural abscess	MRI	MRI as the gold standard for spinal disease	Gross pathology reveals purulent, exudative material in acute cases and granulation tissue in chronic disease.[5] Diagnosis requires a high index of suspicion, with MRI as the gold standard for spinal disease.	
69	475	pathognomonic_for	Carpal tunnel syndrome	median nerve compression	Compression of the median nerve at the wrist (carpal tunnel syndrome)	Compression of the median nerve at the wrist (carpal tunnel syndrome)	
70	475	required_for	Possible focal CIDP	sensory conduction alterations in one nerve	Sensory conduction alterations must be present in one nerve	Sensory conduction alterations must be present in at least two nerves of the affected limbs to diagnose multifocal or focal CIDP and in one nerve of the affected limb to diagnose possible focal CIDP.	
71	475	sufficient_for	inflammatory polyneuropathy	combination of ultrasound and MRI with diffusion tensor imaging	A combination of ultrasound and MRI with diffusion tensor imaging	A combination of ultrasound and MRI with diffusion tensor imaging may prove more helpful than ultrasound alone in helping to firm up a clinical diagnosis of inflammatory polyneuropathy.	
72	49	pathognomonic_for	Neutropenic colitis	pneumatosis intestinalis	pneumatosis intestinalis	Air in inferior mesenteric vein (arrow) and bowel wall with pneumatosis intestinalis.	
73	49	required_for	infective endocarditis	five minor criteria	five minor criteria	It is a set of clinical criteria comprising of major and minor criteria. It requires two major and one minor, one major and three minor or five minor criteria for the diagnosis.	
74	49	sufficient_for	complicated intra-abdominal infection	WSES Sepsis Severity Score	Because the WSES (World Society of Emergency Surgery) Sepsis Severity Score is specific to complicated intra-abdominal infection and performs well, it is an acc	Because the WSES (World Society of Emergency Surgery) Sepsis Severity Score is specific to complicated intra-abdominal infection and performs well, it is an acceptable alternative to APACHE II for adults with complicated intra-abdominal infection	
75	522	pathognomonic_for	dementia	β-amyloid (Aβ) and tau proteins accumulation	One of the pathogenic mechanisms of dementia is the aggregation and accumulation of β-amyloid (Aβ) and tau proteins	One of the pathogenic mechanisms of dementia is the aggregation and accumulation of β-amyloid (Aβ) and tau proteins	
76	522	required_for	vascular dementia	MRI	If the dementia subtype is uncertain and vascular dementia is suspected, use MRI.	If the dementia subtype is uncertain and vascular dementia is suspected, use MRI. If MRI is unavailable or contraindicated, use CT.	
77	522	sufficient_for	Dementia with Lewy Bodies	clinical symptoms	The clinical symptoms in relation to the different cognitive, psychiatric, and motor domains should be sufficient for the diagnosis	Although Lewy body pathologies are intriguing and may provide a clue of the pathophysiology of DLB, PD dementia, and other related neurodegenerative disorders, it is discovered on autopsy and therefore not useful for routine clinical diagnosis. DLB and PD are important dementia syndromes that overlap in many clinical features, genetics, neuropathology, and management.	
78	56	pathognomonic_for	Undifferentiated Pleomorphic Sarcoma	high degree of pleomorphism	a high degree of pleomorphism should classify any tumor as an undifferentiated pleomorphic sarcoma	Adult fibrosarcomas show a mild to moderate degree of pleomorphism. Note that a high degree of pleomorphism should classify any tumor as an undifferentiated pleomorphic sarcoma.	
79	56	required_for	Leiomyosarcoma	tumor grade	Prognosis is determined by the tumor's location, size, and grade	Prognosis is determined by the tumor's location, size, and grade	
80	773	required_for	Tricuspid Regurgitation	symptoms of right-sided heart failure	intervention for patients with symptoms of right-sided heart failure	For isolated tricuspid valve surgery, the guidelines recommend intervention for patients with symptoms of right-sided heart failure (class 2a) or asymptomatic individuals with primary tricuspid regurgitation and worsening right ventricular function (class 2b).	
81	773	sufficient_for	Patent Foramen Ovale	echocardiography with bubble contrast	echocardiography with bubble contrast	Echocardiography with bubble contrast is the standard method for detecting patent foramen ovale. Transcranial Doppler is an inexpensive and noninvasive screening tool for patients with a suspected right-to-left shunt, but it cannot determine intracardiac shunt morphology.[18][19] Transthoracic echocardiography with bubble contrast is sensitive enough to detect a clinically significant patent foram	
82	91	pathognomonic_for	Infantile Hemangiomas	GLUT-1 staining	endothelial GLUT-1 staining is a sensitive marker for IH	endothelial GLUT-1 staining is a sensitive marker for IH	
83	91	required_for	Kaposi sarcoma	biopsy	biopsy or excision of the suspicious areas	biopsy or excision of the suspicious areas	
84	91	sufficient_for	brain metastases	standard structural MRI	standard structural MRI	Offer standard structural MRI (defined as T2 weighted, FLAIR, DWI series and T1 pre- and post-contrast volume) as the initial diagnostic test for suspected brain metastases, unless MRI is contraindicated.	
85	119	pathognomonic_for	Porokeratosis	cornoid lamella	cornoid lamella, a column of tightly fitted parakeratotic cells	cornoid lamella, a column of tightly fitted parakeratotic cells	
86	119	required_for	Darier disease	avoidance of triggers	avoidance of triggers is paramount	avoidance of triggers is paramount	
87	179	required_for	Cyanotic congenital heart disease	cardiac Doppler	cardiac Doppler is a very important diagnostic tool	cardiac Doppler is a very important diagnostic tool	
88	179	sufficient_for	Atrial septal defect	color flow Doppler echocardiography	Color flow Doppler echocardiography is usually sufficient for diagnosis of a secundum-type atrial septal defect	Color flow Doppler echocardiography is usually sufficient for diagnosis of a secundum-type atrial septal defect	
89	257	pathognomonic_for	Necrotizing myositis	necrotic muscle	muscle is universally involved and found to be necrotic	Unlike necrotizing fasciitis, muscle is universally involved and found to be necrotic. Treatment includes emergent debride-ment of all necrotic tissue along with empirical intravenous antibiotics.Wet gangrene is most common in diabetics with renal failure and an arteriovenous shunt.	
90	257	required_for	brain abscess	early diagnosis	Long-term neurological outcomes following infection depend on early diagnosis	Long-term neurological outcomes following infection depend on early diagnosis	
91	326	pathognomonic_for	epidural metastasis	epidural tumor on MRI	MRI can reliably delineate epidural tumor	MRI can reliably delineate epidural tumor	
92	326	required_for	Brucellosis	cerebrospinal fluid culture	Diagnose Brucellosis by blood or cerebrospinal fluid cultures	Diagnose Brucellosis by blood or cerebrospinal fluid cultures and treat with doxycycline plus either rifampin or streptomycin;	
93	326	sufficient_for	TB preventive therapy	36 months of daily INH	at least 36 months of daily INH preventive therapy	The WHO guidelines on TB preventive therapy align with the CDC and include an alternative regimen of 1 month of daily rifapentine plus INH. The WHO also recommends that “in settings with high TB transmission, adults and adolescents living with HIV who have an unknown or a positive TST or IGRA and are unlikely to have active TB disease should receive at least 36 months of daily INH preventive thera	
94	475	pathognomonic_for	cervical radiculopathy	Spurling test positivity	The Spurling test—performed by applying axial compression while extending and rotating the neck toward the symptomatic side—serves as one of the most specific a	The Spurling test—performed by applying axial compression while extending and rotating the neck toward the symptomatic side—serves as one of the most specific assessments for cervical radiculopathy.	
95	475	required_for	Anterior Interosseous Syndrome	weakness of muscles innervated by the anterior interosseous nerve	weakness of the muscles innervated by the anterior interosseous nerve	Parsonage and Turner first identified the syndrome in 1948, followed by Leslie Gordon Kiloh and Samuel Nevin in 1952, who characterized it as an isolated lesion of the anterior interosseous nerve. Several causes of anterior interosseous nerve syndrome have been well documented.	
96	475	sufficient_for	ulnar neuropathy	electrodiagnostic testing	NCS and EMG can be used to localize and confirm the diagnosis	In most cases, it can be diagnosed clinically without electrodiagnostic testing. When doubt exists, NCS and EMG can be used to localize and confirm the diagnosis and assess the severity of the neuropathy.[9] If surgical intervention is indicated, electrodiagnostic testing can aid the surgeon in identifying the exact area of nerve entrapment.	
97	49	pathognomonic_for	Colovesicular fistula	fecaluria	Fecaluria is pathognomonic for colovesicular fistula	Fecaluria is pathognomonic for colovesicular fistula	
98	49	required_for	Diverticulitis	imaging of the morphological substrate	Imaging of the morphological substrate of diverticulitis (by either US or CT) is mandatory for the diagnosis of diverticulitis	Imaging of the morphological substrate of diverticulitis (by either US or CT) is mandatory for the diagnosis of diverticulitis.	
99	49	sufficient_for	peritonsillar abscess	imaging	imaging should be used when available	Imaging is not strictly necessary when a peritonsillar abscess is clinically apparent based on history and physical examination findings; however, results from a 2025 study by Voruz et al compared clinical and radiographic diagnoses of peritonsillar abscesses and reported substantially higher diagnostic accuracy with contrast-enhanced CT, even when performed by an otolaryngologist.[29] The study f	
100	522	pathognomonic_for	Alzheimer Disease	fibrillar beta-amyloid deposition	fibrillar beta-amyloid and hyper-phosphorylated tau deposition	the leading form of dementia pathologically hallmarked by fibrillar beta-amyloid and hyper-phosphorylated tau deposition in the central nervous system (McKhann G, Drachman D, et al, Neurology, 1984).	
101	522	required_for	Vascular dementia	pharmacologic approaches	treatment requires both pharmacologic and nonpharmacologic approaches	Prevention and control of vascular risk factors constitute the central approaches to managing vascular dementia, for which there is currently no curative pharmacologic treatment. Once vascular dementia is present, treatment requires both pharmacologic and nonpharmacologic approaches.	
102	522	sufficient_for	Delirium	Confusion Assessment Method (CAM)	Confusion Assessment Method (CAM)	One of the tools with the most widespread use is the Confusion Assessment Method (CAM).	
103	56	pathognomonic_for	Red-purplish, granular gingivitis	granulomatosis with polyangiitis	a red-purplish, granular gingivitis (strawberry gums) is a pathognomonic sign of granulomatosis with polyangiitis	a red-purplish, granular gingivitis (strawberry gums) is a pathognomonic sign of granulomatosis with polyangiitis	
104	56	required_for	Leiomyosarcoma	microscopic negative margins	microscopic negative margins	In patients with localized leiomyosarcoma, the primary treatment is surgical resection with the goal of achieving microscopic negative margins (R0 resection).	
105	773	required_for	Cardiomyopathy	cardiac MRI	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	
106	773	sufficient_for	Patent Foramen Ovale	transesophageal echocardiography with bubble contrast	transesophageal echocardiography with bubble contrast	Echocardiography with bubble contrast is the standard method for detecting patent foramen ovale. Transcranial Doppler is an inexpensive and noninvasive screening tool for patients with a suspected right-to-left shunt, but it cannot determine intracardiac shunt morphology.[18][19] Transthoracic echocardiography with bubble contrast is sensitive enough to detect a clinically significant patent foram	
107	91	pathognomonic_for	Kaposi sarcoma	spindle cell vascular proliferation	spindle cell vascular proliferation	spindle cell vascular proliferation	
108	91	required_for	Infantile Hemangiomas	magnetic resonance	magnetic resonance is generally reserved for patients requiring evaluation of associated anatomic anomalies	magnetic resonance is generally reserved for patients requiring evaluation of associated anatomic anomalies	
109	91	sufficient_for	Cavernous Angioma	MRI	MRI as the modality of choice	Radiological studies play a pivotal role in diagnosing cerebral cavernous angiomas with MRI as the modality of choice.[8][9][10]	
110	119	pathognomonic_for	Langerhans cell histiocytoses	malignant proliferation of Langerhans cells	Malignant proliferation of these cells are very rare and lead to a variety of diseases such grouped as Langerhans cell histiocytoses	Langerhans cells are specialized dendritic cells found predominantly in the skin. Much like macrophages, these cells are derived from bone marrow monocytes and are capable of antigen presentation.[7] Malignant proliferation of these cells are very rare and lead to a variety of diseases such grouped as Langerhans cell histiocytoses.	
111	119	required_for	arsenical keratosis	exposure history	exposure history is essential in diagnosing arsenical keratosis	exposure history is essential in diagnosing arsenical keratosis	
112	179	required_for	Congenital amegakaryocytic thrombocytopenia	homozygous or compound heterozygous mutations in the c-MPL proto-oncogene	demonstrating homozygous or compound heterozygous mutations in the c-myeloproliferative leukemia virus, thrombopoietin receptor (c-MPL) proto-oncogene	demonstrating homozygous or compound heterozygous mutations in the c-myeloproliferative leukemia virus, thrombopoietin receptor (c-MPL) proto-oncogene	
113	257	pathognomonic_for	Septic Arthritis	WBCs of more than 1,100 cells/μL in a prosthetic joint	A prosthetic joint with WBCs greater than 1,100 cells/μL is considered septic	A prosthetic joint with WBCs greater than 1,100 cells/μL is considered septic	
114	257	required_for	Pyogenic flexor tenosynovitis	all 4 Kanavel's cardinal signs	only around half of the patients displayed all 4 of Kanavel's cardinal signs	Patients with an infected ulnar bursa present with pain, swelling, and erythema over the hypothenar eminence.[22] Results reported from a retrospective study of 33 patients with digit infections showed tenderness at the A1 pulley, which could be a useful modification of the flexor sheath tenderness cardinal sign in diagnosing PFT.[23] According to Kanavel, tenderness over the tendon sheath was the	
115	326	pathognomonic_for	miliary TB	choroid tubercles	choroid tubercles is pathognomonic of miliary TB	choroid tubercles is pathognomonic of miliary TB	
116	326	required_for	Epidural metastasis	MRI	Diagnosis is established by imaging, with MRI of the complete spine being the best test	Diagnosis is established by imaging, with MRI of the complete spine being the best test	
117	326	sufficient_for	Osteomyelitis	MRI confirmation	consider an MRI to confirm the diagnosis	consider an MRI to confirm the diagnosis	
118	475	pathognomonic_for	Acquired immune demyelinating polyneuropathies	symmetric proximal and distal weakness	symmetric proximal and distal weakness	symmetric proximal and distal weakness	
119	475	required_for	Anterior Interosseous Nerve Syndrome	high index of suspicion	A high index of suspicion by the clinician	A high index of suspicion by the clinician	
120	475	sufficient_for	tarsal tunnel syndrome	footwear changes	footwear changes	If the syndrome is due to tight footwear, the simple fact of changing it may be sufficient. Initially, conservative measures require clinical attention, including footwear changes, physical therapy, and anti-inflammatory medications.	
121	49	pathognomonic_for	Neutropenic colitis	pneumatosis intestinalis	pneumatosis intestinalis	Air in inferior mesenteric vein (arrow) and bowel wall with pneumatosis intestinalis.	
122	49	required_for	Higher (supralevator) abscesses	CT	Higher (supralevator) abscesses require CT to determine the intra-abdominal source of sepsis	Higher (supralevator) abscesses require CT to determine the intra-abdominal source of sepsis	
123	49	sufficient_for	Intra-abdominal Abscess	CT-guided percutaneous drainage	CT-guided percutaneous drainage should be considered	If an intra-abdominal abscess is identified, CT-guided percutaneous drainage should be considered as part of the management plan to reduce infection burden and avoid immediate surgery when appropriate.	
124	522	pathognomonic_for	Delirium	altered consciousness	altered consciousness	assessment Delirium should be recognized in any terminally ill patient with new onset of disorientation, impaired cognition, somnolence, fluctuating levels of consciousness, or delusions with or without agitation. The central distinguishing feature is altered consciousness, which usually is not noted in anxiety, depression, and dementia.	
125	522	required_for	Major depressive disorder	full criteria for a major depressive episode	If full criteria for a major depressive episode have been met at some point during the current episode of illness	If full criteria for a major depressive episode have been met at some point during the current episode of illness	
