case_key,family,arm,label,equivalence,direction,vignette_consistency,explanation
DA_d2_heldout100/281,DA,flat_facts,"Recurrent infiltrating melanoma of left cervical region with regional lymph node metastasis (stage III), BRAF V600E mutation status conflicting",compatible_partial,narrower,supported,Omits the initial stage and the second primary melanoma. The BRAF status is conflicting in the vignette.
DA_d2_heldout100/281,DA,raw_vignette,"Cutaneous melanoma, stage III (N1b, M0) with regional lymph node metastasis (extracapsular extension) and locoregional recurrence with skin metastasis, BRAF V600E mutation positive initially",compatible_partial,narrower,supported,Omits the 'second primary melanoma' component. The BRAF status is correctly noted as initially positive.
DA_d2_heldout100/281,DA,typed_event_graph,"Stage III melanoma with regional lymph node metastasis and locoregional recurrence, BRAF V600E mutation positive",compatible_partial,narrower,supported,"Omits the 'second primary melanoma' component. The BRAF status is noted as positive, which was true initially."
DA_d2_heldout100/290,DA,flat_facts,Unstable angina (acute coronary syndrome) due to critical proximal LAD stenosis/occlusion with Wellens' syndrome ECG pattern,complete_equivalent,same,supported,"The output fully captures the diagnosis, etiology, anatomy, and subtype as per the reference and vignette."
DA_d2_heldout100/290,DA,typed_event_graph,Unstable angina due to critical stenosis of left anterior descending artery,compatible_partial,narrower,supported,"The output omits the critical 'Wellens syndrome' subtype, making it less specific than the reference."
DA_d2_heldout100/290,DA,raw_vignette,Unstable angina (Wellens' syndrome) due to total occlusion of the left anterior descending artery,complete_equivalent,same,supported,"The output fully captures the diagnosis, etiology, anatomy, and subtype as per the reference and vignette."
DA_d2_heldout100/303,DA,flat_facts,"Disseminated nocardiosis (Nocardia spp.) with cutaneous, hepatic, and cerebral involvement in an immunocompromised infant",incorrect,different,contradicted,"The output identifies Nocardia spp. as the etiology, which contradicts the Bacillus cereus etiology in the reference and vignette."
DA_d2_heldout100/303,DA,raw_vignette,"Disseminated nocardiosis (Nocardia species) with cutaneous lesions, hepatic abscesses, and cerebral abscesses",incorrect,different,contradicted,"The output identifies Nocardia species as the etiology, which contradicts the Bacillus cereus etiology in the reference and vignette."
DA_d2_heldout100/303,DA,typed_event_graph,"Disseminated nocardiosis in a pediatric patient with acute lymphoblastic leukemia on reinduction chemotherapy, presenting with febrile neutropenia, cutaneous vesicles, and hepatic and cerebral lesions",incorrect,different,contradicted,"The output identifies Nocardiosis as the etiology, which contradicts the Bacillus cereus etiology in the reference and vignette."
DA_d2_heldout100/310,DA,raw_vignette,Acute traumatic cervical spinal cord injury (complete) at C4-C5 with fracture-dislocation and spinal cord compression/ischemia,compatible_partial,different,supported,"Output misses hemorrhage and adds fracture-dislocation/ischemia, which are not explicitly in the reference diagnosis."
DA_d2_heldout100/310,DA,flat_facts,"Acute traumatic spinal cord injury at C4-C5 with spinal cord compression and infarction, complete cord syndrome (ASIA A)",compatible_partial,different,supported,Output misses hemorrhage and adds infarction/ASIA A. ASIA A is consistent with complete SCI.
DA_d2_heldout100/310,DA,typed_event_graph,Acute traumatic cervical spinal cord injury at C4-C5 with complete cord syndrome and spinal cord infarction (secondary to trauma),compatible_partial,different,supported,Output misses hemorrhage and adds infarction. Complete cord syndrome is consistent with complete SCI.
DA_d2_heldout100/318,DA,raw_vignette,Dual tachycardia (simultaneous atrial tachycardia and ventricular tachycardia) in the setting of ischemic cardiomyopathy,compatible_partial,different,supported,The output identifies dual tachycardia but misidentifies the specific types of arrhythmias compared to the reference.
DA_d2_heldout100/318,DA,typed_event_graph,"Acute decompensated heart failure (ADHF) with reduced ejection fraction (HFrEF) due to ischemic cardiomyopathy, exacerbated by dual tachycardia (atrial tachycardia and wide QRS tachycardia), NYHA class IV",compatible_partial,different,supported,The output includes the dual tachycardia but misidentifies the specific arrhythmias and adds a broader diagnosis not requested by the prompt.
DA_d2_heldout100/318,DA,flat_facts,"Acute decompensated heart failure with reduced ejection fraction secondary to ischemic cardiomyopathy, NYHA class IV, complicated by dual tachycardia (atrial tachycardia and likely AV nodal reentrant tachycardia) and cardiorenal syndrome (elevated creatinine).",compatible_partial,different,supported,The output includes dual tachycardia but misidentifies one of the specific arrhythmias and adds a broader diagnosis not requested by the prompt.
DA_d2_heldout100/321,DA,raw_vignette,Syringocystadenoma papilliferum with malignant transformation (apocrine adenocarcinoma in situ),compatible_partial,broader,supported,"The output identifies the core diagnosis and malignant transformation, but omits 'in situ' and 'macular amyloidosis'."
DA_d2_heldout100/328,DA,raw_vignette,Chronic spontaneous urticaria (CSU),compatible_partial,broader,supported,"Output is broader, missing the specific etiology identified in the reference and vignette."
DA_d2_heldout100/328,DA,flat_facts,"Chronic spontaneous urticaria with dermatographism, refractory to omalizumab",compatible_partial,broader,supported,"Output is broader, missing the specific etiology. Added details are supported by the vignette but not in the reference."
DA_d2_heldout100/328,DA,typed_event_graph,Chronic spontaneous urticaria,compatible_partial,broader,supported,"Output is broader, missing the specific etiology identified in the reference and vignette."
DA_d2_heldout100/330,DA,raw_vignette,Syncope due to intermittent complete heart block (Stokes-Adams attack) in the setting of trifascicular block,compatible_partial,broader,supported,The output identifies trifascicular block but omits the specific components. It adds a supported complication.
DA_d2_heldout100/330,DA,flat_facts,Intermittent complete heart block (third-degree AV block) with syncope (Stokes-Adams attack),incorrect,different,supported,"The output diagnoses intermittent complete heart block, which is a potential consequence, not the underlying block."
DA_d2_heldout100/330,DA,typed_event_graph,"Syncope due to intermittent complete heart block (Stokes-Adams attack) secondary to trifascicular block (RBBB, alternating LAFB/LPFB, and first-degree AV block) in the setting of hypertensive heart disease",complete_equivalent,same,supported,The output perfectly matches the reference diagnosis and adds supported clinical context and complications.
DA_d2_heldout100/337,DA,raw_vignette,Spindle cell lipoma of the right nasal ala and cheek,compatible_partial,narrower,supported,"The output identifies the correct diagnosis and laterality but omits the focal intramuscular involvement, making it narrower."
DA_d2_heldout100/337,DA,flat_facts,"Spindle cell lipoma of the nose, recurrent after incomplete excision",compatible_partial,broader,supported,The output identifies the correct diagnosis but omits laterality and intramuscular involvement. It adds 'recurrent after incomplete excision' which is supported by the vignette.
DA_d2_heldout100/337,DA,typed_event_graph,Dermatofibrosarcoma protuberans (DFSP) of the nose,incorrect,different,contradicted,The output provides an incorrect diagnosis (Dermatofibrosarcoma protuberans) which is contradicted by the pathology findings.
DA_d2_heldout100/341,DA,typed_event_graph,Juvenile myelomonocytic leukemia (JMML) with leukemia cutis,complete_equivalent,same,supported,"The output perfectly matches the reference diagnosis, including the specific leukemia and its cutaneous manifestation."
DA_d2_heldout100/341,DA,raw_vignette,Juvenile myelomonocytic leukemia (JMML) with cutaneous infiltration,complete_equivalent,same,supported,The output is equivalent to the reference. 'Cutaneous infiltration' is a synonymous term for 'leukemia cutis' in this context.
DA_d2_heldout100/341,DA,flat_facts,Juvenile myelomonocytic leukemia (JMML) with leukemia cutis,complete_equivalent,same,supported,"The output perfectly matches the reference diagnosis, including the specific leukemia and its cutaneous manifestation."
DA_d2_heldout100/354,DA,raw_vignette,COVID-19 (SARS-CoV-2 infection) with diffuse bilateral pneumonia and cutaneous pseudovesicular purpuric exanthem,compatible_partial,broader,supported,"The output identifies COVID-19 and the cutaneous eruption but omits the specific histopathological finding of endotheliitis-like changes. It adds pneumonia, which is a symptom."
DA_d2_heldout100/354,DA,flat_facts,Toxic epidermal necrolysis (TEN) with pneumonia,incorrect,different,contradicted,"The output diagnoses Toxic Epidermal Necrolysis, which is not supported by the vignette or the reference diagnosis. The pathology does not fully align with TEN."
DA_d2_heldout100/354,DA,typed_event_graph,Varicella (chickenpox) with pneumonia,incorrect,different,contradicted,"The output diagnoses Varicella, which is contradicted by negative PCR and immunohistochemical testing for varicella zoster virus in the vignette."
DA_d2_heldout100/359,DA,typed_event_graph,Acute decompensated heart failure with reduced ejection fraction (HFrEF) and volume overload,incorrect,different,supported,"This output identifies heart failure but misses the WPW pattern, which is a core part of the reference diagnosis."
DA_d2_heldout100/359,DA,raw_vignette,Intermittent Wolff-Parkinson-White syndrome,compatible_partial,narrower,supported,"The output identifies WPW but omits the heart failure exacerbation, which is a material component of the reference."
DA_d2_heldout100/359,DA,flat_facts,Acute decompensated heart failure with reduced ejection fraction due to tachycardia-induced cardiomyopathy from Wolff-Parkinson-White syndrome with intermittent pre-excitation,compatible_partial,broader,supported,This output includes the core diagnoses but adds unsupported specificity regarding the cause of HF and the nature of pre-excitation.
DA_d2_heldout100/364,DA,raw_vignette,Actinic superficial folliculitis (solar folliculitis),complete_equivalent,same,supported,"The output identifies the same diagnosis as the reference, with a common synonym."
DA_d2_heldout100/364,DA,typed_event_graph,"Pustular psoriasis (localized, facial)",incorrect,different,contradicted,"Pustular psoriasis is a different diagnosis. The vignette does not support psoriasis, and histopathology shows intrafollicular pustules."
DA_d2_heldout100/364,DA,flat_facts,Subcorneal pustular dermatosis (Sneddon-Wilkinson),incorrect,different,contradicted,"Subcorneal pustular dermatosis is a different diagnosis. The vignette's histopathology specifies intrafollicular pustules, not just subcorneal."
DA_d2_heldout100/365,DA,raw_vignette,Factitial panniculitis (self-injection-induced lipogranuloma) with chronic ulceration and fibrosis,compatible_partial,broader,supported,The output identifies fibrosis and ulceration but omits the specific cause (meperidine) and adds a broader diagnosis.
DA_d2_heldout100/365,DA,flat_facts,"Factitial panniculitis (self-induced) secondary to chronic subcutaneous meperidine injections, with associated fibrosis and muscle contractures",compatible_partial,broader,supported,"The output identifies fibrosis and meperidine, but omits ulceration and adds a broader diagnosis and a complication."
DA_d2_heldout100/365,DA,typed_event_graph,Factitial panniculitis due to subcutaneous meperidine injections,compatible_partial,broader,supported,"The output identifies meperidine but omits fibrosis and ulceration, and adds a broader diagnosis."
DA_d2_heldout100/372,DA,raw_vignette,Elevated lipoprotein(a) (hyperlipoproteinemia(a)),complete_equivalent,same,supported,"The output identifies the core diagnosis of elevated Lipoprotein(a), which is the primary cause mentioned in the reference."
DA_d2_heldout100/372,DA,typed_event_graph,Heterozygous familial hypercholesterolemia with statin intolerance and elevated liver enzymes,incorrect,different,contradicted,"This diagnosis is incorrect. The reference diagnosis is elevated Lp(a), not familial hypercholesterolemia. The vignette supports Lp(a) as the cause of LDL discordance."
DA_d2_heldout100/372,DA,flat_facts,Elevated lipoprotein(a) (Lp(a)),complete_equivalent,same,supported,"The output identifies the core diagnosis of elevated Lipoprotein(a), which is the primary cause mentioned in the reference."
DA_d2_heldout100/379,DA,raw_vignette,"Recurrent malignant melanoma (desmoplastic subtype likely) with extensive perineural invasion involving the left supraorbital nerve (V1), extending into the orbit and cavernous sinus",compatible_partial,broader,supported,"The output is broader, adding specific anatomical details and a subtype that are supported by the vignette but not explicitly demanded by the reference."
DA_d2_heldout100/383,DA,flat_facts,Primary cutaneous rhabdomyosarcoma (embryonal or alveolar subtype),compatible_partial,broader,supported,"The output correctly identifies the primary cutaneous rhabdomyosarcoma but broadens the subtype to include alveolar, which is not specified in the reference."
DA_d2_heldout100/383,DA,typed_event_graph,"Embryonal rhabdomyosarcoma of the right temple skin, localized (no metastases)",compatible_partial,broader,supported,The output correctly identifies the embryonal rhabdomyosarcoma and its location but omits 'cutaneous' and adds 'localized (no metastases)' which is supported but not explicitly demanded by the reference.
DA_d2_heldout100/383,DA,raw_vignette,Embryonal rhabdomyosarcoma of the right temple (primary cutaneous),complete_equivalent,same,supported,"The output perfectly matches the benchmark reference, identifying the same diagnosis with all material components."
DA_d2_heldout100/389,DA,raw_vignette,Right-sided bacterial rhinosinusitis complicated by orbital abscess and peripheral facial nerve palsy due to extension into the infratemporal fossa and parotid region,compatible_partial,broader,supported,"The output identifies bacterial rhinosinusitis and facial nerve palsy, but omits CN7, acute, and adds specific complications not in the reference."
DA_d2_heldout100/391,DA,typed_event_graph,"Lepromatous leprosy (Hansen's disease) with systemic involvement (uveitis, lymphadenopathy, splenomegaly, arthritis)",compatible_partial,narrower,supported,"The output identifies the core diagnosis but omits the specific type 2 leprosy reaction, which is a material component of the reference."
DA_d2_heldout100/391,DA,flat_facts,"Lepromatous leprosy (Hansen's disease) with uveitis, arthritis, lymphadenopathy, and splenomegaly",compatible_partial,narrower,supported,"The output identifies the core diagnosis but omits the specific type 2 leprosy reaction, which is a material component of the reference."
DA_d2_heldout100/391,DA,raw_vignette,"Lepromatous leprosy (multibacillary) with arthritis, uveitis, lymphadenopathy, splenomegaly, and cutaneous nodules",compatible_partial,narrower,supported,"The output identifies the core diagnosis but omits the specific type 2 leprosy reaction, which is a material component of the reference."
DA_d2_heldout100/392,DA,raw_vignette,Onychomatricoma,compatible_partial,broader,supported,"The output identifies onychomatricoma but omits the 'pigmented' characteristic, which is material and supported by the vignette."
DA_d2_heldout100/392,DA,flat_facts,Subungual squamous cell carcinoma,incorrect,different,contradicted,The output is a different diagnosis. Histopathology findings contradict squamous cell carcinoma.
DA_d2_heldout100/392,DA,typed_event_graph,Subungual hematoma with reactive fibrosis,incorrect,different,contradicted,The output is a different diagnosis. Histopathology findings contradict subungual hematoma with reactive fibrosis.
DA_d2_heldout100/397,DA,typed_event_graph,Acute inferior ST-elevation myocardial infarction (right coronary artery occlusion) with mirror-image dextrocardia (situs inversus),compatible_partial,narrower,supported,"Output omits the right ventricular involvement, which is a material complication of the MI."
DA_d2_heldout100/397,DA,flat_facts,"Acute ST-elevation myocardial infarction (inferior wall) due to proximal right coronary artery occlusion, in a patient with dextrocardia (mirror-image cardiac situs)",compatible_partial,narrower,supported,"Output omits the right ventricular involvement, which is a material complication of the MI."
DA_d2_heldout100/397,DA,raw_vignette,Acute inferior ST-elevation myocardial infarction (STEMI) due to proximal right coronary artery occlusion in a patient with dextrocardia (situs inversus totalis),compatible_partial,narrower,supported,"Output omits the right ventricular involvement, which is a material complication of the MI."
DA_d2_heldout100/404,DA,raw_vignette,"Pembrolizumab-induced scleroderma-like reaction (immune checkpoint inhibitor-induced scleroderma) of lower limbs, acute onset after chemotherapy",incorrect,different,contradicted,"The output attributes the condition to Pembrolizumab and describes it as scleroderma-like, which contradicts the Pemetrexed-induced inflammatory and sclerotic edema reference."
DA_d2_heldout100/404,DA,flat_facts,Pembrolizumab-induced sclerodermoid reaction (scleroderma-like) of lower extremities,incorrect,different,contradicted,"The output attributes the condition to Pembrolizumab and describes it as sclerodermoid, which contradicts the Pemetrexed-induced inflammatory and sclerotic edema reference."
DA_d2_heldout100/404,DA,typed_event_graph,Pembrolizumab-induced morphea (scleroderma-like reaction),incorrect,different,contradicted,"The output attributes the condition to Pembrolizumab and describes it as morphea, which contradicts the Pemetrexed-induced inflammatory and sclerotic edema reference."
DA_d2_heldout100/414,DA,raw_vignette,LTBP2-related ectopia lentis with glaucoma,compatible_partial,broader,supported,"The output omits the juvenile onset and adds ectopia lentis, which is a symptom, not the primary diagnosis."
DA_d2_heldout100/414,DA,flat_facts,LTBP2-related ectopia lentis with secondary glaucoma,compatible_partial,broader,supported,"The output omits juvenile onset, adds ectopia lentis (a symptom), and 'secondary' which is not in the reference."
DA_d2_heldout100/414,DA,typed_event_graph,LTBP2-related ectopia lentis with glaucoma,compatible_partial,broader,supported,"The output omits the juvenile onset and adds ectopia lentis, which is a symptom, not the primary diagnosis."
DA_d2_heldout100/415,DA,raw_vignette,Acute non-ST-elevation myocardial infarction (NSTEMI) due to proximal left anterior descending artery stenosis,compatible_partial,narrower,supported,"Output omits critical stenosis, de Winter pattern, and Wellens syndrome. It adds NSTEMI, which is not fully supported by the ECG findings."
DA_d2_heldout100/420,DA,raw_vignette,Acute fulminant viral myocarditis with cardiogenic shock,complete_equivalent,same,supported,"The output identifies the same diagnosis and subtype, with supported additional detail."
DA_d2_heldout100/420,DA,typed_event_graph,Acute viral myocarditis with severe left ventricular dysfunction and cardiogenic shock,compatible_partial,broader,supported,"The output identifies myocarditis but omits the 'fulminant' subtype, making it broader than the reference."
DA_d2_heldout100/420,DA,flat_facts,"Acute viral myocarditis (fulminant) with acute heart failure and cardiogenic shock, complicated by syncope due to ventricular arrhythmia",complete_equivalent,same,supported,"The output identifies the same diagnosis and subtype, with supported additional detail."
DA_d2_heldout100/431,DA,typed_event_graph,Malignant melanoma with in-transit metastases (satellitosis),compatible_partial,broader,supported,"Output is compatible but lacks staging and lymph node involvement, making it broader than the reference."
DA_d2_heldout100/431,DA,raw_vignette,Complete regression of melanoma after talimogene laherparepvec (T-VEC) therapy with mixed inflammatory infiltrate,incorrect,different,contradicted,"The output describes a post-treatment state of regression, not the active melanoma diagnosis with metastases."
DA_d2_heldout100/431,DA,flat_facts,"Cutaneous melanoma of left posterior auricular scalp with satellite metastases and regional lymph node involvement, stage III, status post immunotherapy with complete regression",compatible_partial,different,contradicted,Output incorrectly states 'complete regression' for the current diagnosis and provides a generic stage III instead of IIIC.
DA_d2_heldout100/437,DA,typed_event_graph,High-grade atrioventricular block (intermittent complete heart block) with syncope,compatible_partial,broader,supported,"The output identifies advanced AV block, but misses the specific MBBB etiology."
DA_d2_heldout100/437,DA,flat_facts,"Intermittent complete atrioventricular block causing syncope, in the setting of severe left ventricular systolic dysfunction with diffuse LV hypocontractility and conduction system disease",compatible_partial,broader,supported,The output identifies advanced AV block but misses the specific MBBB etiology. It adds supported but unrequested details.
DA_d2_heldout100/437,DA,raw_vignette,Ischemic cardiomyopathy with heart failure with reduced ejection fraction and left bundle branch block,incorrect,different,supported,"The output identifies ischemic cardiomyopathy and LBBB, which are not the primary diagnosis of MBBB with advanced AV block."
DA_d2_heldout100/439,DA,typed_event_graph,"Traumatic full-thickness macular hole, right eye, secondary to lightning injury",incorrect,different,contradicted,"The output diagnoses a macular hole, which is not present in the reference or vignette. The vignette describes cystoid macular abnormalities."
DA_d2_heldout100/439,DA,raw_vignette,Lightning-induced maculopathy with transient cystoid macular edema and outer retinal disruption,compatible_partial,broader,supported,"The output is broader, omitting 'delayed-onset' and adding 'transient' and 'outer retinal disruption' which are supported by the vignette but not explicitly in the reference."
DA_d2_heldout100/439,DA,flat_facts,Lightning-induced maculopathy with secondary posterior subcapsular cataract,compatible_partial,different,supported,"The output focuses on cataract, which is a secondary finding in the vignette, rather than the primary retinopathy and macular abnormalities described in the reference."
DA_d2_heldout100/451,DA,typed_event_graph,"Unilateral otomandibular syndrome (OMS) with severe temporal bone hypoplasia, middle ear fistula, and recurrent deep neck cellulitis",compatible_partial,broader,supported,"The output misses the core diagnosis of cholesteatoma, which is the primary etiology in the reference."
DA_d2_heldout100/451,DA,raw_vignette,"Congenital cholesteatoma of the middle ear with fistulization to the neck, complicating temporal bone hypoplasia in otomandibular syndrome",complete_equivalent,same,supported,The output identifies the same core diagnosis and all material components as the reference.
DA_d2_heldout100/451,DA,flat_facts,Congenital temporal bone hypoplasia with middle ear–cervical fistula and recurrent deep neck cellulitis,compatible_partial,broader,supported,"The output misses the core diagnosis of cholesteatoma and the underlying syndrome, focusing on symptoms."
DA_d2_heldout200b/459,DA,raw_vignette,Non-ischemic dilated cardiomyopathy with heart failure (HFrEF) and paroxysmal atrial arrhythmias,compatible_partial,broader,supported,The output identifies cardiomyopathy and paroxysmal arrhythmia but omits the specific etiology and subtype. It adds 'dilated' and 'HFrEF'.
DA_d2_heldout200b/459,DA,flat_facts,"Non-ischemic dilated cardiomyopathy with heart failure with reduced ejection fraction (HFrEF), complicated by paroxysmal atrial fibrillation with rapid ventricular response",compatible_partial,different,contradicted,"The output identifies cardiomyopathy and paroxysmal arrhythmia but misidentifies the specific arrhythmia as atrial fibrillation, which is contradicted by the ECG findings."
DA_d2_heldout200b/459,DA,typed_event_graph,Non-ischemic cardiomyopathy with severe left ventricular systolic dysfunction (HFrEF) and paroxysmal atrial fibrillation,compatible_partial,different,contradicted,"The output identifies cardiomyopathy and paroxysmal arrhythmia but misidentifies the specific arrhythmia as atrial fibrillation, which is contradicted by the ECG findings."
DA_d2_heldout200b/474,DA,typed_event_graph,Acute viral myocarditis with cardiogenic shock and pulmonary edema,incorrect,different,contradicted,The output identifies a different etiology (viral myocarditis vs. COVID-19) and a different complication (cardiogenic shock vs. TAMOF).
DA_d2_heldout200b/474,DA,flat_facts,Acute viral myocarditis with cardiogenic shock,incorrect,different,contradicted,The output identifies a different etiology (viral myocarditis vs. COVID-19) and a different complication (cardiogenic shock vs. TAMOF).
DA_d2_heldout200b/474,DA,raw_vignette,"Thrombotic thrombocytopenic purpura (TTP) with multi-organ involvement (cardiac, renal, neurological, and coagulopathy)",incorrect,different,contradicted,The output identifies a different primary diagnosis (TTP vs. COVID-19) and a different complication (multi-organ involvement vs. TAMOF).
DA_d2_heldout200b/477,DA,flat_facts,COVID-19-associated acute ischemic stroke due to cerebral vasculopathy with secondary thrombocytopenia and coagulopathy,compatible_partial,narrower,supported,"Omits MIS-C, a core diagnosis. Adds unsupported secondary thrombocytopenia/coagulopathy as diagnosis."
DA_d2_heldout200b/477,DA,raw_vignette,Multisystem Inflammatory Syndrome in Children (MIS-C) with central nervous system vasculitis and acute ischemic stroke,complete_equivalent,same,supported,"Identifies MIS-C and acute ischemic stroke, consistent with the reference. 'Central nervous system vasculitis' is supported."
DA_d2_heldout200b/477,DA,typed_event_graph,COVID-19-associated acute ischemic stroke with multifocal cerebral vasculopathy,compatible_partial,narrower,supported,"Omits MIS-C, a core diagnosis. 'Multifocal cerebral vasculopathy' is supported by imaging."
DA_d2_heldout200b/478,DA,raw_vignette,Acute respiratory syncytial virus (RSV) bronchiolitis/pneumonia with acute respiratory distress syndrome (ARDS) and septic shock in a premature infant,incorrect,different,contradicted,"The output identifies RSV as the etiology, which is contradicted by the negative RSV PCR. The reference identifies SARS-CoV-2."
DA_d2_heldout200b/480,DA,flat_facts,"Negative pressure pulmonary edema (post-obstructive) due to upper airway obstruction by snow, acute, resolved",compatible_partial,narrower,supported,"Output omits pulmonary haemorrhage. 'Resolved' is an unsupported addition as the reference is a diagnosis, not a course."
DA_d2_heldout200b/480,DA,raw_vignette,Negative pressure pulmonary edema (post-obstructive pulmonary edema),compatible_partial,narrower,supported,"Output omits the complication of pulmonary haemorrhage, which is a material component of the reference."
DA_d2_heldout200b/480,DA,typed_event_graph,Negative pressure pulmonary edema (NPPE) secondary to acute upper airway obstruction from snow burial,compatible_partial,narrower,supported,"Output omits the complication of pulmonary haemorrhage, which is a material component of the reference."
DA_d2_heldout200b/484,DA,flat_facts,"Disseminated tuberculosis (pulmonary, lymphatic, cutaneous) with reactive polyarthritis (Poncet's disease)",complete_equivalent,same,supported,"The output correctly identifies Poncet's Disease and tuberculous lymphadenitis, which is the core of the reference."
DA_d2_heldout200b/484,DA,typed_event_graph,"Disseminated tuberculosis (miliary tuberculosis) with pulmonary, lymphatic, cutaneous, articular, and hepatic involvement",compatible_partial,different,supported,The output misses Poncet's Disease and adds 'miliary tuberculosis' and 'hepatic involvement' which are not explicitly stated in the reference.
DA_d2_heldout200b/484,DA,raw_vignette,"Disseminated tuberculosis (miliary tuberculosis) with pulmonary, lymphatic, cutaneous, and articular involvement",compatible_partial,different,supported,The output misses Poncet's Disease and adds 'miliary tuberculosis' which is not explicitly stated in the reference.
DA_d2_heldout200b/485,DA,typed_event_graph,LVAD-associated infection (Corynebacterium jeikeium bacteremia) with secondary immune complex glomerulonephritis (infection-related glomerulonephritis) and positive PR3-ANCA as a secondary phenomenon,compatible_partial,broader,supported,Omits 'focal segmental necrotising' and 'chronic' from the glomerulonephritis description. Adds PR3-ANCA as secondary phenomenon.
DA_d2_heldout200b/485,DA,raw_vignette,LVAD-associated infection (Corynebacterium jeikeium bacteremia) causing immune-complex crescentic glomerulonephritis (post-infectious glomerulonephritis),compatible_partial,broader,supported,Omits 'focal segmental necrotising' and 'chronic'. Adds 'crescentic' which is supported but not explicitly in the reference.
