case_id,option_letter,option_text,relation_type,acceptable_leaf_labels,adjudicated_relation_present,source,review_status
mxh011,H,Epstein-Barr virus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,I,Corynebacterium diphtheriae,equivalent,['diphtheria'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,J,Respiratory syncytial virus (RSV),unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,A,*Pseudomonas aeruginosa*,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,B,*Bartonella henselae*,equivalent,['bartonella henselae endocarditis'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,C,HACEK group organisms,equivalent,['hacek group endocarditis'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,D,*Candida albicans*,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,E,Beta-hemolytic streptococci,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,F,*Staphylococcus aureus*,equivalent,['staphylococcus aureus endocarditis'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,G,Coagulase-negative *Staphylococcus spp.*,equivalent,['prosthetic valve endocarditis'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,H,*Pseudomonas* aeruginosa,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,I,*Streptococcus bovis*,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh014,J,*Enterococcus*,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,A,Prader-Willi syndrome,equivalent,['prader-willi syndrome'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,B,Congenital hyperinsulinism,equivalent,['congenital hyperinsulinism'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,C,Carnitine palmitoyltransferase II deficiency,equivalent,['carnitine palmitoyltransferase ii deficiency'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,D,"Fructose-1,6-bisphosphatase deficiency",equivalent,"['fructose-1,6-bisphosphatase deficiency']",True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,E,Gaucher disease,equivalent,['gaucher disease'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,F,Lipoprotein lipase deficiency,equivalent,['lipoprotein lipase deficiency'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,G,Glycogen storage disease type 1,equivalent,"['glycogen storage disease type 1', 'glycogen storage disease type 1a']",True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,H,Tay-Sachs disease,equivalent,['tay-sachs disease'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,I,Familial hypercholesterolemia,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh036,J,Niemann-Pick disease type A,equivalent,['niemann-pick disease type a'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,A,Hirschsprung disease,equivalent,['hirschsprung disease'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,B,Intestinal lymphoma,equivalent,['intestinal lymphoma'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,C,Superior mesenteric artery syndrome,equivalent,['superior mesenteric artery syndrome'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,D,Chronic intestinal pseudo-obstruction,equivalent,['chronic intestinal pseudo-obstruction'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,E,Volvulus,equivalent,['volvulus'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,F,Malrotation of the gut,equivalent,['malrotation of the gut'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,G,Pyloric stenosis,equivalent,['pyloric stenosis'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,H,Intussusception,equivalent,['intussusception'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,I,Meckel diverticulum,equivalent,['meckel diverticulum'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh045,J,Duodenal web,equivalent,['duodenal web'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,A,Fibrillin 1 deficiency,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,B,Procollagen peptidase deficiency,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,C,Type I collagen mutation,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,D,Deficiency of pyridoxine-dependent enzymes,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,E,"Alpha-1,4-glucosidase deficiency",unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,F,Mutation in the FGFR3 gene,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,G,Type V collagen deficiency,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,H,Lysyl hydroxylase deficiency,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,I,Homogentisic acid oxidase deficiency,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh046,J,Cystathionine synthase deficiency,equivalent,['homocystinuria'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,A,Anticholinergic toxicity,equivalent,['anticholinergic toxicity'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,B,Exertional heat stroke,equivalent,['exertional heat stroke'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,C,Malignant hyperthermia,equivalent,['malignant hyperthermia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,D,Neuroleptic malignant syndrome,equivalent,['neuroleptic malignant syndrome'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,E,Central nervous system infection,equivalent,['central nervous system infection'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,F,Drug-induced hyperthermia,equivalent,['drug-induced hyperthermia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,G,Septic shock,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,H,Nonexertional heat stroke,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,I,Thyroid storm,equivalent,['thyroid storm'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh055,J,Status epilepticus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,A,Group A Streptococcus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,B,Parainfluenza virus type 1,equivalent,['parainfluenza'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,C,Haemophilus influenzae type b,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,D,Mycoplasma pneumoniae,equivalent,['pneumonia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,E,Staphylococcus aureus,equivalent,['tracheitis'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,F,Adenovirus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,G,Influenza A virus,equivalent,['influenza'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,H,Respiratory syncytial virus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,I,Epstein-Barr virus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh068,J,Corynebacterium diphtheriae,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,A,Tetralogy of Fallot,equivalent,['tetralogy of fallot'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,B,Patent ductus arteriosus,equivalent,['patent ductus arteriosus'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,C,Double outlet right ventricle,equivalent,['double outlet right ventricle'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,D,Hypoplastic left heart syndrome,equivalent,['hypoplastic left heart syndrome'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,E,Ebstein anomaly,equivalent,['ebstein anomaly'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,F,Total anomalous pulmonary venous connection,equivalent,['total anomalous pulmonary venous connection'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,G,Tricuspid atresia,equivalent,['tricuspid atresia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,H,Transposition of the great arteries,equivalent,['transposition of the great arteries'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,I,Atrioventricular septal defect,equivalent,"['atrioventricular septal defect', 'ventricular septal defect']",True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh075,J,Truncus arteriosus,equivalent,['truncus arteriosus'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
