file,dataset,slice,case_id,gold,layer,layer_aphhm,e7_correct,B06_correct,B07_correct,APHHM_correct,auto_tags,manual_tag,one_liner
da_d2_heldout100_273.md,da,d2_heldout100,273,Very severe chronic atopic hand eczema with moderate to severe atopic dermatitis,e7_win_rank,aphhm_lose,1,0,0,0,aphhm_prune_loss|s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
da_d2_heldout200b_592.md,da,d2_heldout200b,592,Pulmonary Reperfusion Injury after catheter-directed thrombectomy for acute pulmonary embolism,e7_win_rank,,1,0,0,,s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
da_d2_seq100_173.md,da,d2_seq100,173,Netherton syndrome,e7_win_recall,,1,0,0,1,mapper_rescue,mapper_rescue,e7 S2召回金标但S3/S4丢掉；DA option@1仍对→mapper捡漏，非入口广度
da_d2_seq100_202.md,da,d2_seq100,202,Type B lactic acidosis secondary to diffuse large B-cell lymphoma,e7_win_recall,,1,0,0,1,entrance_breadth,entrance_breadth,e7 S2召回且S4命中；基线候选未召回→入口/覆盖优势
da_d2_heldout100_262.md,da,d2_heldout100,262,IBD-associated neutrophilic dermatosis with ulcerative colitis,e7_win_recall,aphhm_lose,1,0,0,0,mapper_rescue,mapper_rescue,e7 S2召回金标但S3/S4丢掉；DA option@1仍对→mapper捡漏，非入口广度
da_d2_heldout100_414.md,da,d2_heldout100,414,Juvenile-onset glaucoma with compound heterozygous LTBP2 mutations,e7_win_recall,aphhm_lose,1,0,0,0,aphhm_prune_loss|mapper_rescue,mapper_rescue,e7 S2召回金标但S3/S4丢掉；DA option@1仍对→mapper捡漏，非入口广度
da_d2_heldout200b_530.md,da,d2_heldout200b,530,Calcinosis cutis in Sjögren syndrome,e7_win_recall,,1,0,0,,mapper_rescue,mapper_rescue,e7 S2召回金标但S3/S4丢掉；DA option@1仍对→mapper捡漏，非入口广度
da_d2_heldout200b_698.md,da,d2_heldout200b,698,Concurrent pulmonary and cerebral mucormycosis,e7_win_recall,,1,0,0,,mapper_rescue,mapper_rescue,e7 S2召回金标但S3/S4丢掉；DA option@1仍对→mapper捡漏，非入口广度
mcr_mcr_200b_358.md,mcr,mcr_200b,358,Foreign body granuloma,all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
mcr_mcr_v2_190.md,mcr,mcr_v2,190,Primary signet-ring cell carcinoma of the bladder,all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
mcr_mcr_v2_209.md,mcr,mcr_v2,209,melanoma,all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
mcr_mcr_v1_95.md,mcr,mcr_v1,95,Tuberculosis,all_miss_but_recalled,,0,0,0,0,hard_miss|s3_s4_ranking,hard_miss|s3_s4_ranking,并集召回但终值全错
mcr_mcr_200b_431.md,mcr,mcr_200b,431,congenital cytomegalovirus infection,all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
mcr_mcr_v2_163.md,mcr,mcr_v2,163,Acute appendicitis,all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
mcr_mcr_200b_458.md,mcr,mcr_200b,458,Lymphangioleiomyomatosis,base_win_rank,,0,0,1,,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,e7召回并进短表但S4选错；基线排对
mcr_mcr_v2_197.md,mcr,mcr_v2,197,Pseudoseptic arthritis,base_win_rank,,0,1,0,,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,e7召回并进短表但S4选错；基线排对
mcr_mcr_v1_62.md,mcr,mcr_v1,62,Lipoblastoma,base_win_rank,,0,0,1,1,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,e7 S2有金标但S3剪掉；基线排对→骨干剪枝/排序弱点
mcr_mcr_v1_116.md,mcr,mcr_v1,116,systemic sclerosis sine scleroderma,base_win_rank,,0,1,0,1,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,e7召回并进短表但S4选错；基线排对
mcr_mcr_v2_152.md,mcr,mcr_v2,152,Squamous cell carcinoma,base_win_rank,,0,1,1,,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,e7召回并进短表但S4选错；基线排对
mcr_mcr_v1_126.md,mcr,mcr_v1,126,Extranodal natural killer/T-cell lymphoma nasal type,base_win_rank,aphhm_lose,0,0,1,0,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,e7 S2有金标但S3剪掉；基线排对→骨干剪枝/排序弱点
mcr_mcr_200b_456.md,mcr,mcr_200b,456,Ureteroarterial fistula,base_win_recall,,0,1,0,,multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
mcr_mcr_v1_11.md,mcr,mcr_v1,11,Multisystem inflammatory syndrome in children,base_win_recall,aphhm_lose,0,0,1,0,kb_or_rag_hit|multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
mcr_mcr_200b_322.md,mcr,mcr_200b,322,Factitious disorder,base_win_recall,,0,1,1,,kb_or_rag_hit|multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
mcr_mcr_200b_250.md,mcr,mcr_200b,250,Toxocariasis,base_win_recall,,0,1,0,,multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
mcr_mcr_v2_166.md,mcr,mcr_v2,166,Contrast-induced encephalopathy,base_win_recall,,0,1,1,,kb_or_rag_hit|multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
mcr_mcr_v2_212.md,mcr,mcr_v2,212,Neurofibromatosis type 2,base_win_recall,,0,1,0,,multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
mcr_mcr_v1_38.md,mcr,mcr_v1,38,trigeminal schwannoma,e7_win_rank,aphhm_lose,1,0,0,0,aphhm_prune_loss|near_synonym_judge|s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
mcr_mcr_v1_40.md,mcr,mcr_v1,40,hepatocellular carcinoma,e7_win_rank,aphhm_lose,1,0,0,0,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
mcr_mcr_v2_170.md,mcr,mcr_v2,170,T-cell lymphoblastic lymphoma,e7_win_rank,,1,0,0,,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
mcr_mcr_v2_173.md,mcr,mcr_v2,173,Chronic subdural hematoma,e7_win_rank,,1,0,0,,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
mcr_mcr_200b_412.md,mcr,mcr_200b,412,External cervical resorption,e7_win_rank,,1,0,0,,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
mcr_mcr_200b_365.md,mcr,mcr_200b,365,thyroglossal duct cyst,e7_win_recall,,1,0,0,,entrance_breadth,entrance_breadth,e7 S2召回且S4命中；基线候选未召回→入口/覆盖优势
mcr_mcr_200b_260.md,mcr,mcr_200b,260,syphilitic aortitis,e7_win_recall,,1,0,0,,entrance_breadth,entrance_breadth,e7 S2召回且S4命中；基线候选未召回→入口/覆盖优势
mcr_mcr_v1_111.md,mcr,mcr_v1,111,Giant cell tumor of bone,e7_win_recall,aphhm_lose,1,0,0,0,aphhm_prune_loss|entrance_breadth,entrance_breadth,e7 S2召回且S4命中；基线候选未召回→入口/覆盖优势
mcr_mcr_v1_33.md,mcr,mcr_v1,33,Dyke-Davidoff-Masson syndrome,e7_win_recall,,1,0,0,1,entrance_breadth,entrance_breadth,e7 S2召回且S4命中；基线候选未召回→入口/覆盖优势
mcr_mcr_200b_346.md,mcr,mcr_200b,346,myxoinflammatory fibroblastic sarcoma,e7_win_recall,,1,0,0,,entrance_breadth,entrance_breadth,e7 S2召回且S4命中；基线候选未召回→入口/覆盖优势
mcr_mcr_200b_374.md,mcr,mcr_200b,374,cryptogenic organizing pneumonia,e7_win_recall,,1,0,0,,entrance_breadth,entrance_breadth,e7 S2召回且S4命中；基线候选未召回→入口/覆盖优势
da_d2_seq100_27.md,da,d2_seq100,27,Histiocytoid Sweet syndrome,,aphhm_lose,1,1,1,0,hard_miss,aphhm_prune_loss|hard_miss,APHHM独错；他臂正确
da_d2_heldout100_372.md,da,d2_heldout100,372,Elevated Lipoprotein(a) causing discordance between direct and calculated LDL cholesterol measurements,,aphhm_lose,1,0,0,0,hard_miss,aphhm_prune_loss|hard_miss,APHHM独错；他臂正确
da_d2_seq100_76.md,da,d2_seq100,76,Low-grade chondrosarcoma of the mastoid with facial nerve involvement,,aphhm_lose,1,1,0,0,aphhm_prune_loss,aphhm_prune_loss,APHHM树召回后被final_ranking剪掉；他臂正确
da_d2_seq100_89.md,da,d2_seq100,89,Accelerated atrioventricular junctional tachycardia with isorhythmic atrioventricular dissociation,,aphhm_lose,0,1,1,0,aphhm_prune_loss,aphhm_prune_loss,APHHM树召回后被final_ranking剪掉；他臂正确
da_d2_seq100_137.md,da,d2_seq100,137,Papillary hemangioma,base_win_rank,aphhm_lose,0,0,1,0,aphhm_prune_loss|s3_s4_ranking,s3_s4_ranking,e7 S2有金标但S3剪掉；基线排对→骨干剪枝/排序弱点
da_d2_heldout100_334.md,da,d2_heldout100,334,Phaeohyphomycosis,all_miss_but_recalled,aphhm_win,0,0,0,1,hard_miss|s3_s4_ranking,hard_miss|s3_s4_ranking,并集召回但终值全错
da_d2_heldout100_272.md,da,d2_heldout100,272,Window-Period Acute Myocardial Infarction,all_miss_but_recalled,aphhm_win,0,0,0,1,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
da_d2_heldout100_349.md,da,d2_heldout100,349,Cutaneous histoplasmosis,all_miss_but_recalled,aphhm_win,0,0,0,1,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
da_d2_heldout100_381.md,da,d2_heldout100,381,Good syndrome,,aphhm_win,0,0,0,1,hard_miss,hard_miss,APHHM独占正确，其他臂未召回→稀有/细粒度标签
da_d2_heldout100_252.md,da,d2_heldout100,252,Folliculocentric lichen sclerosus et atrophicus,,aphhm_win,0,0,0,1,hard_miss,hard_miss,APHHM独占正确，其他臂未召回→稀有/细粒度标签
da_d2_seq100_174.md,da,d2_seq100,174,"Intravascular NK/T-cell lymphoma, nasal type",,aphhm_win,0,0,0,1,hard_miss,hard_miss,APHHM独占正确，其他臂未召回→稀有/细粒度标签
mcr_mcr_v1_78.md,mcr,mcr_v1,78,schwannoma,base_win_rank,aphhm_lose,0,1,1,0,near_synonym_judge|s3_s4_ranking,s3_s4_ranking,e7召回并进短表但S4选错；基线排对
mcr_mcr_v1_117.md,mcr,mcr_v1,117,Antiphospholipid syndrome,,aphhm_lose,1,1,1,0,hard_miss,aphhm_prune_loss|hard_miss,APHHM独错；他臂正确
mcr_mcr_v1_19.md,mcr,mcr_v1,19,Leiomyosarcoma,all_miss_but_recalled,aphhm_win,0,0,0,1,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
mcr_mcr_v1_35.md,mcr,mcr_v1,35,Petersen’s hernia,,aphhm_win,0,0,0,1,hard_miss,hard_miss,APHHM独占正确，其他臂未召回→稀有/细粒度标签
