slice_id,family,source_id,case_id,gold,logged_champion,n_occurrences,legacy_unsafe_merge_pairs,legacy_unsafe_merge_concepts,legacy_evidence_transfer_targets,legacy_foreign_support_spans,exact_minus_legacy_concepts,typed_relation_edges,legacy_gold_contaminated,exact_gold_contaminated,legacy_order_partition_changed,exact_order_partition_changed,legacy_score_top1,exact_score_top1,score_top1_flipped
DA_d2_seq100,DA,45,diagnosisarena__000045,Drug-induced dermatomyositis secondary to ipilimumab therapy,Dermatomyositis,9,3,1,4,6,1,1,False,False,False,False,Polymyositis,Polymyositis,False
DA_d2_seq100,DA,57,diagnosisarena__000057,Eosinophilic annular erythema (EAE),Drug-induced eosinophilic dermatitis,9,2,1,3,6,1,1,False,False,False,False,Drug-induced eosinophilic dermatitis,Eosinophilic dermatitis,True
DA_d2_seq100,DA,59,diagnosisarena__000059,Anastrozole-associated uveitis with cystoid macular edema,Cystoid Macular Edema,9,5,2,7,9,2,2,False,False,False,False,Cystoid Macular Edema,Cystoid Macular Edema,False
DA_d2_seq100,DA,60,diagnosisarena__000060,Ostium secundum atrial septal defect (OS-ASD),Atrial Septal Defect,6,0,0,0,0,0,0,False,False,False,False,Atrial Septal Defect,Atrial Septal Defect,False
DA_d2_seq100,DA,62,diagnosisarena__000062,Type I cryoglobulinemia associated with multiple myeloma,Multiple Myeloma,10,0,0,0,0,0,0,False,False,False,False,Multiple Myeloma,Multiple Myeloma,False
DA_d2_seq100,DA,63,diagnosisarena__000063,Synchysis scintillans with morning glory disc anomaly and chronic retinal detachment,Morning Glory Syndrome,8,2,1,2,2,1,1,False,False,False,False,Primary Hyperoxaluria,Morning Glory Syndrome,True
DA_d2_seq100,DA,67,diagnosisarena__000067,Septic shock with anuric kidney failure,Bradycardia,8,0,0,0,0,0,0,False,False,False,False,Bradycardia,Bradycardia,False
DA_d2_seq100,DA,72,diagnosisarena__000072,Three-vessel obstructive coronary artery disease,Coronary Artery Disease,10,0,0,0,0,0,0,False,False,False,False,Coronary Artery Disease,Coronary Artery Disease,False
DA_d2_seq100,DA,74,diagnosisarena__000074,Nonkeratinizing squamous cell carcinoma of the nasal mucosa with Schneiderian features,Hidradenoma,8,0,0,0,0,0,0,False,False,False,False,Hidradenoma,Hidradenoma,False
DA_d2_seq100,DA,76,diagnosisarena__000076,Low-grade chondrosarcoma of the mastoid with facial nerve involvement,Facial nerve schwannoma,6,2,1,3,11,1,1,False,False,False,False,Facial nerve schwannoma,Facial nerve schwannoma,False
DA_d2_seq100,DA,81,diagnosisarena__000081,Disseminated Strongyloides stercoralis infection with ocular involvement (choroiditis),Disseminated aspergillosis,9,0,0,0,0,0,0,False,False,False,False,Disseminated aspergillosis,Disseminated aspergillosis,False
DA_d2_seq100,DA,83,diagnosisarena__000083,Enhanced S-cone syndrome (ESCS),Retinitis Pigmentosa,7,0,0,0,0,0,0,False,False,False,False,Retinitis Pigmentosa,Retinitis Pigmentosa,False
DA_d2_seq100,DA,87,diagnosisarena__000087,Myopericarditis,Acute Pericarditis,7,2,1,3,6,1,1,False,False,False,False,Acute Pericarditis,Pericarditis,True
DA_d2_seq100,DA,89,diagnosisarena__000089,Accelerated atrioventricular junctional tachycardia with isorhythmic atrioventricular dissociation,Atrioventricular Nodal Reentrant Tachycardia,6,0,0,0,0,0,0,False,False,False,False,Atrioventricular Nodal Reentrant Tachycardia,Atrioventricular Nodal Reentrant Tachycardia,False
DA_d2_seq100,DA,90,diagnosisarena__000090,Caruncular melanoma,Malignant Melanoma of the Caruncle,6,2,1,3,6,1,1,False,False,False,False,Malignant Melanoma of the Caruncle,Malignant Melanoma of the Caruncle,False
DA_d2_seq100,DA,95,diagnosisarena__000095,"Progressive Ataxia and Palatal Tremor (PAPT), sporadic type",Palatal Myoclonus,9,0,0,0,0,0,0,False,False,False,False,Palatal Myoclonus,Palatal Myoclonus,False
DA_d2_seq100,DA,97,diagnosisarena__000097,Anti-TIF-1γ juvenile dermatomyositis (JDM),Dermatomyositis,10,9,1,6,23,1,1,False,False,False,False,Dermatomyositis,Dermatomyositis,False
DA_d2_seq100,DA,99,diagnosisarena__000099,Epidermolysis bullosa pruriginosa (EBP),Dystrophic Epidermolysis Bullosa,7,12,1,6,25,3,4,False,False,True,False,Dystrophic Epidermolysis Bullosa,Dystrophic Epidermolysis Bullosa,False
DA_d2_seq100,DA,100,diagnosisarena__000100,Telangiectatic metastatic breast carcinoma (TMBC),Cutaneous metastasis,6,2,1,2,5,1,1,False,False,False,False,Cutaneous metastasis,Cutaneous metastasis of breast carcinoma,True
DA_d2_seq100,DA,102,diagnosisarena__000102,Annular epidermolytic ichthyosis (AEI),Epidermolytic Hyperkeratosis,6,0,0,0,0,0,0,False,False,False,False,Bullous Congenital Ichthyosiform Erythroderma,Bullous Congenital Ichthyosiform Erythroderma,False
DA_d2_seq100,DA,103,diagnosisarena__000103,Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block,Orthodromic Atrioventricular Reentrant Tachycardia,8,1,1,2,2,1,1,False,False,False,False,Orthodromic Atrioventricular Reentrant Tachycardia,Supraventricular Tachycardia,True
DA_d2_seq100,DA,107,diagnosisarena__000107,Keloidal scleroderma,Scleromyxedema,9,0,0,0,0,0,0,False,False,False,False,Scleromyxedema,Scleromyxedema,False
DA_d2_seq100,DA,111,diagnosisarena__000111,Inverse lichen planus,Granuloma annulare,9,0,0,0,0,0,0,False,False,False,False,Granuloma annulare,Granuloma annulare,False
DA_d2_seq100,DA,114,diagnosisarena__000114,Reversible cerebral vasoconstriction syndrome (RCVS),Toxic Encephalopathy,9,3,1,3,6,2,2,False,False,True,False,Cannabinoid Hyperemesis Syndrome,Cannabinoid Hyperemesis Syndrome,False
DA_d2_seq100,DA,117,diagnosisarena__000117,Pyoderma with Staphylococcus simulans,Staphylococcal skin infection,6,0,0,0,0,0,0,False,False,False,False,Staphylococcal skin infection,Staphylococcal skin infection,False
DA_d2_seq100,DA,118,diagnosisarena__000118,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,Optic Neuritis,10,9,1,5,18,3,3,False,False,True,False,Optic Neuritis,Post-infectious optic neuritis,True
DA_d2_seq100,DA,119,diagnosisarena__000119,Eruptive pruritic papular porokeratosis (EPPP),Grover's disease,6,0,0,0,0,0,0,False,False,False,False,Grover's disease,Grover's disease,False
DA_d2_seq100,DA,120,diagnosisarena__000120,Myopic macular pit,Optic Disc Pit,6,1,1,2,2,1,1,False,False,False,False,Pathologic myopia,Pathologic myopia,False
DA_d2_seq100,DA,122,diagnosisarena__000122,Vagus-mediated paroxysmal atrioventricular block (VP-AVB),Sick Sinus Syndrome,5,0,0,0,0,0,0,False,False,False,False,Sick Sinus Syndrome,Sick Sinus Syndrome,False
DA_d2_seq100,DA,124,diagnosisarena__000124,Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue,Hidradenocarcinoma,8,0,0,0,0,0,0,False,False,False,False,Hidradenocarcinoma,Hidradenocarcinoma,False
DA_d2_seq100,DA,125,diagnosisarena__000125,Tumors of the follicular infundibulum (TFI),Eccrine poroma,7,0,0,0,0,0,0,False,False,False,False,Nevus depigmentosus,Nevus depigmentosus,False
DA_d2_seq100,DA,128,diagnosisarena__000128,Cutaneous angiosarcoma,Angiosarcoma,8,0,0,0,0,0,0,False,False,False,False,Kaposi's Sarcoma,Kaposi's Sarcoma,False
DA_d2_seq100,DA,129,diagnosisarena__000129,Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation,Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),6,3,1,2,5,1,1,False,False,False,False,Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),False
DA_d2_seq100,DA,132,diagnosisarena__000132,Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block),High-degree atrioventricular block,13,0,0,0,0,0,1,False,False,False,False,Pulmonary hypertension,Pulmonary hypertension,False
DA_d2_seq100,DA,134,diagnosisarena__000134,Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL),Primary Central Nervous System Lymphoma,11,3,1,3,3,1,1,False,False,False,False,Primary Central Nervous System Lymphoma,Primary Central Nervous System Lymphoma,False
DA_d2_seq100,DA,137,diagnosisarena__000137,Papillary hemangioma,Dabska tumor,5,0,0,0,0,0,0,False,False,False,False,Dabska tumor,Dabska tumor,False
DA_d2_seq100,DA,139,diagnosisarena__000139,Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis,Vascular Tumor of the Thyroid with metastasis,6,0,0,0,0,0,0,False,False,False,False,Vascular Tumor of the Thyroid with metastasis,Vascular Tumor of the Thyroid with metastasis,False
DA_d2_seq100,DA,140,diagnosisarena__000140,Pheochromocytoma-induced cardiomyopathy,Takotsubo cardiomyopathy,10,0,0,0,0,0,0,False,False,False,False,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,False
DA_d2_seq100,DA,147,diagnosisarena__000147,Linear or annular lupus erythematosus panniculitis of the scalp (LALPS),Morphea,9,0,0,0,0,0,0,False,False,False,False,Lichen Planopilaris,Lichen Planopilaris,False
DA_d2_seq100,DA,149,diagnosisarena__000149,Giant cell tumor of soft tissue (GCT-ST),Giant Cell Tumor,8,0,0,0,0,0,0,False,False,False,False,Giant Cell Tumor,Giant Cell Tumor,False
DA_d2_seq100,DA,150,diagnosisarena__000150,Transient left abducens (cranial nerve VI) nerve palsy,Abducens nerve palsy,7,0,0,0,0,0,0,False,False,False,False,Abducens nerve palsy,Abducens nerve palsy,False
DA_d2_seq100,DA,151,diagnosisarena__000151,Large middle cerebral artery territory embolic stroke,Atrial Fibrillation with Embolic Stroke,8,1,1,2,2,1,2,False,False,True,False,Atrial Fibrillation with Embolic Stroke,Ischemic stroke,True
DA_d2_seq100,DA,156,diagnosisarena__000156,Drug-induced blepharitis and ectropion associated with TNF-α inhibitors (infliximab and adalimumab),Blepharitis,9,3,1,4,8,1,1,False,False,False,False,Blepharitis,Blepharitis,False
DA_d2_seq100,DA,158,diagnosisarena__000158,Bullous pilomatricoma,Pilomatrixoma,6,0,0,0,0,0,0,False,False,False,False,Pilomatrixoma,Pilomatrixoma,False
DA_d2_seq100,DA,161,diagnosisarena__000161,Hemosiderotic fibrolipomatous tumor (HFLT),Nora's lesion,3,0,0,0,0,0,0,False,False,False,False,Nora's lesion,Nora's lesion,False
DA_d2_seq100,DA,163,diagnosisarena__000163,FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH),Chronic Eosinophilic Leukemia,11,2,1,2,2,1,1,False,False,False,False,Eosinophilic Disorder,Eosinophilic Disorder,False
DA_d2_seq100,DA,164,diagnosisarena__000164,Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy,Leukemia,9,4,1,4,10,1,1,False,False,False,False,Leukemia,Acute lymphoblastic leukemia,True
DA_d2_seq100,DA,165,diagnosisarena__000165,Nocardia brasiliensis skin infection,Cutaneous nocardiosis,9,0,0,0,0,0,0,False,False,False,False,Nocardia infection,Nocardia infection,False
DA_d2_seq100,DA,167,diagnosisarena__000167,Chikungunya virus-induced bilateral stromal keratouveitis,Chikungunya virus-associated uveitis,8,0,0,0,0,0,0,False,False,False,False,Chikungunya virus infection,Chikungunya virus infection,False
DA_d2_seq100,DA,173,diagnosisarena__000173,Netherton syndrome,Psoriasis,7,2,1,3,5,1,1,False,False,False,False,Alopecia,Psoriasis,True
DA_d2_seq100,DA,174,diagnosisarena__000174,"Intravascular NK/T-cell lymphoma, nasal type",Intravascular lymphoma,11,0,0,0,0,0,1,False,False,False,False,Cutaneous T-cell lymphoma,Cutaneous T-cell lymphoma,False
DA_d2_seq100,DA,177,diagnosisarena__000177,Subacute left ventricular free wall rupture (LVFWR) complicating acute myocardial infarction,Myocardial Infarction,10,0,0,0,0,0,0,False,False,False,False,Acute Coronary Syndrome,Acute Coronary Syndrome,False
DA_d2_seq100,DA,181,diagnosisarena__000181,Benign lymphangioendothelioma (BLAE),Targetoid hemosiderotic hemangioma,9,5,1,4,10,2,2,False,False,True,False,Targetoid hemosiderotic hemangioma,Targetoid hemosiderotic hemangioma,False
DA_d2_seq100,DA,182,diagnosisarena__000182,Fibrofatty residua of involuted infantile hemangioma,Nevus lipomatosus superficialis,4,0,0,0,0,0,0,False,False,False,False,Lipofibromatosis,Lipofibromatosis,False
DA_d2_seq100,DA,183,diagnosisarena__000183,Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension,Glioma,11,3,2,4,5,2,2,False,False,False,False,Glioma,Glioblastoma,True
DA_d2_seq100,DA,186,diagnosisarena__000186,Pseudoxanthoma elasticum-like disorder with coagulation deficiency,Pseudoxanthoma elasticum,6,0,0,0,0,0,0,False,False,False,False,Pseudoxanthoma elasticum,Pseudoxanthoma elasticum,False
DA_d2_seq100,DA,187,diagnosisarena__000187,Xanthoma disseminatum,Erdheim-Chester disease,10,1,1,2,4,1,1,False,False,False,False,Erdheim-Chester disease,Erdheim-Chester disease,False
DA_d2_seq100,DA,188,diagnosisarena__000188,Coronary Artery Disease (CAD) with Giant R-wave Syndrome,Long QT Syndrome,9,0,0,0,0,0,0,False,False,False,False,Arrhythmogenic Right Ventricular Cardiomyopathy,Arrhythmogenic Right Ventricular Cardiomyopathy,False
DA_d2_seq100,DA,190,diagnosisarena__000190,Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis,Frontal sinusitis,9,2,1,3,3,1,1,False,False,False,False,Frontal sinusitis,Chronic frontal sinusitis,True
DA_d2_seq100,DA,194,diagnosisarena__000194,Hyperoleon within a lamellar macular hole,Lamellar Macular Hole,10,0,0,0,0,0,0,False,False,False,False,Lamellar Macular Hole,Lamellar Macular Hole,False
DA_d2_seq100,DA,198,diagnosisarena__000198,Stage IA endometrial cancer,Lynch syndrome,3,0,0,0,0,0,0,False,False,False,False,Lynch syndrome,Lynch syndrome,False
DA_d2_seq100,DA,202,diagnosisarena__000202,Type B lactic acidosis secondary to diffuse large B-cell lymphoma,Lymphoma,9,0,0,0,0,0,0,False,False,False,False,Lymphoma,Lymphoma,False
DA_d2_seq100,DA,205,diagnosisarena__000205,Methimazole-induced vasculitis,Cutaneous Leukocytoclastic Vasculitis,12,0,0,0,0,-1,1,False,False,False,False,Erythema Induratum,Erythema Induratum,False
DA_d2_seq100,DA,206,diagnosisarena__000206,Acute posterior and inferior myocardial infarction (STEMI equivalent) due to saphenous vein graft occlusion,Graft Occlusion,9,0,0,0,0,0,0,False,False,False,False,Acute Coronary Syndrome,Acute Coronary Syndrome,False
DA_d2_seq100,DA,207,diagnosisarena__000207,Mucous membrane pemphigoid (MMP),Cicatricial Pemphigoid,7,2,1,0,0,1,1,False,False,False,False,Cicatricial Pemphigoid,Ocular cicatricial pemphigoid,True
DA_d2_seq100,DA,211,diagnosisarena__000211,Brown tumor secondary to primary hyperparathyroidism due to parathyroid carcinoma,Brown Tumor,9,2,1,3,4,1,1,False,False,False,False,Osteitis Fibrosa Cystica,Osteitis Fibrosa Cystica,False
DA_d2_seq100,DA,214,diagnosisarena__000214,Macular retinal vein occlusion with chronic cystoid macular edema,Cystoid Macular Edema,6,2,1,3,4,1,2,False,False,True,False,Cystoid Macular Edema,Cystoid Macular Edema,False
DA_d2_seq100,DA,216,diagnosisarena__000216,Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS),COVID-19,10,0,0,0,0,0,0,False,False,False,False,Acute Respiratory Distress Syndrome (ARDS),Acute Respiratory Distress Syndrome (ARDS),False
DA_d2_seq100,DA,219,diagnosisarena__000219,Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC),Nevoid basal cell carcinoma syndrome,6,6,2,5,13,3,5,False,False,False,False,Nevoid basal cell carcinoma syndrome,Nevoid basal cell carcinoma syndrome,False
DA_d2_seq100,DA,220,diagnosisarena__000220,"Plasmablastic lymphoma (PBL), stage 1 with high-risk features",Extranodal NK/T-cell lymphoma,5,2,1,1,1,1,1,False,False,False,False,Extranodal NK/T-cell lymphoma,Extranodal NK/T-cell lymphoma,False
DA_d2_seq100,DA,225,diagnosisarena__000225,Richter's transformation presenting as penile ulcer (transformation of chronic lymphocytic leukemia to diffuse large B-cell lymphoma),Diffuse large B-cell lymphoma,8,3,1,3,4,1,1,False,False,False,False,Diffuse large B-cell lymphoma,Diffuse large B-cell lymphoma,False
DA_d2_seq100,DA,226,diagnosisarena__000226,Actinic prurigo with associated cheilitis,Discoid Lupus Erythematosus,8,0,0,0,0,0,0,False,False,False,False,Discoid Lupus Erythematosus,Discoid Lupus Erythematosus,False
DA_d2_seq100,DA,227,diagnosisarena__000227,Bullous amyloidosis,Amyloidosis,9,6,1,5,15,1,1,False,False,False,False,Amyloidosis,Multiple myeloma-associated amyloidosis,True
DA_d2_seq100,DA,228,diagnosisarena__000228,Primary systemic (AL) amyloidosis,Primary Systemic Amyloidosis,6,7,1,5,19,2,4,False,False,True,False,Primary Systemic Amyloidosis,Primary Systemic Amyloidosis,False
DA_d2_seq100,DA,229,diagnosisarena__000229,Rheumatoid meningitis,Rheumatoid Meningitis,11,0,0,0,0,0,0,False,False,False,False,Multiple Sclerosis,Multiple Sclerosis,False
DA_d2_seq100,DA,231,diagnosisarena__000231,Stage IV invasive renal urothelial carcinoma,Florid cutaneous papillomatosis,8,0,0,0,0,0,0,False,False,False,False,Tylosis with esophageal cancer,Tylosis with esophageal cancer,False
DA_d2_seq100,DA,233,diagnosisarena__000233,Multisystem Langerhans cell histiocytosis,Langerhans cell histiocytosis,5,6,1,2,2,1,1,False,False,False,False,Langerhans cell histiocytosis,Langerhans cell histiocytosis,False
DA_d2_seq100,DA,237,diagnosisarena__000237,Intergluteal and sacral hyperhidrosis,Hyperhidrosis,7,12,1,6,13,3,3,False,False,False,False,Hyperhidrosis,Hyperhidrosis,False
DA_d2_seq100,DA,241,diagnosisarena__000241,Endogenous endophthalmitis with iris abscess,Endophthalmitis,6,9,1,6,12,1,1,False,False,False,False,Endophthalmitis,Endophthalmitis,False
DA_d2_seq100,DA,242,diagnosisarena__000242,Branch retinal vein occlusion with preretinal neovascularization,Exudative (Wet) Age-related Macular Degeneration,9,0,0,0,0,0,0,False,False,False,False,Neovascular Age-related Macular Degeneration,Neovascular Age-related Macular Degeneration,False
DA_d2_seq100,DA,243,diagnosisarena__000243,Juvenile spring eruption (JSE) associated with parvovirus B19 infection,Erythema multiforme,8,0,0,0,0,0,0,False,False,False,False,Erythema multiforme,Erythema multiforme,False
DA_d2_seq100,DA,246,diagnosisarena__000246,Tufted angioma with somatic KDR mutation,Somatic KDR (VEGFR2) Mutation-associated Vascular Lesion,9,0,0,0,0,0,0,False,False,False,False,Angiosarcoma,Angiosarcoma,False
DA_d2_seq100,DA,249,diagnosisarena__000249,CD8-positive granulomatous cutaneous T-cell lymphoma,Mycosis Fungoides,9,0,0,0,0,0,0,False,False,False,False,Mycosis Fungoides,Mycosis Fungoides,False
DA_d2_heldout100,DA,252,diagnosisarena__000252,Folliculocentric lichen sclerosus et atrophicus,Keratosis pilaris,10,0,0,0,0,0,0,False,False,False,False,Keratosis pilaris,Keratosis pilaris,False
DA_d2_heldout100,DA,254,diagnosisarena__000254,Pyomyositis of the levator scapulae muscle caused by Fusobacterium necrophorum,Paraspinal abscess,9,3,1,3,4,2,2,False,False,False,False,Paraspinal abscess,Lemierre's syndrome,True
DA_d2_heldout100,DA,255,diagnosisarena__000255,Pemphigus erythematosus (Senear-Usher syndrome),Lupus erythematosus,7,6,1,5,20,1,1,False,False,False,False,Lupus erythematosus,Subacute cutaneous lupus erythematosus,True
DA_d2_heldout100,DA,256,diagnosisarena__000256,Paracentral acute middle maculopathy in sickle cell disease,Sickle Cell Retinopathy,8,0,0,0,0,0,0,False,False,False,False,Sickle Cell Retinopathy,Sickle Cell Retinopathy,False
DA_d2_heldout100,DA,257,diagnosisarena__000257,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),HTRA1-related hereditary cerebral small vessel disease,7,2,1,1,1,1,0,False,False,False,False,Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy (CADASIL),Cerebral Amyloid Angiopathy,True
DA_d2_heldout100,DA,259,diagnosisarena__000259,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,Chronic obstructive pulmonary disease (COPD) exacerbation,7,0,0,0,0,0,0,False,False,False,False,Chronic obstructive pulmonary disease (COPD) exacerbation,Chronic obstructive pulmonary disease (COPD) exacerbation,False
DA_d2_heldout100,DA,261,diagnosisarena__000261,Cutaneous malakoplakia,Malakoplakia,4,2,1,3,7,1,1,True,False,False,False,Malakoplakia,Malakoplakia,False
DA_d2_heldout100,DA,262,diagnosisarena__000262,IBD-associated neutrophilic dermatosis with ulcerative colitis,Pyoderma gangrenosum,9,0,0,0,0,0,0,False,False,False,False,Inflammatory bowel disease,Inflammatory bowel disease,False
DA_d2_heldout100,DA,266,diagnosisarena__000266,Arrhythmogenic cardiomyopathy (AC) with biventricular involvement,Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC),5,0,0,0,0,0,0,False,False,False,False,Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC),Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC),False
DA_d2_heldout100,DA,268,diagnosisarena__000268,Ipsilateral hemisphere hemorrhagic stroke with peripheral-type facial paralysis,Stroke,7,3,1,2,3,1,1,False,False,False,False,Stroke,Stroke,False
DA_d2_heldout100,DA,269,diagnosisarena__000269,Severe generalized recessive dystrophic epidermolysis bullosa (RDEB) with revertant mosaicism,Revertant Mosaicism in Dystrophic Epidermolysis Bullosa,6,6,1,5,16,1,2,False,False,False,False,Revertant Mosaicism in Dystrophic Epidermolysis Bullosa,Dystrophic Epidermolysis Bullosa,True
DA_d2_heldout100,DA,270,diagnosisarena__000270,Dual atrioventricular (AV) nonreentrant tachycardia,Infective endocarditis,10,1,1,2,3,1,1,False,False,False,False,Tachyarrhythmia,Infective endocarditis,True
DA_d2_heldout100,DA,272,diagnosisarena__000272,Window-Period Acute Myocardial Infarction,Acute Coronary Syndrome,9,0,0,0,0,0,0,False,False,False,False,Acute Coronary Syndrome,Acute Coronary Syndrome,False
DA_d2_heldout100,DA,273,diagnosisarena__000273,Very severe chronic atopic hand eczema with moderate to severe atopic dermatitis,Allergic Contact Dermatitis,7,0,0,0,0,0,0,False,False,False,False,Allergic Contact Dermatitis,Allergic Contact Dermatitis,False
DA_d2_heldout100,DA,276,diagnosisarena__000276,Carcinoma erysipelatoides arising from triple-negative breast cancer,Carcinoma Erysipelatoides,8,0,0,0,0,0,0,False,False,False,False,Inflammatory Breast Cancer,Inflammatory Breast Cancer,False
DA_d2_heldout100,DA,281,diagnosisarena__000281,Stage IIA Malignant Melanoma with subsequent development of metastasis and a second primary melanoma,Melanoma,7,17,1,7,38,3,3,False,False,True,False,Melanoma,Melanoma,False
DA_d2_heldout100,DA,283,diagnosisarena__000283,Recurrent infiltrative basal cell carcinoma,Basal Cell Carcinoma,7,0,0,0,0,0,0,False,False,False,False,Basal Cell Carcinoma,Basal Cell Carcinoma,False
DA_d2_heldout100,DA,284,diagnosisarena__000284,Low-grade epithelioid pleural mesothelioma with tongue metastasis,Tongue Metastasis of Malignant Mesothelioma,5,5,1,4,12,2,3,False,False,True,False,Tongue Metastasis of Malignant Mesothelioma,Malignant Mesothelioma,True
