dataset,slice,case_id,gold,layer,layer_aphhm,e7_correct,v0_correct,B06_correct,B07_correct,B01_correct,APHHM_correct,e7_win_vs_base,base_win_vs_e7,exclusive_arm,vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,e7_s2_n,e7_s2_recall,e7_s3_recall,e7_s4_hit,e7_fail_mode,v0_s2_n,v0_s2_recall,v0_s3_recall,v0_s4_hit,v0_fail_mode,e7_s2_gold_rank,e7_mapper_rescue,B06_recall,B06_fail_mode,B07_recall,B07_fail_mode,B01_recall,B01_fail_mode,e7_s3_n,e7_s3_near_gold_n
da,d2_seq100,81,Disseminated Strongyloides stercoralis infection with ocular involvement (choroiditis),,aphhm_lose,0,1,0,0,0,0,0,0,v0,1787,214,8,1,0,0.46728971962616817,0.0,86,8,False,True,True,1,4,True,1.0,1,56.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,83,Enhanced S-cone syndrome (ESCS),all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1336,174,13,0,0,0.0,0.0,31,5,False,False,True,1,4,True,1.0,1,45.0,1,0,0,prune_miss_s3,14.0,1,0,0,prune_miss_s3,12,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,87,Myopericarditis,,,1,1,1,1,1,1,0,0,,1518,227,15,1,0,0.4405286343612335,0.0,15,1,False,False,False,1,4,True,1.0,1,48.0,1,1,1,s4_ok,19.0,1,1,0,rank_miss_s4,2,False,0,recall_miss,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,89,Accelerated atrioventricular junctional tachycardia with isorhythmic atrioventricular dissociation,,aphhm_lose,0,0,1,1,0,0,0,1,,1842,251,21,1,0,0.398406374501992,0.0,98,8,False,True,False,1,4,True,1.0,2,47.0,0,0,0,recall_miss_s2,15.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,90,Caruncular melanoma,,,1,1,1,1,1,1,0,0,,1674,216,16,1,0,0.4629629629629629,0.0,19,2,False,False,False,1,4,True,1.0,1,49.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,95,"Progressive Ataxia and Palatal Tremor (PAPT), sporadic type",,,1,0,0,0,0,1,1,0,e7,1329,192,9,1,0,0.5208333333333333,0.0,59,8,False,False,True,2,4,True,1.0,1,51.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,97,Anti-TIF-1γ juvenile dermatomyositis (JDM),,,1,1,1,1,1,1,0,0,,1267,158,9,2,0,1.2658227848101267,0.0,42,6,False,False,True,1,4,True,1.0,2,46.0,1,1,1,s4_ok,17.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,99,Epidermolysis bullosa pruriginosa (EBP),,,1,1,1,1,1,1,0,0,,1349,168,14,0,0,0.0,0.0,39,4,False,False,True,1,4,True,1.0,1,41.0,1,1,1,s4_ok,15.0,0,0,0,recall_miss_s2,32,False,0,recall_miss,1,cand_ok,0,recall_miss,5,3
da,d2_seq100,100,Telangiectatic metastatic breast carcinoma (TMBC),,,0,0,1,1,1,1,0,1,,1725,231,14,0,4,0.0,1.7316017316017316,49,5,False,False,True,1,4,True,1.0,2,43.0,1,1,0,rank_miss_s4,15.0,0,0,0,recall_miss_s2,8,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
da,d2_seq100,102,Annular epidermolytic ichthyosis (AEI),,,1,1,0,1,1,1,0,0,,2049,269,23,1,0,0.37174721189591076,0.0,38,4,False,False,True,1,4,True,1.0,2,47.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,103,Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block,,,1,1,1,1,1,1,0,0,,1706,236,15,0,0,0.0,0.0,78,9,False,True,True,1,4,True,1.0,2,42.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,5,False,1,cand_ok,0,recall_miss,1,cand_ok,5,1
da,d2_seq100,107,Keloidal scleroderma,,,0,0,0,0,0,0,0,0,,1783,248,18,4,1,1.6129032258064515,0.4032258064516129,20,2,False,False,False,1,4,True,1.0,1,44.0,0,0,0,recall_miss_s2,15.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,111,Inverse lichen planus,,,1,1,1,0,0,1,0,0,,1402,199,15,1,0,0.5025125628140703,0.0,21,3,False,False,False,1,4,True,1.0,2,40.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,11,False,1,cand_ok,0,recall_miss,0,recall_miss,5,1
da,d2_seq100,114,Reversible cerebral vasoconstriction syndrome (RCVS),all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1299,181,15,1,0,0.5524861878453038,0.0,52,5,False,False,True,1,4,True,1.0,1,44.0,1,0,0,prune_miss_s3,17.0,0,0,0,recall_miss_s2,17,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,117,Pyoderma with Staphylococcus simulans,,,1,1,1,1,0,1,0,0,,1386,207,16,3,0,1.4492753623188406,0.0,37,4,False,True,False,1,4,True,1.0,1,52.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,118,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,,,0,0,1,1,1,1,0,1,,2000,271,13,4,0,1.4760147601476015,0.0,84,10,False,True,False,1,4,True,1.0,1,50.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,119,Eruptive pruritic papular porokeratosis (EPPP),all_miss_but_recalled,aphhm_win,0,0,0,0,0,1,0,0,,1825,249,13,2,0,0.8032128514056224,0.0,46,5,False,False,True,1,4,True,1.0,1,46.0,1,0,0,prune_miss_s3,18.0,0,0,0,recall_miss_s2,12,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,120,Myopic macular pit,,,1,1,0,1,0,1,0,0,,1048,150,16,0,0,0.0,0.0,18,3,False,False,False,1,4,True,1.0,1,48.0,0,0,0,recall_miss_s2,15.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,122,Vagus-mediated paroxysmal atrioventricular block (VP-AVB),,,1,0,0,1,0,1,0,0,,1520,200,16,1,0,0.5,0.0,57,7,False,False,True,1,4,True,1.0,1,47.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,124,Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue,,,0,0,0,0,0,0,0,0,,2251,297,12,4,1,1.3468013468013467,0.33670033670033667,80,10,False,False,False,1,4,True,1.0,2,47.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,125,Tumors of the follicular infundibulum (TFI),,,0,0,0,0,0,0,0,0,,1618,239,15,1,0,0.41841004184100417,0.0,43,6,False,False,True,1,4,True,1.0,1,49.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,128,Cutaneous angiosarcoma,,,1,1,1,1,1,1,0,0,,1482,208,9,2,0,0.9615384615384616,0.0,22,2,False,False,False,1,4,True,1.0,2,52.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,129,Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1873,231,12,1,2,0.4329004329004329,0.8658008658008658,134,15,False,True,True,1,4,True,1.0,2,46.0,1,1,0,rank_miss_s4,16.0,1,1,0,rank_miss_s4,6,False,0,recall_miss,0,recall_miss,1,cand_ok,5,0
da,d2_seq100,132,Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block),,,0,1,0,1,1,1,0,1,,2006,293,20,1,0,0.3412969283276451,0.0,109,15,False,True,True,1,4,True,1.0,1,51.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,134,Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL),,aphhm_lose,1,1,1,1,1,0,0,0,,1858,252,22,6,0,2.380952380952381,0.0,70,10,False,True,True,1,4,True,1.0,1,45.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,137,Papillary hemangioma,base_win_rank,aphhm_lose,0,0,0,1,0,0,0,1,B07,1450,186,15,0,0,0.0,0.0,20,2,False,False,False,1,4,True,1.0,1,43.0,1,0,0,prune_miss_s3,15.0,1,0,0,prune_miss_s3,3,False,0,recall_miss,1,cand_ok,0,recall_miss,5,0
da,d2_seq100,139,Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis,,aphhm_lose,0,0,1,1,1,0,0,1,,1410,180,9,7,0,3.888888888888889,0.0,82,9,False,True,True,1,4,True,1.0,1,46.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,140,Pheochromocytoma-induced cardiomyopathy,,aphhm_lose,0,1,0,0,0,0,0,0,v0,1366,193,17,2,0,1.0362694300518136,0.0,39,3,False,False,False,1,4,True,1.0,1,51.0,1,1,0,rank_miss_s4,16.0,1,1,1,s4_ok,11,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,147,Linear or annular lupus erythematosus panniculitis of the scalp (LALPS),,,0,0,1,0,0,1,0,1,B06,2314,346,15,2,0,0.5780346820809248,0.0,71,10,False,False,True,1,4,True,1.0,1,53.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,149,Giant cell tumor of soft tissue (GCT-ST),base_win_rank,,0,0,1,1,1,1,0,1,,1834,260,14,4,0,1.5384615384615385,0.0,40,8,False,False,True,1,4,True,1.0,2,49.0,1,1,0,rank_miss_s4,18.0,1,1,0,rank_miss_s4,13,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,150,Transient left abducens (cranial nerve VI) nerve palsy,base_win_recall,,0,0,1,1,1,1,0,1,,1247,164,8,0,0,0.0,0.0,54,8,False,False,True,1,4,True,1.0,1,52.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
da,d2_seq100,151,Large middle cerebral artery territory embolic stroke,,,0,0,1,1,1,1,0,1,,1686,243,17,0,0,0.0,0.0,53,7,False,False,False,1,4,True,1.0,2,48.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
da,d2_seq100,156,Drug-induced blepharitis and ectropion associated with TNF-α inhibitors (infliximab and adalimumab),,,1,1,1,1,1,1,0,0,,992,127,11,1,0,0.7874015748031495,0.0,99,13,False,True,True,1,4,True,1.0,1,48.0,1,1,0,rank_miss_s4,15.0,1,1,0,rank_miss_s4,1,True,1,cand_ok,1,cand_ok,1,cand_ok,5,0
da,d2_seq100,158,Bullous pilomatricoma,,,1,1,1,0,1,1,0,0,,1426,211,14,1,0,0.47393364928909953,0.0,21,2,False,False,False,1,4,True,1.0,2,48.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,161,Hemosiderotic fibrolipomatous tumor (HFLT),,aphhm_lose,1,0,0,0,0,0,1,0,e7,1712,247,15,0,0,0.0,0.0,42,4,False,False,True,1,4,True,1.0,1,53.0,0,0,0,recall_miss_s2,17.0,1,0,0,prune_miss_s3,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,163,FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH),base_win_recall,,0,0,1,1,0,1,0,1,,2005,265,13,5,0,1.8867924528301887,0.0,115,12,False,True,True,1,4,True,1.0,2,47.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
da,d2_seq100,164,Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy,,,0,0,0,0,0,0,0,0,,1559,206,13,6,2,2.912621359223301,0.9708737864077669,75,8,False,True,True,1,4,True,1.0,1,48.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,165,Nocardia brasiliensis skin infection,,,1,1,1,1,1,1,0,0,,1659,234,12,3,1,1.282051282051282,0.4273504273504274,36,4,False,False,False,1,4,True,1.0,1,52.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,1
da,d2_seq100,167,Chikungunya virus-induced bilateral stromal keratouveitis,,,1,1,1,1,1,1,0,0,,1961,248,12,3,0,1.2096774193548387,0.0,57,6,False,False,False,1,4,True,1.0,1,50.0,0,0,0,recall_miss_s2,21.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,173,Netherton syndrome,e7_win_recall,,1,0,0,0,0,1,1,0,e7,902,130,10,1,0,0.7692307692307693,0.0,18,2,False,False,False,1,4,True,1.0,1,53.0,1,0,0,prune_miss_s3,15.0,0,0,0,recall_miss_s2,20,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,174,"Intravascular NK/T-cell lymphoma, nasal type",,aphhm_win,0,0,0,0,1,1,0,0,,1551,212,16,6,1,2.8301886792452833,0.4716981132075472,44,7,False,False,False,2,4,True,1.0,1,46.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,2
da,d2_seq100,177,Subacute left ventricular free wall rupture (LVFWR) complicating acute myocardial infarction,,,1,1,1,1,1,1,0,0,,1400,196,22,1,0,0.5102040816326531,0.0,92,11,False,False,True,1,4,True,1.0,1,51.0,1,1,0,rank_miss_s4,18.0,1,1,0,rank_miss_s4,1,True,1,cand_ok,1,cand_ok,0,recall_miss,5,0
da,d2_seq100,181,Benign lymphangioendothelioma (BLAE),,,1,0,1,1,0,1,0,0,,1690,230,11,1,0,0.43478260869565216,0.0,36,3,False,False,True,1,4,True,1.0,1,43.0,0,0,0,recall_miss_s2,14.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,182,Fibrofatty residua of involuted infantile hemangioma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1118,167,20,0,0,0.0,0.0,52,6,False,False,False,1,4,True,1.0,1,50.0,1,0,0,prune_miss_s3,17.0,1,0,0,prune_miss_s3,8,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,183,Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension,,aphhm_lose,1,0,0,0,1,0,1,0,e7,2189,304,14,3,0,0.9868421052631579,0.0,101,13,False,True,True,1,4,True,1.0,1,50.0,0,1,1,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,1,cand_ok,5,0
da,d2_seq100,186,Pseudoxanthoma elasticum-like disorder with coagulation deficiency,,,1,1,0,1,1,1,0,0,,1666,220,20,3,0,1.3636363636363635,0.0,66,7,False,True,False,1,4,True,1.0,1,41.0,1,1,0,rank_miss_s4,17.0,1,1,0,rank_miss_s4,1,True,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,187,Xanthoma disseminatum,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1471,196,11,1,0,0.5102040816326531,0.0,21,2,False,False,False,1,4,True,1.0,1,44.0,1,0,0,prune_miss_s3,17.0,0,0,0,recall_miss_s2,28,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,188,Coronary Artery Disease (CAD) with Giant R-wave Syndrome,all_miss_but_recalled,,0,0,0,0,1,0,0,0,,1868,261,15,1,0,0.38314176245210724,0.0,56,9,False,True,True,1,4,True,1.0,1,42.0,1,1,0,rank_miss_s4,17.0,1,1,0,rank_miss_s4,12,False,1,cand_ok,0,recall_miss,1,cand_ok,5,1
da,d2_seq100,190,Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis,,,0,0,1,0,1,1,0,1,B06,1415,201,12,4,0,1.9900497512437811,0.0,76,10,False,True,False,1,4,True,1.0,1,48.0,1,0,0,prune_miss_s3,19.0,0,0,0,recall_miss_s2,6,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
