case_id	cohort	opt@1	opt@2	gold_option_rank	option_rr	gold_letter	gold_option	joint_top1
100	remain76	0	1	2	0.5000	C	Telangiectatic metastatic breast carcinoma (TMBC)	Cutaneous metastatic breast carcinoma
102	remain76	1	1	1	1.0000	D	Annular epidermolytic ichthyosis (AEI)	Epidermolytic Hyperkeratosis
103	remain76	1	1	1	1.0000	B	Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block	Intra-atrial Reentrant Tachycardia
107	remain76	0	0	2	0.0000	D	Keloidal scleroderma	Eosinophilic Fasciitis
111	remain76	1	1	1	1.0000	B	Inverse lichen planus	inverse lichen planus
114	remain76	0	0	2	0.0000	B	Reversible cerebral vasoconstriction syndrome (RCVS)	Synthetic Cannabinoid–Induced Toxic Encephalopathy
117	remain76	0	1	2	0.5000	A	Pyoderma with Staphylococcus simulans	Bullous Impetigo
118	remain76	1	1	1	1.0000	D	Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis	COVID-19-associated optic neuritis and retinal vasculitis
119	remain76	1	1	1	1.0000	A	Eruptive pruritic papular porokeratosis (EPPP)	Eruptive pruritic papular porokeratosis
120	remain76	0	1	2	0.5000	C	Myopic macular pit	Posterior Staphyloma
122	remain76	0	1	2	0.5000	B	Vagus-mediated paroxysmal atrioventricular block (VP-AVB)	Paroxysmal complete atrioventricular block
124	remain76	1	1	1	1.0000	B	Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue	Primary Invasive Lobular Breast Carcinoma in Heterotopic Cutaneous Breast Tissue
125	remain76	0	0	1	0.0000	A	Tumors of the follicular infundibulum (TFI)	Nevus sebaceus of Jadassohn
128	remain76	1	1	1	1.0000	D	Cutaneous angiosarcoma	Cutaneous angiosarcoma
129	remain76	0	0	3	0.0000	A	Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation	Catecholaminergic Polymorphic Ventricular Tachycardia
132	remain76	1	1	1	1.0000	D	Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block)	Atrioventricular Block
134	remain76	1	1	1	1.0000	D	Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL)	Primary Central Nervous System Lymphoma
137	remain76	1	1	1	1.0000	B	Papillary hemangioma	Hobnail Hemangioma
139	remain76	1	1	1	1.0000	C	Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis	Radioiodine-refractory Vesicular Thyroid Carcinoma with Sinonasal Metastasis
140	remain76	1	1	1	1.0000	A	Pheochromocytoma-induced cardiomyopathy	Pheochromocytoma-induced cardiomyopathy
147	remain76	1	1	1	1.0000	B	Linear or annular lupus erythematosus panniculitis of the scalp (LALPS)	Discoid Lupus Erythematosus
149	remain76	1	1	1	1.0000	D	Giant cell tumor of soft tissue (GCT-ST)	Giant Cell Tumor
150	remain76	1	1	1	1.0000	B	Transient left abducens (cranial nerve VI) nerve palsy	Iatrogenic Abducens Nerve Palsy
151	remain76	0	1	2	0.5000	D	Large middle cerebral artery territory embolic stroke	Pacemaker lead-associated thromboembolic stroke
156	remain76	1	1	1	1.0000	D	Drug-induced blepharitis and ectropion associated with TNF-α inhibitors (infliximab and adalimumab)	Drug-induced blepharitis and ectropion associated with TNF-α inhibitors
158	remain76	1	1	1	1.0000	A	Bullous pilomatricoma	Bullous Pilomatricoma
161	remain76	1	1	1	1.0000	C	Hemosiderotic fibrolipomatous tumor (HFLT)	Hemosiderotic fibrolipomatous tumor (HFLT)
163	remain76	0	1	2	0.5000	C	FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH)	Chronic Eosinophilic Leukemia
164	remain76	1	1	1	1.0000	A	Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy	Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN) with Polyradiculopathy
165	remain76	0	1	2	0.5000	B	Nocardia brasiliensis skin infection	Nocardia infection
167	remain76	1	1	1	1.0000	D	Chikungunya virus-induced bilateral stromal keratouveitis	Chikungunya virus ocular inflammation
173	remain76	0	1	2	0.5000	C	Netherton syndrome	Netherton syndrome
174	remain76	1	1	1	1.0000	A	Intravascular NK/T-cell lymphoma, nasal type	Intravascular NK/T-cell lymphoma, nasal type
177	remain76	0	1	2	0.5000	D	Subacute left ventricular free wall rupture (LVFWR) complicating acute myocardial infarction	Cardiac tamponade due to ventricular wall rupture
181	remain76	1	1	1	1.0000	C	Benign lymphangioendothelioma (BLAE)	Targetoid hemosiderotic hemangioma
182	remain76	1	1	1	1.0000	C	Fibrofatty residua of involuted infantile hemangioma	Fibrofatty residua of involuted infantile hemangioma
183	remain76	0	0	2	0.0000	D	Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension	Optic Nerve Glioma
186	remain76	0	1	2	0.5000	D	Pseudoxanthoma elasticum-like disorder with coagulation deficiency	Pseudoxanthoma Elasticum
187	remain76	0	0	2	0.0000	B	Xanthoma disseminatum	Erdheim-Chester disease
188	remain76	0	0	2	0.0000	D	Coronary Artery Disease (CAD) with Giant R-wave Syndrome	Catecholaminergic Polymorphic Ventricular Tachycardia
190	remain76	1	1	1	1.0000	D	Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis	Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis
194	remain76	1	1	1	1.0000	C	Hyperoleon within a lamellar macular hole	Lamellar macular hole with trapped silicone oil
198	remain76	0	0	2	0.0000	C	Stage IA endometrial cancer	Lynch syndrome-associated endometrial carcinoma
202	remain76	1	1	1	1.0000	C	Type B lactic acidosis secondary to diffuse large B-cell lymphoma	Mesenteric lymphoma
205	remain76	0	1	2	0.5000	A	Methimazole-induced vasculitis	Microscopic Polyangiitis
206	remain76	1	1	1	1.0000	D	Acute posterior and inferior myocardial infarction (STEMI equivalent) due to saphenous vein graft occlusion	Myocardial Infarction
207	remain76	1	1	1	1.0000	D	Mucous membrane pemphigoid (MMP)	Ocular Cicatricial Pemphigoid
211	remain76	1	1	1	1.0000	D	Brown tumor secondary to primary hyperparathyroidism due to parathyroid carcinoma	Brown Tumor of Hyperparathyroidism
214	remain76	0	1	2	0.5000	B	Macular retinal vein occlusion with chronic cystoid macular edema	Central Retinal Vein Occlusion (CRVO)
216	remain76	1	1	1	1.0000	A	Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS)	COVID-19 pneumonia
219	remain76	1	1	1	1.0000	A	Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC)	Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC)
220	remain76	1	1	1	1.0000	D	Plasmablastic lymphoma (PBL), stage 1 with high-risk features	Plasmablastic lymphoma
225	remain76	1	1	1	1.0000	D	Richter's transformation presenting as penile ulcer (transformation of chronic lymphocytic leukemia to diffuse large B-cell lymphoma)	Diffuse Large B-cell Lymphoma
226	remain76	0	0	2	0.0000	B	Actinic prurigo with associated cheilitis	Cutaneous B-cell lymphoma
227	remain76	1	1	1	1.0000	B	Bullous amyloidosis	Paraneoplastic Pemphigus
228	remain76	1	1	1	1.0000	C	Primary systemic (AL) amyloidosis	Systemic amyloidosis
229	remain76	0	0	1	0.0000	D	Rheumatoid meningitis	Multiple Sclerosis
231	remain76	0	0	3	0.0000	B	Stage IV invasive renal urothelial carcinoma	Florid Cutaneous Papillomatosis with Urothelial Cancer
233	remain76	0	1	2	0.5000	C	Multisystem Langerhans cell histiocytosis	Langerhans Cell Histiocytosis
237	remain76	1	1	1	1.0000	A	Intergluteal and sacral hyperhidrosis	Primary focal hyperhidrosis
241	remain76	0	0	3	0.0000	D	Endogenous endophthalmitis with iris abscess	Streptococcal Endophthalmitis
242	remain76	0	0	2	0.0000	D	Branch retinal vein occlusion with preretinal neovascularization	Chronic Progressive Ocular Vascular Proliferation Syndrome with Neovascularization
243	remain76	1	1	1	1.0000	C	Juvenile spring eruption (JSE) associated with parvovirus B19 infection	Juvenile Spring Eruption
246	remain76	0	1	2	0.5000	B	Tufted angioma with somatic KDR mutation	Tufted Angioma
249	remain76	1	1	1	1.0000	D	CD8-positive granulomatous cutaneous T-cell lymphoma	Cutaneous T-Cell Lymphoma
