case_id	gold	auto_parent_source	auto_family_coverage	mapper_matched	mapper_relation	mapper_confidence	mapper_option_top1	mapper_option_top2	n_l1_posteriors	l1_posterior_ids	l1_posterior_labels	n_tree_l1	tree_l1_labels	tree_has_goldish_leaf	goldish_leaf_ids	goldish_leaf_labels	acceptable_l1_ids	acceptable_l1_labels	acceptable_parent_on_tree	acceptable_parent_in_l1_posteriors	axis_ok	funnel_bucket	notes	review_confidence	reviewer	mapper_opt1	mapper_opt2	l1_prior_opt1	l1_prior_opt2
129	Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation	none	0	False	equivalent	low			5	B1|B3|B4|B5|B2	B1:Channelopathy-related Ventricular Arrhythmia || B3:Infiltrative or Inflammatory Cardiomyopathy || B4:Toxic or Metabolic Cause of Ventricular Arrhythmia || B5:Other or Unknown Cause of Ventricular Arrhythmia || B2:Structural Heart Disease-related Ventricular Arrhythmia	5	B1:Channelopathy-related Ventricular Arrhythmia || B2:Structural Heart Disease-related Ventricular Arrhythmia || B3:Infiltrative or Inflammatory Cardiomyopathy || B4:Toxic or Metabolic Cause of Ventricular Arrhythmia || B5:Other or Unknown Cause of Ventricular Arrhythmia	True	B1.2	Short-coupled Polymorphic Ventricular Tachycardia/Ventricular Fibrillation (SC-PMVT/VF)	B1|B5	Channelopathy-related Ventricular Arrhythmia|Other or Unknown Cause of Ventricular Arrhythmia	True	True	True	MAPPER_UNBIND	Exact SC-PMVT/VF leaf; mapper relation=equivalent but unmatched leaf ids.	high	agent_semi_auto_v1	0	0	0	0
183	Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension	none	0	False	unrelated	low			4	B1|B2|B4|B3	B1:Neoplastic Conditions || B2:Vascular Occlusive Disorders || B4:Other Mechanisms || B3:Inflammatory Conditions	4	B1:Neoplastic Conditions || B2:Vascular Occlusive Disorders || B3:Inflammatory Conditions || B4:Other Mechanisms	True	B1.3	Glioblastoma with Optic Nerve Invasion	B1	Neoplastic Conditions	True	True	True	MAPPER_UNBIND	Near-exact glioblastoma leaf under Neoplastic; mapper unbound.	high	agent_semi_auto_v1	0	0	0	0
187	Xanthoma disseminatum	none	0	False	unrelated	low			5	B1|B3|B4|B5|B2	B1:Histiocytosis Spectrum || B3:Autoinflammatory Disorder || B4:Endocrine Disorder || B5:Other || B2:Lipid Metabolism Disorder	5	B1:Histiocytosis Spectrum || B2:Lipid Metabolism Disorder || B3:Autoinflammatory Disorder || B4:Endocrine Disorder || B5:Other	True	B2.1|B5.1	Xanthoma Disseminatum|Xanthoma Disseminatum	B1|B2	Histiocytosis Spectrum|Lipid Metabolism Disorder	True	True	True	MAPPER_UNBIND	Exact leaf present (also under Other); clinically histiocytosis/lipid axes OK.	high	agent_semi_auto_v1	0	0	0	0
188	Coronary Artery Disease (CAD) with Giant R-wave Syndrome	none	0	False	unrelated	low			5	B1|B2|B3|B4|B5	B1:Arrhythmogenic Disorder || B2:Ischemic Heart Disease || B3:Structural Heart Disease || B4:Other Cardiac Conditions || B5:Non-Cardiac Conditions	5	B1:Arrhythmogenic Disorder || B2:Ischemic Heart Disease || B3:Structural Heart Disease || B4:Other Cardiac Conditions || B5:Non-Cardiac Conditions	False			B2	Ischemic Heart Disease	True	True	True	MAPPER_UNBIND	No Giant R-wave leaf; ACS under Ischemic Heart Disease is acceptable parent for CAD presentation. Synonym L1 match failed.	medium	agent_semi_auto_v1	0	0	0	0
198	Stage IA endometrial cancer	none	0	False	unrelated	high			5	B1|B2|B3|B4|B5	B1:Endometrial Neoplasm || B2:Hereditary Cancer Syndrome || B3:Gynecologic Infection or Inflammation || B4:Other Gynecologic Condition || B5:Non-Gynecologic Condition	5	B1:Endometrial Neoplasm || B2:Hereditary Cancer Syndrome || B3:Gynecologic Infection or Inflammation || B4:Other Gynecologic Condition || B5:Non-Gynecologic Condition	False			B1	Endometrial Neoplasm	True	True	True	MAPPER_UNBIND	Stage IA endometrial cancer sits under Endometrial Neoplasm L1; Type I/II leaves present but not exact stage label. Parent on tree.	high	agent_semi_auto_v1	0	0	0	0
226	Actinic prurigo with associated cheilitis	none	0	False	unrelated	low			4	B1|B2|B4|B3	B1:Photodermatoses || B2:Eczematous Dermatoses || B4:Other Dermatoses || B3:Lymphoproliferative Disorders	4	B1:Photodermatoses || B2:Eczematous Dermatoses || B3:Lymphoproliferative Disorders || B4:Other Dermatoses	True	B1.3	Actinic Prurigo	B1	Photodermatoses	True	True	True	MAPPER_UNBIND	Actinic prurigo leaf under Photodermatoses; cheilitis modifier not required for parent acceptability.	high	agent_semi_auto_v1	0	0	0	0
229	Rheumatoid meningitis	none	0	False	unrelated	low			5	B1|B5|B3|B2|B4	B1:Inflammatory / Autoimmune Central Nervous System Disorder || B5:Other / Unclassified Central Nervous System Disorder || B3:Vascular Central Nervous System Disorder || B2:Infectious Central Nervous System Disorder || B4:Neoplastic Central Nervous System Disorder	5	B1:Inflammatory / Autoimmune Central Nervous System Disorder || B2:Infectious Central Nervous System Disorder || B3:Vascular Central Nervous System Disorder || B4:Neoplastic Central Nervous System Disorder || B5:Other / Unclassified Central Nervous System Disorder	True	B1.1	Rheumatoid Meningitis	B1	Inflammatory / Autoimmune Central Nervous System Disorder	True	True	True	MAPPER_UNBIND	Exact leaf under inflammatory/autoimmune CNS; mapper unbound.	high	agent_semi_auto_v1	0	0	0	0
231	Stage IV invasive renal urothelial carcinoma	none	0	False	unrelated	low			5	B1|B2|B4|B5|B3	B1:Paraneoplastic Syndrome || B2:Inflammatory / Autoimmune Disorder || B4:Genetic / Congenital Disorder || B5:Other || B3:Infectious Disease	5	B1:Paraneoplastic Syndrome || B2:Inflammatory / Autoimmune Disorder || B3:Infectious Disease || B4:Genetic / Congenital Disorder || B5:Other	False					False	False	False	TREE_PARENT_ABSENT	Tree framed as cutaneous papillomatosis / paraneoplastic syndrome; gold is Stage IV renal urothelial carcinoma itself. No L1 that cleanly hosts primary urothelial ca as the diagnosis axis.	high	agent_semi_auto_v1	0	0	0	0
241	Endogenous endophthalmitis with iris abscess	none	0	False	unrelated	low			4	B1|B4|B3|B2	B1:Infectious Endophthalmitis || B4:Other || B3:Traumatic Endophthalmitis || B2:Non-infectious Uveitis	4	B1:Infectious Endophthalmitis || B2:Non-infectious Uveitis || B3:Traumatic Endophthalmitis || B4:Other	True	B1.2	Polymicrobial Bacterial Iris Abscess (Streptococcus intermedius and likely Actinomyces)	B1	Infectious Endophthalmitis	True	True	True	MAPPER_UNBIND	Iris abscess leaf under Infectious Endophthalmitis ≈ endogenous endophthalmitis with iris abscess.	high	agent_semi_auto_v1	0	0	0	0
242	Branch retinal vein occlusion with preretinal neovascularization	none	0	False	unrelated	high			5	B1|B2|B4|B5|B3	B1:Neovascularization Disorders || B2:Ischemic Vascular Disorders || B4:Degenerative Disorders || B5:Other Ocular Conditions || B3:Inflammatory Disorders	5	B1:Neovascularization Disorders || B2:Ischemic Vascular Disorders || B3:Inflammatory Disorders || B4:Degenerative Disorders || B5:Other Ocular Conditions	False			B2|B1	Ischemic Vascular Disorders|Neovascularization Disorders	True	True	True	MAPPER_UNBIND	Tree has BRAO/CRAO not BRVO; still Ischemic Vascular + Neovascularization L1s clinically can host BRVO with neovascularization. Leaf miss ≠ parent absent.	medium	agent_semi_auto_v1	0	0	0	0
