case_id	cohort	compat_branch	stratum_at1	compat_opt1	compat_opt2	typed_opt1	typed_opt2	delta_opt1	delta_opt2	n_leaves	n_extra	gold_letter	compat_gold_option_rank	typed_gold_option_rank	gold_option_rank_delta	compat_gold_relation	typed_gold_relation	relation_changed	gold_matched_leaves_compat	gold_matched_leaves_typed	gold_leaf_in_ranking_topk	gold_leaf_newly_in_vs_ranking	gold_leaf_new_vs_compat_bind	matched_leaf_jaccard_all_options	ranking_topk_vs_typed_gold_jaccard	ranking_topk	matched_present_typed	rank_worsened	harm_unbind_style	is_mapper_unbind_audit	is_tree_parent_absent_audit	typed_proj_ok	compat_proj_ok
45	pilot24	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	19	A	1	2	1	subtype_of	subtype_of	0	B1.1,B2.1,B3.1,B4.1,B5.1	B2.1,B5.3	1	1	1	0.4286	0.1667	B4.1,B1.1,B3.1,B2.1,B5.1	1	1	0	0	0	1	1
57	pilot24	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	19	A	1	2	1	equivalent	equivalent	0	B1.1,B2.1,B3.1,B4.1,B5.1	B1.1	1	0	0	0.25	0.2	B5.1,B3.1,B2.1,B1.1,B4.1	1	1	0	0	0	1	1
59	pilot24	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	16	14	B	2	2	0	equivalent	equivalent	0	B2.1	B2.1,B4.3	1	1	1	0.2857	0.2	B4.1,B2.1,B1.2,B3.2	1	0	0	0	0	1	1
60	pilot24	merge_only	both_hit	1	1	1	1	0	0	16	15	D	1	1	0	equivalent	equivalent	0	B1.1,B2.2,B3.1,B4.1	B1.1	1	0	0	0.1667	0.25	B2.2,B1.1,B4.1,B3.1	1	0	0	0	0	1	1
62	pilot24	merge_only	both_hit	1	1	1	1	0	0	18	17	D	1	1	0	subtype_of	equivalent	1	B1.2,B2.1,B3.1,B4.2,B5.2	B3.1	1	0	0	0.3333	0.2	B2.1,B5.2,B1.2,B3.1,B4.2	1	0	0	0	0	1	1
63	pilot24	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	19	18	D	1	2	1	equivalent	subtype_of	1	B3.2	B1.1,B3.3	0	1	1	0.2	0.0	B3.2,B5.2,B1.2,B4.1,B2.1	1	1	0	0	0	1	1
67	pilot24	merge_only	both_miss	0	0	0	0	0	0	20	19	B	4	3	-1	unrelated	unrelated	0			0	0	0	0.1111	0.0	B2.3,B5.2,B1.3,B4.2,B3.1	0	0	0	0	1	1	1
72	remain76	merge_only	both_hit	1	1	1	1	0	0	18	16	A	1	1	0	equivalent	equivalent	0	B1.1,B3.3,B4.1,B5.2	B1.1	1	0	0	0.1667	0.2	B1.1,B2.1,B3.3,B4.1,B5.2	1	0	0	0	0	1	1
74	remain76	merge_only	compat_miss_typed_hit	0	0	1	1	1	1	18	17	D	2	1	-1	unrelated	equivalent	1		B1.3	1	0	1	0.1111	0.2	B1.3,B4.3,B2.3,B5.3,B3.3	1	0	0	0	0	1	1
76	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	19	18	C	1	2	1	subtype_of	subtype_of	0	B5.2	B2.1,B4.3	0	1	1	0.0	0.0	B5.2,B3.4,B2.4,B1.4,B4.2	1	1	0	0	0	1	1
81	remain76	merge_only	both_hit	1	1	1	1	0	0	20	18	C	1	1	0	subtype_of	subtype_of	0	B3.3	B1.3	0	1	1	0.0	0.0	B3.3,B1.1,B5.1,B2.3,B4.1	1	0	0	0	0	1	1
83	remain76	merge_only	both_miss	0	0	0	0	0	0	20	17	C	3	3	0	equivalent	equivalent	0	B3.3	B1.3	0	1	1	0.1818	0.0	B1.2,B4.3,B2.3,B3.3,B5.4	1	0	0	0	0	1	1
87	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	14	13	B	1	2	1	equivalent	equivalent	0	B1.2,B2.2,B3.2,B4.2	B1.2	1	0	0	0.1667	0.25	B3.2,B1.2,B4.2,B2.2	1	1	0	0	0	1	1
89	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	15	13	D	1	2	1	subtype_of	subtype_of	0	B4.1	B2.1	1	0	1	0.6667	0.25	B3.3,B1.1,B2.1,B4.1	1	1	0	0	0	1	1
90	remain76	merge_only	compat_miss_typed_hit	0	1	1	1	1	0	18	16	B	2	1	-1	subtype_of	subtype_of	0	B1.3	B1.1,B1.3	1	1	1	0.1429	0.1667	B5.1,B3.1,B2.2,B4.1,B1.3	1	0	0	0	0	1	1
95	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	19	B	1	2	1	equivalent	equivalent	0	B1.1,B2.1,B3.1,B4.1,B5.1	B1.2	0	1	1	0.125	0.0	B1.1,B4.1,B3.1,B2.1,B5.1	1	1	0	0	0	1	1
97	remain76	calib_only	both_miss	0	0	0	1	0	1	20	20	A	1	2	1	equivalent	equivalent	0		B1.4	0	1	1	0.0	0.0		1	1	0	1	0	1	1
99	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	15	14	C	1	2	1	subtype_of	equivalent	1	B1.1,B2.3,B3.3,B4.2	B1.2	0	1	1	0.2	0.0	B4.2,B2.3,B3.3,B1.1	1	1	0	0	0	1	1
100	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	18	C	2	2	0	equivalent	equivalent	0	B1.2,B3.2	B1.3	0	1	1	0.0	0.0	B5.1,B4.1,B3.2,B1.2,B2.1	1	0	0	0	0	1	1
102	remain76	merge_only	both_hit	1	1	1	1	0	0	15	13	D	1	1	0	subtype_of	equivalent	1	B1.1,B3.1,B4.1	B2.4,B4.1	1	1	1	0.375	0.2	B4.1,B2.2,B1.1,B3.1	1	0	0	0	0	1	1
103	remain76	merge_only	both_hit	1	1	1	1	0	0	19	18	B	1	1	0	equivalent	equivalent	0	B1.3,B2.3,B3.1,B4.3,B5.1	B1.3	1	0	0	0.1429	0.2	B2.3,B5.1,B1.3,B3.1,B4.3	1	0	0	0	0	1	1
107	remain76	merge_only	both_miss	0	0	0	0	0	0	16	15	D	2	4	2	unrelated	equivalent	1		B1.4	0	1	1	0.1429	0.0	B2.1,B1.1,B3.1,B4.1	1	1	0	1	0	1	1
111	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	19	B	1	2	1	equivalent	equivalent	0	B1.2,B2.2,B3.2,B4.2,B5.2	B1.3,B5.2	1	1	1	0.1	0.1667	B2.2,B1.2,B5.2,B3.2,B4.2	1	1	0	0	0	1	1
114	remain76	merge_only	both_miss	0	0	0	1	0	1	20	19	B	2	2	0	unrelated	equivalent	1		B2.1	0	1	1	0.2	0.0	B5.3,B1.1,B2.3,B3.2,B4.3	1	0	0	1	0	1	1
117	remain76	merge_only	compat_miss_typed_hit	0	1	1	1	1	0	21	19	A	2	1	-1	subtype_of	subtype_of	0	B1.1	B1.1	1	0	0	0.1667	0.2	B4.1,B5.2,B2.2,B3.5,B1.1	1	0	0	0	0	1	1
118	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	19	18	D	1	4	3	subtype_of	subtype_of	0	B1.1	B2.4	0	1	1	0.125	0.0	B1.1,B5.1,B3.3,B2.3,B4.1	1	1	0	0	0	1	1
119	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	17	A	1	2	1	equivalent	equivalent	0	B2.5,B4.4,B5.3	B2.1,B5.1	0	1	1	0.1	0.0	B5.3,B2.5,B4.4,B1.3,B3.3	1	1	0	0	0	1	1
120	remain76	calib_only	compat_hit_typed_miss	1	1	0	0	-1	-1	19	14	C	2	4	2	equivalent	equivalent	0	B1.3,B2.3,B4.3,B5.3	B1.4,B5.4	0	1	1	0.2	0.0	B3.4,B1.3,B2.3,B4.3,B5.3	1	1	0	0	0	1	1
122	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	14	13	B	2	3	1	equivalent	equivalent	0	B2.1	B1.2	0	1	1	0.3333	0.0	B3.1,B4.1,B2.1,B1.1	1	1	0	0	0	1	1
124	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	14	12	B	1	2	1	equivalent	equivalent	0	B1.2	B1.1,B4.3	0	1	1	0.2	0.0	B1.2,B3.2,B2.1,B4.1	1	1	0	0	0	1	1
125	remain76	merge_only	compat_miss_typed_hit	0	0	1	1	1	1	20	17	A	1	1	0	unrelated	equivalent	1		B2.1,B5.1	1	0	1	0.0	0.4	B4.1,B2.1,B3.4,B1.1,B5.1	1	0	0	1	0	1	1
128	remain76	merge_only	both_hit	1	1	1	1	0	0	15	14	D	1	1	0	equivalent	equivalent	0	B3.3,B4.3	B1.1	0	1	1	0.1667	0.0	B4.3,B3.3,B1.2,B2.2	1	0	0	0	0	1	1
129	remain76	merge_only	both_miss	0	0	0	0	0	0	20	18	A	3	3	0	equivalent	equivalent	0		B1.2	0	1	1	0.2857	0.0	B5.1,B1.1,B4.1,B2.3,B3.1	1	0	0	1	0	1	1
132	remain76	merge_only	both_hit	1	1	1	1	0	0	20	17	D	1	1	0	subtype_of	equivalent	1	B1.1,B4.3	B1.1	1	0	0	0.3333	0.2	B1.1,B4.3,B3.1,B2.1,B5.1	1	0	0	0	0	1	1
134	remain76	merge_only	both_hit	1	1	1	1	0	0	19	18	D	1	1	0	subtype_of	subtype_of	0	B1.1,B2.3,B3.1,B4.1,B5.1	B1.1	1	0	0	0.1429	0.2	B4.1,B5.1,B3.1,B2.3,B1.1	1	0	0	0	0	1	1
137	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	15	14	B	1	2	1	equivalent	equivalent	0	B1.2,B2.1,B3.2,B4.2	B1.2	1	0	0	0.1429	0.25	B4.2,B3.2,B2.1,B1.2	1	1	0	0	0	1	1
139	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	15	14	C	1	2	1	equivalent	equivalent	0	B1.3,B2.3,B3.2,B4.3	B1.1	0	1	1	0.1667	0.0	B1.3,B4.3,B2.3,B3.2	1	1	0	0	0	1	1
140	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	15	13	A	1	2	1	subtype_of	subtype_of	0	B2.3,B3.1,B4.2	B1.2	0	1	1	0.2	0.0	B3.1,B2.3,B1.1,B4.2	1	1	0	0	0	1	1
147	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	18	17	B	1	2	1	subtype_of	equivalent	1	B1.1,B2.1,B3.1,B4.1,B5.1	B1.2,B2.2	0	1	1	0.25	0.0	B5.1,B4.1,B2.1,B1.1,B3.1	1	1	0	0	0	1	1
149	remain76	merge_only	both_hit	1	1	1	1	0	0	20	19	D	1	1	0	equivalent	equivalent	0	B2.1,B4.1,B5.1	B1.1,B5.1	1	0	1	0.1111	0.4	B3.1,B1.1,B4.1,B5.1,B2.1	1	0	0	0	0	1	1
150	remain76	calib_only	compat_hit_typed_miss	1	1	0	0	-1	-1	15	11	B	1	3	2	subtype_of	equivalent	1	B4.3	B4.1	0	1	1	0.1667	0.0	B4.3,B1.1,B2.1,B3.1	1	1	0	0	0	1	1
151	remain76	calib_only	compat_miss_typed_hit	0	1	1	1	1	0	15	11	D	2	1	-1	subtype_of	subtype_of	0	B1.1,B2.3,B4.1	B1.1	1	0	0	0.1667	0.25	B3.2,B1.1,B4.1,B2.3	1	0	0	0	0	1	1
156	remain76	merge_only	both_hit	1	1	1	1	0	0	20	19	D	1	1	0	equivalent	supertype_of	1	B2.3	B3.1,B3.2	0	1	1	0.0	0.0	B2.3,B3.3,B4.2,B1.3,B5.3	1	0	0	0	0	1	1
158	remain76	merge_only	both_hit	1	1	1	1	0	0	19	17	A	1	1	0	equivalent	subtype_of	1	B1.2,B2.2,B3.2,B5.2	B1.1	0	1	1	0.0	0.0	B2.2,B1.2,B5.2,B3.2,B4.1	1	0	0	0	0	1	1
161	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	19	18	C	1	3	2	equivalent	equivalent	0	B1.3,B2.3,B3.4,B4.1,B5.1	B1.2,B5.3	0	1	1	0.2222	0.0	B4.1,B5.1,B3.4,B2.3,B1.3	1	1	0	0	0	1	1
163	remain76	calib_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	15	C	2	2	0	subtype_of	equivalent	1	B1.3,B3.3,B5.3	B3.2,B5.3	1	1	1	0.2857	0.1667	B4.4,B1.3,B5.3,B3.3,B2.1	1	0	0	0	0	1	1
164	remain76	merge_only	both_hit	1	1	1	1	0	0	20	19	A	1	1	0	equivalent	equivalent	0	B1.1,B2.1,B3.1,B4.2,B5.1	B5.1	1	0	0	0.1111	0.2	B4.2,B1.1,B3.1,B2.1,B5.1	1	0	0	0	0	1	1
165	remain76	merge_only	both_hit	1	1	1	1	0	0	16	15	B	2	1	-1	subtype_of	subtype_of	0	B4.2	B1.1	1	0	1	0.2857	0.25	B2.1,B1.1,B3.2,B4.2	1	0	0	0	0	1	1
167	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	16	15	D	1	3	2	subtype_of	equivalent	1	B1.1,B2.1,B4.1	B4.3	0	1	1	0.2857	0.0	B1.1,B4.1,B3.2,B2.1	1	1	0	0	0	1	1
173	remain76	calib_only	both_miss	0	1	0	0	0	-1	20	15	C	2	4	2	subtype_of	equivalent	1	B3.1,B4.1,B5.1	B1.3,B5.2	0	1	1	0.3	0.0	B2.1,B1.2,B3.1,B4.1,B5.1	1	1	0	0	0	1	1
174	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	19	A	1	2	1	equivalent	subtype_of	1	B1.2,B2.2,B3.2,B4.2,B5.2	B1.2	1	0	0	0.2222	0.2	B3.2,B1.2,B4.2,B2.2,B5.2	1	1	0	0	0	1	1
177	remain76	merge_only	both_miss	0	1	0	1	0	0	19	17	D	2	2	0	complication_of	subtype_of	1	B3.4,B4.1,B5.1	B1.3	0	1	1	0.1429	0.0	B1.4,B3.4,B2.1,B4.1,B5.1	1	0	0	0	0	1	1
181	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	18	15	C	1	3	2	equivalent	subtype_of	1	B1.3,B3.4	B1.1,B4.2	0	1	1	0.0	0.0	B5.1,B2.3,B1.3,B3.4,B4.1	1	1	0	0	0	1	1
182	remain76	merge_only	both_hit	1	1	1	1	0	0	16	15	C	1	1	0	equivalent	equivalent	0	B1.3,B2.3,B3.3,B4.3	B1.3	1	0	0	0.2222	0.25	B1.3,B4.3,B2.3,B3.3	1	0	0	0	0	1	1
183	remain76	merge_only	both_miss	0	0	0	0	0	0	18	16	D	2	3	1	unrelated	subtype_of	1		B1.3	0	1	1	0.4	0.0	B2.11,B1.1,B4.1,B3.5	1	1	0	1	0	1	1
186	remain76	merge_only	both_hit	1	1	1	1	0	0	20	18	D	2	1	-1	equivalent	equivalent	0	B1.3,B2.2,B3.2	B2.2,B3.3,B4.1,B5.2	1	1	1	0.3	0.2857	B4.1,B1.3,B2.2,B3.2,B5.5	1	0	0	0	0	1	1
187	remain76	merge_only	compat_miss_typed_hit	0	0	1	1	1	1	17	16	B	2	1	-1	unrelated	equivalent	1		B2.1,B5.1	0	1	1	0.1111	0.0	B3.1,B4.2,B1.2,B2.2	1	0	0	1	0	1	1
188	remain76	merge_only	both_miss	0	0	0	0	0	0	20	17	D	2	3	1	unrelated	unrelated	0			0	0	0	0.1429	0.0	B3.1,B1.1,B5.1,B2.4,B4.2	0	1	0	1	0	1	1
190	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	18	17	D	1	3	2	equivalent	equivalent	0	B1.3,B2.2,B3.2,B4.4,B5.4	B1.3	1	0	0	0.1429	0.2	B3.2,B2.2,B1.3,B4.4,B5.4	1	1	0	0	0	1	1
194	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	16	15	C	1	4	3	subtype_of	unrelated	1	B1.2,B2.2,B3.2,B4.2		0	0	0	0.1667	0.0	B4.2,B2.2,B3.2,B1.2	0	1	1	0	0	1	1
198	remain76	merge_only	compat_miss_typed_hit	0	0	1	1	1	1	18	17	C	2	1	-1	unrelated	subtype_of	1		B1.1,B1.2	1	1	1	0.2	0.1667	B1.1,B3.1,B5.1,B2.1,B4.1	1	0	0	1	0	1	1
202	remain76	merge_only	both_hit	1	1	1	1	0	0	16	15	C	1	1	0	manifestation_of	subtype_of	1	B2.1,B3.1,B4.2	B1.1	0	1	1	0.125	0.0	B3.1,B2.1,B1.4,B4.2	1	0	0	0	0	1	1
205	remain76	merge_only	compat_miss_typed_hit	0	1	1	1	1	0	16	14	A	2	1	-1	subtype_of	subtype_of	0	B1.4	B1.2	0	1	1	0.0	0.0	B3.2,B2.3,B4.2,B1.4	1	0	0	0	0	1	1
206	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	20	18	D	1	2	1	subtype_of	subtype_of	0	B1.2,B2.1,B3.1,B5.2	B1.1,B4.1	0	1	1	0.125	0.0	B1.2,B2.1,B4.3,B5.2,B3.1	1	1	0	0	0	1	1
207	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	16	15	D	1	3	2	supertype_of	equivalent	1	B1.1,B2.1,B3.1,B4.1	B1.3	0	1	1	0.1429	0.0	B2.1,B1.1,B3.1,B4.1	1	1	0	0	0	1	1
211	remain76	merge_only	compat_hit_typed_miss	1	1	0	1	-1	0	19	18	D	1	2	1	subtype_of	subtype_of	0	B2.3,B3.2	B1.2	0	1	1	0.0	0.0	B2.3,B1.1,B5.1,B4.1,B3.2	1	1	0	0	0	1	1
214	remain76	calib_only	both_hit	1	1	1	1	0	0	16	12	B	2	1	-1	manifestation_of	subtype_of	1	B1.4,B2.2,B3.4	B1.1	0	1	1	0.0	0.0	B4.1,B3.4,B1.4,B2.2	1	0	0	0	0	1	1
216	remain76	merge_only	both_hit	1	1	1	1	0	0	15	14	A	1	1	0	supertype_of	subtype_of	1	B1.1,B2.4,B3.2,B4.1	B1.2	0	1	1	0.0	0.0	B3.2,B1.1,B4.1,B2.4	1	0	0	0	0	1	1
219	remain76	merge_only	both_hit	1	1	1	1	0	0	19	18	A	1	1	0	equivalent	equivalent	0	B1.1,B2.1,B3.1,B4.1,B5.1	B1.1	1	0	0	0.1667	0.2	B1.1,B4.1,B2.1,B3.1,B5.1	1	0	0	0	0	1	1
220	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	16	15	D	1	3	2	subtype_of	equivalent	1	B1.1,B2.1,B3.1,B4.2	B1.3,B2.2	0	1	1	0.25	0.0	B3.1,B1.1,B2.1,B4.2	1	1	0	0	0	1	1
225	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	14	13	D	1	3	2	subtype_of	equivalent	1	B1.1,B2.2,B4.1	B1.3	0	1	1	0.1667	0.0	B2.2,B1.1,B3.1,B4.1	1	1	0	0	0	1	1
226	remain76	merge_only	both_miss	0	0	0	0	0	0	16	14	B	2	3	1	unrelated	subtype_of	1		B1.3	0	1	1	0.3333	0.0	B3.2,B1.1,B2.4,B4.2	1	1	0	1	0	1	1
227	remain76	merge_only	both_hit	1	1	1	1	0	0	20	18	B	1	1	0	subtype_of	equivalent	1	B2.2	B2.2	1	0	0	0.25	0.2	B3.1,B4.2,B1.2,B2.2,B5.2	1	0	0	0	0	1	1
228	remain76	merge_only	both_hit	1	1	1	1	0	0	16	14	C	1	1	0	subtype_of	equivalent	1	B1.1,B2.1,B4.1	B1.1	1	0	0	0.1667	0.25	B2.1,B1.1,B4.1,B3.1	1	0	0	0	0	1	1
229	remain76	merge_only	compat_miss_typed_hit	0	0	1	1	1	1	20	18	D	1	1	0	unrelated	equivalent	1		B1.1	1	0	1	0.0	0.2	B2.1,B1.1,B5.3,B3.6,B4.3	1	0	0	1	0	1	1
231	remain76	merge_only	both_miss	0	0	0	0	0	0	16	14	B	3	3	0	unrelated	unrelated	0			0	0	0	0.1667	0.0	B1.2,B2.1,B4.2,B5.1,B3.1	0	0	0	0	1	1	1
233	remain76	merge_only	both_hit	1	1	1	1	0	0	16	15	C	2	1	-1	equivalent	supertype_of	1	B1.2	B1.1	0	1	1	0.1667	0.0	B2.1,B3.1,B4.1,B1.2,B5.1	1	0	0	0	0	1	1
237	remain76	merge_only	both_hit	1	1	1	1	0	0	20	18	A	1	1	0	subtype_of	equivalent	1	B1.1,B3.1,B4.1,B5.1	B5.1	1	0	0	0.2857	0.2	B5.1,B4.1,B1.1,B3.1,B2.1	1	0	0	0	0	1	1
241	remain76	merge_only	both_miss	0	0	0	0	0	0	16	13	D	3	3	0	unrelated	unrelated	0			0	0	0	0.2	0.0	B1.1,B4.2,B3.2,B2.11	0	0	0	1	0	1	1
242	remain76	merge_only	both_miss	0	0	0	1	0	1	20	18	D	2	2	0	unrelated	subtype_of	1		B2.2	0	1	1	0.2	0.0	B2.4,B3.1,B1.1,B5.1,B4.1	1	0	0	1	0	1	1
243	remain76	merge_only	both_hit	1	1	1	1	0	0	15	13	C	1	1	0	equivalent	equivalent	0	B1.2,B2.3,B4.2	B1.2	1	0	0	0.25	0.25	B1.2,B4.2,B2.3,B3.4	1	0	0	0	0	1	1
246	remain76	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	16	14	B	2	4	2	equivalent	equivalent	0	B3.3	B1.3,B2.4,B3.4,B4.2	0	1	1	0.1538	0.0	B4.4,B1.2,B3.3,B2.1	1	1	0	0	0	1	1
249	remain76	calib_only	both_hit	1	1	1	1	0	0	19	14	D	1	1	0	subtype_of	subtype_of	0	B2.2	B2.2	1	0	0	0.3333	0.2	B2.2,B1.3,B3.1,B4.1,B5.1	1	0	0	0	0	1	1
