case_id,cohort,ours_opt1,ours_opt2,ours_rr,mac_opt1,mac_opt2,dual_opt1,dual_opt2,in_set_a,in_set_b_mac,in_set_b_dual,in_set_c,fail_tier_prefill,fine_candidate,fine_reason,coarse_candidate,coarse_leaf_id,joint_top1,joint_top2,gold_option,gold_letter,gold_leaf_ids,n_selected_l1,schema_valid
100,remain76,0,1,0.5,1,1,1,1,1,1,1,0,fine_synonym_crowd,1,top1_top2_synonym_labels,0,,Cutaneous metastatic breast carcinoma,Cutaneous metastatic breast carcinoma,Telangiectatic metastatic breast carcinoma (TMBC),C,"B1.2,B3.2",6,True
102,remain76,1,1,1.0,0,0,1,1,0,0,0,0,,0,,1,B1.1,Epidermolytic Hyperkeratosis,Bullous Congenital Ichthyosiform Erythroderma,Annular epidermolytic ichthyosis (AEI),D,"B1.1,B3.1,B4.1",6,True
103,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.3,Intra-atrial Reentrant Tachycardia,Intra-Atrial Reentrant Tachycardia,Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block,B,"B1.3,B2.3,B3.1,B4.3,B5.1",6,True
107,remain76,0,0,0.0,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Eosinophilic Fasciitis,Eosinophilic Fasciitis,Keloidal scleroderma,D,,0,True
111,remain76,1,1,1.0,1,1,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,inverse lichen planus,inverse lichen planus,Inverse lichen planus,B,"B1.2,B2.2,B3.2,B4.2,B5.2",6,True
114,remain76,0,0,0.0,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Synthetic Cannabinoid–Induced Toxic Encephalopathy,Synthetic Cannabinoid–Induced Toxic Encephalopathy,Reversible cerebral vasoconstriction syndrome (RCVS),B,,6,True
117,remain76,0,1,0.5,1,1,0,0,1,1,0,0,fine_synonym_crowd,1,top1_top2_synonym_labels,1,B1.1,Bullous Impetigo,Bullous Impetigo,Pyoderma with Staphylococcus simulans,A,B1.1,6,True
118,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,COVID-19-associated optic neuritis and retinal vasculitis,optic neuritis,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,D,B1.1,0,True
119,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,0,,Eruptive pruritic papular porokeratosis,Eruptive pruritic papular porokeratosis,Eruptive pruritic papular porokeratosis (EPPP),A,"B2.5,B4.4,B5.3",0,True
120,remain76,0,1,0.5,0,0,1,1,1,0,1,0,coarse_leaf_multi_option_candidate,0,,1,B1.3,Posterior Staphyloma,Myopic Macular Pit,Myopic macular pit,C,"B1.3,B2.3,B4.3,B5.3",0,True
122,remain76,0,1,0.5,0,0,0,1,1,0,0,0,fine_synonym_crowd,1,top1_top2_synonym_labels,0,,Paroxysmal complete atrioventricular block,Paroxysmal complete atrioventricular block,Vagus-mediated paroxysmal atrioventricular block (VP-AVB),B,B2.1,6,True
124,remain76,1,1,1.0,0,0,1,1,0,0,0,0,,0,,0,,Primary Invasive Lobular Breast Carcinoma in Heterotopic Cutaneous Breast Tissue,apocrine gland carcinoma,Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue,B,B1.2,6,True
125,remain76,0,0,0.0,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Nevus sebaceus of Jadassohn,Nevus sebaceus of Jadassohn,Tumors of the follicular infundibulum (TFI),A,,6,True
128,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Cutaneous angiosarcoma,Cutaneous angiosarcoma,Cutaneous angiosarcoma,D,"B3.3,B4.3",6,True
129,remain76,0,0,0.0,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Catecholaminergic Polymorphic Ventricular Tachycardia,Catecholaminergic Polymorphic Ventricular Tachycardia,Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation,A,,6,True
132,remain76,1,1,1.0,0,1,0,1,0,0,0,1,,1,top1_top2_synonym_labels,1,B1.1,Atrioventricular Block,Atrioventricular Block,Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block),D,"B1.1,B4.3",6,True
134,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Primary Central Nervous System Lymphoma,Primary central nervous system lymphoma,Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL),D,"B1.1,B2.3,B3.1,B4.1,B5.1",6,True
137,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,1,B1.2,Hobnail Hemangioma,Hobnail Hemangioma,Papillary hemangioma,B,"B1.2,B2.1,B3.2,B4.2",0,True
139,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Radioiodine-refractory Vesicular Thyroid Carcinoma with Sinonasal Metastasis,Radioiodine-refractory Vesicular Thyroid Carcinoma with Sinonasal Metastasis,Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis,C,"B1.3,B2.3,B3.2,B4.3",6,True
140,remain76,1,1,1.0,0,1,0,0,0,0,0,1,,1,top1_top2_synonym_labels,0,,Pheochromocytoma-induced cardiomyopathy,Pheochromocytoma-induced Cardiomyopathy,Pheochromocytoma-induced cardiomyopathy,A,"B2.3,B3.1,B4.2",6,True
147,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Discoid Lupus Erythematosus,Discoid Lupus Erythematosus,Linear or annular lupus erythematosus panniculitis of the scalp (LALPS),B,"B1.1,B2.1,B3.1,B4.1,B5.1",0,True
149,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B2.1,Giant Cell Tumor,Giant Cell Tumor of the Orbit,Giant cell tumor of soft tissue (GCT-ST),D,"B2.1,B4.1,B5.1",6,True
150,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,0,,1,B4.3,Iatrogenic Abducens Nerve Palsy,Allergic Fungal Rhinosinusitis,Transient left abducens (cranial nerve VI) nerve palsy,B,B4.3,6,True
151,remain76,0,1,0.5,1,1,1,1,1,1,1,0,coarse_leaf_multi_option_candidate,0,,1,B1.1,Pacemaker lead-associated thromboembolic stroke,Cardioembolic Stroke,Large middle cerebral artery territory embolic stroke,D,"B1.1,B2.3,B4.1",6,True
156,remain76,1,1,1.0,1,1,0,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Drug-induced blepharitis and ectropion associated with TNF-α inhibitors,TNF-α inhibitor–induced psoriasiform blepharitis,Drug-induced blepharitis and ectropion associated with TNF-α inhibitors (infliximab and adalimumab),D,B2.3,6,True
158,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.2,Bullous Pilomatricoma,Bullous Pilomatricoma,Bullous pilomatricoma,A,"B1.2,B2.2,B3.2,B5.2",0,True
161,remain76,1,1,1.0,0,0,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Hemosiderotic fibrolipomatous tumor (HFLT),Hemosiderotic fibrolipomatous tumor (HFLT),Hemosiderotic fibrolipomatous tumor (HFLT),C,"B1.3,B2.3,B3.4,B4.1,B5.1",6,True
163,remain76,0,1,0.5,1,1,1,1,1,1,1,0,coarse_leaf_multi_option_candidate,0,,1,B1.3,Chronic Eosinophilic Leukemia,Myeloid/lymphoid neoplasm with eosinophilia and FIP1L1-PDGFRA fusion,FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH),C,"B1.3,B3.3,B5.3",6,True
164,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,0,,Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN) with Polyradiculopathy,Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy,Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy,A,"B1.1,B2.1,B3.1,B4.2,B5.1",6,True
165,remain76,0,1,0.5,1,1,1,1,1,1,1,0,fine_synonym_crowd,1,top1_top2_synonym_labels,0,,Nocardia infection,Nocardia infection,Nocardia brasiliensis skin infection,B,B4.2,6,True
167,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Chikungunya virus ocular inflammation,Chikungunya virus ocular inflammation,Chikungunya virus-induced bilateral stromal keratouveitis,D,"B1.1,B2.1,B4.1",6,True
173,remain76,0,1,0.5,0,0,1,1,1,0,1,0,coverage_or_mapper_rank_gt2,0,,0,,Netherton syndrome,Pityriasis rubra pilaris,Netherton syndrome,C,"B3.1,B4.1,B5.1",6,True
174,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,0,,"Intravascular NK/T-cell lymphoma, nasal type","Intravascular NK/T-cell lymphoma, nasal type","Intravascular NK/T-cell lymphoma, nasal type",A,"B1.2,B2.2,B3.2,B4.2,B5.2",6,True
177,remain76,0,1,0.5,1,1,1,1,1,1,1,0,coarse_leaf_multi_option_candidate,0,,1,B3.4,Cardiac tamponade due to ventricular wall rupture,Acute Inferoposterolateral ST-elevation Myocardial Infarction,Subacute left ventricular free wall rupture (LVFWR) complicating acute myocardial infarction,D,"B3.4,B4.1,B5.1",6,True
181,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Targetoid hemosiderotic hemangioma,Targetoid Hemosiderotic Hemangioma,Benign lymphangioendothelioma (BLAE),C,"B1.3,B3.4",6,True
182,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,0,,Fibrofatty residua of involuted infantile hemangioma,Fibrofatty residua of involuted infantile hemangioma,Fibrofatty residua of involuted infantile hemangioma,C,"B1.3,B2.3,B3.3,B4.3",0,True
183,remain76,0,0,0.0,0,0,1,1,0,0,1,0,,1,top1_top2_synonym_labels,0,,Optic Nerve Glioma,Optic Nerve Glioma,Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension,D,,6,True
186,remain76,0,1,0.5,0,1,1,1,1,0,1,0,fine_synonym_crowd,1,top1_top2_synonym_labels,1,B1.3,Pseudoxanthoma Elasticum,Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency,Pseudoxanthoma elasticum-like disorder with coagulation deficiency,D,"B1.3,B2.2,B3.2",6,True
187,remain76,0,0,0.0,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Erdheim-Chester disease,Erdheim-Chester disease,Xanthoma disseminatum,B,,6,True
188,remain76,0,0,0.0,0,1,0,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Catecholaminergic Polymorphic Ventricular Tachycardia,Catecholaminergic Polymorphic Ventricular Tachycardia,Coronary Artery Disease (CAD) with Giant R-wave Syndrome,D,,6,True
190,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis,Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis,Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis,D,"B1.3,B2.2,B3.2,B4.4,B5.4",6,True
194,remain76,1,1,1.0,0,0,0,1,0,0,0,1,,1,top1_top2_synonym_labels,1,B1.2,Lamellar macular hole with trapped silicone oil,Lamellar Macular Hole with Trapped Silicone Oil,Hyperoleon within a lamellar macular hole,C,"B1.2,B2.2,B3.2,B4.2",6,True
198,remain76,0,0,0.0,0,1,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Lynch syndrome-associated endometrial carcinoma,Lynch syndrome-associated endometrial carcinoma,Stage IA endometrial cancer,C,,0,True
202,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,1,B2.1,Mesenteric lymphoma,Mesenteric lymphoma,Type B lactic acidosis secondary to diffuse large B-cell lymphoma,C,"B2.1,B3.1,B4.2",6,True
205,remain76,0,1,0.5,0,0,1,1,1,0,1,0,fine_synonym_crowd,1,top1_top2_synonym_labels,1,B1.4,Microscopic Polyangiitis,Microscopic polyangiitis,Methimazole-induced vasculitis,A,B1.4,6,True
206,remain76,1,1,1.0,1,1,0,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.2,Myocardial Infarction,Myocardial Infarction,Acute posterior and inferior myocardial infarction (STEMI equivalent) due to saphenous vein graft occlusion,D,"B1.2,B2.1,B3.1,B5.2",6,True
207,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Ocular Cicatricial Pemphigoid,Ocular Cicatricial Pemphigoid,Mucous membrane pemphigoid (MMP),D,"B1.1,B2.1,B3.1,B4.1",6,True
211,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,0,,1,B2.3,Brown Tumor of Hyperparathyroidism,Primary Hyperparathyroidism,Brown tumor secondary to primary hyperparathyroidism due to parathyroid carcinoma,D,"B2.3,B3.2",6,True
214,remain76,0,1,0.5,1,1,1,1,1,1,1,0,ranking_failure_rank2,0,,0,,Central Retinal Vein Occlusion (CRVO),Cystoid Macular Edema,Macular retinal vein occlusion with chronic cystoid macular edema,B,"B1.4,B2.2,B3.4",4,True
216,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,COVID-19 pneumonia,COVID-19 pneumonia,Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS),A,"B1.1,B2.4,B3.2,B4.1",6,True
219,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC),Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC),Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC),A,"B1.1,B2.1,B3.1,B4.1,B5.1",6,True
220,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,0,,Plasmablastic lymphoma,Plasmablastic Lymphoma,"Plasmablastic lymphoma (PBL), stage 1 with high-risk features",D,"B1.1,B2.1,B3.1,B4.2",6,True
225,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Diffuse Large B-cell Lymphoma,Diffuse large B-cell lymphoma,Richter's transformation presenting as penile ulcer (transformation of chronic lymphocytic leukemia to diffuse large B-cell lymphoma),D,"B1.1,B2.2,B4.1",6,True
226,remain76,0,0,0.0,0,0,0,0,0,0,0,0,,0,,0,,Cutaneous B-cell lymphoma,Chronic actinic dermatitis,Actinic prurigo with associated cheilitis,B,,6,True
227,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B2.2,Paraneoplastic Pemphigus,Paraneoplastic Pemphigus,Bullous amyloidosis,B,B2.2,6,True
228,remain76,1,1,1.0,0,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Systemic amyloidosis,Systemic Amyloidosis,Primary systemic (AL) amyloidosis,C,"B1.1,B2.1,B4.1",6,True
229,remain76,0,0,0.0,1,1,1,1,0,1,1,0,,1,top1_top2_synonym_labels,0,,Multiple Sclerosis,Multiple Sclerosis,Rheumatoid meningitis,D,,6,True
231,remain76,0,0,0.0,0,0,1,1,0,0,1,0,,1,top1_top2_synonym_labels,0,,Florid Cutaneous Papillomatosis with Urothelial Cancer,Florid Cutaneous Papillomatosis,Stage IV invasive renal urothelial carcinoma,B,,6,True
233,remain76,0,1,0.5,1,1,1,1,1,1,1,0,fine_synonym_crowd,1,top1_top2_synonym_labels,0,,Langerhans Cell Histiocytosis,Langerhans Cell Histiocytosis,Multisystem Langerhans cell histiocytosis,C,B1.2,6,True
237,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Primary focal hyperhidrosis,Primary focal hyperhidrosis,Intergluteal and sacral hyperhidrosis,A,"B1.1,B3.1,B4.1,B5.1",6,True
241,remain76,0,0,0.0,1,1,0,1,0,1,0,0,,0,,0,,Streptococcal Endophthalmitis,Polymicrobial bacterial iris abscess,Endogenous endophthalmitis with iris abscess,D,,6,True
242,remain76,0,0,0.0,0,0,0,0,0,0,0,0,,0,,0,,Chronic Progressive Ocular Vascular Proliferation Syndrome with Neovascularization,Proliferative Diabetic Retinopathy,Branch retinal vein occlusion with preretinal neovascularization,D,,6,True
243,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Juvenile Spring Eruption,Juvenile Spring Eruption,Juvenile spring eruption (JSE) associated with parvovirus B19 infection,C,"B1.2,B2.3,B4.2",0,True
246,remain76,0,1,0.5,1,1,0,0,1,1,0,0,fine_synonym_crowd,1,top1_top2_synonym_labels,0,,Tufted Angioma,Tufted Angioma,Tufted angioma with somatic KDR mutation,B,B3.3,0,True
249,remain76,1,1,1.0,1,1,0,1,0,0,0,0,,0,,1,B2.2,Cutaneous T-Cell Lymphoma,Dermatomyositis,CD8-positive granulomatous cutaneous T-cell lymphoma,D,B2.2,6,True
