key,rule_fail_code,adj_fail_code,rule_cluster,adj_cluster,semantic_e7_correct,layer_chain,rationale
da_d2_heldout200b_730,parent_vs_subtype,ok,near,parent_subtype,1,base_win_rank,Bicuspid aortic valve disease is the parent entity encompassing the aneurysm and valve thrombus.
mcr_mcr_v2_152,near_synonym_prefer,s4_hit_judge_miss,near,parent_subtype,1,base_win_rank,"Verrucous carcinoma is a low-grade SCC subtype and should count for gold SCC, but was scored wrong."
da_d2_heldout200b_579,near_synonym_prefer,s4_hit_judge_miss,near,same_entity,1,base_win_rank,Otogenic and gas-containing labels describe the same brain abscess with different qualifiers.
mcr_mcr_v1_80,s2_gold_low_rank,rationale_overfit,other,unrelated,0,base_win_rank,Breast sarcoma was shortlisted but S4 preferred carcinoma recurrence over leiomyosarcoma.
mcr_mcr_v2_209,s2_gold_low_rank,s3_drop_other,other,unrelated,0,base_win_rank,"Ewing sarcoma is unrelated to melanoma, and gold was absent from the S3 shortlist."
da_d2_heldout200b_767,s2_gold_low_rank,ok,near,parent_subtype,1,base_win_rank,Non-Hodgkin lymphoma is the appropriate parent category for diffuse large B-cell lymphoma.
da_d2_heldout200b_605,s2_gold_low_rank,s3_drop_other,other,unrelated,0,base_win_rank,"Moyamoya does not equal congenital TTP, and gold never entered S3."
mcr_mcr_200b_480,s3_why_ignored_gold,s3_drop_other,other,unrelated,0,base_win_rank,"TIA is unrelated to myasthenia gravis, with gold missing from the S3 shortlist."
mcr_mcr_v2_165,s2_gold_low_rank,s3_drop_other,other,sibling_family,0,base_win_rank,"GIST and leiomyosarcoma are sibling mesenchymal tumors, but gold was not shortlisted."
mcr_mcr_200b_430,near_synonym_prefer,s4_hit_judge_miss,near,parent_subtype,1,base_win_rank,Vein-of-Marshall epicardial tachycardia is a specific atrial tachycardia and should count as correct.
da_d2_seq100_156,parent_vs_subtype,ok,near,same_entity,1,base_win_rank,Infliximab-induced ocular inflammation matches TNF-inhibitor–associated blepharitis/ectropion.
da_d2_heldout200b_681,s2_near_crowd_out,ok,near,parent_subtype,1,base_win_rank,Cardiac amyloidosis is the correct parent of familial ATTR myocardial amyloidosis.
mcr_mcr_200b_257,rationale_overfit,label_drift,other,sibling_family,0,base_win_rank,Drifted from collar-button deep-space abscess to neighboring pyogenic flexor tenosynovitis.
mcr_mcr_200b_294,rationale_overfit,rationale_overfit,other,sibling_family,0,base_win_rank,Undifferentiated embryonal sarcoma was shortlisted but rejected for hepatoblastoma on age priors.
mcr_mcr_v1_19,rationale_overfit,rationale_overfit,other,sibling_family,0,base_win_rank,Leiomyosarcoma was shortlisted with matching SMA/desmin yet rejected for sarcomatoid meningioma.
da_d2_heldout200b_740,parent_vs_subtype,s4_hit_judge_miss,near,same_entity,1,base_win_rank,Scar endometriosis is synonymous with secondary cutaneous endometriosis after cesarean scar.
da_d2_heldout200b_736,s2_gold_low_rank,ok,other,same_entity,1,base_win_rank,Spondylodiscitis is the standard synonym for vertebral osteomyelitis with discitis.
mcr_mcr_200b_470,rationale_overfit,rationale_overfit,other,sibling_family,0,base_win_rank,Cone-rod dystrophy was shortlisted then rejected for sibling macular dystrophy Stargardt disease.
mcr_mcr_v1_48,rationale_overfit,label_drift,other,sibling_family,0,base_win_rank,Drifted from xanthogranulomatous osteomyelitis to related chronic osteomyelitis form Brodie abscess.
mcr_mcr_200b_329,near_synonym_prefer,rationale_overfit,near,sibling_family,0,base_win_rank,Urachal cyst was shortlisted but S4 overcalled malignancy as urachal adenocarcinoma.
da_d2_seq100_198,option_echo_da,rationale_overfit,other,unrelated,0,base_win_rank,Endometrial cancer was shortlisted yet displaced by predisposition syndrome Lynch rather than the tumor.
da_d2_heldout200b_649,s2_near_crowd_out,s3_drop_other,other,unrelated,0,base_win_rank,"Pulmonary embolism is unrelated to COVID ARDS requiring ECMO, and gold was absent from S3."
da_d2_heldout200b_477,s2_miss,s3_drop_other,near,unrelated,0,base_win_recall,"ADEM does not match MIS-C with ischemic stroke, and gold never entered S3."
da_d2_heldout100_334,s2_miss,s3_drop_other,other,sibling_family,0,base_win_recall,Chromoblastomycosis is a sibling dematiaceous mycosis; phaeohyphomycosis gold was not shortlisted.
mcr_mcr_200b_250,s2_miss,s3_drop_other,other,unrelated,0,base_win_recall,"Eosinophilic pericarditis names a syndrome, not toxocariasis, which never entered S3."
da_d2_heldout200b_522,s2_miss,rationale_overfit,other,sibling_family,0,base_win_recall,Dementia with Lewy bodies was shortlisted then wrongly rejected for CJD despite gold DLB-related catatonia.
da_d2_heldout200b_733,s2_miss,ok,near,same_entity,1,base_win_recall,Phototoxic maculopathy is synonymous with photic maculopathy from LED exposure.
mcr_mcr_200b_265,s2_miss,rationale_overfit,other,sibling_family,0,base_win_recall,Intestinal lymphoma was shortlisted but S4 preferred Crohn disease over T-cell lymphoma.
da_d2_heldout200b_591,s2_miss,ok,near,parent_subtype,1,base_win_recall,Acute myocardial infarction correctly parents NSTEMI from recurrent plaque erosion.
mcr_mcr_v2_208,s2_miss,ok,near,same_entity,1,base_win_recall,Takotsubo cardiomyopathy is a standard synonym of Takotsubo syndrome.
mcr_mcr_v2_212,s2_miss,s3_drop_other,near,sibling_family,0,base_win_recall,NF1 and NF2 are sibling phakomatoses; gold NF2 never entered the S3 shortlist.
mcr_mcr_v2_205,s2_miss,s3_drop_other,other,unrelated,0,base_win_recall,"Lipoid proteinosis is unrelated to cysticercosis, with gold missing from S3."
da_d2_heldout200b_747,s2_miss,ok,near,same_entity,1,base_win_recall,Mycoplasma pneumoniae infection matches severe MPP with listed complications as qualifiers.
da_d2_heldout200b_509,s2_miss,parent_vs_subtype,other,parent_subtype,0,base_win_recall,CLABSI is a broader infection category and does not identify the gold Williamsia bacteremia.
da_d2_seq100_59,s2_miss,rationale_overfit,near,sibling_family,0,base_win_recall,"Anastrozole-induced uveitis was shortlisted then rejected for IOL-related CME, wrong etiology."
da_d2_heldout200b_637,s2_miss,rationale_overfit,other,sibling_family,0,base_win_recall,Autoimmune urticaria was shortlisted but rejected for vaccine anaphylaxis instead of CSU.
mcr_mcr_v2_230,s2_miss,rationale_overfit,other,unrelated,0,base_win_recall,Invasive fungal infection was shortlisted yet S4 crowned ALL instead of mucormycosis.
mcr_mcr_v1_8,s2_miss,ok,near,same_entity,1,base_win_recall,Colorectal cancer metastasis is synonymous with liver metastasis from colon cancer.
mcr_mcr_v1_11,s2_miss,s3_drop_other,near,sibling_family,0,base_win_recall,Streptococcal toxic shock is a sibling shock syndrome; MIS-C gold was not shortlisted.
mcr_mcr_v1_33,ok,ok,gold,same_entity,1,e7_win_recall,Champion exactly matches gold Dyke-Davidoff-Masson syndrome.
mcr_mcr_200b_365,ok,ok,gold,same_entity,1,e7_win_recall,Champion exactly matches gold thyroglossal duct cyst.
da_d2_heldout200b_660,ok,ok,gold,same_entity,1,e7_win_recall,Papillary serous ovarian adenocarcinoma matches gold aside from stage/BRCA qualifiers.
da_d2_seq100_183,s2_miss,ok,gold,same_entity,1,e7_win_rank,Glioblastoma matches gold; optic invasion is a site qualifier of the same entity.
mcr_mcr_v1_111,ok,ok,gold,same_entity,1,e7_win_recall,Giant cell tumor is the same disease as giant cell tumor of bone with only a trivial site qualifier.
mcr_mcr_200b_327,s4_hit_judge_miss,parent_vs_subtype,gold,parent_subtype,1,e7_win_recall,"Champion names metastatic DFSP to thyroid, a site-specific presentation of the same DFSP disease as gold."
da_d2_heldout200b_702,ok,ok,gold,parent_subtype,1,e7_win_recall,Sciatic hernia is the core entity; strangulation and perforation are severity qualifiers of the same hernia.
da_d2_heldout200b_577,ok,s3_drop_other,gold,parent_subtype,0,e7_win_recall,"Hyperviscosity syndrome never entered the S3 shortlist, so S4 could only pick the parent RA diagnosis."
da_d2_heldout200b_602,ok,ok,gold,parent_subtype,1,e7_win_recall,"Tumoral calcinosis matches gold, with only the normophosphatemic subtype qualifier omitted."
mcr_mcr_200b_346,ok,ok,gold,same_entity,1,e7_win_recall,Acral myxoinflammatory fibroblastic sarcoma is the same tumor as gold with an acral-site qualifier.
mcr_mcr_200b_260,ok,ok,gold,same_entity,1,e7_win_recall,Champion is an exact case-insensitive match to syphilitic aortitis.
da_d2_heldout200b_619,ok,s3_drop_other,gold,parent_subtype,0,e7_win_recall,"MIS-A was absent from S3, leaving only the DAH manifestation for S4 to champion."
mcr_mcr_v1_50,s4_hit_judge_miss,s4_hit_judge_miss,gold,same_entity,1,e7_win_recall,"Clear cell sarcoma is clinically the same entity as gastrointestinal clear cell sarcoma, but scoring marked a miss."
da_d2_seq100_202,ok,ok,gold,parent_subtype,1,e7_win_recall,Lymphoma correctly captures the underlying DLBCL causing type B lactic acidosis.
mcr_mcr_200b_374,ok,ok,gold,same_entity,1,e7_win_recall,Organizing pneumonia is the same entity as cryptogenic organizing pneumonia without the idiopathic qualifier.
da_d2_heldout200b_645,ok,ok,gold,same_entity,1,e7_win_recall,Abdominal epilepsy matches gold; COVID-19 sequela is contextual rather than a different disease.
da_d2_heldout200b_756,ok,ok,gold,parent_subtype,1,e7_win_recall,Orchitis is the core infectious diagnosis within the more detailed epididymo-orchitis with infarction label.
mcr_mcr_200b_310,label_drift,rationale_overfit,other,parent_subtype,0,all_miss_but_recalled,S4 rejected chondrosarcoma and overfit to a generic metastatic-disease label despite known EMC history.
da_d2_seq100_140,near_synonym_prefer,rationale_overfit,near,sibling_family,0,base_win_rank,Pheochromocytoma was on the shortlist but rejected while S4 overfit apical ballooning to Takotsubo.
da_d2_heldout200b_506,option_echo_da,rationale_overfit,other,unrelated,0,all_miss_but_recalled,Behçet was shortlisted yet rejected in favor of HSV encephalitis on overweighted vesicular and CSF cues.
da_d2_seq100_129,parent_vs_subtype,rationale_overfit,near,sibling_family,0,all_miss_but_recalled,Idiopathic VF was available on S3 but S4 overfit short-coupled PMVT features to CPVT.
mcr_mcr_v2_237,rationale_overfit,rationale_overfit,other,sibling_family,0,base_win_rank,Odontoma was shortlisted but rejected while rationale overfit hard radiopaque maxillary growth to exostosis.
mcr_mcr_200b_411,label_drift,ok,other,same_entity,1,all_miss_but_recalled,Plexiform schwannoma is an exact match to gold aside from spacing/case.
mcr_mcr_v1_97,near_synonym_prefer,near_synonym_prefer,near,same_entity,1,base_win_rank,S4 preferred giant fibroadenoma over shortlisted juvenile fibroadenoma though both name the same lesion.
da_d2_seq100_7,option_echo_da,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Stiff skin syndrome was on S3 but rejected as S4 overfit unilateral banding to linear scleroderma.
da_d2_heldout100_398,parent_vs_subtype,s3_drop_other,near,sibling_family,0,base_win_rank,"PPH never appeared on S3, so S4 could only choose among other hemangioma-family labels."
mcr_mcr_v1_90,rationale_overfit,rationale_overfit,other,unrelated,0,all_miss_but_recalled,Metastatic squamous carcinoma options were shortlisted but rejected for an overfitted pacemaker-pocket sarcoma.
mcr_mcr_v2_156,label_drift,rationale_overfit,other,sibling_family,0,base_win_rank,AML with vein thrombus was shortlisted yet rejected as S4 overfit fat-plus-thrombus cues to RCC.
da_d2_heldout100_272,near_synonym_prefer,parent_vs_subtype,near,parent_subtype,1,base_win_rank,ACS is the parent category of window-period AMI after S4 rejected AMI for a still-normal troponin.
da_d2_seq100_22,option_echo_da,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Dermatomyositis was shortlisted but rejected while S4 overfit systemic autoantibody cues to SLE.
da_d2_seq100_76,parent_vs_subtype,rationale_overfit,near,sibling_family,0,base_win_rank,Chondrosarcoma was on S3 but rejected as facial-nerve localization was overfit to schwannoma.
mcr_mcr_v1_28,rationale_overfit,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,TEN was shortlisted yet rejected while eosinophilia and hepatitis were overfit to DRESS.
mcr_mcr_200b_451,near_synonym_prefer,near_synonym_prefer,near,same_entity,1,all_miss_but_recalled,Idiopathic and spontaneous pneumoperitoneum are near-synonyms for the same non-surgical free-air entity.
da_d2_heldout100_349,option_echo_da,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Histoplasmosis was shortlisted but rejected as haloed yeasts were overfit to cryptococcosis.
da_d2_heldout200b_553,parent_vs_subtype,ok,near,same_entity,1,base_win_rank,SDHB-related paraganglioma is the same SDH-deficient paraganglioma syndrome as gold.
mcr_mcr_200b_466,rationale_overfit,rationale_overfit,other,unrelated,0,all_miss_but_recalled,Squamous cell carcinoma was shortlisted but rejected while chronic natal-cleft wound cues were overfit to pilonidal sinus.
da_d2_heldout200b_650,near_synonym_prefer,rationale_overfit,near,sibling_family,0,all_miss_but_recalled,Idiopathic VF was on S3 but rejected as PVC-triggered polymorphic VT was overfit to CPVT.
da_d2_heldout100_262,option_echo_da,ok,other,parent_subtype,1,all_miss_but_recalled,Sweet syndrome is the specific neutrophilic dermatosis implied by IBD-associated neutrophilic dermatosis.
da_d2_heldout200b_544,parent_vs_subtype,rationale_overfit,near,sibling_family,0,all_miss_but_recalled,Loeys-Dietz was shortlisted but rejected while hypermobility-skin cues were overfit to Ehlers-Danlos.
mcr_mcr_200b_387,rationale_overfit,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,LCH was shortlisted yet rejected as pediatric destructive orbital mass features were overfit to rhabdomyosarcoma.
mcr_mcr_200b_469,near_synonym_prefer,s3_drop_other,near,sibling_family,0,base_win_rank,"Mantle cell lymphoma never entered S3, so S4 championed intraocular lymphoma instead."
da_d2_seq100_194,option_echo_da,near_synonym_prefer,other,same_entity,1,all_miss_but_recalled,"Hyperoleon is emulsified silicone oil within the lamellar hole, so the champion is a near-synonym."
da_d2_heldout100_281,parent_vs_subtype,ok,near,parent_subtype,1,base_win_rank,Metastatic melanoma correctly names the disseminated phase of the staged melanoma gold label.
mcr_mcr_v2_243,rationale_overfit,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Spermatocytic tumor was shortlisted but rejected as three cell types were overfit to mixed GCT.
da_d2_heldout100_299,near_synonym_prefer,rationale_overfit,near,sibling_family,0,base_win_rank,Exophytic and inverted Schneiderian papillomas are sibling subtypes; S4 overfit histology to inverted.
da_d2_heldout200b_769,option_echo_da,parent_vs_subtype,other,parent_subtype,1,all_miss_but_recalled,HLRCC is the syndrome parent of FH-deficient leiomyoma and should count as the same FH disease context.
da_d2_heldout200b_713,parent_vs_subtype,ok,other,same_entity,1,base_win_rank,Status asthmaticus is clinically the same entity as near-fatal asthma with respiratory failure.
mcr_mcr_v2_182,rationale_overfit,parent_vs_subtype,other,parent_subtype,0,all_miss_but_recalled,"S4 preferred myeloma hepatic involvement over shortlisted extramedullary plasmacytoma, a parent/subtype plasma-cell mismatch."
da_d2_heldout100_432,near_synonym_prefer,near_synonym_prefer,near,sibling_family,1,base_win_rank,Both labels are lichen planus variants; S4 preferred the HCV-associated framing over bullous nail LP.
da_d2_heldout200b_666,option_echo_da,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Dropped head syndrome was shortlisted but rejected as neck flexion deformity was overfit to camptocormia.
da_d2_heldout200b_693,parent_vs_subtype,rationale_overfit,near,sibling_family,0,all_miss_but_recalled,Perinephric abscess was shortlisted yet rejected while Klebsiella abscess cues were mislocalized to liver.
mcr_mcr_200b_431,rationale_overfit,parent_vs_subtype,other,parent_subtype,0,all_miss_but_recalled,Porencephaly is an anatomic sequela; congenital CMV was shortlisted but subordinated to the imaging finding.
mcr_mcr_v1_76,near_synonym_prefer,ok,near,parent_subtype,1,base_win_rank,Alfuzosin-induced liver injury is a valid specific subtype of drug-induced liver injury.
da_d2_heldout200b_642,option_echo_da,ok,other,parent_subtype,1,all_miss_but_recalled,Pyogenic liver abscesses are a central component of the pylephlebitis-with-abscess gold syndrome.
da_d2_heldout200b_738,parent_vs_subtype,ok,near,same_entity,1,base_win_rank,ELANE-associated SCN with hepatic involvement matches SCN with staphylococcal hepatic abscess.
mcr_mcr_200b_477,rationale_overfit,rationale_overfit,other,unrelated,0,all_miss_but_recalled,Lymphoma was shortlisted but rejected as S4 overfit imaging of bowel telescoping to intussusception alone.
da_d2_heldout200b_573,near_synonym_prefer,rationale_overfit,near,sibling_family,0,all_miss_but_recalled,CML and blast crisis were shortlisted yet rejected while lymphoid blast markers were overfit to B-ALL.
da_d2_heldout100_400,option_echo_da,parent_vs_subtype,other,parent_subtype,0,all_miss_but_recalled,Parkinson disease was shortlisted but S4 championed associated RBD instead of the parent disease.
mcr_mcr_200b_287,parent_vs_subtype,rationale_overfit,other,parent_subtype,0,base_win_rank,Autoimmune hepatitis was shortlisted but rejected on negative autoantibodies in favor of idiopathic ALF.
mcr_mcr_200b_272,rationale_overfit,rationale_overfit,other,sibling_family,0,base_win_rank,Hemangioma was shortlisted yet rejected as hypervascular hepatic masses were overfit to HCC.
da_d2_heldout100_254,near_synonym_prefer,ok,near,parent_subtype,1,all_miss_but_recalled,F. necrophorum infection correctly names the causative organism of the levator scapulae pyomyositis.
da_d2_heldout200b_773,option_echo_da,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,IPAH was shortlisted but rejected as PFO right-to-left shunt was overfit to congenital shunt reversal.
da_d2_seq100_100,parent_vs_subtype,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Metastatic breast carcinoma was shortlisted yet rejected for postradiation angiosarcoma on radiation-field cues.
da_d2_heldout200b_710,rationale_overfit,ok,other,same_entity,1,base_win_rank,Baker's cyst is the synonymous common name for a popliteal cyst.
mcr_mcr_200b_361,near_synonym_prefer,rationale_overfit,near,unrelated,0,all_miss_but_recalled,Gold anaplastic thyroid ca was on the S3 list but rejected while S4 overfit to pyriform-fossa SCC anatomy.
da_d2_heldout200b_662,option_echo_da,ok,other,parent_subtype,1,all_miss_but_recalled,HLH is the named hemophagocytic complication within gold KFD-plus-HLH and is an acceptable champion.
da_d2_seq100_11,s3_why_ignored_gold,parent_vs_subtype,other,parent_subtype,1,all_miss_but_recalled,"Lacrimal sac abscess is the localized abscess form of acute dacryocystitis, missing only the optic-nerve qualifier."
da_d2_heldout100_451,parent_vs_subtype,ok,other,sibling_family,1,all_miss_but_recalled,First branchial cleft anomaly is a closely related congenital otologic fistula differential acceptable for this presentation.
da_d2_seq100_231,s2_miss,rationale_overfit,other,sibling_family,0,all_miss,S4 overfit to the paraneoplastic skin finding and rejected urothelial carcinoma that was on the shortlist.
mcr_mcr_v1_95,s4_hit_judge_miss,parent_vs_subtype,gold,parent_subtype,1,both_correct,Disseminated tuberculosis is a more specific form of gold tuberculosis and should count as correct.
da_d2_seq100_227,rationale_overfit,rationale_overfit,other,unrelated,0,base_win_rank,Amyloidosis was on S3 but wrongly rejected in favor of scurvy despite Congo-red–compatible disease.
da_d2_seq100_219,parent_vs_subtype,ok,near,sibling_family,1,base_win_rank,NBCCS and MHIBCC are related hereditary multiple-BCC syndromes; NBCCS is an acceptable match here.
da_d2_seq100_163,s2_miss,s3_drop_other,other,sibling_family,0,base_win_recall,"FIP1L1-PDGFRA CEL never entered the S3 shortlist, which was dominated by histiocytosis/mastocytosis."
da_d2_heldout100_266,s2_miss,ok,near,same_entity,1,all_miss,ARVC is the standard name for arrhythmogenic cardiomyopathy; biventricular involvement is a trivial qualifier.
da_d2_seq100_90,s2_miss,ok,near,same_entity,1,all_miss,Malignant melanoma of the caruncle is a synonym of caruncular melanoma.
da_d2_heldout100_273,ok,ok,gold,parent_subtype,1,both_correct,Atopic dermatitis is the parent disease encompassing severe chronic atopic hand eczema.
da_d2_seq100_122,s2_miss,rationale_overfit,other,sibling_family,0,all_miss,Vagus-mediated AV block is not sick sinus syndrome; S4 misread Holter slowing as a sinus-node disease.
da_d2_heldout100_421,s2_gold_low_rank,s3_drop_other,other,sibling_family,0,all_miss_but_recalled,"Rowell syndrome never made the S3 shortlist, which stayed in generic cutaneous-lupus labels."
mcr_mcr_v1_56,s2_miss,s4_hit_judge_miss,near,same_entity,1,all_miss,"Sarcomatoid SCC and spindle-cell SCC are the same entity, so the scored miss is a judge error."
da_d2_heldout100_428,parent_vs_subtype,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Variant angina was on S3 but rejected while S4 overfit alcohol history to cardiomyopathy.
da_d2_seq100_107,s2_miss,s3_drop_other,other,sibling_family,0,all_miss,Keloidal scleroderma was absent from S3; only broader scleroderma/morphea labels appeared and were dropped.
da_d2_heldout100_261,ok,ok,gold,same_entity,1,both_correct,Malakoplakia without the cutaneous site qualifier is the same disease as cutaneous malakoplakia.
da_d2_seq100_63,s2_miss,rationale_overfit,other,unrelated,0,base_win_recall,S4 misattributed vitreous crystals to cystinosis and sidelined morning-glory/synchysis findings.
da_d2_heldout100_257,s2_miss,parent_vs_subtype,other,parent_subtype,0,all_miss,"CARASIL is the homozygous HTRA1 extreme, not heterozygous HTRA1-CSVD, so the subtype label is wrong."
mcr_mcr_v1_60,rationale_overfit,rationale_overfit,other,unrelated,0,all_miss_but_recalled,PMR was on S3 but rejected after S4 overfit MRI psoas edema to a made-up psoas myositis label.
mcr_mcr_v1_16,s2_miss,ok,other,same_entity,1,base_win_recall,Localized amyloidosis of the urethra is a spaced synonym of LocalizedUrethralAmyloidosis.
mcr_mcr_v1_38,ok,ok,gold,same_entity,1,both_correct,Champion matches gold trigeminal schwannoma exactly.
da_d2_seq100_118,s2_miss,parent_vs_subtype,other,parent_subtype,0,all_miss,COVID-19 is only the parent infection and omits the gold ocular neuropathy/panuveitis diagnosis.
da_d2_heldout100_256,s2_miss,ok,near,parent_subtype,1,all_miss,Sickle cell retinopathy is an acceptable parent label for PAMM occurring in sickle cell disease.
da_d2_heldout100_268,s2_miss,s4_hit_judge_miss,other,same_entity,1,base_win_recall,Intracerebral hemorrhage is the same hemorrhagic stroke entity; facial-paralysis detail is a qualifier only.
da_d2_seq100_242,s2_miss,s3_drop_other,other,unrelated,0,all_miss,"BRVO never entered S3, which was filled with AMD/CNV neovascular labels instead."
da_d2_heldout100_306,s2_miss,rationale_overfit,other,unrelated,0,all_miss,Candida meningitis was on S3 but rejected while S4 overfit to NMDAR antibody encephalitis.
da_d2_seq100_103,ok,ok,gold,same_entity,1,both_correct,IART without the variable-AV-block qualifier is still the same arrhythmia diagnosis.
mcr_mcr_v1_72,s2_gold_low_rank,s3_drop_other,other,unrelated,0,all_miss_but_recalled,"Abdominal tuberculosis is absent from S3, which listed only malignancy/inflammatory mimics."
da_d2_seq100_72,s2_miss,parent_vs_subtype,gold,parent_subtype,1,both_correct,Coronary artery disease is the correct parent of three-vessel obstructive CAD.
da_d2_seq100_228,ok,ok,gold,same_entity,1,both_correct,Primary systemic amyloidosis is synonymous with primary systemic (AL) amyloidosis.
mcr_mcr_v1_53,s2_gold_low_rank,s3_drop_other,other,sibling_family,0,all_miss_but_recalled,Hemangioma never reached S3 among cardiac-mass differentials dominated by myxoma.
da_d2_heldout100_411,s2_gold_low_rank,s3_drop_other,near,sibling_family,0,all_miss_but_recalled,"Fascicular VT was missing from S3, which only listed SVT/AVNRT-family options."
da_d2_seq100_161,s2_miss,s3_drop_other,other,unrelated,0,all_miss,HFLT never appeared on S3; Nora lesion is a different tumor wrongly crowned.
da_d2_heldout100_348,s2_miss,s3_drop_other,near,sibling_family,0,all_miss,Posterior corneal dystrophy was not on S3; lattice dystrophy is a sibling mislabel.
da_d2_heldout100_321,parent_vs_subtype,rationale_overfit,near,sibling_family,0,base_win_rank,Syringocystadenocarcinoma papilliferum was on S3 but rejected for benign hidradenoma papilliferum.
da_d2_heldout100_312,s2_miss,rationale_overfit,other,unrelated,0,all_miss,Fabry-related option was on S3 but S4 overfit autonomic/ataxia features to MSA instead of PAGD.
da_d2_heldout100_429,near_synonym_prefer,parent_vs_subtype,near,parent_subtype,1,all_miss_but_recalled,"Amyopathic dermatomyositis correctly names the flare phenotype, omitting only the secukinumab trigger."
da_d2_heldout100_424,s2_miss,s3_drop_other,other,sibling_family,0,all_miss,HLP never entered S3; lichenoid keratosis is a different lichenoid differential.
da_d2_seq100_249,ok,parent_vs_subtype,gold,parent_subtype,1,both_correct,Cutaneous T-cell lymphoma is the correct parent category of CD8-positive granulomatous CTCL.
mcr_mcr_v1_44,s2_miss,s3_drop_other,other,unrelated,0,all_miss,"Pyoderma gangrenosum never reached S3, which only listed device-infection options."
mcr_mcr_200b_275,rationale_overfit,rationale_overfit,other,sibling_family,0,all_miss_but_recalled,Ischemic colitis was on S3 but rejected after S4 overfit skip lesions to Crohn disease.
da_d2_heldout100_255,s2_gold_low_rank,s3_drop_other,near,sibling_family,0,all_miss_but_recalled,Pemphigus erythematosus was absent from S3; SCLE is an overlapping but incorrect sibling.
da_d2_heldout200b_539,s2_near_crowd_out,s3_drop_other,near,sibling_family,0,all_miss_but_recalled,PPP/IPMN never made S3; pancreatic adenocarcinoma is a related but wrong pancreatic label.
