arm,scope,reference_identifiability,n,clinical_complete_n,clinical_complete_rate,clinical_complete_wilson95
collapse3c,MCR,nonunique_full,230,23,0.1,"[0.06756252937632427, 0.14557956729059635]"
multistance,ALL,unique_full_reference,455,95,0.2087912087912088,"[0.17396006803867914, 0.2484983979397481]"
multistance,ALL,family_only_not_full_specificity,139,11,0.07913669064748201,"[0.04476127979457862, 0.13614879375159233]"
multistance,ALL,multiple_complete_answers,5,2,0.4,"[0.11762077423264783, 0.769275718723987]"
multistance,ALL,unsupported_reference_specificity,131,5,0.03816793893129771,"[0.016411333469222626, 0.08623854099631437]"
multistance,ALL,insufficient_case_information,70,8,0.11428571428571428,"[0.059061289466376454, 0.20964221582154374]"
multistance,ALL,uncertain,0,0,,"[null, null]"
multistance,ALL,nonunique_full,345,26,0.07536231884057971,"[0.051945443780258796, 0.10813145478986459]"
multistance,DA,unique_full_reference,285,15,0.05263157894736842,"[0.032151559674570056, 0.08501118752545048]"
multistance,DA,family_only_not_full_specificity,78,2,0.02564102564102564,"[0.007060093472759203, 0.08875270035675845]"
multistance,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
multistance,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
multistance,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
multistance,DA,uncertain,0,0,,"[null, null]"
multistance,DA,nonunique_full,115,2,0.017391304347826087,"[0.004782352362605557, 0.06120016668847053]"
multistance,MCR,unique_full_reference,170,80,0.47058823529411764,"[0.39703790600378563, 0.5454384165728998]"
multistance,MCR,family_only_not_full_specificity,61,9,0.14754098360655737,"[0.07961168507932755, 0.257232352947211]"
multistance,MCR,multiple_complete_answers,4,2,0.5,"[0.15003898915214947, 0.8499610108478506]"
multistance,MCR,unsupported_reference_specificity,101,5,0.04950495049504951,"[0.02132850988800644, 0.11069425072968567]"
multistance,MCR,insufficient_case_information,64,8,0.125,"[0.06472242663330453, 0.22774561821129946]"
multistance,MCR,uncertain,0,0,,"[null, null]"
multistance,MCR,nonunique_full,230,24,0.10434782608695652,"[0.07112894049971785, 0.15056595946430146]"
lite,ALL,unique_full_reference,455,87,0.1912087912087912,"[0.1577189671904869, 0.2298690665451284]"
lite,ALL,family_only_not_full_specificity,139,7,0.050359712230215826,"[0.024605552259930247, 0.10029837246888487]"
lite,ALL,multiple_complete_answers,5,2,0.4,"[0.11762077423264783, 0.769275718723987]"
lite,ALL,unsupported_reference_specificity,131,2,0.015267175572519083,"[0.004196844256021768, 0.05395632976978977]"
lite,ALL,insufficient_case_information,70,8,0.11428571428571428,"[0.059061289466376454, 0.20964221582154374]"
lite,ALL,uncertain,0,0,,"[null, null]"
lite,ALL,nonunique_full,345,19,0.05507246376811594,"[0.035537071682727905, 0.08440698245047303]"
lite,DA,unique_full_reference,285,15,0.05263157894736842,"[0.032151559674570056, 0.08501118752545048]"
lite,DA,family_only_not_full_specificity,78,1,0.01282051282051282,"[0.0022667317538337325, 0.06910857001702223]"
lite,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
lite,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
lite,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
lite,DA,uncertain,0,0,,"[null, null]"
lite,DA,nonunique_full,115,1,0.008695652173913044,"[0.0015366489058808025, 0.047616726344313784]"
lite,MCR,unique_full_reference,170,72,0.4235294117647059,"[0.3517480969915849, 0.49869034170779764]"
lite,MCR,family_only_not_full_specificity,61,6,0.09836065573770492,"[0.04586457581547049, 0.19844607216825946]"
lite,MCR,multiple_complete_answers,4,2,0.5,"[0.15003898915214947, 0.8499610108478506]"
lite,MCR,unsupported_reference_specificity,101,2,0.019801980198019802,"[0.0054473224611470555, 0.06934616962584345]"
lite,MCR,insufficient_case_information,64,8,0.125,"[0.06472242663330453, 0.22774561821129946]"
lite,MCR,uncertain,0,0,,"[null, null]"
lite,MCR,nonunique_full,230,18,0.0782608695652174,"[0.05007459659068939, 0.12030348359073781]"
forest,ALL,unique_full_reference,455,84,0.18461538461538463,"[0.1516574566384192, 0.22285416500614166]"
forest,ALL,family_only_not_full_specificity,139,11,0.07913669064748201,"[0.04476127979457862, 0.13614879375159233]"
forest,ALL,multiple_complete_answers,5,2,0.4,"[0.11762077423264783, 0.769275718723987]"
forest,ALL,unsupported_reference_specificity,131,3,0.022900763358778626,"[0.007818443105274058, 0.06516696440044595]"
forest,ALL,insufficient_case_information,70,7,0.1,"[0.04928930144253951, 0.192329148485674]"
forest,ALL,uncertain,0,0,,"[null, null]"
forest,ALL,nonunique_full,345,23,0.06666666666666667,"[0.04483094245352015, 0.09804616564363647]"
forest,DA,unique_full_reference,285,12,0.042105263157894736,"[0.024247441831894055, 0.07214266412577403]"
forest,DA,family_only_not_full_specificity,78,2,0.02564102564102564,"[0.007060093472759203, 0.08875270035675845]"
forest,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
forest,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
forest,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
forest,DA,uncertain,0,0,,"[null, null]"
forest,DA,nonunique_full,115,2,0.017391304347826087,"[0.004782352362605557, 0.06120016668847053]"
forest,MCR,unique_full_reference,170,72,0.4235294117647059,"[0.3517480969915849, 0.49869034170779764]"
forest,MCR,family_only_not_full_specificity,61,9,0.14754098360655737,"[0.07961168507932755, 0.257232352947211]"
forest,MCR,multiple_complete_answers,4,2,0.5,"[0.15003898915214947, 0.8499610108478506]"
forest,MCR,unsupported_reference_specificity,101,3,0.0297029702970297,"[0.010152480650585542, 0.08371743427997216]"
forest,MCR,insufficient_case_information,64,7,0.109375,"[0.05400113344416797, 0.20898641326896122]"
forest,MCR,uncertain,0,0,,"[null, null]"
forest,MCR,nonunique_full,230,21,0.09130434782608696,"[0.06049437229938245, 0.1355421177733408]"
impc,ALL,unique_full_reference,455,83,0.1824175824175824,"[0.14964064130007765, 0.22051217631413167]"
impc,ALL,family_only_not_full_specificity,139,6,0.04316546762589928,"[0.01993097153690398, 0.09097141598757219]"
impc,ALL,multiple_complete_answers,5,1,0.2,"[0.03622410863243014, 0.6244653702374747]"
impc,ALL,unsupported_reference_specificity,131,5,0.03816793893129771,"[0.016411333469222626, 0.08623854099631437]"
impc,ALL,insufficient_case_information,70,3,0.04285714285714286,"[0.014681541004111405, 0.11859668748527552]"
impc,ALL,uncertain,0,0,,"[null, null]"
impc,ALL,nonunique_full,345,15,0.043478260869565216,"[0.026522754674971255, 0.070488245494274]"
impc,DA,unique_full_reference,285,12,0.042105263157894736,"[0.024247441831894055, 0.07214266412577403]"
impc,DA,family_only_not_full_specificity,78,1,0.01282051282051282,"[0.0022667317538337325, 0.06910857001702223]"
impc,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
impc,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
impc,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
impc,DA,uncertain,0,0,,"[null, null]"
impc,DA,nonunique_full,115,1,0.008695652173913044,"[0.0015366489058808025, 0.047616726344313784]"
impc,MCR,unique_full_reference,170,71,0.4176470588235294,"[0.3461332487461217, 0.4928004544685979]"
impc,MCR,family_only_not_full_specificity,61,5,0.08196721311475409,"[0.03551956660687358, 0.17794661802925352]"
impc,MCR,multiple_complete_answers,4,1,0.25,"[0.04558726080970055, 0.6993581574175981]"
impc,MCR,unsupported_reference_specificity,101,5,0.04950495049504951,"[0.02132850988800644, 0.11069425072968567]"
impc,MCR,insufficient_case_information,64,3,0.046875,"[0.016069016786292974, 0.12899653740093686]"
impc,MCR,uncertain,0,0,,"[null, null]"
impc,MCR,nonunique_full,230,14,0.06086956521739131,"[0.03660143879979044, 0.09956542819324199]"
e7,ALL,unique_full_reference,455,94,0.20659340659340658,"[0.17192404902921288, 0.24617561291886286]"
e7,ALL,family_only_not_full_specificity,139,10,0.07194244604316546,"[0.0395442385453223, 0.1273642977965097]"
e7,ALL,multiple_complete_answers,5,1,0.2,"[0.03622410863243014, 0.6244653702374747]"
e7,ALL,unsupported_reference_specificity,131,5,0.03816793893129771,"[0.016411333469222626, 0.08623854099631437]"
e7,ALL,insufficient_case_information,70,3,0.04285714285714286,"[0.014681541004111405, 0.11859668748527552]"
e7,ALL,uncertain,0,0,,"[null, null]"
e7,ALL,nonunique_full,345,19,0.05507246376811594,"[0.035537071682727905, 0.08440698245047303]"
e7,DA,unique_full_reference,285,13,0.0456140350877193,"[0.02684801785548921, 0.07646630184962969]"
e7,DA,family_only_not_full_specificity,78,2,0.02564102564102564,"[0.007060093472759203, 0.08875270035675845]"
e7,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
e7,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
e7,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
e7,DA,uncertain,0,0,,"[null, null]"
e7,DA,nonunique_full,115,2,0.017391304347826087,"[0.004782352362605557, 0.06120016668847053]"
e7,MCR,unique_full_reference,170,81,0.4764705882352941,"[0.40274494068849187, 0.5512361173728565]"
e7,MCR,family_only_not_full_specificity,61,8,0.13114754098360656,"[0.0679807727490011, 0.23801880192993463]"
e7,MCR,multiple_complete_answers,4,1,0.25,"[0.04558726080970055, 0.6993581574175981]"
e7,MCR,unsupported_reference_specificity,101,5,0.04950495049504951,"[0.02132850988800644, 0.11069425072968567]"
e7,MCR,insufficient_case_information,64,3,0.046875,"[0.016069016786292974, 0.12899653740093686]"
e7,MCR,uncertain,0,0,,"[null, null]"
e7,MCR,nonunique_full,230,17,0.07391304347826087,"[0.04665678605141334, 0.11516849083291515]"
v0,ALL,unique_full_reference,455,82,0.18021978021978022,"[0.14762571231278734, 0.21816830127107048]"
v0,ALL,family_only_not_full_specificity,139,10,0.07194244604316546,"[0.0395442385453223, 0.1273642977965097]"
v0,ALL,multiple_complete_answers,5,1,0.2,"[0.03622410863243014, 0.6244653702374747]"
v0,ALL,unsupported_reference_specificity,131,5,0.03816793893129771,"[0.016411333469222626, 0.08623854099631437]"
v0,ALL,insufficient_case_information,70,5,0.07142857142857142,"[0.03089421703784702, 0.1565541221709532]"
v0,ALL,uncertain,0,0,,"[null, null]"
v0,ALL,nonunique_full,345,21,0.06086956521739131,"[0.04015373444962912, 0.09125684666554963]"
v0,DA,unique_full_reference,285,7,0.02456140350877193,"[0.011947410531839193, 0.04982162668857479]"
v0,DA,family_only_not_full_specificity,78,2,0.02564102564102564,"[0.007060093472759203, 0.08875270035675845]"
v0,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
v0,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
v0,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
v0,DA,uncertain,0,0,,"[null, null]"
v0,DA,nonunique_full,115,2,0.017391304347826087,"[0.004782352362605557, 0.06120016668847053]"
v0,MCR,unique_full_reference,170,75,0.4411764705882353,"[0.36865492537755234, 0.5162977197758187]"
v0,MCR,family_only_not_full_specificity,61,8,0.13114754098360656,"[0.0679807727490011, 0.23801880192993463]"
v0,MCR,multiple_complete_answers,4,1,0.25,"[0.04558726080970055, 0.6993581574175981]"
v0,MCR,unsupported_reference_specificity,101,5,0.04950495049504951,"[0.02132850988800644, 0.11069425072968567]"
v0,MCR,insufficient_case_information,64,5,0.078125,"[0.03383117690855046, 0.17019537354162906]"
v0,MCR,uncertain,0,0,,"[null, null]"
v0,MCR,nonunique_full,230,19,0.08260869565217391,"[0.053521402143753276, 0.1254094813347726]"
B06,ALL,unique_full_reference,455,83,0.1824175824175824,"[0.14964064130007765, 0.22051217631413167]"
B06,ALL,family_only_not_full_specificity,139,8,0.05755395683453238,"[0.029448901559716058, 0.10945656037343804]"
B06,ALL,multiple_complete_answers,5,2,0.4,"[0.11762077423264783, 0.769275718723987]"
B06,ALL,unsupported_reference_specificity,131,7,0.05343511450381679,"[0.026122137223314273, 0.10619220420203965]"
B06,ALL,insufficient_case_information,70,5,0.07142857142857142,"[0.03089421703784702, 0.1565541221709532]"
B06,ALL,uncertain,0,0,,"[null, null]"
B06,ALL,nonunique_full,345,22,0.06376811594202898,"[0.04248523974042838, 0.09465860486573931]"
B06,DA,unique_full_reference,285,8,0.028070175438596492,"[0.014290825737415937, 0.05440242523044886]"
B06,DA,family_only_not_full_specificity,78,1,0.01282051282051282,"[0.0022667317538337325, 0.06910857001702223]"
B06,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
B06,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
B06,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
B06,DA,uncertain,0,0,,"[null, null]"
B06,DA,nonunique_full,115,1,0.008695652173913044,"[0.0015366489058808025, 0.047616726344313784]"
B06,MCR,unique_full_reference,170,75,0.4411764705882353,"[0.36865492537755234, 0.5162977197758187]"
B06,MCR,family_only_not_full_specificity,61,7,0.11475409836065574,"[0.05671202660732208, 0.21844308472401078]"
B06,MCR,multiple_complete_answers,4,2,0.5,"[0.15003898915214947, 0.8499610108478506]"
B06,MCR,unsupported_reference_specificity,101,7,0.06930693069306931,"[0.0339753277703107, 0.13620027853451583]"
B06,MCR,insufficient_case_information,64,5,0.078125,"[0.03383117690855046, 0.17019537354162906]"
B06,MCR,uncertain,0,0,,"[null, null]"
B06,MCR,nonunique_full,230,21,0.09130434782608696,"[0.06049437229938245, 0.1355421177733408]"
B07,ALL,unique_full_reference,455,82,0.18021978021978022,"[0.14762571231278734, 0.21816830127107048]"
B07,ALL,family_only_not_full_specificity,139,10,0.07194244604316546,"[0.0395442385453223, 0.1273642977965097]"
B07,ALL,multiple_complete_answers,5,2,0.4,"[0.11762077423264783, 0.769275718723987]"
B07,ALL,unsupported_reference_specificity,131,2,0.015267175572519083,"[0.004196844256021768, 0.05395632976978977]"
B07,ALL,insufficient_case_information,70,5,0.07142857142857142,"[0.03089421703784702, 0.1565541221709532]"
B07,ALL,uncertain,0,0,,"[null, null]"
B07,ALL,nonunique_full,345,19,0.05507246376811594,"[0.035537071682727905, 0.08440698245047303]"
B07,DA,unique_full_reference,285,10,0.03508771929824561,"[0.01916862601178366, 0.06337305245098276]"
B07,DA,family_only_not_full_specificity,78,2,0.02564102564102564,"[0.007060093472759203, 0.08875270035675845]"
B07,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
B07,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
B07,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
B07,DA,uncertain,0,0,,"[null, null]"
B07,DA,nonunique_full,115,2,0.017391304347826087,"[0.004782352362605557, 0.06120016668847053]"
B07,MCR,unique_full_reference,170,72,0.4235294117647059,"[0.3517480969915849, 0.49869034170779764]"
B07,MCR,family_only_not_full_specificity,61,8,0.13114754098360656,"[0.0679807727490011, 0.23801880192993463]"
B07,MCR,multiple_complete_answers,4,2,0.5,"[0.15003898915214947, 0.8499610108478506]"
B07,MCR,unsupported_reference_specificity,101,2,0.019801980198019802,"[0.0054473224611470555, 0.06934616962584345]"
B07,MCR,insufficient_case_information,64,5,0.078125,"[0.03383117690855046, 0.17019537354162906]"
B07,MCR,uncertain,0,0,,"[null, null]"
B07,MCR,nonunique_full,230,17,0.07391304347826087,"[0.04665678605141334, 0.11516849083291515]"
