scope,arm,proxy,n,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,mcc,false_positive_relation_counts,false_negative_relation_counts
MCR,collapse3c,task,400,101,16,6,277,0.9439252336448598,0.9453924914675768,0.8632478632478633,0.9787985865724381,0.9017857142857143,0.9446588625562182,0.8653593665022608,"{""conflicting_subtype_or_scope"": 1, ""partial_parent_or_component"": 15}","{""complete_equivalent"": 6}"
MCR,multistance,safe_exact,400,66,0,38,296,0.6346153846153846,1.0,1.0,0.8862275449101796,0.7764705882352941,0.8173076923076923,0.7499424206363591,{},"{""complete_equivalent"": 38}"
MCR,multistance,legacy_chain,400,71,17,33,279,0.6826923076923077,0.9425675675675675,0.8068181818181818,0.8942307692307693,0.7395833333333334,0.8126299376299376,0.6620708267881417,"{""not_equivalent"": 1, ""partial_parent_or_component"": 16}","{""complete_equivalent"": 33}"
MCR,multistance,task,400,100,13,4,283,0.9615384615384616,0.956081081081081,0.8849557522123894,0.9860627177700348,0.9216589861751152,0.9588097713097713,0.8940154193516161,"{""conflicting_subtype_or_scope"": 2, ""partial_parent_or_component"": 11}","{""complete_equivalent"": 4}"
MCR,lite,safe_exact,400,58,0,32,310,0.6444444444444445,1.0,1.0,0.9064327485380117,0.7837837837837838,0.8222222222222222,0.7642941508724438,{},"{""complete_equivalent"": 32}"
MCR,lite,legacy_chain,400,64,23,26,287,0.7111111111111111,0.9258064516129032,0.735632183908046,0.9169329073482428,0.7231638418079096,0.8184587813620072,0.6446938555948315,"{""partial_parent_or_component"": 23}","{""complete_equivalent"": 26}"
MCR,lite,task,400,86,16,4,294,0.9555555555555556,0.9483870967741935,0.8431372549019608,0.9865771812080537,0.8958333333333334,0.9519713261648746,0.8660336414098292,"{""partial_parent_or_component"": 16}","{""complete_equivalent"": 4}"
MCR,forest,safe_exact,400,64,0,29,307,0.6881720430107527,1.0,1.0,0.9136904761904762,0.8152866242038217,0.8440860215053764,0.792954123313239,{},"{""complete_equivalent"": 29}"
MCR,forest,legacy_chain,400,74,27,19,280,0.7956989247311828,0.9120521172638436,0.7326732673267327,0.9364548494983278,0.7628865979381443,0.8538755209975132,0.6881686725731608,"{""partial_parent_or_component"": 27}","{""complete_equivalent"": 19}"
MCR,forest,task,400,90,16,3,291,0.967741935483871,0.9478827361563518,0.8490566037735849,0.9897959183673469,0.9045226130653267,0.9578123358201114,0.8763983484351527,"{""manifestation_or_related"": 1, ""partial_parent_or_component"": 15}","{""complete_equivalent"": 3}"
MCR,impc,safe_exact,400,63,0,22,315,0.7411764705882353,1.0,1.0,0.9347181008902077,0.8513513513513513,0.8705882352941177,0.8323407132975907,{},"{""complete_equivalent"": 22}"
MCR,impc,legacy_chain,400,69,26,16,289,0.8117647058823529,0.9174603174603174,0.7263157894736842,0.9475409836065574,0.7666666666666667,0.8646125116713352,0.7009944515322897,"{""conflicting_subtype_or_scope"": 1, ""partial_parent_or_component"": 25}","{""complete_equivalent"": 16}"
MCR,impc,task,400,82,15,3,300,0.9647058823529412,0.9523809523809523,0.845360824742268,0.9900990099009901,0.9010989010989011,0.9585434173669467,0.875322349366385,"{""partial_parent_or_component"": 15}","{""complete_equivalent"": 3}"
MCR,e7,safe_exact,400,55,0,43,302,0.5612244897959183,1.0,1.0,0.8753623188405797,0.7189542483660131,0.7806122448979591,0.7009099591087834,{},"{""complete_equivalent"": 43}"
MCR,e7,legacy_chain,400,66,15,32,287,0.673469387755102,0.9503311258278145,0.8148148148148148,0.8996865203761756,0.7374301675977654,0.8119002567914583,0.6676123874283786,"{""partial_parent_or_component"": 15}","{""complete_equivalent"": 32}"
MCR,e7,task,400,90,15,8,287,0.9183673469387755,0.9503311258278145,0.8571428571428571,0.9728813559322034,0.8866995073891626,0.934349236383295,0.8491411933580868,"{""partial_parent_or_component"": 15}","{""complete_equivalent"": 8}"
MCR,v0,safe_exact,400,59,0,35,306,0.6276595744680851,1.0,1.0,0.8973607038123167,0.7712418300653595,0.8138297872340425,0.7504911974828353,{},"{""complete_equivalent"": 35}"
MCR,v0,legacy_chain,400,68,17,26,289,0.723404255319149,0.9444444444444444,0.8,0.9174603174603174,0.7597765363128491,0.8339243498817968,0.6922101849495195,"{""partial_parent_or_component"": 17}","{""complete_equivalent"": 26}"
MCR,v0,task,400,87,13,7,293,0.925531914893617,0.9575163398692811,0.87,0.9766666666666667,0.8969072164948454,0.941524127381449,0.8646661334676641,"{""partial_parent_or_component"": 13}","{""complete_equivalent"": 7}"
MCR,B06,safe_exact,400,62,0,34,304,0.6458333333333334,1.0,1.0,0.8994082840236687,0.7848101265822784,0.8229166666666667,0.7621468691129153,{},"{""complete_equivalent"": 34}"
MCR,B06,legacy_chain,400,71,25,25,279,0.7395833333333334,0.9177631578947368,0.7395833333333334,0.9177631578947368,0.7395833333333334,0.8286732456140351,0.6573464912280702,"{""partial_parent_or_component"": 25}","{""complete_equivalent"": 25}"
MCR,B06,task,400,90,20,6,284,0.9375,0.9342105263157895,0.8181818181818182,0.9793103448275862,0.8737864077669902,0.9358552631578947,0.8337759370176411,"{""partial_parent_or_component"": 20}","{""complete_equivalent"": 6}"
MCR,B07,safe_exact,400,53,0,36,311,0.5955056179775281,1.0,1.0,0.8962536023054755,0.7464788732394366,0.797752808988764,0.730564203410972,{},"{""complete_equivalent"": 36}"
MCR,B07,legacy_chain,400,63,22,26,289,0.7078651685393258,0.9292604501607717,0.7411764705882353,0.9174603174603174,0.7241379310344828,0.8185628093500488,0.6477919195884425,"{""partial_parent_or_component"": 22}","{""complete_equivalent"": 26}"
MCR,B07,task,400,85,21,4,290,0.9550561797752809,0.932475884244373,0.8018867924528302,0.9863945578231292,0.8717948717948718,0.9437660320098269,0.8364358755090685,"{""partial_parent_or_component"": 21}","{""complete_equivalent"": 4}"
MCR,MACRO_OUTPUT,safe_exact,3600,545,0,311,2744,0.6366822429906542,1.0,1.0,0.8981996726677578,0.7780157030692363,0.8183411214953271,0.756219400866957,{},"{""complete_equivalent"": 311}"
MCR,MACRO_OUTPUT,legacy_chain,3600,621,186,235,2558,0.7254672897196262,0.9322157434402333,0.7695167286245354,0.9158610812746151,0.7468430547203848,0.8288415165799297,0.6713876353306895,"{""conflicting_subtype_or_scope"": 1, ""not_equivalent"": 1, ""partial_parent_or_component"": 184}","{""complete_equivalent"": 235}"
MCR,MACRO_OUTPUT,task,3600,811,145,45,2599,0.947429906542056,0.9471574344023324,0.8483263598326359,0.9829803328290468,0.8951434878587197,0.9472936704721941,0.8623667686648696,"{""conflicting_subtype_or_scope"": 3, ""manifestation_or_related"": 1, ""partial_parent_or_component"": 141}","{""complete_equivalent"": 45}"
