case_key,gold,family,sampling_stratum,sampling_probability,sampling_weight,full_label_reach,best_source,diagnostic_support,matched_concept,source_chunk_ids,source_excerpt,matched_vignette_clues,missing_qualifiers,bridge_operations,distractor_risks,confidence,review_notes
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,DA,DA_d2_heldout200b,0.04,25.0,qualifier_stripped,Merck,D2_direct_but_partial_or_general,acute pancreatitis,merck19e_ch015_pancreatitis__chunk_00005 | merck19e_ch015_pancreatitis__chunk_00006,Acute pancreatitis causes severe epigastric pain radiating to the back with nausea/vomiting; diagnosis uses lipase/amylase and exclusion of other causes.,"sharp epigastric pain radiating to back | nausea and vomiting | markedly elevated lipase | no gallbladder, alcohol or hypertriglyceridemia",linagliptin exposure in presented medication list | linagliptin causal association | drug-dechallenge logic,modifier_stripping | lab_threshold_to_qualitative | etiology_trigger_link | negative_evidence_handling,the vignette medication list omits linagliptin despite gold causality | normal CT can falsely down-rank pancreatitis,high,"The disease is well supported, but the drug attribution is not recoverable from the shown vignette/source pair."
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",DA,DA_d2_heldout200b,0.04,25.0,qualifier_stripped,Merck+CPG,D2_direct_but_partial_or_general,follicular lymphoma,merck19e_ch118_lymphomas__chunk_00013 | merck19e_ch118_lymphomas__chunk_00014 | nice_ddx__ng52__recommendations__chunk_00018,"NHL may present with mediastinal/retroperitoneal disease and extranodal symptoms; diagnosis requires tissue, while NICE addresses advanced follicular lymphoma.",large chylous pleural effusion | diffuse PET-avid adenopathy | B-cell lymphoid biopsy | BCL2 expression and high Ki-67 | later weight loss,grade 3A histologic rule | stage IVB assignment | gold-immunophenotype reconciliation,modifier_stripping | stage_grade_handling | pathology_to_entity | multi_fact_aggregation,CD10 negativity and large cells favor DLBCL or other B-cell lymphoma | mediastinal mass favors primary mediastinal large B-cell lymphoma,medium,"The disease/stage family is present, but the exact grade and discriminating immunophenotype are not explained."
DA_d2_heldout200b/646,Radiation-induced solitary rectal ulcer,DA,DA_d2_heldout200b,0.04,25.0,parent_component,Merck+CPG,D2_direct_but_partial_or_general,solitary rectal ulcer plus radiation injury,merck19e_ch008_approach-to-the-patient-with-lower-gi-complaints__chunk_00017 | nice_ddx__ng131__recommendations__chunk_00074,Merck links solitary anterior rectal ulcer to straining/prolapse; NICE directs investigation of radiation enteropathy and cautions about anterior rectal biopsy after brachytherapy.,deep solitary anterior rectal ulcer | recent prostate radiation | normal remaining rectum | negative malignancy biopsies | mild straining and mucus,radiation-induced solitary-ulcer composite | SpaceOAR-specific injury mechanism | latency threshold,composite_decomposition | etiology_trigger_link | temporal_relation | anatomy_site_normalization,straining supports ordinary solitary rectal ulcer syndrome | recent radiation supports diffuse radiation proctopathy despite normal remainder,medium,"Two useful component rules exist, but the source does not bind radiation causally to this isolated ulcer."
DA_d2_heldout200b/735,CD5-positive diffuse large B-cell lymphoma,DA,DA_d2_heldout200b,0.04,25.0,qualifier_stripped,Merck,D2_direct_but_partial_or_general,diffuse large B-cell lymphoma / aggressive NHL,merck19e_ch118_lymphomas__chunk_00011 | merck19e_ch118_lymphomas__chunk_00013 | merck19e_ch118_lymphomas__chunk_00014,NHL commonly produces multicompartment adenopathy or extranodal disease and is diagnosed by biopsy with immunophenotyping/genetic studies.,multiregional PET-avid nodes | splenomegaly and marrow abnormal cells | very high LDH | lymph-node B-lineage markers | CD5 strong positivity,CD5-positive DLBCL subtype | CD20-negative/plasmacytic phenotype | subtype-specific diagnostic exclusions,modifier_stripping | immunophenotype_to_entity | pathology_to_entity,extreme hypercalcemia and plasmacytic markers suggest myeloma | HLH and other high-grade lymphomas share systemic findings,medium,"The lymphoma workup is supported, but the CD5-positive DLBCL subtype is not characterized."
DA_d2_heldout200b/754,Concurrent Microcephaly-capillary malformation syndrome (MIC-CAP) and Mowat-Wilson syndrome (MWS),DA,DA_d2_heldout200b,0.04,25.0,none,none,D0_absent,,,,profound developmental delay and microcephaly | capillary malformations | distinct facial gestalt | seizures and congenital heart disease | epistaxis | dual-syndrome claim,MIC-CAP entity | Mowat-Wilson/ZEB2 syndrome | dual molecular diagnosis | genotype-phenotype binding,composite_decomposition | acronym_expansion | genotype_to_entity | phenotype_graph_matching,generic microcephaly and vascular-malformation chunks retrieve unrelated syndromes | RASA1 disorder is an option-level near-neighbor,high,Neither named syndrome nor a valid equivalent was found; isolated microcephaly references are not a usable parent diagnosis.
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),DA,DA_d2_heldout200b,0.04,25.0,parent_component,Merck,D3_direct_vignette_matched,idiopathic pulmonary arterial hypertension plus PFO right-to-left shunt,merck19e_ch202_pulmonary-hypertension__chunk_00001 | merck19e_ch202_pulmonary-hypertension__chunk_00007 | merck19e_ch189_tests-of-pulmonary-function__chunk_00010,"Pulmonary hypertension is diagnosed by elevated pulmonary-artery pressure; when secondary causes are excluded it is idiopathic, and a PFO can mediate a hypoxemic right-to-left shunt.",long exertional dyspnea/chest pain | elevated pulmonary artery pressure and enlarged right heart | new cyanosis | TEE-proven PFO with pure right-to-left shunt | PE/AV fistula excluded,single precomposed gold label,composite_decomposition | acronym_expansion | hemodynamic_relation_binding | negative_evidence_handling,congenital shunt with secondary pulmonary hypertension reverses the causal direction | component retrieval must preserve pressure/shunt direction,high,"Although no full composite label exists, the source directly supports both components and the decisive hemodynamic relation."
DA_d2_seq100/100,Telangiectatic metastatic breast carcinoma (TMBC),DA,DA_d2_seq100,0.08,12.5,qualifier_stripped,Merck,D2_direct_but_partial_or_general,cutaneous metastasis from breast cancer,merck19e_ch255_breast-disorders__chunk_00033 | merck19e_ch255_breast-disorders__chunk_00035,Breast cancer may metastasize to skin years after treatment; biopsy of involved skin may show tumor cells in dermal lymphatics.,"remote treated breast cancer | facial erythema, swelling and pain | skin-biopsy metastatic carcinoma/dermal lymphatics",telangiectatic metastatic breast carcinoma subtype | facial distribution and telangiectatic morphology,modifier_stripping | temporal_relation | anatomy_site_normalization | pathology_to_entity,erythema and edema suggest cellulitis or inflammatory breast-cancer terminology | long disease-free interval may down-rank metastasis,medium,"The parent metastatic mechanism is explicit, but the rare telangiectatic cutaneous pattern is absent."
DA_d2_seq100/118,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,DA,DA_d2_seq100,0.08,12.5,parent_component,Merck+CPG,D1_parent_component_or_list_only,panuveitis / optic neuropathy / COVID-19 (separate),merck19e_ch067_uveitis__chunk_00001 | merck19e_ch067_uveitis__chunk_00002 | acr_ac__3196640__chunk_00025,"Merck classifies panuveitis and lists common causes; optic-neuropathy imaging appears separately, without a SARS-CoV-2 causal link.",recent severe SARS-CoV-2 pneumonia | panuveitis | subsequent ocular neuropathy and visual deficit | inflammatory timing,COVID-induced panuveitis | inflammation-induced ocular neuropathy relation | postinfectious latency rule,composite_decomposition | etiology_trigger_link | temporal_relation | anatomy_relation_binding,common uveitis causes such as sarcoidosis/CMV dominate source text | co-occurrence can be mistaken for causation,high,Only disconnected components are covered; the gold’s two causal links are unsupported.
DA_d2_seq100/119,Eruptive pruritic papular porokeratosis (EPPP),DA,DA_d2_seq100,0.08,12.5,none,none,D0_absent,,,,rapidly eruptive intensely pruritic papules | pre-existing disseminated porokeratotic lesions | extremity distribution,porokeratosis entity | eruptive pruritic papular variant | cornoid-lamella diagnostic morphology,synonym_alias | modifier_stripping | pathology_to_entity | temporal_relation,pruritus and papules retrieve eczema/drug eruptions | generic “keratosis” substring is not a valid bridge,high,No porokeratosis or equivalent diagnostic description was found in the three sources.
DA_d2_seq100/149,Giant cell tumor of soft tissue (GCT-ST),DA,DA_d2_seq100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,giant cell tumor of bone,merck19e_ch045_tumors-of-bones-joints__chunk_00004 | merck19e_ch045_tumors-of-bones-joints__chunk_00007,"Merck describes epiphyseal giant-cell tumor of bone, not giant-cell tumor of soft tissue.",soft-tissue mass | giant cells on pathology | prior radiation/Hodgkin history,soft-tissue primary | GCT-ST histologic criteria | distinction from bone GCT and other giant-cell-rich tumors,modifier_stripping | anatomy_site_normalization | pathology_to_entity,the exact shared phrase retrieves the wrong anatomic entity | prior radiation can anchor post-radiation sarcoma,high,This is a semantically close but anatomically wrong parent and is potentially actively misleading.
DA_d2_seq100/173,Netherton syndrome,DA,DA_d2_seq100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,inherited ichthyosis,merck19e_ch075_cornification-disorders__chunk_00004 | merck19e_ch075_cornification-disorders__chunk_00005,"Inherited ichthyoses are classified by clinical and genetic criteria, but Netherton syndrome and its hair-shaft sign are not listed.",near-generalized ichthyosiform erythroderma | atopic history | hair-shaft abnormality expected for Netherton,Netherton syndrome | SPINK5 | trichorrhexis invaginata | ichthyosis linearis circumflexa,parent_class_expansion | genotype_to_entity | pathology_to_entity,generic ichthyosis content favors lamellar/X-linked forms | atopy can anchor severe atopic dermatitis,high,"A broad disease class is present, but the decisive syndrome-level diagnostic features are absent."
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,DA,DA_d2_seq100,0.08,12.5,qualifier_stripped,Merck,D2_direct_but_partial_or_general,follicular thyroid carcinoma,merck19e_ch093_thyroid-disorders__chunk_00046 | merck19e_ch093_thyroid-disorders__chunk_00048,"Follicular thyroid carcinoma is a differentiated cancer that spreads hematogenously with distant metastases, often to bone.",remote thyroid-lobe resection | new destructive manubrial swelling | thyroid-follicular pathology/metastatic pattern,direct manubrial invasion/recurrence pattern | case-specific route from thyroid bed to sternum,modifier_stripping | temporal_relation | anatomy_site_normalization | pathology_to_entity,long latency and sternal mass invite primary bone tumor | “invasion” and hematogenous metastasis are distinct relations,medium,"The parent carcinoma and bone-spread mechanism are useful, but the anatomical qualifier is not directly covered."
DA_d2_seq100/216,Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS),DA,DA_d2_seq100,0.08,12.5,alias,CPG,D2_direct_but_partial_or_general,critical COVID-19 with ARDS,ssc_epmc__pmc7176264__chunk_00030 | ssc_epmc__pmc7176264__chunk_00035 | ssc_epmc__pmc7176264__chunk_00049,"The SSC corpus repeatedly treats COVID-19 hypoxic respiratory failure and the subgroup meeting ARDS, but is primarily management guidance.",fever and anosmia | progressive dyspnea | SARS-CoV-2 testing | severe hypoxemic respiratory failure/ARDS,self-contained COVID diagnostic criteria | self-contained Berlin ARDS criteria,acronym_expansion | composite_decomposition | lab_threshold_to_qualitative | multi_fact_aggregation,treatment recommendations assume rather than establish both diagnoses | pneumonia and obesity/OSA are competing respiratory anchors,medium,"The composite is directly discussed, but the chunks largely presuppose diagnosis instead of supplying a complete diagnostic rule."
DA_d2_seq100/5,Left maxillary giant cell reparative granuloma (GCRG),DA,DA_d2_seq100,0.08,12.5,parent_component,WikEM,D1_parent_component_or_list_only,giant cell granuloma,wikem_syndrome__gingival-hyperplasia__chunk_0002,Giant cell granuloma appears only as an item in a gingival-hyperplasia differential list.,"teenager | expansile left maxillary mass | sinus pressure, facial swelling and septal deviation | giant-cell reparative pathology",reparative granuloma entity | maxillary imaging pattern | distinction from giant-cell tumor and aneurysmal bone cyst,modifier_stripping | anatomy_site_normalization | imaging_pattern_to_entity,list-only hit provides no discriminating evidence | maxillary mass retrieves odontogenic and malignant tumors,high,The parent label is present only as a terse list item; no diagnostic explanation is available.
MCR_seq200b/257,collar button abscess,MCR,MCR_seq200b,0.04,25.0,exact,Merck,D3_direct_vignette_matched,collar-button (deep palmar) abscess,merck19e_ch043_hand-disorders__chunk_00013 | merck19e_ch043_hand-disorders__chunk_00014,"Palm abscesses include collar-button abscesses and can spread between metacarpals, producing intense pain, swelling and severe tenderness.",painful fluctuant palmar web-space mass | spread toward flexor sheath | diabetes and leukocytosis | normal bone radiographs,,exact_surface | anatomy_site_normalization | adjacency_expansion,flexor-sheath tenderness suggests tenosynovitis | trauma history can anchor hematoma,high,The label and local anatomy are direct; the defining symptom continuation is in the adjacent chunk.
MCR_seq200b/291,Necrolytic acral erythema,MCR,MCR_seq200b,0.04,25.0,parent_component,Merck,D1_parent_component_or_list_only,necrolytic migratory erythema (near-sibling),merck19e_ch022_tumors-of-the-gi-tract__chunk_00054 | merck19e_ch122_overview-of-cancer__chunk_00016,"Merck describes necrolytic migratory erythema associated with glucagonoma, not necrolytic acral erythema.",symmetric acral hyperkeratotic plaques | pruritus | subcorneal necrolysis | low-normal zinc | negative hepatitis C,acral entity | zinc association | HCV-independent presentation | histologic differential,modifier_stripping | anatomy_site_normalization | pathology_to_entity | negative_evidence_handling,near-identical wording retrieves a different paraneoplastic disease | glucagonoma association can misdirect reasoning,high,"The only close source hit is a different diagnosis and should be treated as a hazardous sibling, not supportive equivalence."
MCR_seq200b/326,Brucellosis,MCR,MCR_seq200b,0.04,25.0,exact,Merck+CPG,D3_direct_vignette_matched,brucellosis with vertebral/epidural involvement,merck19e_ch135_gram-negative-bacilli__chunk_00008 | idsa_child__vertebral-osteomyelitis__chunk_00003,"Brucellosis follows animal/raw-dairy exposure with fever, sweats and aches; Brucella testing is recommended in subacute vertebral osteomyelitis with epidemiologic risk.",injured-hand contact with unpasteurized sheep stomach | fever and night sweats | progressive back pain | blood-culture gram-negative bacillus | T9 lesion and epidural abscess,,exact_surface | exposure_relation_binding | organism_entity_link | anatomy_site_normalization,tuberculosis and metastatic disease fit chronic back pain | generic pyogenic spondylodiscitis may outrank Brucella,high,Independent Merck and guideline evidence converges on both exposure/systemic disease and vertebral complication.
MCR_seq200b/331,tumoral calcinosis,MCR,MCR_seq200b,0.04,25.0,none,none,D0_absent,,,,child with small peri-tendinous wrist mass | calcific histology implied by gold | normal metabolic/inflammatory markers,tumoral calcinosis entity | periarticular calcific-mass description | primary/secondary/hereditary distinctions,synonym_alias | imaging_pattern_to_entity | lab_threshold_to_qualitative,"giant-cell tumor of tendon sheath is the explicit working diagnosis | generic calcinosis references concern autoimmune disease, not this lesion",high,No tumoral-calcinosis diagnostic description or valid equivalent was found.
MCR_seq200b/375,gliomatosis cerebri,MCR,MCR_seq200b,0.04,25.0,parent_component,Merck,D1_parent_component_or_list_only,diffusely infiltrating glioma (generic),merck19e_ch187_intracranial-spinal-tumors__chunk_00008,Merck states that many gliomas infiltrate brain tissue diffusely but does not describe gliomatosis cerebri.,years-long parkinsonism and cognitive decline | diffuse nonenhancing supratentorial white-matter FLAIR signal | negative infectious CSF,gliomatosis cerebri entity | multilobar MRI criteria | distinction from leukoencephalopathy/PML/vasculitis,parent_class_expansion | imaging_pattern_to_entity | negative_evidence_handling,diffuse white-matter disease favors infectious/demyelinating disorders | generic glioma text lacks the non-mass-like MRI phenotype,high,"There is a broad mechanistic parent, but no diagnosis-level support for the case phenotype."
MCR_seq200b/405,Synovial sarcoma,MCR,MCR_seq200b,0.04,25.0,exact,Merck,D1_parent_component_or_list_only,synovial sarcoma,merck19e_ch045_tumors-of-bones-joints__chunk_00001,"Synovial sarcoma is identified only as a malignant soft-tissue tumor, often with spindle and glandular components and not truly synovial.",large invasive pericardial/right-atrial mass | Budd-Chiari physiology and extensive thrombosis | rapid hepatic failure,cardiac/pericardial primary presentation | imaging phenotype | histology or defining translocation,exact_surface | anatomy_site_normalization | pathology_to_entity,"cardiac myxoma, rhabdomyosarcoma and other sarcomas better match source location | thrombophilia can distract from tumor mechanism",high,Exact-name reach is not diagnostic capacity: the lone definition does not explain this cardiac presentation.
MCR_seq200b/409,Chronic necrotizing pancreatitis,MCR,MCR_seq200b,0.04,25.0,parent_component,Merck+CPG,D2_direct_but_partial_or_general,chronic/necrotizing pancreatitis,merck19e_ch015_pancreatitis__chunk_00007 | merck19e_ch015_pancreatitis__chunk_00017 | acr_ac__69468__chunk_00006,Merck describes left pleural effusion and CT necrosis in pancreatitis and chronic-pancreatitis diagnosis; ACR describes deterioration in known necrotizing pancreatitis.,prior severe pancreatitis and alcohol history | massive left pleural effusion | very high pleural-fluid amylase | pancreatic cystic/nonenhancing areas,pancreaticopleural fistula rule | single chronic-necrotizing entity | pleural-fluid amylase threshold,composite_decomposition | temporal_relation | lab_threshold_to_qualitative | anatomy_relation_binding,malignancy and esophageal rupture can elevate pleural amylase | normal-size pancreas may down-rank pancreatitis,medium,"Multiple relevant components are present, but the decisive fistula mechanism is not directly stated."
MCR_seq200b/475,Parsonage Turner Syndrome,MCR,MCR_seq200b,0.04,25.0,exact,Merck,D3_direct_vignette_matched,Parsonage-Turner syndrome / acute brachial neuritis,merck19e_ch185_peripheral-nervous-system-motor-unit-disorders__chunk_00053 | merck19e_ch185_peripheral-nervous-system-motor-unit-disorders__chunk_00054,"Acute brachial neuritis causes pain, weakness and reduced reflexes across the plexus; anterior interosseous involvement may prevent making an O sign.",young adult | loss of OK sign | multimuscle EMG spanning anterior interosseous and upper-arm muscles | normal MRI | distribution not confined to one nerve/root,pain may be absent/underreported in this vignette,synonym_alias | anatomy_relation_binding | adjacency_expansion | negative_evidence_handling,isolated OK-sign loss suggests anterior interosseous neuropathy | normal reflexes and no pain are atypical for classic description,high,"The adjacent source chunk contains the vignette-specific OK-sign clue, making this a strong example of context-window dependence."
MCR_v1_seq100/114,Ependymoma,MCR,MCR_v1_seq100,0.08,12.5,exact,Merck,D1_parent_component_or_list_only,ependymoma (CNS),merck19e_ch187_intracranial-spinal-tumors__chunk_00008 | merck19e_ch187_intracranial-spinal-tumors__chunk_00010,"Merck classifies ependymoma as a CNS glioma and discusses surgery/radiation, not extraspinal subcutaneous sacrococcygeal disease.","slow solid subcutaneous mass near coccyx | no pilonidal pit, drainage or infection | multiloculated excised mass",extraspinal/sacrococcygeal ependymoma | ectopic-site diagnostic histology | differential from pilonidal disease,exact_surface | anatomy_site_normalization | pathology_to_entity,exact entity retrieves the wrong anatomic form | clinical presentation strongly favors cyst/abscess or soft-tissue tumor,high,Exact-name retrieval is anatomically mismatched and supplies no clue for the presented lesion.
MCR_v1_seq100/117,Antiphospholipid syndrome,MCR,MCR_v1_seq100,0.08,12.5,exact,Merck+CPG,D3_direct_vignette_matched,antiphospholipid syndrome,merck19e_ch110_thrombotic-disorders__chunk_00006 | acog_child__practice-bulletin__2012_12_antiphospholipid-syndrome__chunk_00001 | ash_ba_epmc__pmc13158745__chunk_00006,"APS combines characteristic clinical thrombosis with antiphospholipid antibodies; lupus anticoagulant and anticardiolipin are standard laboratory components, with persistent positivity confirmed on repeat testing.",biopsy-proven thrombotic vasculopathy | hemorrhagic skin lesions | prolonged lupus anticoagulant | high anticardiolipin IgM | negative vasculitis/cryoglobulin workup,repeat-antibody timing is not shown in vignette,exact_surface | pathology_to_entity | lab_threshold_to_qualitative | negative_evidence_handling,infection/EBV/RSV and vasculitis explain systemic illness | single-time antibody positivity may not satisfy formal persistence criteria,high,"Source and vignette align closely, with a residual formal-criteria caveat."
MCR_v1_seq100/3,Eosinophilic granulomatosis with polyangiitis,MCR,MCR_v1_seq100,0.08,12.5,alias,Merck,D3_direct_vignette_matched,Churg-Strauss syndrome (EGPA),merck19e_ch034_vasculitis__chunk_00015 | merck19e_ch034_vasculitis__chunk_00017 | merck19e_ch034_vasculitis__chunk_00019,Churg-Strauss is an eosinophilic small-vessel vasculitis in adults with asthma; mononeuritis multiplex is common and ANCA may support diagnosis.,adult asthma | rapidly evolving asymmetric painful neuropathy/foot drop | normal vascular imaging | lack of compressive root lesion,eosinophil count/biopsy not shown in sampled vignette,synonym_alias | anatomy_relation_binding | negative_evidence_handling | temporal_relation,lumbar disc and peroneal neuropathy are explicit early anchors | absence of displayed eosinophilia weakens full criteria,high,The historical synonym bridge is essential; the source directly matches asthma plus multifocal neuropathy.
