case_key,family,gold,d0d3_local,n_methods_correct,discriminator,in_guideline,in_vignette,extracted_by_methods,used_correctly,failure_mode,failure_mode_zh,note
MCR_seq200b/257,MCR,collar button abscess,D3,0,"a fluctuant collection centred on the palmar web space after blunt dorsal trauma, versus the four Kanavel signs required for pyogenic flexor tenosynovitis",yes,yes,yes,no,polarity,极性/归属倒置,Merck lists collar-button abscess among palm abscesses and Schwartz devotes a section to it as a subfascial web-space infection; StatPearls gives the Kanavel signs for the competitor. All four methods quoted the web space and used it as support for pyogenic flexor tenosynovitis.
MCR_seq200b/326,MCR,Brucellosis,D3,0,contact with an unpasteurised sheep stomach through an injured hand plus a Gram-negative bacillus in blood culture and failure of cefprozil,yes,yes,yes,no,axis,诊断轴错位,"All four methods extracted the exposure and the blood culture and attached them to Brucellosis inside their own registries, then selected the anatomic lesion (spinal epidural abscess or spondylodiscitis) as the answer. The selector rationale never mentions the exposure."
MCR_seq200b/409,MCR,Chronic necrotizing pancreatitis,D3,0,"pleural fluid amylase of 11,871 U/L with pancreatic cystic collections, i.e. the pancreatic disease underlying the effusion rather than the fistula itself",yes,yes,yes,partial,axis,诊断轴错位,"StatPearls gives the explicit rule to measure pleural-fluid amylase and exclude a pancreaticopleural fistula. All four methods reached the fistula, which is the mechanism; the gold names the underlying chronic necrotising pancreatitis, one level up the causal chain."
MCR_seq200b/475,MCR,Parsonage Turner Syndrome,D3,0,"EMG denervation extending beyond the anterior interosseous territory into biceps, triceps and deltoid",yes,yes,partial,no,polarity,极性/归属倒置,"StatPearls names Parsonage-Turner syndrome in the AIN-syndrome differential and lists the multiple nerves involved in neuralgic amyotrophy. Collapse3c and MultiStance attached the biceps/triceps/deltoid findings to the gold candidate, then selected isolated AIN syndrome anyway; IMPC and Forest never extracted those muscles at all."
MCR_v1_seq100/49,MCR,StumpAppendicitis,D3,2,a residual appendiceal stump adjacent to surgical clips eight months after appendectomy,yes,yes,yes,partial,grain,粒度损失,"StatPearls and Schwartz both define stump appendicitis. Collapse3c and MultiStance named it; IMPC and Forest stopped at 'abscess' / 'appendiceal abscess', which describes the complication rather than the diagnosis."
MCR_v1_seq100/56,MCR,Spindle cell squamous cell carcinoma,D2,0,p63 positivity with epidermal connection marking an epithelial (squamous) rather than mesenchymal origin at a gingival site,no,yes,yes,no,source,指南源缺口,The corpus distinguishes spindle cell SCC from atypical fibroxanthoma by epidermal connection but never supplies the p63-positive/cytokeratin-negative reading at a gingival site (D2). All four methods read the same p63/vimentin panel as evidence for a sarcoma or sarcomatoid carcinoma.
MCR_v1_seq100/74,MCR,Catecholaminergic polymorphic ventricular tachycardia,D3,1,"QTc of 380 ms is normal, which excludes long QT syndrome; CPVT is the exertion-triggered polymorphic/bidirectional VT with a structurally normal heart",yes,yes,yes,no,polarity,极性/归属倒置,StatPearls defines LQTS by QTc >440 ms in men and >460 ms in women and defines CPVT as exertion-related polymorphic or bidirectional VT. Three methods quoted 'QTc of 380 ms' as positive support for long QT syndrome in the selector rationale. Forest answered CPVT but never used the QTc at all.
MCR_v1_seq100/91,MCR,Angiosarcoma,D2,0,"CD31 and Fli-1 positive with CD34 and Bcl-2 negative, which is endothelial and excludes solitary fibrous tumour / haemangiopericytoma",yes,yes,yes,no,polarity,极性/归属倒置,"StatPearls states that SFT is CD34 and STAT6 positive with a NAB2-STAT6 fusion, and that angiosarcoma expresses CD31, CD34 and ERG. All four methods extracted the full panel including the CD34-negative result and used it as support for haemangiopericytoma or solitary fibrous tumour."
MCR_v2_seq100/146,MCR,Diffuse large B cell lymphoma,D3,0,the histology of the ileal and colonic biopsies,yes,no,no,no,benchmark,基准缺陷（vignette 缺决定性 finding）,"The vignette states that segmental biopsies were obtained but never reports the result, while it does report a positive QuantiFERON and endemic exposure. All four methods answered intestinal tuberculosis, which is the best reading of what they were shown."
MCR_v2_seq100/179,MCR,hypoxia-induced thrombocytopenia,D1,0,"platelet count tracking arterial saturation across four time points, with no response to IVIG",no,yes,yes,no,axis,诊断轴错位,Cyanotic heart disease is linked to polycythaemia and never to thrombocytopenia in the corpus (D1). All four methods answered the structural cardiac lesion instead of the haematologic question; MultiStance even used the platelet/saturation series as evidence against its own answer.
MCR_v2_seq100/202,MCR,Mantle cell lymphoma,D2,0,cyclin D1 / SOX11 / t(11;14) on a palatal biopsy,partial,no,no,no,benchmark,基准缺陷（vignette 缺决定性 finding）,"The vignette gives only a clinical description of a slow-growing bilateral palatal swelling with uninvolved bone and no histology or immunophenotype. All four methods answered torus palatinus or giant cell granuloma, which is what the stated findings support."
MCR_v2_seq100/234,MCR,SpindleCellHemangioma,D1,0,histology of the frontal-bone lesion,no,no,no,no,benchmark,基准缺陷（vignette 缺决定性 finding）,"Only radiographs, CT and MRI are given; no biopsy result. Spindle cell haemangioma also appears only as a differential-list name in the corpus (D1), so neither the vignette nor the sources can produce it. All four methods answered giant cell tumour or aneurysmal bone cyst from the soap-bubble lytic appearance."
