case_key,gold,case_verdict,hypothesis,status,reason
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Thyroid osteopathy,excluded,非肿瘤性实体，与溶骨性肿块及滤泡浸润不符
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Follicular thyroid carcinoma,near_gold,金标去掉侵犯限定后的本体
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Giant Cell Tumor,not_excluded,语料述 GCT 多见 20-40 岁、偏心膨胀性、中度强化；本例 50 岁且位于颅骨属不典型，但无可据以排除的发现
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Eosinophilic Granuloma,not_excluded,颅骨溶骨性病变符合，年龄偏大而已，无排除依据
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Ewing's Sarcoma,not_excluded,通常为浸润性骨破坏且年龄更小，但未做活检无法排除
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Metastatic bone disease,not_excluded,未做任何原发灶筛查
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Multiple myeloma,not_excluded,未做血清蛋白电泳或轻链检测
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Aneurysmal bone cyst,excluded,语料述 ABC 为多房囊性伴分隔与 CT/MRI 上的液-液平面；本例为明显均一强化的实性病变，未见液-液平面
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Brown Tumor,excluded,实验室检查无异常，无甲状旁腺功能亢进证据
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Osteomyelitis,excluded,无痛、无热、实验室正常且边界清楚
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Fibrous dysplasia,excluded,纤维异常增殖症为磨玻璃样膨胀改变，非伴皮质破坏的溶骨灶
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Osteoma,excluded,骨瘤为致密硬化灶，与透亮病变相反
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Hemangioma,near_gold,金标上位概念
MCR_v2_seq100/234,SpindleCellHemangioma,悬而未决,Osteolytic lesion,wrong_axis,影像描述而非诊断
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Fibroma,not_excluded,良性纤维性病变无法排除，仅双侧对称性生长不典型
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Palatal fibroma,not_excluded,同上
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Granuloma,not_excluded,泛化标签，无可据以排除的发现
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Torus Palatinus,excluded,"Merck：腭隆突为骨性外生物；本例肿物质地为'firm, elastic'，且术中腭骨未受累 —— 四方法一致答案可排除"
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Torus palatinus,excluded,同上
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Palatal Torus,excluded,同上
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Giant Cell Granuloma,excluded,中央性巨细胞肉芽肿为骨内病变，本例腭骨未受累
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Giant Cell Lesion,excluded,同上
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Giant Cell Tumor,excluded,同上
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Palatal Abscess,excluded,无痛、无发热、病程 10-12 周且黏膜完整无溃疡
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Pyogenic Granuloma,excluded,化脓性肉芽肿通常溃疡、易出血、生长迅速
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Squamous Cell Carcinoma,excluded,无痛、无溃疡、双侧对称缓慢生长与腭部鳞癌不符（提示性反证）
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Granulomatosis with Polyangiitis,excluded,无鼻窦破坏、无系统性或肾脏表现
MCR_v2_seq100/202,Mantle cell lymphoma,悬而未决,Lymphoma,near_gold,金标上位概念
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Acute Coronary Syndrome,not_excluded,未提供心电图与心肌标志物，严格说不可排除（但不解释脂肪酶显著升高）
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Cholecystitis,excluded,CT 明确胆囊已手术切除
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Chronic Pancreatitis,excluded,CT 示胰腺无急性异常、无钙化与导管改变
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Pancreatic Insufficiency,excluded,为慢性功能状态，不解释急性脂肪酶升高
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Diabetic Ketoacidosis,excluded,血糖仅中度升高，无酸中毒或酮症记录
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Peptic Ulcer Disease,excluded,泮托拉唑无效且脂肪酶显著升高
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Hypertensive Emergency,excluded,血压 200/100 但无靶器官危象，且不解释脂肪酶
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Chronic Kidney Disease,excluded,4 期 CKD 为共病，不解释胰腺炎表现
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Dehydration,excluded,为伴随状态而非诊断
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Gastrointestinal obstruction,excluded,腹部无膨隆、肠鸣音正常、CT 无梗阻征象
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Renal Artery Stenosis,excluded,不解释脂肪酶升高与胰型腹痛
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Acute Pancreatitis,near_gold,金标去掉药物归因后的本体，三方法给出的答案
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,可消去到金标,Pancreatitis,near_gold,同上
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Posterior crocodile shagreen,not_excluded,周边确实存在鳄革样变，但不解释 4 个分立完整的同心环
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Fuchs Endothelial Corneal Dystrophy,excluded,共聚焦未见细胞浸润与滴状赘疣，视力 20/20 且无水肿
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Schnyder Corneal Dystrophy,excluded,血脂正常，环表面光滑无沉着物，且无老年环
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Wilson's disease,excluded,血清铜正常
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Corneal iron deposition,excluded,血清铁正常，环表面无色素沉着
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Arcus senilis,excluded,查体明确记载'no distinct arcus senilis'
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Corneal arcus,excluded,同上
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Corneal amyloidosis,excluded,无沉着物，共聚焦无浸润
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Primary lipoidal degeneration,excluded,血脂正常、无沉着物与血管化
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Keratoconus,excluded,角膜曲率 43.4/43.0-44.8 D 正常，无圆锥形态
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Pterygium,wrong_axis,左眼确有小翼状胬肉，但不解释后基质环
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Nuclear Sclerosis,wrong_axis,为晶状体改变，非角膜病变
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Corneal Ring Opacities,near_gold,金标的描述性内容
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,可消去到金标,Corneal dystrophy,near_gold,金标上位概念
