case_key,gold,clue,denominator,p_gold,gold_hits,gold_docs,best_competitor,best_competitor_methods,p_best_competitor,lift,verdict
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,markedly elevated lipase,topic,0.0891,11,128,Hypertensive Emergency,"['collapse3c', 'multistance']",0.2045,0.436,favours_competitor
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,nausea and vomiting,topic,0.1124,14,128,Cholecystitis,"['collapse3c', 'impc']",0.1441,0.78,non_discriminating
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,"no gallbladder, alcohol or hypertriglyceridemia",topic,0.1512,19,128,Renal Artery Stenosis,['multistance'],0.0357,4.233,gold_leaning
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,sharp epigastric pain radiating to back,topic,0.0736,9,128,Chronic Pancreatitis,"['forest', 'multistance']",0.0833,0.884,non_discriminating
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",B-cell lymphoid biopsy,topic,0.1391,39,283,Anaplastic Large Cell Lymphoma,"['collapse3c', 'multistance']",0.4231,0.329,favours_competitor
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",BCL2 expression and high Ki-67,topic,0.0616,17,283,Anaplastic Large Cell Lymphoma,"['collapse3c', 'multistance']",0.1154,0.534,favours_competitor
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",diffuse PET-avid adenopathy,topic,0.0018,0,283,Anaplastic Large Cell Lymphoma,"['collapse3c', 'multistance']",0.0385,0.046,favours_competitor
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",large chylous pleural effusion,topic,0.0018,0,283,Pleural effusion,['multistance'],0.1371,0.013,favours_competitor
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",later weight loss,topic,0.0863,24,283,Castleman Disease,"['collapse3c', 'multistance']",0.25,0.345,favours_competitor
DA_d2_heldout200b/646,Radiation-induced solitary rectal ulcer,deep solitary anterior rectal ulcer,topic,0.1,0,4,Proctitis,"['collapse3c', 'impc', 'multistance']",0.0682,1.467,non_discriminating
DA_d2_heldout200b/646,Radiation-induced solitary rectal ulcer,mild straining and mucus,topic,0.1,0,4,Radiation Proctitis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0278,3.6,gold_leaning
DA_d2_heldout200b/646,Radiation-induced solitary rectal ulcer,negative malignancy biopsies,topic,0.1,0,4,Radiation Proctitis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0833,1.2,non_discriminating
DA_d2_heldout200b/646,Radiation-induced solitary rectal ulcer,normal remaining rectum,topic,0.1,0,4,Inflammatory Bowel Disease,['multistance'],0.0538,1.857,gold_leaning
DA_d2_heldout200b/646,Radiation-induced solitary rectal ulcer,recent prostate radiation,topic,0.1,0,4,Radiation Proctitis,"['collapse3c', 'forest', 'impc', 'multistance']",0.1944,0.514,favours_competitor
DA_d2_heldout200b/735,CD5-positive diffuse large B-cell lymphoma,CD5 strong positivity,topic,0.0332,9,285,T-cell prolymphocytic leukemia,['multistance'],0.0556,0.598,favours_competitor
DA_d2_heldout200b/735,CD5-positive diffuse large B-cell lymphoma,lymph-node B-lineage markers,topic,0.0052,1,285,T-cell prolymphocytic leukemia,['multistance'],0.0556,0.094,favours_competitor
DA_d2_heldout200b/735,CD5-positive diffuse large B-cell lymphoma,multiregional PET-avid nodes,topic,0.0052,1,285,T-cell prolymphocytic leukemia,['multistance'],0.0556,0.094,favours_competitor
DA_d2_heldout200b/735,CD5-positive diffuse large B-cell lymphoma,splenomegaly and marrow abnormal cells,topic,0.0017,0,285,Multiple Myeloma,"['collapse3c', 'impc', 'multistance']",0.0743,0.024,favours_competitor
DA_d2_heldout200b/735,CD5-positive diffuse large B-cell lymphoma,very high LDH,topic,0.0472,13,285,Sepsis,"['forest', 'multistance']",0.1283,0.368,favours_competitor
DA_d2_heldout200b/754,Concurrent Microcephaly-capillary malformation syndrome (MIC-CAP) and Mowat-Wilson syndrome (MWS),capillary malformations,mention,0.5,0,0,Klippel-Trenaunay-Weber Syndrome,"['collapse3c', 'forest', 'impc', 'multistance']",0.2778,1.8,unusable_low_coverage
DA_d2_heldout200b/754,Concurrent Microcephaly-capillary malformation syndrome (MIC-CAP) and Mowat-Wilson syndrome (MWS),distinct facial gestalt,mention,0.5,0,0,Klippel-Trenaunay-Weber Syndrome,"['collapse3c', 'forest', 'impc', 'multistance']",0.0556,9.0,unusable_low_coverage
DA_d2_heldout200b/754,Concurrent Microcephaly-capillary malformation syndrome (MIC-CAP) and Mowat-Wilson syndrome (MWS),dual-syndrome claim,mention,0.5,0,0,Klippel-Trenaunay-Weber Syndrome,"['collapse3c', 'forest', 'impc', 'multistance']",0.0556,9.0,unusable_low_coverage
DA_d2_heldout200b/754,Concurrent Microcephaly-capillary malformation syndrome (MIC-CAP) and Mowat-Wilson syndrome (MWS),epistaxis,mention,0.5,0,0,Hereditary Hemorrhagic Telangiectasia,"['collapse3c', 'forest', 'impc', 'multistance']",0.3125,1.6,unusable_low_coverage
DA_d2_heldout200b/754,Concurrent Microcephaly-capillary malformation syndrome (MIC-CAP) and Mowat-Wilson syndrome (MWS),profound developmental delay and microcephaly,mention,0.5,0,0,Developmental delay,['multistance'],0.1126,4.44,unusable_low_coverage
DA_d2_heldout200b/754,Concurrent Microcephaly-capillary malformation syndrome (MIC-CAP) and Mowat-Wilson syndrome (MWS),seizures and congenital heart disease,mention,0.5,0,0,Congenital heart disease,['multistance'],0.9989,0.501,unusable_low_coverage
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),PE/AV fistula excluded,topic,0.0096,0,51,Tricuspid Regurgitation,"['collapse3c', 'forest', 'multistance']",0.0455,0.212,favours_competitor
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),TEE-proven PFO with pure right-to-left shunt,topic,0.0288,1,51,Tricuspid Regurgitation,"['collapse3c', 'forest', 'multistance']",0.0455,0.635,favours_competitor
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),elevated pulmonary artery pressure and enlarged right heart,topic,0.1058,5,51,Chronic Thromboembolic Pulmonary Hypertension,"['collapse3c', 'forest', 'impc', 'multistance']",0.1458,0.725,non_discriminating
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),long exertional dyspnea/chest pain,topic,0.0673,3,51,Chronic Thromboembolic Pulmonary Hypertension,"['collapse3c', 'forest', 'impc', 'multistance']",0.1042,0.646,favours_competitor
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),new cyanosis,topic,0.0096,0,51,Tricuspid Regurgitation,"['collapse3c', 'forest', 'multistance']",0.0455,0.212,favours_competitor
DA_d2_seq100/100,Telangiectatic metastatic breast carcinoma (TMBC),"facial erythema, swelling and pain",mention,0.5,0,0,Stewart-Treves Syndrome,"['collapse3c', 'impc']",0.2083,2.4,unusable_low_coverage
DA_d2_seq100/100,Telangiectatic metastatic breast carcinoma (TMBC),remote treated breast cancer,mention,0.5,0,0,Cutaneous metastasis,"['forest', 'multistance']",0.25,2.0,unusable_low_coverage
DA_d2_seq100/100,Telangiectatic metastatic breast carcinoma (TMBC),skin-biopsy metastatic carcinoma/dermal lymphatics,mention,0.5,0,0,Cutaneous metastasis,"['forest', 'multistance']",0.25,2.0,unusable_low_coverage
DA_d2_seq100/118,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,inflammatory timing,topic,0.0184,5,298,Uveitis,"['forest', 'multistance']",0.0217,0.846,non_discriminating
DA_d2_seq100/118,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,panuveitis,topic,0.005,1,298,Uveitis,"['forest', 'multistance']",0.2391,0.021,favours_competitor
DA_d2_seq100/118,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,recent severe SARS-CoV-2 pneumonia,topic,0.2793,83,298,Optic neuritis,['multistance'],0.0125,22.341,gold_specific
DA_d2_seq100/118,Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis,subsequent ocular neuropathy and visual deficit,topic,0.0151,4,298,Optic neuritis,['multistance'],0.0625,0.241,favours_competitor
DA_d2_seq100/119,Eruptive pruritic papular porokeratosis (EPPP),extremity distribution,topic,0.02,0,24,Pityriasis rubra pilaris,"['collapse3c', 'multistance']",0.0455,0.44,favours_competitor
DA_d2_seq100/119,Eruptive pruritic papular porokeratosis (EPPP),pre-existing disseminated porokeratotic lesions,topic,0.02,0,24,Actinic keratosis,['impc'],0.0938,0.213,favours_competitor
DA_d2_seq100/119,Eruptive pruritic papular porokeratosis (EPPP),rapidly eruptive intensely pruritic papules,topic,0.02,0,24,Pityriasis rubra pilaris,"['collapse3c', 'multistance']",0.0455,0.44,favours_competitor
DA_d2_seq100/149,Giant cell tumor of soft tissue (GCT-ST),giant cells on pathology,topic,0.175,3,19,Langerhans Cell Histiocytosis,"['forest', 'impc', 'multistance']",0.0938,1.867,gold_leaning
DA_d2_seq100/149,Giant cell tumor of soft tissue (GCT-ST),prior radiation/Hodgkin history,topic,0.025,0,19,Hodgkin Lymphoma,"['collapse3c', 'forest']",0.0714,0.35,favours_competitor
DA_d2_seq100/149,Giant cell tumor of soft tissue (GCT-ST),soft-tissue mass,topic,0.125,2,19,Hodgkin Lymphoma,"['collapse3c', 'forest']",0.6429,0.194,favours_competitor
DA_d2_seq100/173,Netherton syndrome,atopic history,topic,0.0455,0,10,Keratosis pilaris,['multistance'],0.1071,0.424,favours_competitor
DA_d2_seq100/173,Netherton syndrome,hair-shaft abnormality expected for Netherton,topic,0.0455,0,10,hypertrichosis,['multistance'],0.0625,0.727,non_discriminating
DA_d2_seq100/173,Netherton syndrome,near-generalized ichthyosiform erythroderma,topic,0.0455,0,10,hypertrichosis,['multistance'],0.0625,0.727,non_discriminating
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,new destructive manubrial swelling,mention,0.0179,0,27,Brown Tumor,['collapse3c'],0.0556,0.321,favours_competitor
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,remote thyroid-lobe resection,mention,0.0893,2,27,Brown Tumor,['collapse3c'],0.0556,1.607,gold_leaning
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,thyroid-follicular pathology/metastatic pattern,mention,0.2679,7,27,Metastatic Thyroid Cancer,['impc'],0.2778,0.964,non_discriminating
DA_d2_seq100/216,Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS),SARS-CoV-2 testing,topic,0.4134,114,276,Obesity hypoventilation syndrome,"['collapse3c', 'multistance']",0.1,4.134,gold_specific
DA_d2_seq100/216,Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS),fever and anosmia,topic,0.0307,8,276,Obesity hypoventilation syndrome,"['collapse3c', 'multistance']",0.1,0.307,favours_competitor
DA_d2_seq100/216,Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS),progressive dyspnea,topic,0.0126,3,276,Obesity hypoventilation syndrome,"['collapse3c', 'multistance']",0.1,0.126,favours_competitor
DA_d2_seq100/216,Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS),severe hypoxemic respiratory failure/ARDS,topic,0.1859,51,276,Obesity hypoventilation syndrome,"['collapse3c', 'multistance']",0.3,0.62,favours_competitor
DA_d2_seq100/5,Left maxillary giant cell reparative granuloma (GCRG),expansile left maxillary mass,mention,0.125,2,19,Juvenile Nasopharyngeal Angiofibroma,"['collapse3c', 'forest', 'impc', 'multistance']",0.05,2.5,gold_leaning
DA_d2_seq100/5,Left maxillary giant cell reparative granuloma (GCRG),giant-cell reparative pathology,mention,0.175,3,19,Orbital tumor,['multistance'],0.1071,1.633,gold_leaning
DA_d2_seq100/5,Left maxillary giant cell reparative granuloma (GCRG),"sinus pressure, facial swelling and septal deviation",mention,0.025,0,19,Invasive fungal sinusitis,['collapse3c'],0.0714,0.35,favours_competitor
DA_d2_seq100/5,Left maxillary giant cell reparative granuloma (GCRG),teenager,mention,0.025,0,19,Juvenile Nasopharyngeal Angiofibroma,"['collapse3c', 'forest', 'impc', 'multistance']",0.05,0.5,favours_competitor
MCR_seq200b/257,collar button abscess,diabetes and leukocytosis,topic,0.0087,2,285,Pyogenic Flexor Tenosynovitis,"['collapse3c', 'impc', 'multistance']",0.0385,0.227,favours_competitor
MCR_seq200b/257,collar button abscess,normal bone radiographs,topic,0.0087,2,285,Septic Arthritis,"['collapse3c', 'impc']",0.1364,0.064,favours_competitor
MCR_seq200b/257,collar button abscess,painful fluctuant palmar web-space mass,topic,0.0017,0,285,Pyogenic Flexor Tenosynovitis,"['collapse3c', 'impc', 'multistance']",0.0385,0.045,favours_competitor
MCR_seq200b/257,collar button abscess,spread toward flexor sheath,topic,0.0017,0,285,Pyogenic Flexor Tenosynovitis,"['collapse3c', 'impc', 'multistance']",0.0385,0.045,favours_competitor
MCR_seq200b/291,Necrolytic acral erythema,low-normal zinc,topic,0.1207,3,28,Lichen simplex chronicus,['multistance'],0.125,0.966,non_discriminating
MCR_seq200b/291,Necrolytic acral erythema,negative hepatitis C,topic,0.0172,0,28,Lichen simplex chronicus,['multistance'],0.125,0.138,favours_competitor
MCR_seq200b/291,Necrolytic acral erythema,pruritus,topic,0.0517,1,28,Eczema,['multistance'],0.1723,0.3,favours_competitor
MCR_seq200b/291,Necrolytic acral erythema,subcorneal necrolysis,topic,0.0172,0,28,Lichen simplex chronicus,['multistance'],0.125,0.138,favours_competitor
MCR_seq200b/291,Necrolytic acral erythema,symmetric acral hyperkeratotic plaques,topic,0.0517,1,28,Lichen simplex chronicus,['multistance'],0.125,0.414,favours_competitor
MCR_seq200b/326,Brucellosis,T9 lesion and epidural abscess,mention,0.1452,13,92,Epidural abscess,['forest'],0.9952,0.146,favours_competitor
MCR_seq200b/326,Brucellosis,blood-culture gram-negative bacillus,mention,0.1989,18,92,Pott's disease,['collapse3c'],0.5625,0.354,favours_competitor
MCR_seq200b/326,Brucellosis,fever and night sweats,mention,0.1344,12,92,Pott's disease,['collapse3c'],0.3125,0.43,favours_competitor
MCR_seq200b/326,Brucellosis,injured-hand contact with unpasteurized sheep stomach,mention,0.0054,0,92,Pott's disease,['collapse3c'],0.0625,0.086,favours_competitor
MCR_seq200b/326,Brucellosis,progressive back pain,mention,0.1774,16,92,Spinal tuberculosis,['multistance'],0.625,0.284,favours_competitor
MCR_seq200b/331,tumoral calcinosis,calcific histology implied by gold,topic,0.0455,0,10,Soft Tissue Sarcoma,['multistance'],0.0714,0.636,favours_competitor
MCR_seq200b/331,tumoral calcinosis,child with small peri-tendinous wrist mass,topic,0.0455,0,10,Soft Tissue Sarcoma,['multistance'],0.0714,0.636,favours_competitor
MCR_seq200b/331,tumoral calcinosis,normal metabolic/inflammatory markers,topic,0.0455,0,10,Soft Tissue Sarcoma,['multistance'],0.0714,0.636,favours_competitor
MCR_seq200b/375,gliomatosis cerebri,diffuse nonenhancing supratentorial white-matter FLAIR signal,mention,0.25,1,5,Leukoencephalopathy,['multistance'],0.0344,7.278,gold_specific
MCR_seq200b/375,gliomatosis cerebri,negative infectious CSF,mention,0.25,1,5,Normal Pressure Hydrocephalus,"['collapse3c', 'forest', 'impc', 'multistance']",0.0825,3.029,gold_specific
MCR_seq200b/375,gliomatosis cerebri,years-long parkinsonism and cognitive decline,mention,0.0833,0,5,Corticobasal Degeneration,"['collapse3c', 'forest', 'impc', 'multistance']",0.2385,0.349,favours_competitor
MCR_seq200b/405,Synovial sarcoma,Budd-Chiari physiology and extensive thrombosis,topic,0.0278,0,17,Inferior vena cava thrombosis,"['collapse3c', 'forest', 'impc']",0.1562,0.178,favours_competitor
MCR_seq200b/405,Synovial sarcoma,large invasive pericardial/right-atrial mass,topic,0.0278,0,17,Thrombophilia,['multistance'],0.0625,0.444,favours_competitor
MCR_seq200b/405,Synovial sarcoma,rapid hepatic failure,topic,0.0278,0,17,Liver disease,['multistance'],0.1891,0.147,favours_competitor
MCR_seq200b/409,Chronic necrotizing pancreatitis,massive left pleural effusion,topic,0.0031,3,1126,Pulmonary tuberculosis,['impc'],0.125,0.025,favours_competitor
MCR_seq200b/409,Chronic necrotizing pancreatitis,pancreatic cystic/nonenhancing areas,topic,0.0004,0,1126,Pulmonary tuberculosis,['impc'],0.125,0.004,favours_competitor
MCR_seq200b/409,Chronic necrotizing pancreatitis,prior severe pancreatitis and alcohol history,topic,0.0173,19,1126,Pancreatic pseudocyst,"['forest', 'impc']",0.1923,0.09,favours_competitor
MCR_seq200b/409,Chronic necrotizing pancreatitis,very high pleural-fluid amylase,topic,0.004,4,1126,Pleural effusion,"['forest', 'impc', 'multistance']",0.1371,0.029,favours_competitor
MCR_seq200b/475,Parsonage Turner Syndrome,distribution not confined to one nerve/root,topic,0.0278,0,17,Ulnar Neuropathy,['multistance'],0.0833,0.333,favours_competitor
MCR_seq200b/475,Parsonage Turner Syndrome,loss of OK sign,topic,0.0278,0,17,Ulnar Neuropathy,['multistance'],0.25,0.111,favours_competitor
MCR_seq200b/475,Parsonage Turner Syndrome,multimuscle EMG spanning anterior interosseous and upper-arm muscles,topic,0.0278,0,17,Ulnar Neuropathy,['multistance'],0.0833,0.333,favours_competitor
MCR_seq200b/475,Parsonage Turner Syndrome,normal MRI,topic,0.0278,0,17,Ulnar Neuropathy,['multistance'],0.0833,0.333,favours_competitor
MCR_seq200b/475,Parsonage Turner Syndrome,young adult,topic,0.0278,0,17,Ulnar Neuropathy,['multistance'],0.0833,0.333,favours_competitor
MCR_v1_seq100/114,Ependymoma,multiloculated excised mass,topic,0.0333,0,14,Inclusion cyst,['multistance'],0.0625,0.533,favours_competitor
MCR_v1_seq100/114,Ependymoma,"no pilonidal pit, drainage or infection",topic,0.0333,0,14,Pilonidal cyst,"['forest', 'impc', 'multistance']",0.1071,0.311,favours_competitor
MCR_v1_seq100/114,Ependymoma,slow solid subcutaneous mass near coccyx,topic,0.0333,0,14,Inclusion cyst,['multistance'],0.0625,0.533,favours_competitor
MCR_v1_seq100/117,Antiphospholipid syndrome,biopsy-proven thrombotic vasculopathy,topic,0.0208,0,23,Infectious mononucleosis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0294,0.708,non_discriminating
MCR_v1_seq100/117,Antiphospholipid syndrome,hemorrhagic skin lesions,topic,0.0625,1,23,Vasculitis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0692,0.903,non_discriminating
MCR_v1_seq100/117,Antiphospholipid syndrome,high anticardiolipin IgM,topic,0.2292,5,23,Infectious mononucleosis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0294,7.792,gold_specific
MCR_v1_seq100/117,Antiphospholipid syndrome,negative vasculitis/cryoglobulin workup,topic,0.0208,0,23,Infectious mononucleosis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0294,0.708,non_discriminating
MCR_v1_seq100/117,Antiphospholipid syndrome,prolonged lupus anticoagulant,topic,0.3542,8,23,Infectious mononucleosis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0294,12.042,gold_specific
