arm,case_id,replicate,option_letter,is_gold,option_text,auto_leaf_id,auto_leaf_label,auto_rank,corrected_leaf_id,corrected_leaf_label,corrected_rank,binding_verdict,changed,binding_rationale
A,mb55_glucagonoma,1,C,False,Beta cell tumor,,,,,,,correct,False,
A,mb55_glucagonoma,1,D,False,Hypercortisolism,,,,,,,correct,False,
A,mb55_glucagonoma,1,E,False,Insulin resistance,,,,,,,correct,False,
A,mb55_glucagonoma,2,A,True,Alpha cell tumor,B4.1,Glucagonoma,1,B4.1,Glucagonoma,1,correct,False,
A,mb55_glucagonoma,2,B,False,Beta cell destruction,,,,,,,correct,False,
A,mb55_glucagonoma,2,C,False,Beta cell tumor,,,,,,,correct,False,
A,mb55_glucagonoma,2,D,False,Hypercortisolism,,,,,,,correct,False,
A,mb55_glucagonoma,2,E,False,Insulin resistance,,,,,,,correct,False,
A,mb55_glucagonoma,3,A,True,Alpha cell tumor,B1.2,Glucagonoma,1,B1.2,Glucagonoma,1,correct,False,
A,mb55_glucagonoma,3,B,False,Beta cell destruction,,,,,,,correct,False,
A,mb55_glucagonoma,3,C,False,Beta cell tumor,,,,,,,correct,False,
A,mb55_glucagonoma,3,D,False,Hypercortisolism,,,,,,,correct,False,
A,mb55_glucagonoma,3,E,False,Insulin resistance,,,,,,,correct,False,
A,mb57_kartagener,1,A,True,Diastolic murmur best heard along the right lower sternal border,B4.3,Primary Ciliary Dyskinesia,1,B4.3,Primary Ciliary Dyskinesia,1,correct,False,
A,mb57_kartagener,1,B,False,Hypocalcemia,,,,,,,correct,False,
A,mb57_kartagener,1,C,False,Increased chloride in the patient's sweat,,,,,,,correct,False,
A,mb57_kartagener,1,D,False,Repeat sinus infections secondary to seasonal allergies,,,,,,,correct,False,
A,mb57_kartagener,1,E,False,Social withdrawal and avoidance of eye contact,,,,,,,correct,False,
A,mb57_kartagener,2,A,True,Diastolic murmur best heard along the right lower sternal border,B4.3,Primary Ciliary Dyskinesia,1,B4.3,Primary Ciliary Dyskinesia,1,correct,False,
A,mb57_kartagener,2,B,False,Hypocalcemia,,,,,,,correct,False,
A,mb57_kartagener,2,C,False,Increased chloride in the patient's sweat,,,,,,,correct,False,
A,mb57_kartagener,2,D,False,Repeat sinus infections secondary to seasonal allergies,,,,,,,correct,False,
A,mb57_kartagener,2,E,False,Social withdrawal and avoidance of eye contact,,,,,,,correct,False,
A,mb57_kartagener,3,A,True,Diastolic murmur best heard along the right lower sternal border,B5.3,primary ciliary dyskinesia,3,B5.3,primary ciliary dyskinesia,3,correct,False,
A,mb57_kartagener,3,B,False,Hypocalcemia,,,,,,,correct,False,
A,mb57_kartagener,3,C,False,Increased chloride in the patient's sweat,,,,,,,correct,False,
A,mb57_kartagener,3,D,False,Repeat sinus infections secondary to seasonal allergies,,,,,,,correct,False,
A,mb57_kartagener,3,E,False,Social withdrawal and avoidance of eye contact,,,,,,,correct,False,
A,mb65_cml,1,A,False,Acute lymphoblastic leukemia,B3.4,Acute Myeloid Leukemia,1,B1.2,Acute Lymphoblastic Leukemia,,wrong_leaf,True,ALL option maps to Acute Lymphoblastic Leukemia leaf
A,mb65_cml,1,B,False,Acute myelogenous leukemia,B3.4,Acute Myeloid Leukemia,1,B2.2,Acute Myelogenous Leukemia,3,wrong_leaf,True,AML option maps to Acute Myelogenous/Myeloid Leukemia leaf
A,mb65_cml,1,C,False,Chronic lymphocytic leukemia,B3.4,Acute Myeloid Leukemia,1,,,,should_unmatch,True,No Chronic Lymphocytic Leukemia leaf in tree
A,mb65_cml,1,D,True,Chronic myelogenous leukemia,B3.4,Acute Myeloid Leukemia,1,B3.1,Chronic Myeloid Leukemia,,wrong_leaf,True,Gold CML must bind to Chronic Myeloid/Myelogenous Leukemia leaf
A,mb65_cml,1,E,False,Multiple myeloma,B1.5,Multiple Myeloma,,B1.5,Multiple Myeloma,,correct,False,
A,mb65_cml,2,A,False,Acute lymphoblastic leukemia,B1.1,Acute Myeloid Leukemia,1,B1.2,Acute Lymphoblastic Leukemia,,wrong_leaf,True,ALL option maps to Acute Lymphoblastic Leukemia leaf
A,mb65_cml,2,B,False,Acute myelogenous leukemia,B1.1,Acute Myeloid Leukemia,1,B3.4,Acute Myelogenous Leukemia,2,wrong_leaf,True,AML option maps to Acute Myelogenous/Myeloid Leukemia leaf
A,mb65_cml,2,C,False,Chronic lymphocytic leukemia,B1.1,Acute Myeloid Leukemia,1,,,,should_unmatch,True,No Chronic Lymphocytic Leukemia leaf in tree
A,mb65_cml,2,D,True,Chronic myelogenous leukemia,B1.1,Acute Myeloid Leukemia,1,B3.1,Chronic Myelogenous Leukemia,,wrong_leaf,True,Gold CML must bind to Chronic Myeloid/Myelogenous Leukemia leaf
A,mb65_cml,2,E,False,Multiple myeloma,B1.5,Multiple Myeloma,,B1.5,Multiple Myeloma,,correct,False,
A,mb65_cml,3,A,False,Acute lymphoblastic leukemia,B3.4,Acute Myeloid Leukemia,1,B2.1,Acute Lymphoblastic Leukemia,,wrong_leaf,True,ALL option maps to Acute Lymphoblastic Leukemia leaf
A,mb65_cml,3,B,False,Acute myelogenous leukemia,B3.4,Acute Myeloid Leukemia,1,B2.2,Acute Myelogenous Leukemia,4,wrong_leaf,True,AML option maps to Acute Myelogenous/Myeloid Leukemia leaf
A,mb65_cml,3,C,False,Chronic lymphocytic leukemia,B3.4,Acute Myeloid Leukemia,1,,,,should_unmatch,True,No Chronic Lymphocytic Leukemia leaf in tree
A,mb65_cml,3,D,True,Chronic myelogenous leukemia,B3.4,Acute Myeloid Leukemia,1,B3.1,Chronic Myeloid Leukemia,,wrong_leaf,True,Gold CML must bind to Chronic Myeloid/Myelogenous Leukemia leaf
A,mb65_cml,3,E,False,Multiple myeloma,B1.5,Multiple Myeloma,,B1.5,Multiple Myeloma,,correct,False,
A,mb66_peliosis,1,A,False,Ectopic implantation of a blastocyst,,,,,,,correct,False,
A,mb66_peliosis,1,B,False,Inflammation of the pancreas,,,,,,,correct,False,
A,mb66_peliosis,1,C,False,Obstruction of blood flow through the hepatic vein,,,,,,,correct,False,
A,mb66_peliosis,1,D,False,Obstruction of the common bile duct by radio-opaque stones,,,,,,,correct,False,
A,mb66_peliosis,1,E,True,Vascular ectasia within the liver,,,,,,,correct,False,
A,mb66_peliosis,2,A,False,Ectopic implantation of a blastocyst,,,,,,,correct,False,
A,mb66_peliosis,2,B,False,Inflammation of the pancreas,,,,,,,correct,False,
A,mb66_peliosis,2,C,False,Obstruction of blood flow through the hepatic vein,,,,,,,correct,False,
A,mb66_peliosis,2,D,False,Obstruction of the common bile duct by radio-opaque stones,,,,,,,correct,False,
A,mb66_peliosis,2,E,True,Vascular ectasia within the liver,,,,,,,correct,False,
A,mb66_peliosis,3,A,False,Ectopic implantation of a blastocyst,,,,,,,correct,False,
A,mb66_peliosis,3,B,False,Inflammation of the pancreas,,,,,,,correct,False,
A,mb66_peliosis,3,C,False,Obstruction of blood flow through the hepatic vein,,,,,,,correct,False,
A,mb66_peliosis,3,D,False,Obstruction of the common bile duct by radio-opaque stones,,,,,,,correct,False,
A,mb66_peliosis,3,E,True,Vascular ectasia within the liver,,,,,,,correct,False,
A,mb77_hyperpara,1,A,False,Antacid overuse,,,,,,,correct,False,
A,mb77_hyperpara,1,B,False,"Increased 1,25-dihydroxyvitamin D",,,,,,,correct,False,
A,mb77_hyperpara,1,C,True,Increased parathyroid hormone,B2.5,Hyperparathyroidism,2,B3.2,Primary Hyperparathyroidism,,wrong_leaf,True,Increased PTH mechanism should bind Primary Hyperparathyroidism leaf
A,mb77_hyperpara,1,D,False,Malignancy,B5.3,Malignancy-associated hypercalcemia,,B5.3,Malignancy-associated hypercalcemia,,correct,False,
A,mb77_hyperpara,1,E,False,Viral illness,,,,,,,correct,False,
A,mb77_hyperpara,2,A,False,Antacid overuse,,,,,,,correct,False,
A,mb77_hyperpara,2,B,False,"Increased 1,25-dihydroxyvitamin D",,,,,,,correct,False,
A,mb77_hyperpara,2,C,True,Increased parathyroid hormone,B4.1,Hyperparathyroidism,2,B3.2,Primary Hyperparathyroidism,4,wrong_leaf,True,Increased PTH mechanism should bind Primary Hyperparathyroidism leaf
A,mb77_hyperpara,2,D,False,Malignancy,B2.5,Malignancy-associated Hypercalcemia,,B2.5,Malignancy-associated Hypercalcemia,,correct,False,
A,mb77_hyperpara,2,E,False,Viral illness,,,,,,,correct,False,
A,mb77_hyperpara,3,A,False,Antacid overuse,,,,,,,correct,False,
A,mb77_hyperpara,3,B,False,"Increased 1,25-dihydroxyvitamin D",,,,,,,correct,False,
A,mb77_hyperpara,3,C,True,Increased parathyroid hormone,B4.1,Hyperparathyroidism,1,B1.2,Primary hyperparathyroidism,3,wrong_leaf,True,Increased PTH mechanism should bind Primary Hyperparathyroidism leaf
A,mb77_hyperpara,3,D,False,Malignancy,B2.6,Malignancy-associated Hypercalcemia,,B2.6,Malignancy-associated Hypercalcemia,,correct,False,
A,mb77_hyperpara,3,E,False,Viral illness,,,,,,,correct,False,
A,mb82_adhesions,1,A,True,Adhesions,B1.2,Adhesions,,B1.2,Adhesions,,correct,False,
A,mb82_adhesions,1,B,False,Enteric nervous system damage,,,,,,,correct,False,
A,mb82_adhesions,1,C,False,Impacted stool,,,,,,,correct,False,
A,mb82_adhesions,1,D,False,Norovirus,B4.4,Norovirus infection,,B4.4,Norovirus infection,,correct,False,
A,mb82_adhesions,1,E,False,Twisting of the bowel,,,,,,,correct,False,
A,mb82_adhesions,2,A,True,Adhesions,B1.3,Adhesions,,B1.3,Adhesions,,correct,False,
A,mb82_adhesions,2,B,False,Enteric nervous system damage,,,,,,,correct,False,
A,mb82_adhesions,2,C,False,Impacted stool,,,,,,,correct,False,
A,mb82_adhesions,2,D,False,Norovirus,B4.4,Norovirus infection,,B4.4,Norovirus infection,,correct,False,
A,mb82_adhesions,2,E,False,Twisting of the bowel,,,,,,,correct,False,
A,mb82_adhesions,3,A,True,Adhesions,B1.3,Adhesions,,B1.3,Adhesions,,correct,False,
A,mb82_adhesions,3,B,False,Enteric nervous system damage,,,,,,,correct,False,
A,mb82_adhesions,3,C,False,Impacted stool,,,,,,,correct,False,
A,mb82_adhesions,3,D,False,Norovirus,,,,,,,correct,False,
A,mb82_adhesions,3,E,False,Twisting of the bowel,,,,,,,correct,False,
A,mb83_foreignbody,1,A,False,Bleeding and infected vessel of Kiesselbach plexus,B2.2,Bleeding and infected vessel of Kiesselbach plexus,3,B2.2,Bleeding and infected vessel of Kiesselbach plexus,3,correct,False,
A,mb83_foreignbody,1,B,True,Foreign body obstruction,B1.2,Nasal Foreign Body,1,B1.2,Nasal Foreign Body,1,correct,False,
A,mb83_foreignbody,1,C,False,Nasopharyngeal carcinoma,B4.2,Nasopharyngeal carcinoma,,B4.2,Nasopharyngeal carcinoma,,correct,False,
A,mb83_foreignbody,1,D,False,Septal perforation,B1.5,Septal Perforation,,B1.5,Septal Perforation,,correct,False,
A,mb83_foreignbody,1,E,False,Sinusitis with bacterial superinfection,B2.3,Sinusitis with bacterial superinfection,,B2.3,Sinusitis with bacterial superinfection,,correct,False,
A,mb83_foreignbody,2,A,False,Bleeding and infected vessel of Kiesselbach plexus,B2.2,Bleeding and infected vessel of Kiesselbach plexus,2,B2.2,Bleeding and infected vessel of Kiesselbach plexus,2,correct,False,
A,mb83_foreignbody,2,B,True,Foreign body obstruction,B1.2,Nasal Foreign Body,1,B1.2,Nasal Foreign Body,1,correct,False,
A,mb83_foreignbody,2,C,False,Nasopharyngeal carcinoma,B4.1,Nasopharyngeal carcinoma,,B4.1,Nasopharyngeal carcinoma,,correct,False,
A,mb83_foreignbody,2,D,False,Septal perforation,B2.5,Septal perforation,,B2.5,Septal perforation,,correct,False,
A,mb83_foreignbody,2,E,False,Sinusitis with bacterial superinfection,B4.9,Sinusitis with bacterial superinfection,3,B4.9,Sinusitis with bacterial superinfection,3,correct,False,
A,mb83_foreignbody,3,A,False,Bleeding and infected vessel of Kiesselbach plexus,B2.2,Bleeding and infected vessel of Kiesselbach plexus,2,B2.2,Bleeding and infected vessel of Kiesselbach plexus,2,correct,False,
A,mb83_foreignbody,3,B,True,Foreign body obstruction,B1.2,Nasal Foreign Body,1,B1.2,Nasal Foreign Body,1,correct,False,
A,mb83_foreignbody,3,C,False,Nasopharyngeal carcinoma,B3.5,Nasopharyngeal Carcinoma,,B3.5,Nasopharyngeal Carcinoma,,correct,False,
A,mb83_foreignbody,3,D,False,Septal perforation,B2.5,Septal perforation,,B2.5,Septal perforation,,correct,False,
A,mb83_foreignbody,3,E,False,Sinusitis with bacterial superinfection,B4.7,Sinusitis with bacterial superinfection,3,B4.7,Sinusitis with bacterial superinfection,3,correct,False,
A,mxh011,1,A,False,Haemophilus influenzae,B2.4,Pneumonia due to Haemophilus influenzae type b,,B2.4,Pneumonia due to Haemophilus influenzae type b,,correct,False,
A,mxh011,1,B,True,Streptococcus pneumoniae,B3.1,Epiglottitis,1,B2.2,Pneumonia due to Streptococcus pneumoniae,,wrong_leaf,True,"Gold pathogen option binds to pneumococcal pathogen leaf, not syndrome leaf"
A,mxh011,1,C,False,Parainfluenza virus,B2.5,Croup due to Parainfluenza virus,,B2.5,Croup due to Parainfluenza virus,,correct,False,
A,mxh011,1,D,False,Staphylococcus aureus,,,,,,,correct,False,
A,mxh011,1,E,False,Group A Streptococcus,,,,,,,correct,False,
A,mxh011,1,F,False,Adenovirus,,,,,,,correct,False,
A,mxh011,1,G,False,Mycoplasma pneumoniae,B1.5,Pneumonia,,B1.5,Pneumonia,,correct,False,
A,mxh011,1,H,False,Epstein-Barr virus,,,,,,,correct,False,
A,mxh011,1,I,False,Corynebacterium diphtheriae,B2.6,Diphtheria,,B2.6,Diphtheria,,correct,False,
A,mxh011,1,J,False,Respiratory syncytial virus (RSV),,,,,,,correct,False,
A,mxh011,2,A,False,Haemophilus influenzae,B2.4,Pneumonia due to Haemophilus influenzae,,B2.4,Pneumonia due to Haemophilus influenzae,,correct,False,
A,mxh011,2,B,True,Streptococcus pneumoniae,B2.1,Epiglottitis,1,B2.2,Pneumonia due to Streptococcus pneumoniae,,wrong_leaf,True,"Gold pathogen option binds to pneumococcal pathogen leaf, not syndrome leaf"
A,mxh011,2,C,False,Parainfluenza virus,B2.5,Croup due to Parainfluenza virus,,B2.5,Croup due to Parainfluenza virus,,correct,False,
A,mxh011,2,D,False,Staphylococcus aureus,,,,,,,correct,False,
A,mxh011,2,E,False,Group A Streptococcus,,,,,,,correct,False,
A,mxh011,2,F,False,Adenovirus,,,,,,,correct,False,
A,mxh011,2,G,False,Mycoplasma pneumoniae,B1.5,Pneumonia,,B1.5,Pneumonia,,correct,False,
A,mxh011,2,H,False,Epstein-Barr virus,,,,,,,correct,False,
A,mxh011,2,I,False,Corynebacterium diphtheriae,,,,,,,correct,False,
A,mxh011,2,J,False,Respiratory syncytial virus (RSV),,,,,,,correct,False,
A,mxh011,3,A,False,Haemophilus influenzae,B2.4,Haemophilus influenzae type b Infection,,B2.4,Haemophilus influenzae type b Infection,,correct,False,
A,mxh011,3,B,True,Streptococcus pneumoniae,B1.1,Epiglottitis,1,B2.2,Pneumococcal Pneumonia,,wrong_leaf,True,"Gold pathogen option binds to pneumococcal pathogen leaf, not syndrome leaf"
A,mxh011,3,C,False,Parainfluenza virus,B5.7,Influenza,,,,,should_unmatch,True,No parainfluenza-specific leaf; Influenza leaf is wrong entity
A,mxh011,3,D,False,Staphylococcus aureus,,,,,,,correct,False,
A,mxh011,3,E,False,Group A Streptococcus,,,,,,,correct,False,
A,mxh011,3,F,False,Adenovirus,,,,,,,correct,False,
A,mxh011,3,G,False,Mycoplasma pneumoniae,B1.2,Pneumonia,,B1.2,Pneumonia,,correct,False,
A,mxh011,3,H,False,Epstein-Barr virus,,,,,,,correct,False,
A,mxh011,3,I,False,Corynebacterium diphtheriae,,,,,,,correct,False,
A,mxh011,3,J,False,Respiratory syncytial virus (RSV),,,,,,,correct,False,
A,mxh014,1,A,False,*Pseudomonas aeruginosa*,,,,,,,correct,False,
A,mxh014,1,B,False,*Bartonella henselae*,,,,,,,correct,False,
A,mxh014,1,C,False,HACEK group organisms,B1.4,HACEK Group Endocarditis,,B1.4,HACEK Group Endocarditis,,correct,False,
A,mxh014,1,D,False,*Candida albicans*,,,,,,,correct,False,
A,mxh014,1,E,False,Beta-hemolytic streptococci,,,,,,,correct,False,
A,mxh014,1,F,False,*Staphylococcus aureus*,B1.2,Staphylococcus aureus Endocarditis,,B1.2,Staphylococcus aureus Endocarditis,,correct,False,
A,mxh014,1,G,True,Coagulase-negative *Staphylococcus spp.*,B1.1,Prosthetic Valve Endocarditis,1,B1.1,Prosthetic Valve Endocarditis,1,correct,False,
A,mxh014,1,H,False,*Pseudomonas* aeruginosa,,,,,,,correct,False,
A,mxh014,1,I,False,*Streptococcus bovis*,,,,,,,correct,False,
A,mxh014,1,J,False,*Enterococcus*,,,,,,,correct,False,
A,mxh014,2,A,False,*Pseudomonas aeruginosa*,,,,,,,correct,False,
A,mxh014,2,B,False,*Bartonella henselae*,,,,,,,correct,False,
A,mxh014,2,C,False,HACEK group organisms,B1.4,HACEK Group Endocarditis,,B1.4,HACEK Group Endocarditis,,correct,False,
A,mxh014,2,D,False,*Candida albicans*,,,,,,,correct,False,
A,mxh014,2,E,False,Beta-hemolytic streptococci,,,,,,,correct,False,
A,mxh014,2,F,False,*Staphylococcus aureus*,B1.2,Staphylococcus aureus Endocarditis,,B1.2,Staphylococcus aureus Endocarditis,,correct,False,
A,mxh014,2,G,True,Coagulase-negative *Staphylococcus spp.*,B4.2,Prosthetic Valve Endocarditis,1,B4.2,Prosthetic Valve Endocarditis,1,correct,False,
A,mxh014,2,H,False,*Pseudomonas* aeruginosa,,,,,,,correct,False,
A,mxh014,2,I,False,*Streptococcus bovis*,,,,,,,correct,False,
A,mxh014,2,J,False,*Enterococcus*,,,,,,,correct,False,
A,mxh014,3,A,False,*Pseudomonas aeruginosa*,,,,,,,correct,False,
A,mxh014,3,B,False,*Bartonella henselae*,B1.5,Bartonella henselae Endocarditis,,B1.5,Bartonella henselae Endocarditis,,correct,False,
A,mxh014,3,C,False,HACEK group organisms,B1.4,HACEK Group Endocarditis,,B1.4,HACEK Group Endocarditis,,correct,False,
A,mxh014,3,D,False,*Candida albicans*,,,,,,,correct,False,
A,mxh014,3,E,False,Beta-hemolytic streptococci,,,,,,,correct,False,
A,mxh014,3,F,False,*Staphylococcus aureus*,B1.2,Staphylococcus aureus Endocarditis,,B1.2,Staphylococcus aureus Endocarditis,,correct,False,
A,mxh014,3,G,True,Coagulase-negative *Staphylococcus spp.*,B5.1,prosthetic valve endocarditis,1,B5.1,prosthetic valve endocarditis,1,correct,False,
A,mxh014,3,H,False,*Pseudomonas* aeruginosa,,,,,,,correct,False,
A,mxh014,3,I,False,*Streptococcus bovis*,,,,,,,correct,False,
A,mxh014,3,J,False,*Enterococcus*,,,,,,,correct,False,
A,mxh036,1,A,False,Prader-Willi syndrome,,,,,,,correct,False,
A,mxh036,1,B,False,Congenital hyperinsulinism,,,,,,,correct,False,
A,mxh036,1,C,False,Carnitine palmitoyltransferase II deficiency,B4.5,Carnitine palmitoyltransferase II deficiency,,B4.5,Carnitine palmitoyltransferase II deficiency,,correct,False,
A,mxh036,1,D,False,"Fructose-1,6-bisphosphatase deficiency",B2.4,"Fructose-1,6-bisphosphatase deficiency",,B2.4,"Fructose-1,6-bisphosphatase deficiency",,correct,False,
A,mxh036,1,E,False,Gaucher disease,B1.2,Gaucher disease,,B1.2,Gaucher disease,,correct,False,
A,mxh036,1,F,False,Lipoprotein lipase deficiency,B1.1,Lipoprotein lipase deficiency,1,B1.1,Lipoprotein lipase deficiency,1,correct,False,
A,mxh036,1,G,True,Glycogen storage disease type 1,B2.1,Glycogen storage disease type 1,2,B2.1,Glycogen storage disease type 1,2,correct,False,
A,mxh036,1,H,False,Tay-Sachs disease,,,,,,,correct,False,
A,mxh036,1,I,False,Familial hypercholesterolemia,,,,,,,correct,False,
A,mxh036,1,J,False,Niemann-Pick disease type A,B1.5,Niemann-Pick disease type A,,B1.5,Niemann-Pick disease type A,,correct,False,
A,mxh036,2,A,False,Prader-Willi syndrome,B5.10,Prader-Willi syndrome,,B5.10,Prader-Willi syndrome,,correct,False,
A,mxh036,2,B,False,Congenital hyperinsulinism,B5.9,Congenital hyperinsulinism,,B5.9,Congenital hyperinsulinism,,correct,False,
A,mxh036,2,C,False,Carnitine palmitoyltransferase II deficiency,B4.5,Carnitine palmitoyltransferase II deficiency,,B4.5,Carnitine palmitoyltransferase II deficiency,,correct,False,
A,mxh036,2,D,False,"Fructose-1,6-bisphosphatase deficiency",B4.4,"Fructose-1,6-bisphosphatase deficiency",,B4.4,"Fructose-1,6-bisphosphatase deficiency",,correct,False,
A,mxh036,2,E,False,Gaucher disease,B1.1,Gaucher disease,,B1.1,Gaucher disease,,correct,False,
A,mxh036,2,F,False,Lipoprotein lipase deficiency,B4.2,Lipoprotein lipase deficiency,3,B4.2,Lipoprotein lipase deficiency,3,correct,False,
A,mxh036,2,G,True,Glycogen storage disease type 1,B2.1,Glycogen Storage Disease Type 1a,1,B2.1,Glycogen Storage Disease Type 1a,1,correct,False,
A,mxh036,2,H,False,Tay-Sachs disease,B1.7,Tay-Sachs disease,,B1.7,Tay-Sachs disease,,correct,False,
A,mxh036,2,I,False,Familial hypercholesterolemia,,,,,,,correct,False,
A,mxh036,2,J,False,Niemann-Pick disease type A,B1.5,Niemann-Pick disease type A,,B1.5,Niemann-Pick disease type A,,correct,False,
A,mxh036,3,A,False,Prader-Willi syndrome,B5.10,Prader-Willi syndrome,,B5.10,Prader-Willi syndrome,,correct,False,
A,mxh036,3,B,False,Congenital hyperinsulinism,B5.9,Congenital hyperinsulinism,,B5.9,Congenital hyperinsulinism,,correct,False,
A,mxh036,3,C,False,Carnitine palmitoyltransferase II deficiency,B5.8,Carnitine palmitoyltransferase II deficiency,,B5.8,Carnitine palmitoyltransferase II deficiency,,correct,False,
A,mxh036,3,D,False,"Fructose-1,6-bisphosphatase deficiency",B2.4,"Fructose-1,6-bisphosphatase deficiency",,B2.4,"Fructose-1,6-bisphosphatase deficiency",,correct,False,
A,mxh036,3,E,False,Gaucher disease,B1.2,Gaucher disease,,B1.2,Gaucher disease,,correct,False,
A,mxh036,3,F,False,Lipoprotein lipase deficiency,B1.1,Lipoprotein lipase deficiency,1,B1.1,Lipoprotein lipase deficiency,1,correct,False,
A,mxh036,3,G,True,Glycogen storage disease type 1,B2.1,Glycogen storage disease type 1,3,B2.1,Glycogen storage disease type 1,3,correct,False,
A,mxh036,3,H,False,Tay-Sachs disease,,,,,,,correct,False,
A,mxh036,3,I,False,Familial hypercholesterolemia,,,,,,,correct,False,
A,mxh036,3,J,False,Niemann-Pick disease type A,B3.2,Niemann-Pick disease type A,,B3.2,Niemann-Pick disease type A,,correct,False,
